"","idhous00","age00","educat00","civsta00","nbadul00","nbkid00","aoldki00","ayouki00","region00","com2.00","sex","birthy","jan00","feb00","mar00","apr00","may00","jun00","jul00","aug00","sep00","oct00","nov00","dec00"
"495",11441,54,"apprenticeship","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","man",1946,"A","A","A","A","A","A","A","A","A","A","A","A"
"514",11631,15,"incomplete compulsory school","single, never married",2,2,15,13,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1985,"D","D","D","B","D","D","D","D","D","A","A","A"
"4587",96971,34,"compulsory school, elementary vocational training","married",2,2,5,0,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1966,"A","A","A","A","A","A","A","A","A","A","A","A"
"5389",111661,45,"apprenticeship","married",3,1,16,16,"Zurich","Peripheral urban communes","man",1955,"A","A","A","A","A","A","A","A","A","A","A","A"
"3861",80571,66,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","woman",1934,"D","D","D","D","D","D","D","D","D","D","D","D"
"3556",74181,78,"apprenticeship","widower/widow",1,0,-3,-3,"Zurich","Suburban communes","woman",1922,"D","D","D","D","D","D","D","D","D","D","D","D"
"1407",29381,48,"apprenticeship","married",2,2,17,15,"Zurich","Suburban communes","woman",1952,"C","C","C","C","C","C","C","C","C","B","B","B"
"4703",99061,49,"apprenticeship","married",4,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Peripheral agricultural communes","man",1951,"A","A","A","A","A","A","A","A","A","A","A","A"
"2181",46651,41,"vocational high education","married",2,3,12,6,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1959,"D","D","D","D","D","D","D","D","D","D","D","D"
"1321",27311,37,"university, higher specialized school","single, never married",1,0,-3,-3,"Zurich","Centres","woman",1963,"B","B","B","B","B","B","B","B","A","A","A","A"
"4753",99781,33,"vocational high school","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1967,"A","A","A","A","A","A","A","A","A","A","A","A"
"4354",91201,70,"apprenticeship","married",2,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","woman",1930,"D","D","D","D","D","D","D","D","D","D","D","D"
"886",18371,60,"university, higher specialized school","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1940,"A","A","A","A","A","A","A","A","A","A","A","A"
"3045",64981,25,"vocational high education","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","man",1975,"A","A","A","A","A","A","A","A","A","A","A","A"
"467",10951,30,"university, higher specialized school","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1970,"A","A","A","A","A","A","A","A","A","A","A","A"
"3191",67371,28,"maturity","single, never married",1,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1972,"C","C","C","C","C","C","C","C","C","C","C","C"
"5045",105081,33,"university, higher specialized school","single, never married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1967,"B","B","B","B","B","B","B","B","B","B","B","B"
"4634",97931,41,"technical or vocational school","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1959,"B","B","B","B","B","B","B","B","B","B","B","B"
"5740",119041,33,"apprenticeship","married",2,1,3,3,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","man",1967,"A","A","A","A","A","A","A","A","A","A","A","A"
"5838",121311,37,"university, higher specialized school","married",2,3,7,1,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","man",1963,"A","A","A","A","A","A","A","A","A","A","A","A"
"3672",76691,82,"vocational high school","widower/widow",1,0,-3,-3,"Zurich","Centres","man",1918,"D","D","D","D","D","D","D","D","D","D","D","D"
"3047",65051,28,"maturity","single, never married",2,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Peripheral urban communes","man",1972,"D","D","D","D","D","D","D","B","B","B","B","B"
"6870",143381,18,"compulsory school, elementary vocational training","single, never married",3,1,16,16,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Mixed agricultural communes","man",1982,"D","B","B","D","D","D","D","D","D","B","D","D"
"3299",69241,50,"domestic science course, 1 year school of commerce","married",3,1,17,17,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","woman",1950,"D","D","D","D","D","D","D","D","D","D","D","D"
"959",19581,42,"compulsory school, elementary vocational training","married",2,2,12,10,"North-west Switzerland  (BS, BL, AG)","Suburban communes","man",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"3301",69241,17,"incomplete compulsory school","single, never married",3,1,17,17,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","man",1983,"D","D","D","D","D","D","D","D","D","D","D","D"
"4498",94731,43,"maturity","married",2,2,16,7,"Ticino","Suburban communes","woman",1957,"D","D","D","D","D","D","D","D","D","D","D","D"
"3701",77401,62,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","man",1938,"A","A","A","A","A","A","A","A","A","A","A","A"
"3786",79301,34,"university, higher specialized school","single, never married",1,0,-3,-3,"Zurich","Peripheral urban communes","woman",1966,"A","A","A","A","A","A","A","A","A","A","A","A"
"3253",68381,21,"apprenticeship","single, never married",4,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","man",1979,"A","A","A","A","A","A","A","A","A","A","A","A"
"4135",86791,17,"compulsory school, elementary vocational training","single, never married",3,1,14,14,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Industrial and tertiary sector communes","woman",1983,"D","D","C","C","C","C","C","C","C","C","C","C"
"3892",81341,57,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","man",1943,"A","A","A","A","A","A","A","A","A","A","A","A"
"1020",20961,44,"technical or vocational school","divorced",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Centres","man",1956,"A","A","A","A","A","A","A","A","A","A","A","A"
"3228",68041,52,"full-time vocational school","married",2,2,13,8,"North-west Switzerland  (BS, BL, AG)","Rural commuter communes","woman",1948,"D","D","D","D","D","D","D","D","D","D","D","D"
"5077",105911,75,"university, higher specialized school","widower/widow",1,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Centres","woman",1925,"D","D","D","D","D","D","D","D","D","D","D","D"
"1372",28541,55,"apprenticeship","single, never married",1,0,-3,-3,"Zurich","Wealthy communes","woman",1945,"A","A","A","A","A","A","A","A","A","A","A","A"
"648",13731,75,"domestic science course, 1 year school of commerce","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1925,"D","D","D","D","D","D","D","D","D","D","D","D"
"6453",134981,35,"apprenticeship","divorced",2,2,13,9,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Mixed agricultural communes","woman",1965,"C","C","C","C","C","C","C","C","C","C","C","C"
"2362",51021,78,"incomplete compulsory school","widower/widow",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Mixed agricultural communes","woman",1922,"D","D","D","D","D","D","D","D","D","D","D","D"
"2485",53571,32,"technical or vocational school","married",2,2,4,2,"Lake Geneva (VD, VS, GE)","Rural commuter communes","woman",1968,"C","C","C","C","C","C","C","C","C","C","C","C"
"3707",77481,89,"apprenticeship","single, never married",1,0,-3,-3,"Zurich","Centres","man",1911,"D","D","D","D","D","D","D","D","D","D","D","D"
"3848",80441,54,"vocational high school","separated",2,0,-3,-3,"Zurich","Rural commuter communes","woman",1946,"C","C","C","C","C","C","C","C","C","C","C","C"
"2967",63271,75,"compulsory school, elementary vocational training","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","man",1925,"D","D","D","D","D","D","D","D","D","D","D","D"
"6772",141571,43,"university, higher specialized school","married",2,2,13,12,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Peripheral urban communes","woman",1957,"B","B","B","B","B","B","B","B","B","B","B","B"
"1218",25151,37,"apprenticeship","divorced",1,0,-3,-3,"Zurich","Suburban communes","man",1963,"A","A","A","A","A","A","A","A","A","A","A","A"
"131",4141,57,"maturity","single, never married",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Industrial and tertiary sector communes","woman",1943,"B","B","B","B","B","B","B","D","D","D","D","D"
"5231",108551,46,"vocational high school","married",3,1,17,17,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","man",1954,"A","A","A","A","A","A","A","A","A","A","A","A"
"3751",78631,55,"incomplete compulsory school","married",2,0,-3,-3,"Zurich","Suburban communes","man",1945,"A","A","A","A","A","A","A","A","A","A","A","A"
"2782",59311,51,"full-time vocational school","married",3,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1949,"B","B","B","B","B","B","B","B","B","B","B","B"
"6143",127251,14,"incomplete compulsory school","single, never married",3,1,14,14,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","woman",1986,"D","D","D","D","D","D","D","D","D","D","D","D"
"5009",104321,70,"apprenticeship","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Rural commuter communes","woman",1930,"D","D","D","D","D","D","D","D","D","D","D","D"
"5839",121311,33,"maturity","married",2,3,7,1,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1967,"D","D","D","D","D","D","D","D","D","D","D","D"
"1256",25731,33,"full-time vocational school","married",2,3,6,0,"Zurich","Suburban communes","woman",1967,"D","D","D","D","D","D","D","D","D","D","D","D"
"1019",20941,30,"maturity","single, never married",1,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","woman",1970,"A","A","A","A","A","A","A","A","A","A","A","D"
"5780",120131,35,"apprenticeship","divorced",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","woman",1965,"A","A","A","A","A","A","A","A","A","A","A","A"
"4929",102811,45,"compulsory school, elementary vocational training","married",4,1,16,16,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1955,"A","A","A","A","A","A","A","A","A","A","B","B"
"73",2691,30,"compulsory school, elementary vocational training","married",2,2,4,1,"Lake Geneva (VD, VS, GE)","Mixed agricultural communes","woman",1970,"D","D","D","D","D","D","D","D","D","D","D","D"
"4751",99741,23,"maturity","single, never married",5,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1977,"C","C","C","C","C","C","C","C","C","C","C","C"
"170",5031,27,"apprenticeship","single, never married",2,1,3,3,"Lake Geneva (VD, VS, GE)","Suburban communes","man",1973,"A","A","A","A","A","A","A","A","A","A","A","A"
"4169",87431,47,"compulsory school, elementary vocational training","divorced",1,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Suburban communes","woman",1953,"A","A","A","A","A","A","A","A","A","A","A","A"
"3470",72581,37,"apprenticeship","single, never married",1,1,6,6,"North-west Switzerland  (BS, BL, AG)","Wealthy communes","woman",1963,"B","B","B","B","B","B","B","B","B","B","B","B"
"1272",26181,33,"apprenticeship","single, never married",1,1,6,6,"Zurich","Suburban communes","woman",1967,"B","B","B","B","B","B","B","B","B","B","B","B"
"628",13421,40,"apprenticeship","married",2,2,6,3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1960,"D","D","D","D","D","D","D","D","D","D","D","D"
"4557",96181,48,"compulsory school, elementary vocational training","married",4,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1952,"D","D","D","D","D","D","D","D","D","D","D","D"
"275",7181,71,"compulsory school, elementary vocational training","married",3,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1929,"D","D","D","D","D","D","D","D","D","D","D","D"
"5179",107701,41,"vocational high education","married",2,3,13,9,"North-west Switzerland  (BS, BL, AG)","Suburban communes","man",1959,"A","A","A","A","A","A","A","A","A","A","A","A"
"1412",29441,63,"compulsory school, elementary vocational training","widower/widow",1,0,-3,-3,"Zurich","Suburban communes","woman",1937,"D","D","D","D","D","D","D","D","D","D","D","D"
"1183",24361,42,"apprenticeship","married",2,2,14,12,"North-west Switzerland  (BS, BL, AG)","Centres","woman",1958,"A","A","A","A","A","A","A","A","A","A","A","A"
"116",3811,40,"university, higher specialized school","married",2,1,12,12,"Lake Geneva (VD, VS, GE)","Centres","woman",1960,"B","B","B","B","B","B","B","B","B","B","B","B"
"4152",87191,59,"technical or vocational school","married",4,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Industrial and tertiary sector communes","man",1941,"A","A","A","A","A","A","A","A","A","A","A","B"
"4886",101901,22,"general training school","single, never married",3,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","woman",1978,"A","A","A","A","A","A","A","A","A","A","A","A"
"20",1721,25,"apprenticeship","single, never married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","woman",1975,"A","A","A","A","A","A","A","A","A","A","A","A"
"3717",77621,73,"apprenticeship","married",2,0,-3,-3,"Zurich","Centres","man",1927,"D","D","D","D","D","D","D","D","D","D","D","D"
"2724",58171,31,"apprenticeship","married",2,2,5,2,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1969,"A","A","A","A","A","A","A","A","A","A","A","A"
"874",18091,48,"apprenticeship","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1952,"A","A","A","A","A","A","A","A","A","A","A","A"
"3494",73031,14,"incomplete compulsory school","single, never married",2,3,14,9,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","man",1986,"D","D","D","D","D","D","D","D","D","D","D","D"
"2100",44911,34,"university, higher specialized school","single, never married",3,0,-3,-3,"Ticino","Suburban communes","man",1966,"D","D","D","D","D","D","D","D","D","D","D","D"
"4646",98131,56,"apprenticeship","married",4,1,12,12,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","man",1944,"A","A","A","A","A","A","A","A","A","A","A","B"
"1789",38321,29,"full-time vocational school","married",2,1,5,5,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Industrial and tertiary sector communes","woman",1971,"D","D","D","D","D","D","D","D","D","D","D","D"
"3325",69641,68,"apprenticeship","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","man",1932,"D","D","D","D","D","D","D","D","D","D","D","D"
"4522",95171,31,"apprenticeship","separated",2,2,7,4,"Ticino","Wealthy communes","woman",1969,"C","C","D","D","D","D","D","D","D","D","D","C"
"3359",70311,59,"university, higher specialized school","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Centres","man",1941,"A","A","A","A","A","A","A","A","A","A","A","A"
"475",11082,23,"general training school","single, never married",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","man",1977,"B","D","C","C","C","C","C","C","C","C","C","C"
"53",2291,71,"compulsory school, elementary vocational training","widower/widow",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Industrial and tertiary sector communes","woman",1929,"D","D","D","D","D","D","D","D","D","D","D","D"
"5352",110821,60,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","man",1940,"D","D","D","D","D","D","D","D","D","D","D","D"
"4306",90151,81,"compulsory school, elementary vocational training","widower/widow",1,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","woman",1919,"D","D","D","D","D","D","D","D","D","D","D","D"
"3199",67571,28,"technical or vocational school","single, never married",1,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","man",1972,"A","A","A","A","A","A","A","A","A","A","A","A"
"2937",62321,41,"university, higher specialized school","married",2,2,8,5,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","man",1959,"A","A","A","A","A","A","A","A","A","A","A","A"
"1985",42781,71,"vocational high education","married",2,0,-3,-3,"Ticino","Peripheral urban communes","man",1929,"D","D","D","D","D","D","D","D","D","D","D","D"
"5490",114001,50,"apprenticeship","divorced",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Wealthy communes","woman",1950,"A","A","A","A","A","A","A","A","A","B","B","B"
"4487",94241,52,"vocational high education","single, never married",1,0,-3,-3,"Ticino","Suburban communes","woman",1948,"A","A","A","A","A","A","A","A","A","A","A","A"
"1673",35851,57,"compulsory school, elementary vocational training","married",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Tourist communes","man",1943,"A","A","A","A","A","A","A","A","A","A","A","A"
"63",2421,58,"maturity","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","woman",1942,"D","D","D","D","D","D","D","D","D","D","D","D"
"2295",49451,51,"vocational high school","married",3,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1949,"D","D","D","D","D","D","D","D","D","D","D","C"
"4744",99621,56,"domestic science course, 1 year school of commerce","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1944,"D","D","D","D","D","D","D","D","D","D","D","D"
"5547",115681,60,"maturity","divorced",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Industrial and tertiary sector communes","man",1940,"A","A","A","A","A","A","A","A","A","A","A","A"
"1588",33951,33,"apprenticeship","married",2,3,9,5,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Industrial and tertiary sector communes","woman",1967,"C","C","C","C","C","A","A","B","B","B","B","B"
"911",18821,68,"compulsory school, elementary vocational training","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1932,"D","D","D","D","D","D","D","D","D","D","D","D"
"4010",83851,51,"compulsory school, elementary vocational training","married",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Mixed agricultural communes","woman",1949,"D","D","D","D","D","D","D","D","D","D","D","D"
"3323",69611,47,"apprenticeship","married",4,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","woman",1953,"C","C","C","C","C","C","C","C","C","C","C","C"
"3617",75571,27,"apprenticeship","single, never married",2,1,5,5,"Zurich","Suburban communes","woman",1973,"A","A","A","A","A","A","A","A","A","A","A","A"
"3620",75641,38,"vocational high school","single, never married",2,0,-3,-3,"Zurich","Centres","man",1962,"B","B","B","B","B","B","B","B","B","B","B","B"
"5718",118591,59,"full-time vocational school","married",4,0,-3,-3,"Lake Geneva (VD, VS, GE)","Centres","woman",1941,"A","A","A","A","A","A","A","A","A","A","A","A"
"1329",27411,32,"apprenticeship","separated",1,0,-3,-3,"Zurich","Centres","man",1968,"A","A","A","A","A","A","A","A","A","A","A","A"
"2560",55151,25,"apprenticeship","single, never married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1975,"A","A","A","A","A","A","A","A","A","A","A","A"
"6040",125021,22,"maturity","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1978,"D","D","B","B","C","D","D","A","A","D","C","C"
"696",14701,54,"apprenticeship","divorced",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1946,"B","B","B","B","B","B","B","B","B","B","B","B"
"801",16741,34,"apprenticeship","single, never married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1966,"B","B","B","B","B","B","B","B","B","B","B","B"
"1250",25691,45,"technical or vocational school","divorced",2,2,17,14,"Zurich","Rural commuter communes","woman",1955,"A","A","A","A","A","A","A","A","A","A","A","A"
"1528",32431,18,"compulsory school, elementary vocational training","single, never married",4,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Tourist communes","man",1982,"D","D","D","D","D","D","D","D","D","D","D","D"
"5943",122991,24,"university, higher specialized school","single, never married",5,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1976,"C","C","C","C","C","D","D","D","A","A","A","A"
"2948",62641,46,"maturity","married",2,2,14,12,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","man",1954,"A","A","A","A","A","A","A","A","A","A","A","A"
"2587",55611,31,"apprenticeship","married",2,1,4,4,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1969,"A","A","A","A","A","A","A","A","A","A","A","A"
"3967",82961,33,"apprenticeship","married",2,2,9,6,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Mixed agricultural communes","woman",1967,"D","D","D","D","D","D","C","C","C","D","D","D"
"1438",30131,41,"maturity","married",2,1,7,7,"Zurich","Rural commuter communes","woman",1959,"A","C","A","A","A","A","A","A","A","B","B","B"
"6374",132931,45,"apprenticeship","married",3,1,15,15,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Industrial and tertiary sector communes","man",1955,"A","A","A","A","A","A","A","A","A","A","A","A"
"5626",116871,43,"vocational high school","married",2,2,13,10,"Lake Geneva (VD, VS, GE)","Centres","woman",1957,"D","D","D","D","D","D","D","D","D","D","D","D"
"1482",31571,35,"compulsory school, elementary vocational training","separated",1,2,14,8,"Zurich","Suburban communes","woman",1965,"B","B","B","B","B","B","B","B","B","B","B","B"
"2736",58451,55,"apprenticeship","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","woman",1945,"A","A","A","A","A","A","A","A","A","A","A","A"
"5712",118531,33,"full-time vocational school","married",2,2,5,2,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1967,"B","B","B","B","B","B","B","B","B","B","B","B"
"4567",96381,30,"apprenticeship","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Peripheral urban communes","woman",1970,"B","B","B","B","B","B","B","B","B","B","B","B"
"3775",79131,49,"apprenticeship","married",4,0,-3,-3,"Zurich","Suburban communes","man",1951,"A","A","A","A","A","A","A","A","A","A","A","A"
"3481",72771,34,"vocational high school","married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Suburban communes","man",1966,"A","A","A","A","A","A","A","A","A","A","A","A"
"5974",123641,48,"apprenticeship","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1952,"A","A","A","A","A","A","A","A","A","A","A","A"
"669",14251,43,"apprenticeship","married",2,2,17,15,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1957,"C","C","C","C","C","C","C","C","C","C","C","C"
"2831",60011,69,"domestic science course, 1 year school of commerce","widower/widow",1,0,-3,-3,"Lake Geneva (VD, VS, GE)","Industrial and tertiary sector communes","woman",1931,"B","B","B","B","B","B","B","B","B","B","C","C"
"6656",139031,13,"incomplete compulsory school","single, never married",2,3,17,14,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","woman",1987,"D","D","D","D","D","D","D","D","D","D","D","D"
"4069",85021,16,"incomplete compulsory school","single, never married",2,4,17,7,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","man",1984,"D","D","D","D","D","D","D","D","D","D","D","D"
"5897",122211,21,"maturity","single, never married",3,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1979,"D","D","D","D","D","D","D","D","D","D","D","D"
"258",6951,58,"apprenticeship","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1942,"B","B","B","B","B","B","B","B","B","B","B","B"
"843",17661,64,"apprenticeship","separated",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","man",1936,"A","A","A","A","B","C","D","D","C","A","A","A"
"851",17791,68,"apprenticeship","widower/widow",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1932,"D","D","D","D","D","D","D","D","D","D","D","D"
"1689",36151,15,"incomplete compulsory school","single, never married",4,2,15,13,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Industrial and tertiary sector communes","man",1985,"D","D","D","D","D","D","D","D","D","D","D","D"
"4948",103291,40,"vocational high school","married",2,3,11,6,"North-west Switzerland  (BS, BL, AG)","Suburban communes","man",1960,"A","A","A","A","A","A","A","A","A","A","A","A"
"3165",66981,60,"compulsory school, elementary vocational training","married",2,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Rural commuter communes","woman",1940,"C","C","C","C","C","C","C","C","C","C","C","C"
"4293",89891,33,"university, higher specialized school","single, never married",2,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Wealthy communes","woman",1967,"B","B","B","B","B","B","B","B","B","B","B","B"
"1882",40211,35,"apprenticeship","single, never married",2,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Industrial and tertiary sector communes","woman",1965,"A","A","A","A","A","A","A","A","A","A","A","A"
"3572",74651,52,"apprenticeship","married",2,0,-3,-3,"Zurich","Suburban communes","man",1948,"A","A","A","A","A","A","A","A","A","A","A","A"
"264",7001,33,"apprenticeship","married",2,2,4,0,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1967,"B","B","B","B","B","B","B","B","B","B","B","B"
"1208",24871,41,"vocational high education","married",3,2,16,15,"Zurich","Centres","man",1959,"A","A","A","A","A","A","A","A","A","A","A","A"
"4549",95811,45,"domestic science course, 1 year school of commerce","married",4,1,16,16,"Lake Geneva (VD, VS, GE)","Centres","woman",1955,"A","A","A","A","A","A","A","A","A","A","A","A"
"1376",28621,42,"maturity","married",2,2,10,8,"Zurich","Suburban communes","woman",1958,"D","D","D","D","D","D","D","D","D","D","D","D"
"6905",144121,57,"full-time vocational school","married",2,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","woman",1943,"C","C","C","C","C","C","C","C","C","C","C","C"
"3350",70161,68,"compulsory school, elementary vocational training","widower/widow",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Peripheral urban communes","woman",1932,"D","D","D","D","D","D","D","D","D","D","D","D"
"1759",37591,30,"apprenticeship","married",2,2,5,4,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Suburban communes","man",1970,"A","A","A","A","A","A","A","A","A","A","A","A"
"655",13931,43,"maturity","separated",1,2,14,13,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1957,"B","B","B","B","B","B","B","B","B","B","B","B"
"2315",49891,39,"apprenticeship","married",2,2,10,8,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1961,"C","C","C","C","C","C","C","C","C","C","C","C"
"4848",101231,69,"apprenticeship","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Mixed agricultural communes","woman",1931,"D","D","D","D","D","D","D","D","D","D","D","D"
"7054",147721,73,"compulsory school, elementary vocational training","married",2,0,-3,-3,"Ticino","Rural commuter communes","woman",1927,"D","D","D","D","D","D","D","D","D","D","D","D"
"6345",132201,47,"apprenticeship","married",3,1,16,16,"Zurich","Suburban communes","woman",1953,"C","C","C","C","C","C","C","C","C","C","C","B"
"4133",86581,54,"maturity","married",2,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Industrial and tertiary sector communes","woman",1946,"A","A","A","A","A","A","A","A","A","A","C","C"
"5662",117631,45,"apprenticeship","divorced",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Suburban communes","woman",1955,"A","A","A","A","A","A","A","A","A","A","D","D"
"4200",88171,36,"technical or vocational school","single, never married",1,0,-3,-3,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","man",1964,"A","A","A","A","A","A","A","A","A","A","A","A"
"2144",45911,35,"apprenticeship","separated",1,2,13,11,"Ticino","Centres","woman",1965,"B","B","B","B","B","B","B","B","B","B","B","B"
"2303",49581,39,"apprenticeship","married",2,1,9,9,"Lake Geneva (VD, VS, GE)","Industrial and tertiary sector communes","man",1961,"A","A","A","A","A","A","A","A","A","A","A","A"
