"","chemoLowerLinearAdjust.chemoUpperLinearAdjust.Velocity.Displacement"
"3576","0.075,0.2,2.41464299042322,31.539507305296"
"3577","0.075,0.2,2.21924702505503,34.3284221541798"
"3578","0.075,0.2,2.50209023116214,34.1495163771155"
"3579","0.075,0.2,2.51116325819402,31.9108565491916"
"3580","0.075,0.2,4.40524113477707,35.4435437532371"
"3581","0.075,0.2,2.35293349800247,36.0979558523599"
"3582","0.075,0.2,2.39010201146258,40.6534767062934"
"3583","0.075,0.2,2.34152306885001,31.5176363986439"
"3584","0.075,0.2,3.53159455226444,31.823266568622"
"3585","0.075,0.2,2.36344051596458,39.043794959393"
"3586","0.075,0.2,2.25160915117978,36.5237067989589"
"3587","0.075,0.2,3.30975207343119,36.3923192687649"
"3588","0.075,0.2,3.76417025745282,37.4264112613325"
"3589","0.075,0.2,2.57532945682282,40.2782747180388"
"3590","0.075,0.2,2.5205176986479,38.955217135793"
"3591","0.075,0.2,2.43462436687299,38.4193561900225"
"3592","0.075,0.2,2.15547748772942,38.8337278165307"
"3593","0.075,0.2,2.80744877607439,41.1930423922963"
"3594","0.075,0.2,4.0069412288029,38.265349245968"
"3595","0.075,0.2,2.38276381485169,37.5494507368664"
"3596","0.075,0.2,2.70807834216782,40.7947313853664"
"3597","0.075,0.2,2.30556069492984,33.8779944588698"
"3598","0.075,0.2,2.38448307133832,39.052829921455"
"3599","0.075,0.2,2.30592174841301,41.6562642349616"
"3600","0.075,0.2,3.6710235824461,39.5694701838838"
"3601","0.075,0.2,2.43023687242042,37.1352127581335"
"3602","0.075,0.2,2.74559685502959,39.9036298149638"
"3603","0.075,0.2,2.40403787936946,33.914927578504"
"3604","0.075,0.2,2.88574531113313,44.1474308836921"
"3605","0.075,0.2,2.2368031708783,37.7272848413997"
"3606","0.075,0.2,2.63612741486356,38.3081472199671"
"3607","0.075,0.2,2.86327138967743,47.5075001096404"
"3608","0.075,0.2,2.56376553121523,34.3937823765"
"3609","0.075,0.2,2.21089773266506,36.668053845815"
"3610","0.075,0.2,2.88525345205284,43.797548724802"
"3611","0.075,0.2,2.5300945984762,37.9512892003942"
"3612","0.075,0.2,2.90669953211599,36.8877572740913"
"3613","0.075,0.2,2.64440636264298,35.4848651410786"
"3614","0.075,0.2,2.43811503030838,36.7655002179726"
"3615","0.075,0.2,2.59344819428274,38.5568132525683"
"3616","0.075,0.2,2.38584633350905,31.4971117632536"
"3617","0.075,0.2,2.53106582580313,42.7356227692754"
"3618","0.075,0.2,2.92665792335273,35.0194500677595"
"3619","0.075,0.2,2.42210406209298,42.6806147919274"
"3620","0.075,0.2,3.51939734835116,36.2242947564662"
"3621","0.075,0.2,2.0900936610172,34.7550313442256"
"3622","0.075,0.2,2.33462872098417,50.7072632322555"
"3623","0.075,0.2,2.54899321073661,38.6946352951077"
"3624","0.075,0.2,2.19707378790236,32.3803824164425"
"3625","0.075,0.2,2.25784709454603,33.7679352504998"
"3626","0.075,0.2,2.31794678701761,31.88301426413"
"3627","0.075,0.2,2.9063143758933,41.7916167173719"
"3628","0.075,0.2,2.88217122532724,35.9162627126727"
"3629","0.075,0.2,2.45267524534388,39.1564674808471"
"3630","0.075,0.2,2.20427414700873,31.5606394458417"
"3631","0.075,0.2,2.34109240483873,38.0360691959328"
"3632","0.075,0.2,2.2592035054634,43.3488832899336"
"3633","0.075,0.2,3.03070277267042,38.4032073321116"
"3634","0.075,0.2,2.49185861848508,34.4148628589537"
"3635","0.075,0.2,2.62926470538709,38.2769867861869"
"3636","0.075,0.2,2.18973721593651,35.2444818659672"
"3637","0.075,0.2,2.42750426893902,37.5015195043275"
"3638","0.075,0.2,2.60970763864659,37.4516601740616"
"3639","0.075,0.2,4.4,40.3112466994529"
"3640","0.075,0.2,2.4765313988696,41.8826744485759"
"3641","0.075,0.2,2.27865697889911,39.695994879722"
"3642","0.075,0.2,2.2370592735486,34.9146042203144"
"3643","0.075,0.2,2.43035460676658,39.2428380888251"
"3644","0.075,0.2,2.25019460243034,38.2353044649917"
"3645","0.075,0.2,2.43518767233697,34.0719672088906"
"3646","0.075,0.2,2.30590809802074,27.8011233726946"
"3647","0.075,0.2,2.32520695068075,31.5614745102011"
"3648","0.075,0.2,2.42844154805325,39.3162965788798"
"3649","0.075,0.2,2.70717165466618,40.6420987425629"
"3650","0.075,0.2,2.35566544666197,29.8876052035746"
"3651","0.075,0.2,2.86253814389134,38.9363304183921"
"3652","0.075,0.2,3.22426188898691,38.4798627368162"
"3653","0.075,0.2,2.3025261442756,33.493683033954"
"3654","0.075,0.2,2.39802923534848,28.9652137185164"
"3655","0.075,0.2,2.35568858654846,31.9849096025434"
"3656","0.075,0.2,2.81269148802399,39.3753423995855"
"3657","0.075,0.2,2.41498740595985,37.4449886912049"
"3658","0.075,0.2,3.39485007709169,34.7262404768723"
"3659","0.075,0.2,2.42988227059515,35.1082162463524"
"3660","0.075,0.2,2.61204145442021,31.9875857241382"
"3661","0.075,0.2,2.33655560035616,36.6674825463572"
"3662","0.075,0.2,2.27923722807763,36.2565911184504"
"3663","0.075,0.2,2.27612472079044,31.329163286952"
"3664","0.075,0.2,2.28837710453621,35.0757341159874"
"3665","0.075,0.2,2.53580123373382,43.3967655603865"
"3666","0.075,0.2,2.23537929480159,36.9653785830118"
"3667","0.075,0.2,4.39293841006762,46.5020424724581"
"3668","0.075,0.2,2.49993809000248,39.8807238836112"
"3669","0.075,0.2,2.2105407642127,29.3227426126756"
"3670","0.075,0.2,2.48508742331554,41.8424407984554"
"3671","0.075,0.2,2.71355117406679,26.3024258147718"
"3672","0.075,0.2,2.47486247693949,36.9649069057013"
"3673","0.075,0.2,2.8954485457731,37.2134659696076"
"3674","0.075,0.2,2.47927238974151,35.5336439469519"
"3675","0.075,0.2,3.17113765958534,45.7560014627916"
"3676","0.075,0.2,2.83179650874804,32.1262940185697"
"3677","0.075,0.2,2.3837456269066,32.7948133816349"
"3678","0.075,0.2,2.53841661008491,36.1335982018032"
"3679","0.075,0.2,2.24509922175658,35.7770244255604"
"3680","0.075,0.2,2.48404700860515,41.914352654622"
"3681","0.075,0.2,2.79564963192327,42.3532897403606"
"3682","0.075,0.2,3.51533017579899,35.4287768444623"
"3683","0.075,0.2,2.28617616310798,30.7486030840646"
"3684","0.075,0.2,2.94368368054685,35.88071751345"
"3685","0.075,0.2,5.10387794518757,38.1133925886674"
"3686","0.075,0.2,2.68705898194927,36.0839512462122"
"3687","0.075,0.2,2.38664017752967,36.9778993193033"
"3688","0.075,0.2,2.60639104872322,36.755882781167"
"3689","0.075,0.2,2.36415292623661,26.6953223963402"
"3690","0.075,0.2,2.56169153756852,39.2235006791993"
"3691","0.075,0.2,2.36536023476799,35.5207934861525"
"3692","0.075,0.2,4.50744719900023,40.0345386263409"
"3693","0.075,0.2,4.3019401777062,46.5540401560104"
"3694","0.075,0.2,2.95050204751595,40.8759448032508"
"3695","0.075,0.2,2.49037624247341,40.403033810975"
"3696","0.075,0.2,2.48010506254415,33.2366871309376"
"3697","0.075,0.2,2.62768803912484,38.5677943955994"
"3698","0.075,0.2,3.58299173111269,39.8532733326604"
"3699","0.075,0.2,3.36863135381724,41.1538545704967"
"3700","0.075,0.2,3.68094744146886,48.9806285568286"
"3701","0.075,0.2,3.21172133386764,39.1078487922034"
"3702","0.075,0.2,2.48635899570739,35.5650227311247"
"3703","0.075,0.2,2.39845896525751,40.4999550000752"
"3704","0.075,0.2,4.63636979271234,40.2549729030614"
"3705","0.075,0.2,2.57846769357277,34.43276185043"
"3706","0.075,0.2,2.27862005846735,38.0177444225749"
"3707","0.075,0.2,2.56899592996452,40.3515820207455"
"3708","0.075,0.2,2.60062497374617,40.0995386391456"
"3709","0.075,0.2,2.36184112012943,35.625838573324"
"3710","0.075,0.2,2.17623658450655,37.2016334696496"
"3711","0.075,0.2,2.1251315301814,34.3172706793136"
"3712","0.075,0.2,2.54407998310036,35.7169095928552"
"3713","0.075,0.2,2.49216934412283,37.8979020668806"
"3714","0.075,0.2,2.53935506341355,35.2639755677023"
"3715","0.075,0.2,2.11173558879322,30.1412046179737"
"3716","0.075,0.2,2.13553913478292,36.1426214304727"
"3717","0.075,0.2,2.40699634742997,33.5727067716405"
"3718","0.075,0.2,2.6394897879923,38.6491934686094"
"3719","0.075,0.2,2.92764183086574,39.6790799727915"
"3720","0.075,0.2,2.28951591514994,34.407413837842"
"3721","0.075,0.2,2.5213562430898,35.557029549641"
"3722","0.075,0.2,3.02613542559599,37.2598004245522"
"3723","0.075,0.2,2.44277926538758,34.8620934938371"
"3724","0.075,0.2,2.32830235761715,32.3893274254664"
"3725","0.075,0.2,2.88014358177162,38.0452947145696"
"3726","0.075,0.2,2.28513728780733,36.1139594305936"
"3727","0.075,0.2,2.43765501165697,38.0457038590361"
"3728","0.075,0.2,2.20545426981421,31.43376894395"
"3729","0.075,0.2,2.23580474514111,35.4905416513329"
"3730","0.075,0.2,2.41480312906033,33.8978683387555"
"3731","0.075,0.2,2.48590456882877,33.3042657679104"
"3732","0.075,0.2,2.57670694960973,37.2992460531425"
"3733","0.075,0.2,2.21533352366866,37.4399286644413"
"3734","0.075,0.2,3.07665215568712,37.0670577603537"
"3735","0.075,0.2,2.38295987886234,38.069883173074"
"3736","0.075,0.2,2.33365266122317,39.908793351824"
"3737","0.075,0.2,2.3726644216067,34.3241204719037"
"3738","0.075,0.2,3.53348019025905,44.9057545243168"
"3739","0.075,0.2,2.54791150355106,35.4980148664119"
"3740","0.075,0.2,2.27545384266759,30.8858811797851"
"3741","0.075,0.2,3.39094838854202,34.7157871114316"
"3742","0.075,0.2,2.28783041875429,32.7861716248418"
"3743","0.075,0.2,2.47821030162482,40.7211171077225"
"3744","0.075,0.2,2.34487062924859,39.9720284848907"
"3745","0.075,0.2,2.37132900296437,33.5284532743067"
"3746","0.075,0.2,2.24698874926376,33.440340321282"
"3747","0.075,0.2,2.49598820495329,35.8203600333969"
"3748","0.075,0.2,3.6,33.425457660144"
"3749","0.075,0.2,2.50935729880509,35.0907147960035"
"3750","0.075,0.2,2.35710412049443,33.1868849388494"
"3751","0.075,0.2,2.98519719857845,33.7639854381657"
"3752","0.075,0.2,2.49705984705416,32.4120666234828"
"3753","0.075,0.2,2.28340370014359,35.5828486618896"
"3754","0.075,0.2,2.41575879255113,30.5045576725935"
"3755","0.075,0.2,2.47179101100582,35.9918718976383"
"3756","0.075,0.2,2.44255380006829,30.9188972832402"
"3757","0.075,0.2,3.08163432722913,38.5534026687572"
"3758","0.075,0.2,2.65348543580368,43.7865598337094"
"3759","0.075,0.2,2.45513254477961,31.7750103800673"
"3760","0.075,0.2,2.70563033320838,32.4760261759056"
"3761","0.075,0.2,2.38484624926309,36.0310042694362"
"3762","0.075,0.2,2.48726763983163,39.5341446323425"
"3763","0.075,0.2,2.19737037876539,36.0420622699744"
"3764","0.075,0.2,2.30328217669064,36.5495261525376"
"3765","0.075,0.2,2.63826038590499,41.4315485263487"
"3766","0.075,0.2,2.47240585336663,38.7261948931147"
"3767","0.075,0.2,2.37839626629386,31.7551739079361"
"3768","0.075,0.2,2.26699302181893,32.8880896813335"
"3769","0.075,0.2,2.40705084033465,30.6176473480331"
"3770","0.075,0.2,2.3076853556672,38.2500024441698"
"3771","0.075,0.2,2.37169091709397,44.6214099188546"
"3772","0.075,0.2,2.73814639612369,36.119170776078"
"3773","0.075,0.2,2.74196869904606,35.0466110973996"
"3774","0.075,0.2,2.31613911109959,45.8834836071591"
"3775","0.075,0.2,2.330606860981,35.6323510741806"
"3776","0.075,0.2,2.21925507603075,36.6370890373824"
"3777","0.075,0.2,2.37662793986495,43.0630781281369"
"3778","0.075,0.2,3.65801959400575,30.2694214329249"
"3779","0.075,0.2,2.4223326673622,35.6354418709488"
"3780","0.075,0.2,2.50230585144445,41.4459755574418"
"3781","0.075,0.2,3.31006491721008,39.4846418105257"
"3782","0.075,0.2,2.31658108382667,31.1595671269067"
"3783","0.075,0.2,3.01898222258653,42.7039447346579"
"3784","0.075,0.2,4.34727825514421,47.1771930675934"
"3785","0.075,0.2,2.53409614235105,36.0862175042159"
"3786","0.075,0.2,3.59284756871246,44.7401939997229"
"3787","0.075,0.2,2.3988856468785,38.0861443086658"
"3788","0.075,0.2,3.59320592519795,39.652776189789"
"3789","0.075,0.2,2.36503200169189,31.95079283612"
"3790","0.075,0.2,3.22868333680469,36.3781903034276"
"3791","0.075,0.2,2.4075515296919,42.9095101390525"
"3792","0.075,0.2,3.79077480394861,45.8804249429701"
"3793","0.075,0.2,2.1988097344886,40.5792574643535"
"3794","0.075,0.2,2.31440069814754,37.350710138149"
"3795","0.075,0.2,4.02281195952447,34.3730034742413"
"3796","0.075,0.2,3.5936903110891,43.5056309247744"
"3797","0.075,0.2,2.34642403063374,43.3427440307137"
"3798","0.075,0.2,2.23402529373472,34.3719857959678"
"3799","0.075,0.2,2.16980886350251,36.7740112844824"
"3800","0.075,0.2,2.34584018285202,34.1258739302321"
"3801","0.075,0.2,2.95922664820743,35.8723527895917"
"3802","0.075,0.2,2.37717923083986,32.7666735175682"
"3803","0.075,0.2,2.3819585672352,31.2052070556736"
"3804","0.075,0.2,3.02071148614302,36.8032244571737"
"3805","0.075,0.2,2.17206565873657,35.0483724190512"
"3806","0.075,0.2,2.34370516220067,35.7645578771644"
"3807","0.075,0.2,2.41559474371834,40.7920158084854"
"3808","0.075,0.2,2.29560863592741,35.9828809712274"
"3809","0.075,0.2,2.33151297613919,35.4720698200145"
"3810","0.075,0.2,2.37328337686139,35.1979975894629"
"3811","0.075,0.2,2.67974333692215,36.754602289487"
"3812","0.075,0.2,2.49009667290359,37.367140739086"
"3813","0.075,0.2,2.41266007886381,42.547872921209"
"3814","0.075,0.2,2.20824102496338,31.3115160854118"
"3815","0.075,0.2,3.0494149311578,34.9048542354265"
"3816","0.075,0.2,2.74534652438664,33.1758809330058"
"3817","0.075,0.2,2.71856091796127,39.1885663562939"
"3818","0.075,0.2,2.46311385528142,37.3178107436719"
"3819","0.075,0.2,2.60444742839667,40.0001038137565"
"3820","0.075,0.2,3.51944579008098,39.1999126928965"
"3821","0.075,0.2,2.70906907672854,37.1806356671533"
"3822","0.075,0.2,2.43007472697821,40.6204589058368"
"3823","0.075,0.2,2.42979581803399,33.2529108460104"
"3824","0.075,0.2,2.52898843014163,37.7029175926276"
"3825","0.075,0.2,2.21139142125196,34.3756789624746"
"3826","0.075,0.2,2.93133381788964,32.6377485594635"
"3827","0.075,0.2,2.20681714206431,37.2372925788471"
"3828","0.075,0.2,3.11529705667754,39.7557946026607"
"3829","0.075,0.2,2.2178433368421,37.8241384876869"
"3830","0.075,0.2,2.53514042849334,43.2821687333191"
"3831","0.075,0.2,2.79590251508586,32.5248150171983"
"3832","0.075,0.2,2.44050437505696,36.5374506469809"
"3833","0.075,0.2,2.30792890106343,37.8092915352823"
"3834","0.075,0.2,2.32555865056549,33.3021086297774"
"3835","0.075,0.2,3.29300813746428,34.2223012695694"
"3836","0.075,0.2,2.32288411469155,31.1008000965666"
"3837","0.075,0.2,2.62925355726396,41.2824464182571"
"3838","0.075,0.2,2.64785355906639,33.1746900361046"
"3839","0.075,0.2,2.72148091770981,37.8024315648291"
"3840","0.075,0.2,2.61807478954111,37.9897729589739"
"3841","0.075,0.2,2.2046818394547,33.5490084006274"
"3842","0.075,0.2,2.66306057502312,34.1723083375692"
"3843","0.075,0.2,2.28910261367484,37.3826599689078"
"3844","0.075,0.2,2.41104324666275,33.6137340385523"
"3845","0.075,0.2,2.72312216854947,37.5964476428818"
"3846","0.075,0.2,2.53297118209789,34.5747706301998"
"3847","0.075,0.2,4.43874807669963,49.7213387392274"
"3848","0.075,0.2,2.49755412899654,41.7194700517307"
"3849","0.075,0.2,2.41512274643913,32.5942237054461"
"3850","0.075,0.2,3.8135244644206,43.1225311718459"
"3851","0.075,0.2,2.35505687734565,35.3882767417108"
"3852","0.075,0.2,2.40007796617397,36.2661258854747"
"3853","0.075,0.2,2.51631736191122,41.0576967624992"
"3854","0.075,0.2,3.77736741065612,32.2086928267944"
"3855","0.075,0.2,2.54058719276391,37.8382506505453"
"3856","0.075,0.2,3.18436038648093,40.8314983510761"
"3857","0.075,0.2,2.9045051300071,40.7674725788631"
"3858","0.075,0.2,3.21952573743697,43.2716712747124"
"3859","0.075,0.2,2.94050895920033,34.6429297621036"
"3860","0.075,0.2,2.12109712760158,32.0151693872013"
"3861","0.075,0.2,2.79018623656006,38.1508866802555"
"3862","0.075,0.2,3.03321325655042,35.806069705242"
"3863","0.075,0.2,4.65681253684234,40.9809431216987"
"3864","0.075,0.2,2.42341928875459,38.7761334960147"
"3865","0.075,0.2,2.29853271999758,42.2360733875287"
"3866","0.075,0.2,2.15749733726733,32.3497493247422"
"3867","0.075,0.2,4.96979362358647,39.8823382534467"
"3868","0.075,0.2,2.18275611972632,42.1267206819203"
"3869","0.075,0.2,2.41325052029675,40.1986667268338"
"3870","0.075,0.2,3.46151165947492,41.7206773632853"
"3871","0.075,0.2,3.15234706259683,29.0123657438693"
"3872","0.075,0.2,2.33299913042014,36.22163962681"
"3873","0.075,0.2,2.45059648672258,32.4840921288259"
"3874","0.075,0.2,2.46237483297226,33.6728744323557"
"3875","0.075,0.2,4.39871452598669,45.2623840157287"
"3876","0.08,0.2,2.36347295862666,32.4103641673497"
"3877","0.08,0.2,2.39662949410304,32.0197795159514"
"3878","0.08,0.2,2.20316028042101,35.263223426278"
"3879","0.08,0.2,2.32291619898456,34.1223043732244"
"3880","0.08,0.2,4.89708030147915,35.6425029729833"
"3881","0.08,0.2,4.79247678619336,45.9274867637075"
"3882","0.08,0.2,4.29880117311867,24.3137420323671"
"3883","0.08,0.2,2.28007364924918,36.19632166459"
"3884","0.08,0.2,2.60665687645553,35.7458506107635"
"3885","0.08,0.2,2.31659144390907,36.6977382570452"
"3886","0.08,0.2,3.38417544046119,34.1839326219768"
"3887","0.08,0.2,2.49094710069773,29.8474481063785"
"3888","0.08,0.2,2.66960357310646,32.10529942239"
"3889","0.08,0.2,2.46057637418238,35.623216823826"
"3890","0.08,0.2,2.81006845048348,33.4171844718214"
"3891","0.08,0.2,2.822945720499,37.217339166348"
"3892","0.08,0.2,2.64919153766395,38.1149311388394"
"3893","0.08,0.2,2.2581235904699,33.5631760603749"
"3894","0.08,0.2,2.34076142517322,39.1618819168464"
"3895","0.08,0.2,2.37756955188882,38.2923028690431"
"3896","0.08,0.2,2.19169694797537,27.6016084248174"
"3897","0.08,0.2,2.51826031332811,35.5916521379136"
"3898","0.08,0.2,2.36850346255273,41.6364158328655"
"3899","0.08,0.2,2.31424350875321,37.4882182233796"
"3900","0.08,0.2,2.30135146097478,39.2468835518998"
"3901","0.08,0.2,2.6030249736652,33.989134117218"
"3902","0.08,0.2,2.46341391479303,36.5125743021645"
"3903","0.08,0.2,2.328466805267,39.4119835118581"
"3904","0.08,0.2,2.29764343327174,40.893466539217"
"3905","0.08,0.2,2.46983907628249,39.730758535303"
"3906","0.08,0.2,2.31231940869717,32.7012920164839"
"3907","0.08,0.2,2.29720848380348,38.2846207906119"
"3908","0.08,0.2,2.71536260563264,43.3994992346575"
"3909","0.08,0.2,2.35061698275688,32.2556691374177"
"3910","0.08,0.2,2.40643960109848,33.8329088320599"
"3911","0.08,0.2,3.78079709528063,42.9339486682778"
"3912","0.08,0.2,2.44518919358546,33.0110426604283"
"3913","0.08,0.2,2.24029974282968,40.583352424665"
"3914","0.08,0.2,2.29279094572629,33.8587965324508"
"3915","0.08,0.2,2.11559417935612,35.845382926534"
"3916","0.08,0.2,2.34548934591231,32.4944754895351"
"3917","0.08,0.2,2.32066499278704,34.0809290789033"
"3918","0.08,0.2,2.22028339643597,29.7135201949627"
"3919","0.08,0.2,2.40106761184544,43.9403289699682"
"3920","0.08,0.2,2.15234532597315,31.2131153296079"
"3921","0.08,0.2,2.3509885991791,36.8045236135334"
"3922","0.08,0.2,2.25611508455102,35.122124235412"
"3923","0.08,0.2,2.27996748715184,35.3939817510491"
"3924","0.08,0.2,2.6442321803893,31.6088519352253"
"3925","0.08,0.2,2.22301811115087,32.3075616209284"
"3926","0.08,0.2,2.32995230969473,37.3366119382701"
"3927","0.08,0.2,3.52445130488407,39.995745850659"
"3928","0.08,0.2,2.52187180677507,34.8273093700351"
"3929","0.08,0.2,2.45254414003408,38.2129514011303"
"3930","0.08,0.2,2.46226370540298,33.7063664887769"
"3931","0.08,0.2,5.42636184233162,46.0462798690974"
"3932","0.08,0.2,2.78706094220255,40.304772771855"
"3933","0.08,0.2,4.18479659514988,29.6491940317675"
"3934","0.08,0.2,2.28540522694624,37.0964058309212"
"3935","0.08,0.2,4.55598219271222,42.7662768928326"
"3936","0.08,0.2,2.15293424519155,31.746520682978"
"3937","0.08,0.2,2.44389901692071,37.9836470604077"
"3938","0.08,0.2,2.48943115916208,33.554811597724"
"3939","0.08,0.2,2.34468136147007,36.6042836297604"
"3940","0.08,0.2,3.65072077615371,32.2936586229462"
"3941","0.08,0.2,2.19198459796765,35.4957841811983"
"3942","0.08,0.2,2.5441465228476,34.5835327520475"
"3943","0.08,0.2,2.25465757573279,38.3455506634602"
"3944","0.08,0.2,2.31489927021109,37.9128896924688"
"3945","0.08,0.2,2.87704761074554,38.9776702276615"
"3946","0.08,0.2,2.81777157361246,35.6107041331742"
"3947","0.08,0.2,2.67509035195966,31.4702181290593"
"3948","0.08,0.2,3.67465310562244,42.9992477862932"
"3949","0.08,0.2,2.24083921888884,40.9579672046082"
"3950","0.08,0.2,2.20840716816272,33.8445622125825"
"3951","0.08,0.2,2.34843376197038,36.0468147334981"
"3952","0.08,0.2,2.38484679679641,37.2605070887925"
"3953","0.08,0.2,2.5286850797911,47.1238286698285"
"3954","0.08,0.2,4.23801214216631,38.6520689290183"
"3955","0.08,0.2,4.23099317208261,45.7774393568157"
"3956","0.08,0.2,2.13250355915032,40.5065102858165"
"3957","0.08,0.2,2.86915023129344,30.9283344540056"
"3958","0.08,0.2,3.28093897647209,33.9981690007463"
"3959","0.08,0.2,4.27135380333397,34.5862116230295"
"3960","0.08,0.2,2.81292630568915,37.3881041759154"
"3961","0.08,0.2,2.43299849301832,41.3916224651175"
"3962","0.08,0.2,2.56672303033775,35.8208023873225"
"3963","0.08,0.2,2.91206721114853,33.0399421880317"
"3964","0.08,0.2,2.50481816016611,39.7638431605054"
"3965","0.08,0.2,3.10481879318356,36.7998970139448"
"3966","0.08,0.2,2.99423483152417,39.9839368919816"
"3967","0.08,0.2,2.20044554295975,36.4078871682735"
"3968","0.08,0.2,2.57069267883736,38.6121352556955"
"3969","0.08,0.2,3.92112540326733,27.7893953467739"
"3970","0.08,0.2,2.50608399988185,34.2458546318996"
"3971","0.08,0.2,2.52729433108462,44.5781559332227"
"3972","0.08,0.2,2.40286544215169,35.4575983882427"
"3973","0.08,0.2,2.50566798767134,37.9303032885879"
"3974","0.08,0.2,5.33111955667827,34.8256610643195"
"3975","0.08,0.2,2.44383259054901,36.2122028863582"
"3976","0.08,0.2,5.57443931488053,33.9254713817725"
"3977","0.08,0.2,2.20616712117675,33.5079717755725"
"3978","0.08,0.2,2.47052544070362,43.8035724596243"
"3979","0.08,0.2,3.52300054655145,39.4655358049253"
"3980","0.08,0.2,2.53288003191918,38.0159818043974"
"3981","0.08,0.2,2.29240530225389,33.9908616222015"
"3982","0.08,0.2,2.71982969850269,43.5447633801704"
"3983","0.08,0.2,2.47361008852042,36.040562418335"
"3984","0.08,0.2,2.32898353255782,41.4698650599417"
"3985","0.08,0.2,2.93278719942425,39.8715602505759"
"3986","0.08,0.2,2.33040542053235,35.7875778912614"
"3987","0.08,0.2,2.38613180950978,33.069654066118"
"3988","0.08,0.2,2.47453042329947,39.283014134621"
"3989","0.08,0.2,2.99672063686913,38.9015060980823"
"3990","0.08,0.2,2.22104786581386,30.9126874488642"
"3991","0.08,0.2,2.26709201841578,38.7806602064737"
"3992","0.08,0.2,2.36707674110515,40.6692571471889"
"3993","0.08,0.2,2.95031003743659,39.8110935456021"
"3994","0.08,0.2,2.23259477217168,36.2149908022828"
"3995","0.08,0.2,3.15614426404079,38.2978802077529"
"3996","0.08,0.2,2.53950755638181,36.6724965477154"
"3997","0.08,0.2,2.25994547349958,39.9656655127024"
"3998","0.08,0.2,2.57537040052478,40.4965003938252"
"3999","0.08,0.2,2.38161114782681,38.5397282411418"
"4000","0.08,0.2,4.5082181181322,33.4866765781727"
"4001","0.08,0.2,2.35335860847706,35.4421894426356"
"4002","0.08,0.2,2.28722579740133,34.2635321757376"
"4003","0.08,0.2,2.33573814409291,32.9885719415111"
"4004","0.08,0.2,2.26956505661802,37.1799264937687"
"4005","0.08,0.2,2.80276588133471,36.4122817391308"
"4006","0.08,0.2,2.69850909825302,43.2934711924755"
"4007","0.08,0.2,3.09659774115817,39.7198064370517"
"4008","0.08,0.2,2.4436128159656,35.6360616708039"
"4009","0.08,0.2,2.87285829224224,40.6248707501386"
"4010","0.08,0.2,4.1571845009323,44.9091607764158"
"4011","0.08,0.2,2.45438548811821,37.4014523267203"
"4012","0.08,0.2,2.50953069239821,20.6097988689956"
"4013","0.08,0.2,4.02023077738385,42.5662278938341"
"4014","0.08,0.2,5.33191511216569,32.7951904590227"
"4015","0.08,0.2,2.65976191241275,41.5464441296643"
"4016","0.08,0.2,5.33570539607792,37.532080205167"
"4017","0.08,0.2,2.38421666439637,33.5325650169302"
"4018","0.08,0.2,2.4955316013351,34.3808590890649"
"4019","0.08,0.2,2.54460068878068,34.2127068459545"
"4020","0.08,0.2,3.34107595245912,32.8151867648442"
"4021","0.08,0.2,2.9948119306805,29.6654153039774"
"4022","0.08,0.2,2.48778428645772,37.7578922978484"
"4023","0.08,0.2,2.46917946671971,32.08763258368"
"4024","0.08,0.2,2.41658466897215,37.4377865176574"
"4025","0.08,0.2,2.35274432337791,37.8771509512227"
"4026","0.08,0.2,2.31663905233941,31.7748281267224"
"4027","0.08,0.2,2.59951222574695,37.2556498360743"
"4028","0.08,0.2,2.42932199289351,33.550428135395"
"4029","0.08,0.2,2.209384193166,36.2668380175875"
"4030","0.08,0.2,2.55569570792513,41.0220019620187"
"4031","0.08,0.2,2.3965112436462,35.6495885567097"
"4032","0.08,0.2,2.41414356602544,34.7787182715347"
"4033","0.08,0.2,4.35052261284038,39.3288939483251"
"4034","0.08,0.2,2.99027833433231,36.3805103972381"
"4035","0.08,0.2,2.68929655197783,35.2308709485145"
"4036","0.08,0.2,2.26932061580602,39.3125374638691"
"4037","0.08,0.2,2.29206924202563,34.1553187821612"
"4038","0.08,0.2,3.0939572474249,33.616664943932"
"4039","0.08,0.2,2.84696959182439,43.7055083678315"
"4040","0.08,0.2,2.80170669073653,36.6511911498803"
"4041","0.08,0.2,2.23721930346706,41.1609533700128"
"4042","0.08,0.2,2.05904122990483,35.6525242700141"
"4043","0.08,0.2,2.22218385319939,40.0317688197996"
"4044","0.08,0.2,2.20824396264961,32.6593095660227"
"4045","0.08,0.2,2.45505251287285,36.0424225535973"
"4046","0.08,0.2,3.02821951838098,38.0642490163583"
"4047","0.08,0.2,2.41500019554394,32.2554117761498"
"4048","0.08,0.2,2.66031593522027,36.1388404602205"
"4049","0.08,0.2,2.87342647312632,33.6060371034654"
"4050","0.08,0.2,2.28723075002974,31.9369332384938"
"4051","0.08,0.2,2.26175202197227,33.9228720961899"
"4052","0.08,0.2,3.89762585563289,35.6927749285368"
"4053","0.08,0.2,5.49498131364501,31.3119230583521"
"4054","0.08,0.2,2.32211129940974,34.3696779626493"
"4055","0.08,0.2,2.31724431659402,31.735071687669"
"4056","0.08,0.2,2.34211603100116,34.3205328888658"
"4057","0.08,0.2,2.28037972542126,36.5025758388369"
"4058","0.08,0.2,3.38311575844241,32.4791178737906"
