"","ID","XCOO","YCOO","Ag","Al","As","B","Ba","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","Mg","Mn","Mo","Na","Ni","P","Pb","Rb","S","Sb","Si","Sr","Th","Tl","U","V","Zn"
"227",286,398441.5,7448792,0.018,162,0.151,1.26,17.7,0.014,2600,0.068,0.69,0.73,4.83,149,0.045,3700,1010,463,0.102,49.2,1.32,1270,3.66,22.4,813,0.042,184,6.18,0.027,0.045,0.008,1.32,38.9
"228",287,575400,7837000,0.024,248,0.184,3.8,88.3,0.015,4720,0.057,0.33,0.32,5.21,211,0.066,2690,1930,42.5,0.066,173,3.13,748,4.08,1.48,781,0.043,195,45.5,0.026,0.01,0.064,1.13,11.7
"229",288,671947.9,7517172,0.05,196,0.18,2.46,15.3,0.027,2810,0.095,0.6,0.51,10,323,0.03,4090,900,564,0.088,57.6,7.58,964,3.23,24.2,813,0.045,234,10.4,0.03,0.181,0.011,2.61,23.4
"230",289,577870,7764150,0.033,203,0.311,1.52,23.8,0.024,2470,0.108,0.49,0.67,11.6,296,0.079,3880,1360,296,0.098,113,10.7,1100,6.73,6.22,889,0.057,228,13.4,0.03,0.018,0.014,1.98,46.5
"231",290,540833.3,7464386,0.027,407,0.242,1.2,16.9,0.021,2440,0.099,0.38,1.87,5.74,448,0.055,3000,909,450,0.123,49.9,3.12,962,4.55,10.2,828,0.05,412,4.33,0.064,0.072,0.021,2.44,46.1
"232",291,786258.3,7573949,0.097,253,0.328,1.68,16.7,0.037,2480,0.14,1.44,0.72,31.9,376,0.039,4650,1200,468,0.166,34.4,31.2,1520,2.89,12.8,852,0.049,258,11.3,0.043,0.05,0.018,2.41,29.4
"233",292,810466.7,7492623,0.06,540,0.205,1.18,22.4,0.024,2280,0.126,1.03,0.74,21.1,405,0.039,4290,822,503,0.094,64.6,20.3,1290,5.67,19,876,0.058,382,27.3,0.046,0.062,0.034,3.14,34.2
"234",293,440300,7661120,0.022,130,0.109,0.72,24,0.012,2570,0.129,0.39,0.32,3.92,110,0.044,3480,911,326,0.052,12.5,2.39,1200,3.11,9.85,760,0.034,120,13.9,0.009,0.008,0.002,0.81,53.6
"235",295,454768.5,7627518,0.025,250,0.118,0.76,30.8,0.008,3670,0.05,0.9,0.29,4.85,181,0.046,3180,899,169,0.076,47.8,3.77,981,2.2,13.7,732,0.018,98.7,22.9,0.009,0.037,0.006,0.83,22.8
"236",296,641473.9,7664538,0.03,150,0.395,2.4,17.9,0.019,2850,0.129,1.52,1,24.5,333,0.035,5710,1200,401,0.049,164,40,1560,2.72,13.3,1080,0.062,165,9.74,0.015,0.017,0.002,1.29,31.8
"237",297,664277.3,7655418,0.038,149,0.295,2.53,23.9,0.019,2550,0.086,0.88,0.69,15.6,237,0.051,3690,985,418,0.077,60.5,19.9,1270,2.68,7.09,901,0.049,171,9.89,0.018,0.093,0.006,1.51,23.4
"238",298,516693.2,7620271,0.023,145,0.17,1.07,17.5,0.013,2510,0.062,0.27,0.48,5.45,146,0.068,3200,1070,593,0.066,5,3.22,1120,2.64,6.97,826,0.037,125,6.66,0.027,0.029,0.006,1.05,29.9
"239",301,677413.7,7710985,0.142,267,0.631,2.64,18.7,0.031,2780,0.16,3.54,3.82,67.4,1170,0.089,5690,1610,160,0.1,402,115,1360,4.77,6.1,1300,0.046,404,13.4,0.033,0.011,0.015,3.28,43.1
"240",302,636100,7731000,0.056,240,0.8,0.91,15.9,0.034,2230,0.168,3.9,3.5,73.7,1190,0.054,5440,1210,227,0.088,85.8,110,1400,4.95,9.09,1250,0.063,256,8.6,0.037,0.018,0.023,2.75,31.8
"241",304,670534,7575024,0.033,214,0.186,2.98,15.5,0.018,2370,0.098,0.42,0.76,7.56,286,0.04,3480,969,432,0.069,58,5.98,1020,2.7,5.79,753,0.026,267,5.9,0.032,0.021,0.008,1.89,28.3
"242",306,423290,7681750,0.02,107,0.092,0.25,18.9,0.007,2710,0.064,0.19,0.28,3.42,84.3,0.033,4240,1020,620,0.03,30.7,2.26,1230,1.85,16.1,719,0.025,96.4,6.44,0.008,0.007,0.002,0.61,33.9
"243",307,414237,7783469,0.022,160,0.136,3.29,21,0.011,3100,0.036,0.18,0.46,4.63,147,0.071,3380,1150,657,0.058,92,1.64,1110,2.92,8.38,860,0.057,150,9.69,0.023,0.022,0.009,0.94,32.1
"244",308,586314.7,7417705,0.027,178,0.167,1.12,21,0.018,2820,0.095,0.26,0.63,5.55,156,0.049,3640,983,519,0.094,31.1,2.58,1140,3.34,6.45,828,0.055,202,4.04,0.029,0.022,0.01,1.36,46.1
"245",309,623348.2,7656730,0.041,189,0.283,4.97,15.1,0.022,2340,0.135,0.79,0.64,15.3,194,0.029,5760,1030,437,0.042,208,21.8,1360,2.58,11.4,1050,0.132,174,6.33,0.018,0.012,0.004,1.08,35.8
"246",310,393750,7779400,0.014,70.8,0.076,3.76,18.4,0.005,2760,0.025,0.15,0.29,3.93,73.2,0.054,3470,1590,259,0.047,94,1.17,1290,1.4,3.95,802,0.022,56.2,9.25,0.009,0.008,0.006,0.48,26.1
"247",311,764711.3,7568026,0.215,969,0.861,6.9,30.7,0.091,3570,0.646,4.37,2.7,103,3170,0.062,4010,1170,373,0.503,107,87.6,1400,7.24,7.7,1000,0.119,427,64.4,0.127,0.055,0.079,10.4,30.3
"248",313,774310,7513852,0.162,4850,2.4,21.6,93.7,0.065,9320,0.289,3.61,7.32,50.3,3350,0.082,5970,1480,180,0.632,556,56.1,3800,5.83,11.5,1120,0.18,843,435,0.636,0.06,0.298,15.1,51.9
"249",317,593311.9,7497672,0.028,202,0.187,1.33,17.8,0.013,2580,0.069,0.22,0.65,5.6,174,0.059,3800,846,414,0.082,30.4,3.06,1130,3.25,12.2,790,0.047,203,8.42,0.02,0.047,0.008,1.49,42.1
"250",318,538800,7818200,0.024,141,0.08,1.85,16.9,0.007,2880,0.065,0.23,0.41,4,141,0.031,4700,1660,215,0.035,126,2.93,1340,2.56,4.34,622,0.025,129,12.4,0.017,0.006,0.006,0.71,35.4
"251",320,430500,7813700,0.02,116,0.082,3.85,18.2,0.015,2730,0.04,0.18,0.39,4.43,110,0.046,3650,1370,430,0.043,103,1.44,1110,1.48,5.9,689,0.055,104,10.2,0.02,0.012,0.009,0.65,25.5
"252",322,763904.1,7496752,0.189,697,0.57,4.79,16.2,0.046,2500,0.222,3.05,1.33,68.3,3240,0.056,5930,750,349,0.283,93.4,59.9,1690,4.5,29.9,1010,0.119,313,55.3,0.049,0.059,0.028,4.79,24.1
"253",323,615300,7717500,0.045,245,0.712,2.34,15.8,0.024,2530,0.113,2.54,1.94,46.5,789,0.059,3780,1030,512,0.095,57.3,67.6,1220,2.63,7.21,889,0.046,233,7.22,0.012,0.065,0.009,1.61,28.4
"254",324,668497.2,7640053,0.033,170,0.263,7.79,20.9,0.017,2940,0.076,0.67,0.67,14,210,0.051,4520,1220,332,0.068,157,16.4,1520,1.83,10.4,977,0.045,162,10.6,0.015,0.016,0.006,1.33,32.1
"255",325,803802.3,7520843,0.058,3680,0.27,7.48,50.6,0.026,4400,0.115,0.87,1.81,11,1320,0.041,5070,805,344,0.234,336,14.7,1980,4.2,18.7,876,0.047,674,225,0.45,0.025,0.16,22.9,39.9
"256",326,640005.1,7507737,0.064,256,0.203,4.44,28,0.024,3920,0.136,0.48,0.86,8.55,432,0.044,4330,994,241,0.213,103,5.91,1360,2.53,3.95,825,0.043,344,40.9,0.051,0.013,0.016,4.96,26.6
"257",327,767356.3,7459077,0.072,359,0.266,6.9,18.3,0.027,4240,0.131,0.8,0.58,16,300,0.071,4180,846,339,0.136,42.4,14.6,1180,4.07,11.1,916,0.063,247,21.6,0.027,0.085,0.013,2.75,30.9
"258",331,749014.1,7456396,0.089,490,0.301,8.24,22.6,0.037,3420,0.179,0.88,0.76,17.3,352,0.062,6070,1250,581,0.168,77.1,13.7,1840,5.29,29.6,1110,0.156,242,14,0.026,0.099,0.012,4.2,39.4
"259",332,414790,7673853,0.036,410,0.099,1.12,27.4,0.008,2590,0.089,0.26,0.45,3.88,110,0.051,4120,1210,288,0.053,32.4,2.29,1180,2.64,12.7,812,0.027,182,9.06,0.009,0.015,0.007,0.72,49.2
"260",333,808244.3,7663809,0.078,252,0.169,5.19,22.7,0.041,2680,0.134,0.91,0.74,18.4,287,0.047,5140,1200,289,0.085,134,19.2,1240,3.92,7.66,788,0.046,210,12.2,0.024,0.012,0.012,3.06,27.4
"261",334,557350,7779850,0.018,245,0.136,1.47,16.2,0.005,2360,0.04,0.4,0.63,5.86,317,0.039,3670,1180,373,0.064,78.5,4.79,1300,1.76,7.18,669,0.026,294,7.98,0.039,0.01,0.009,1.27,20.9
"262",335,545131.6,7408759,0.023,205,0.149,1.02,12.1,0.031,2190,0.089,0.22,0.7,4.41,172,0.052,3590,712,592,0.08,30.3,1.94,859,3.69,19.2,765,0.03,212,3.59,0.021,0.079,0.008,1.48,23
"263",336,762263.1,7640392,0.097,259,0.368,7.39,19.4,0.053,3170,0.186,1.21,0.99,28.9,387,0.07,4200,1170,250,0.2,213,29.3,1370,2.97,7.67,949,0.062,236,14.9,0.045,0.017,0.021,4.75,32.3
"264",337,826525.7,7555043,0.096,518,0.276,4.3,25,0.034,2400,0.126,0.63,0.57,13.6,199,0.048,5200,1050,555,0.146,197,14.8,1600,2.9,19.2,886,0.059,264,86.5,0.381,0.009,0.091,2.61,41.7
"265",338,729668.5,7571646,0.242,246,0.316,5.94,25.1,0.155,3160,0.425,3.13,1.19,56.4,323,0.085,6720,1090,646,0.292,133,78,1700,3.42,16.4,989,0.128,208,11.9,0.028,0.026,0.013,2.67,42.4
"266",339,484940,7858159,0.026,134,0.113,1.95,22.3,0.011,2610,0.054,0.15,0.39,3.71,142,0.066,4060,1610,120,0.07,182,1.78,763,3.99,5.41,658,0.027,151,15.6,0.02,0.012,0.017,1.17,17
"267",340,679227.9,7650552,0.039,157,0.266,2.59,17.8,0.012,2610,0.076,0.7,0.7,16.3,222,0.045,4250,1000,322,0.072,65.2,20,1360,2.09,12.1,874,0.031,169,14.9,0.016,0.017,0.008,1.65,28.1
"268",342,711037.2,7485187,0.089,257,0.382,6.19,17.2,0.101,2440,0.129,1,0.64,22.1,243,0.036,4460,855,477,0.195,71.1,20.4,1380,3.17,16.1,944,0.053,180,8.56,0.022,0.034,0.011,3.52,32.1
"269",343,502099.2,7630117,0.025,149,0.201,1.71,19,0.013,2720,0.07,0.23,0.42,6.27,136,0.113,3490,875,822,0.064,43,4.11,1260,2.57,9.65,869,0.03,164,6.4,0.023,0.034,0.006,1.11,28
"270",346,472310,7754510,0.03,553,0.144,1.18,45.3,0.014,3390,0.051,1.28,0.43,5.7,184,0.062,3000,1100,199,0.062,46.7,6.04,853,3.83,3.83,741,0.03,160,41.6,0.022,0.01,0.009,1.41,22.8
"271",347,744999.7,7468776,0.119,855,0.369,5.34,29.4,0.058,3510,0.149,1.08,1.15,20.7,460,0.066,5850,1440,679,0.207,71.1,19.4,1980,4.67,20.9,1180,0.071,290,15,0.026,0.036,0.016,7.18,64.1
"272",348,448721,7465235,0.023,192,0.123,1.8,22.8,0.012,2990,0.077,0.2,1.05,4.81,208,0.055,4420,1090,829,0.103,26.8,1.65,1430,3.21,18.2,869,0.031,199,7.18,0.031,0.182,0.014,1.39,41.8
"273",349,443745,7790047,0.005,237,0.141,1.93,20.5,0.006,2910,0.043,0.22,0.58,4.3,241,0.102,3610,1390,387,0.062,88.8,1.95,1160,2.27,3.61,846,0.028,262,8.34,0.041,0.013,0.012,0.98,30.5
"274",350,486255.6,7479729,0.018,208,0.127,0.95,16.8,0.01,2620,0.07,0.22,1.07,4.32,219,0.043,3310,802,776,0.087,24,2.1,945,3.59,12.2,737,0.034,204,3.74,0.023,0.044,0.01,1.52,32.1
"275",351,647828.9,7519249,0.028,182,0.153,4.99,23.8,0.009,2930,0.056,0.53,0.48,6.44,239,0.043,4300,1090,612,0.076,42.2,4.98,1330,1.9,14.1,928,0.026,336,14.9,0.023,0.029,0.009,2.38,30.3
"276",352,518792.3,7767010,0.011,82.4,0.095,1.76,11.4,0.002,2480,0.035,0.16,0.25,4.55,81.3,0.056,4510,1400,374,0.032,85.3,2.57,1520,1.16,5.87,798,0.016,94.3,6.12,0.007,0.007,0.002,0.52,25.3
"277",353,543432.3,7544102,0.023,197,0.142,1.04,11.7,0.012,2230,0.081,0.25,0.65,4.62,172,0.093,3530,835,802,0.078,43.2,2.44,1070,2.98,13.4,788,0.035,227,5.57,0.018,0.058,0.011,1.41,60
"278",354,414050,7620250,0.025,118,0.101,1.09,22.3,0.007,4640,0.107,0.26,0.38,3.68,137,0.044,4360,1050,397,0.041,32.6,3.03,1320,3.46,16,862,0.035,229,12.1,0.012,0.014,0.006,0.98,35.3
"279",355,446072.1,7501220,0.045,331,1.12,2.12,21.7,0.011,3000,0.126,0.3,1.46,6.33,1540,0.043,4470,1120,998,0.194,31.3,2.39,1500,3.18,9.98,947,0.125,284,5.39,0.039,0.046,0.037,2.54,51.6
"280",356,659679.1,7511055,0.042,230,0.246,3,21,0.038,2890,0.095,0.63,0.63,12.4,533,0.088,3650,1070,575,0.123,42.3,8.07,1290,2.79,11,882,0.045,274,14,0.05,0.117,0.026,3.85,29
"281",357,809292.5,7629509,0.067,189,0.173,1.66,24.8,0.027,2490,0.114,0.93,0.55,22.2,210,0.041,5520,1050,223,0.088,86.6,19.2,1270,3.47,9.78,888,0.038,198,10.6,0.036,0.01,0.014,2.59,23.6
"282",358,696270.9,7526473,0.058,226,0.212,1.53,17.9,0.054,2570,0.111,0.53,0.44,14,219,0.038,4410,849,342,0.131,122,11.2,980,3.67,14,828,0.064,175,12,0.021,0.041,0.013,2.93,25.7
"283",362,394150,7801800,0.02,183,0.081,2.32,32.2,0.005,3630,0.039,0.19,0.57,3.68,189,0.033,4510,1500,382,0.041,132,2.1,1320,2.9,4.86,867,0.035,199,11.9,0.033,0.009,0.013,0.83,20.3
"284",363,699335.4,7493902,0.108,320,0.49,2.59,21,0.076,2650,0.141,1.12,0.68,25.6,499,0.053,3630,784,803,0.188,44,22.4,1100,4.1,10.9,884,0.079,269,7.39,0.04,0.046,0.021,3.16,23.8
"285",364,393243.7,7410908,0.019,274,0.126,2.36,25,0.015,2880,0.076,0.28,1.25,4.63,460,0.069,4810,1280,542,0.141,51,1.46,1700,4.55,17.8,963,0.04,391,11.3,0.161,0.06,0.024,2.04,75.2
"286",365,511100,7839250,0.026,203,0.1,1.41,20.1,0.01,2980,0.061,0.24,0.45,4.22,243,0.109,4530,1670,144,0.054,143,2.63,1040,4.02,6.98,825,0.031,233,12.8,0.063,0.015,0.022,1.14,26
"287",366,764493.9,7650466,0.1,259,0.285,2.78,19.2,0.041,2720,0.18,1.19,1.12,29,436,0.098,4730,1330,189,0.203,176,28.9,1640,4.2,7.83,1040,0.08,268,15.8,0.047,0.018,0.018,8.62,40.3
"288",368,463694.8,7598600,0.02,263,0.086,0.62,16.1,0.01,2130,0.082,0.27,0.6,5.14,285,0.07,3680,1090,508,0.057,38.1,2.03,1320,2.43,13.2,755,0.025,277,6.06,0.073,0.017,0.011,1.4,36.9
"289",369,474428,7809368,0.022,99.4,0.073,1.03,23.3,0.009,2750,0.056,0.2,0.28,4.26,102,0.052,5220,1460,394,0.035,117,2.19,1340,2.48,7.73,756,0.027,123,10.4,0.011,0.009,0.01,0.64,36.7
"290",370,494352.3,7509067,0.026,238,0.167,0.65,21.9,0.007,2800,0.081,0.28,1.15,4.7,388,0.042,4090,1230,512,0.103,16.1,2.17,1290,2.42,11.2,844,0.034,256,4.83,0.037,0.03,0.019,1.5,36.5
"291",371,685401.4,7683927,0.039,106,0.275,3.02,11.4,0.015,2360,0.073,1.17,1.14,23.9,348,0.039,4930,1220,185,0.065,146,42.2,1420,1.48,9.67,954,0.027,169,7.89,0.011,0.008,0.008,1.74,31.3
"292",372,773113,7574678,0.126,321,0.432,1.82,17.8,0.049,2570,0.188,2.11,0.8,54.6,652,0.042,4430,959,357,0.252,70.8,46.1,1170,3.63,12.3,870,0.06,275,16.8,0.037,0.037,0.021,3.7,27.8
"293",376,853146.4,7421711,0.042,198,0.189,2.31,22.8,0.03,2590,0.147,0.42,0.43,10.1,215,0.087,4480,1100,504,0.119,67.1,7.33,1400,5.27,12.4,943,0.056,275,13.4,0.023,0.046,0.015,3.03,44.9
"294",377,557776.4,7434098,0.022,195,0.132,0.58,15.6,0.019,2350,0.07,0.25,1.04,4.58,239,0.049,3830,898,644,0.076,23.9,2.6,1180,3.65,20.1,735,0.03,258,3.89,0.035,0.031,0.014,1.63,26.5
"295",378,854971.5,7517066,0.033,203,0.061,1.81,11,0.012,2370,0.1,0.26,0.49,7.31,167,0.03,6430,1050,729,0.057,266,4.86,1200,2.54,33.5,792,0.038,166,23.2,0.024,0.019,0.011,1.69,40.3
"296",380,631390.3,7549802,0.037,398,0.161,1.71,17.8,0.019,2990,0.08,0.39,1.31,7.02,454,0.084,4100,880,689,0.063,66.1,5.81,838,3.43,17.3,739,0.038,297,7.57,0.102,0.069,0.02,2.44,25.6
"297",382,677233.7,7503113,0.058,307,0.202,3.98,20.5,0.043,2810,0.116,1.17,1.13,11.5,2890,0.053,4970,1240,571,0.132,70.1,10.4,1530,2.64,18.4,896,0.035,258,13.2,0.036,0.043,0.027,10.4,35.8
"298",384,506550,7792700,0.012,59.9,0.044,0.9,19.6,0.002,2970,0.082,0.18,0.42,3.38,64,0.029,6100,1420,251,0.034,69.6,1.84,1840,1.27,4.64,757,0.011,81.2,10.9,0.006,0.005,0.005,0.38,62.9
"299",386,693437.9,7434431,0.044,230,0.169,3.29,30.5,0.027,4610,0.137,0.43,0.52,8.32,259,0.05,5420,1500,328,0.117,74.1,5.57,1820,3.8,15.1,995,0.039,265,26.7,0.029,0.026,0.012,2.28,49.3
"300",387,643621.4,7587169,0.025,92.3,0.113,5.19,15.9,0.019,2330,0.083,0.23,0.36,5.8,88,0.03,4350,1150,408,0.057,153,4.36,1390,1.4,11.1,818,0.089,141,6.38,0.018,0.008,0.007,0.99,45.9
"301",388,661907.8,7525341,0.059,175,0.231,3.11,18.5,0.035,2840,0.099,0.39,0.43,10.9,208,0.059,4290,1020,429,0.122,61.4,7.29,1270,2.81,24.1,849,0.048,159,7.39,0.018,0.036,0.012,2.74,28.8
"302",391,606106.6,7472932,0.034,172,0.178,1.13,24.5,0.022,2410,0.081,0.24,0.5,6.38,164,0.093,3600,786,699,0.102,26.2,3.27,1220,4.58,19.1,770,0.048,181,10.5,0.023,0.051,0.01,1.88,47.9
"303",392,749081.3,7708083,0.082,340,0.372,3.79,16.9,0.034,2910,0.102,0.93,1.42,20.6,514,0.077,3770,1260,78,0.128,164,22.5,1390,4.74,3.75,933,0.074,277,19.4,0.047,0.031,0.03,7.85,19.3
"304",393,442462,7757557,0.013,797,0.109,1.03,11.2,0.009,2040,0.037,0.63,4.28,3.97,1350,0.06,3380,1240,356,0.057,79.5,2.91,1110,1.95,6.15,650,0.016,394,4.55,0.102,0.011,0.032,4.43,28.1
"305",395,650230.2,7485217,0.033,294,0.143,2.57,22.8,0.029,2990,0.088,0.51,0.81,8.67,464,0.044,3800,1220,762,0.091,38,6.15,1490,2.56,9.83,946,0.034,308,12.5,0.047,0.017,0.03,5.1,26.3
"306",396,493652.6,7678347,0.021,94.3,0.144,0.63,12.9,0.012,2190,0.063,0.22,0.32,5.31,89.3,0.046,3480,897,382,0.055,48.7,3.48,1110,2.06,8.12,738,0.023,95.6,5.61,0.009,0.017,0.005,0.85,39.2
"307",397,850934.9,7558529,0.033,138,0.128,3.22,12.5,0.021,2230,0.105,0.35,0.33,7.85,114,0.056,4650,1010,614,0.086,169,6.79,1380,1.64,16.1,838,0.017,141,20.3,0.017,0.012,0.01,1.36,35.4
"308",398,517342.9,7526460,0.021,136,0.129,0.79,14,0.01,2450,0.083,0.22,0.54,4.78,141,0.087,3200,915,329,0.094,28.7,2.35,991,3.02,11.8,758,0.038,166,3.86,0.019,0.035,0.008,1.07,45
"309",399,584700,7647900,0.026,126,0.136,2.41,16.3,0.014,2980,0.088,0.35,0.4,7.59,148,0.076,5680,1280,359,0.045,160,8.5,1280,1.93,12.3,999,0.076,223,6.35,0.016,0.082,0.005,0.88,30.7
"310",401,791454.1,7640134,0.124,282,0.253,2.31,19.8,0.061,2530,0.298,2.08,0.91,45.2,492,0.038,5430,1030,501,0.203,104,44.9,1310,4.52,7.79,890,0.062,281,11.8,0.033,0.027,0.024,4.25,29.2
"311",406,514194.2,7480579,0.02,106,0.072,0.52,19.4,0.01,2680,0.06,0.19,0.25,3.46,92.4,0.032,4170,1130,331,0.036,55,2.45,1150,2.22,10.3,702,0.025,133,4.33,0.011,0.005,0.005,0.71,29.6
"312",407,735147.9,7541214,0.151,234,0.393,4.12,8.82,0.11,4240,0.344,2.04,0.7,37.6,234,0.037,5990,688,28.5,0.296,199,53,1070,2.64,10.9,959,0.115,283,15.1,0.024,0.011,0.009,2.16,16.4
"313",408,482101,7847288,0.039,175,0.12,1.69,26.3,0.017,2650,0.062,0.16,0.34,4.52,172,0.064,4400,1670,212,0.071,249,2.55,942,8.15,5.59,712,0.045,230,19.1,0.021,0.014,0.02,1.93,17.2
"314",409,406188.3,7598130,0.019,215,0.057,0.25,13.8,0.005,2290,0.075,0.17,0.37,2.69,116,0.04,4310,1010,405,0.047,37.3,1.6,1200,2.45,23.9,673,0.025,138,6.61,0.02,0.016,0.011,0.92,32.2
"315",410,553128.3,7443094,0.031,303,0.172,1.92,13.4,0.021,2430,0.089,0.42,2,5.94,434,0.037,3870,928,590,0.101,29.4,3.51,1070,3.47,12.1,806,0.032,312,3.37,0.063,0.027,0.016,2.6,32.6
"316",411,625775.5,7636068,0.034,119,0.262,3.7,29,0.035,2620,0.108,0.5,0.71,11.3,147,0.039,4450,889,452,0.062,281,11.8,1490,1.96,11.6,889,0.204,164,10.8,0.016,0.015,0.004,1.36,45.7
"317",412,592915,7790280,0.027,146,0.119,1.8,21.1,0.012,2870,0.075,0.33,0.45,6.56,141,0.044,5720,1330,587,0.047,75.4,5.74,1800,2.31,6.96,1010,0.028,203,8.34,0.013,0.009,0.006,0.92,36.7
"318",413,616800,7822800,0.035,264,0.297,3.25,26.7,0.034,4010,0.076,0.37,1.13,9.67,305,0.045,3570,1820,223,0.139,124,8.57,1130,6.43,2.82,894,0.069,322,19.8,0.039,0.029,0.055,3.11,22.3
"319",414,640449.8,7675994,0.032,177,0.78,2.66,23.1,0.032,3290,0.126,2.16,1.56,39.4,570,0.037,3160,950,239,0.092,89.1,64.8,836,2.76,5.09,944,0.05,255,11.1,0.027,0.018,0.019,1.87,23.2
"320",415,753970,7530679,0.399,1840,1.16,5.26,52.9,0.244,4460,0.518,7.66,2.76,139,1680,0.077,8590,1330,288,0.731,407,186,2370,3.83,17.4,1290,0.176,519,61.4,0.067,0.026,0.073,9.68,35.5
"321",416,673123.9,7675886,0.048,159,0.498,4.49,8.65,0.022,2590,0.12,2.1,1.54,42.2,530,0.073,5340,1310,293,0.092,149,67.5,1640,2.14,12.8,1140,0.059,202,7.2,0.021,0.015,0.008,2.54,38.7
"322",417,663617.5,7499479,0.062,318,0.196,1.7,17.5,0.036,2960,0.115,0.83,0.92,11.8,591,0.058,4890,1010,598,0.106,65.4,10.8,1150,3.15,26.6,855,0.037,263,19,0.05,0.072,0.031,7.58,23.7
"323",418,562024.6,7540954,0.017,127,0.118,0.25,20.4,0.012,3150,0.074,0.17,0.45,4.43,98.1,0.038,3150,699,834,0.05,25.9,2.09,783,2.03,5.87,742,0.025,195,5.61,0.014,0.014,0.004,0.88,64.3
"324",421,399890.9,7515364,0.024,135,0.109,0.25,13.6,0.013,2400,0.073,0.28,0.56,4.76,145,0.036,4310,957,609,0.08,66.8,1.59,1270,2.76,17.6,770,0.032,140,4.49,0.018,0.044,0.008,1.41,27.8
"325",422,575100,7637100,0.049,212,0.259,0.25,18.3,0.022,2000,0.082,0.46,0.66,8.26,205,0.034,3990,871,315,0.05,82.5,7.92,1010,2.22,8.75,806,0.032,195,7.29,0.025,0.023,0.005,1.27,29.6
"326",423,406350,7648600,0.024,210,0.098,0.25,22.7,0.01,3050,0.067,0.23,0.26,3.4,82.5,0.038,4980,1090,470,0.038,37.3,1.64,1250,2.23,14.4,822,0.033,228,10.1,0.012,0.024,0.006,0.76,29.9
"327",424,701632.7,7670140,0.033,136,0.267,0.7,15.2,0.018,2580,0.172,0.99,0.9,17.8,228,0.037,4720,1150,358,0.208,262,19.9,1250,1.42,6.37,981,0.033,196,10.3,0.062,0.012,0.005,1.67,42.6
"328",425,646548.6,7437132,0.05,339,0.153,0.25,21.2,0.022,3220,0.117,0.37,0.81,7.6,249,0.039,6370,1720,626,0.097,57.7,3.7,2080,3.16,21.6,1090,0.044,220,11.9,0.046,0.031,0.011,2.12,55.5
"329",427,795826.1,7593390,0.099,493,0.439,0.25,39.8,0.035,3500,0.187,2.12,0.87,29.3,500,0.082,4810,1220,219,0.209,172,35.4,1360,3.19,11.1,1120,0.068,275,28,0.04,0.025,0.021,2.98,27.3
"330",428,781926.6,7609029,0.136,227,0.324,2.76,20.6,0.048,3350,0.463,1.8,0.79,29.7,318,0.128,4300,1080,132,0.19,82.6,33.5,1010,3.52,10.7,871,0.054,247,24.5,0.035,0.021,0.015,2.93,20.3
"331",429,685991.6,7663579,0.04,146,0.283,2.63,15.6,0.022,2240,0.08,0.84,0.78,17.6,253,0.05,4250,1070,249,0.067,177,26.5,1280,1.97,10.9,937,0.102,164,8.49,0.02,0.021,0.007,1.63,28.5
"332",430,727133.3,7549180,0.091,564,0.29,1.91,20.4,0.071,2680,0.133,0.95,0.99,18.1,488,0.048,4180,887,269,0.143,368,19.9,1170,2.89,9.44,890,0.056,317,13.4,0.055,0.014,0.016,2.82,35.8
"333",432,765916.1,7400114,0.039,242,0.217,3.83,20.2,0.017,2680,0.082,0.49,0.54,10.4,378,0.074,4800,1080,453,0.089,111,7.24,1510,2.58,18.7,967,0.047,206,9.03,0.023,0.034,0.014,2.01,37.6
"334",436,469462.5,7479329,0.03,378,0.138,1.2,43.7,0.019,3610,0.059,0.44,0.76,4.73,190,0.085,3490,900,145,0.066,32.5,2.84,909,5.04,15.5,764,0.047,189,38.3,0.032,0.065,0.029,1.75,19.7
"335",437,633082.3,7487974,0.024,303,0.14,2.27,10.3,0.018,2110,0.09,0.36,0.91,5.9,305,0.05,4740,1050,619,0.079,51.3,3.96,1420,2.33,23,917,0.027,254,9.38,0.032,0.031,0.014,1.86,44.1
"336",438,424530.8,7540504,0.041,269,0.119,0.25,9.89,0.013,1940,0.067,0.24,0.66,4.24,139,0.082,3700,773,506,0.07,32.8,1.53,982,3.25,18.1,737,0.035,196,4.19,0.018,0.065,0.007,1.26,26.7
"337",439,393963.4,7473232,0.019,172,0.125,1.24,31.5,0.016,3180,0.1,0.15,0.81,5.32,175,0.059,4570,1220,623,0.093,30.2,1.81,1550,3.49,22.5,873,0.048,189,10.9,0.027,0.062,0.01,1.59,39.2
"338",440,777228.9,7532439,0.186,615,0.492,2.84,36.3,0.076,2770,0.241,2.08,1.09,56.4,510,0.05,4140,830,262,0.274,98,49,1390,8.32,14.3,1000,0.117,308,90.2,0.068,0.036,0.045,9.75,36.1
"339",441,677587.6,7477721,0.071,220,0.228,3.24,19.6,0.045,2760,0.166,0.67,0.52,13.2,264,0.041,5030,1180,444,0.1,55.6,11.3,1290,5,23.2,993,0.051,222,8.52,0.024,0.105,0.015,3.04,36.1
"340",442,617851.8,7508567,0.045,247,0.222,1.42,15.7,0.038,2040,0.105,0.41,0.68,8.2,259,0.065,3610,621,462,0.087,50.8,5.62,1050,3.56,13.5,784,0.047,302,9.16,0.042,0.03,0.018,2.15,47.3
