"","ID","XCOO","YCOO","Ag","Al","As","B","Ba","Be","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","La","Mg","Mn","Mo","Na","Ni","P","Pb","Rb","S","Sb","Sc","Si","Sr","Th","Tl","U","V","Y","Zn","C","H","N","LOI","pH","Cond"
"176",206,540733,7517010,0.113,6390,1.32,2.18,79.3,0.11,0.201,2310,0.299,2.77,24.9,11.3,6850,0.211,1200,3.3,1530,268,0.242,70,11.1,816,24.6,12,1260,0.033,1.5,650,18.3,1.25,0.231,0.315,18.6,1.5,64.1,39.2,5.3,1.1,78.7,3.9,110.2
"177",207,552579,7599880,0.356,2660,0.993,2.5,122,0.06,0.17,3360,0.374,1.84,1.87,9.16,1970,0.271,1000,2.5,1020,94,0.208,40,7.32,1040,18.8,3.91,1600,0.208,0.9,590,44.9,0.312,0.163,0.05,3.29,1.5,49.8,47.6,6.3,1.3,94.2,4,113.5
"178",208,392650,7760650,0.036,1570,0.77,2.43,70,0.05,0.103,3090,0.217,0.72,1.34,12.5,1400,0.184,800,1,1510,19.3,0.155,240,3.51,935,12.7,2.71,2040,0.125,0.4,470,54,0.196,0.032,0.078,2.65,0.5,26.6,44.5,5.9,1.7,92.8,3.9,105
"179",211,567073,7656610,0.157,1700,1.27,2.77,103,0.03,0.148,5410,0.257,1.01,2.49,9.92,1470,0.234,800,2.4,700,37.2,1.44,50,8.08,811,18,4.77,1680,0.165,0.5,520,40.7,0.418,0.096,0.256,3.95,0.8,33.5,49.2,6,1.3,93.3,3.7,120.1
"180",212,530080,7803860,0.135,2510,0.997,3.61,71.4,0.07,0.108,2520,0.19,1.37,3.89,6.4,2330,0.262,1200,1.9,1180,58.8,0.15,150,6.66,986,14.3,5.36,1730,0.119,0.7,630,31.7,0.523,0.061,0.123,4.81,1.1,47.9,46.2,6.4,1.4,93.2,3.9,103.3
"181",213,405450,7751600,0.043,1780,0.594,5.13,82.7,0.03,0.096,2660,0.171,0.93,2.48,5.89,1560,0.191,1400,1.8,980,221,0.095,70,3.89,982,11.8,6.31,1440,0.106,0.5,480,17.6,0.343,0.053,0.067,4.79,0.7,88,41.7,5.9,1.3,68.4,4,113.9
"182",214,590200,7665700,0.66,2920,0.902,2.09,50.8,0.03,0.082,2450,0.174,1.28,4.51,12.3,3780,0.189,600,3.6,650,76.2,0.125,80,7.1,671,13.4,4.75,1050,0.103,0.9,420,16.9,1.09,0.094,0.167,6.91,1.2,33,40,5.2,0.9,74,3.5,130
"183",216,438600,7692850,0.267,2260,1.01,2.12,66.6,0.03,0.14,2610,0.303,1.06,4.41,7.25,2940,0.269,700,1.3,600,64.8,0.166,60,5.31,1180,15.7,5.28,1690,0.069,0.8,530,21.5,0.288,0.054,0.181,6.32,0.9,41.5,44.5,6.2,1.5,86,3.7,113.8
"184",217,525015,7382620,0.098,1070,2.16,2.29,72.1,0.01,0.393,2900,0.427,0.57,1.96,6.07,950,0.286,900,0.8,520,228,0.515,60,4.06,771,31.7,6.45,1330,0.43,0.3,480,18.2,0.231,0.154,0.094,3.78,0.3,51.3,44.9,5.8,1.1,89.6,3.6,147.9
"185",218,513395,7705890,0.073,4710,1,1.41,83.7,0.1,0.111,2150,0.294,1.64,2.46,6.59,2940,0.204,800,2.5,620,57.1,0.164,80,5.83,1100,14.1,3.62,1720,0.145,1,510,27.6,0.449,0.048,0.084,3.53,1.7,54.4,44.9,5.9,1.4,89.4,3.9,112.2
"186",219,598000,7430300,0.104,2300,0.682,1.59,54.2,0.04,0.113,2610,0.255,1.56,10.4,9.13,2640,0.179,1200,1.4,890,178,0.169,70,8.61,1060,22.2,12,1240,0.137,0.7,710,14.1,0.365,0.134,0.101,6.86,0.8,58.5,42.3,5.8,1,86.3,3.6,165.1
"187",220,639150,7739500,0.101,1560,2.01,3.85,76.9,0.13,0.103,4650,0.434,3.23,2.76,25.1,1760,0.241,800,2.6,1470,66.8,0.362,150,40.8,832,14,2.87,1990,0.181,0.5,530,49.4,0.251,0.068,0.178,4.6,1.2,63.7,45.9,6.1,1.4,94,4,104.2
"188",221,405250,7817600,0.12,519,0.407,5.33,59.7,0.01,0.075,4030,0.15,0.28,1.08,14.9,500,0.151,1200,0.35,1420,166,0.164,230,2.35,1040,13.4,3.87,1870,0.183,0.2,470,40.8,0.085,0.047,0.043,1.59,0.2,47.2,47.9,6.4,1.3,96.2,4,146.9
"189",222,461766,7548800,0.827,1660,1.13,2.02,70.5,0.03,0.188,3120,0.235,1.88,6.11,8.47,2830,0.2,1000,1.5,770,466,0.16,50,6.26,1070,18.6,8.99,1200,0.043,0.9,680,19.8,0.431,0.091,0.151,13.7,1.1,63.7,35.2,4.9,1.2,74.6,3.9,146.5
"190",223,663863,7461720,0.423,2190,0.981,2.81,130,0.06,0.179,4120,0.335,4.42,3.55,14.4,2600,0.222,1400,3.3,1340,401,0.282,90,28.9,1180,21.4,9.28,1560,0.24,0.9,720,38.7,0.309,0.16,0.134,5.24,1.2,50.8,43.4,6,1.4,89.6,4.2,156.4
"191",226,514044,7661800,0.559,1040,1.03,2.29,98.5,0.01,0.128,2790,0.245,0.45,1.45,4.8,890,0.236,900,1.7,630,136,0.141,60,3.45,807,11,4.28,1320,0.216,0.4,600,33.5,0.53,0.089,0.06,2,0.4,65,49.1,6.6,1,95,3.5,129.1
"192",227,570100,7621300,0.353,7140,1.27,1.76,115,0.18,0.134,2490,0.539,5.15,3.24,7.86,3260,0.243,1000,7.6,540,31.2,0.404,70,10.2,1360,14.7,4.1,1880,0.157,2,650,46.6,0.625,0.082,0.195,2.89,3.7,35,46.6,6.1,1.5,93.1,4.1,97.4
"193",228,452569,7395760,0.115,2500,2.58,1.28,97.8,0.07,0.636,1420,0.41,0.53,5.28,5.68,3950,0.199,800,4.8,360,76.4,0.381,50,3.03,688,48,6.28,883,0.22,0.6,600,17.3,1.68,0.142,0.226,9.23,1.5,46.1,34.5,4.5,0.9,66.5,3.6,118.6
"194",229,439975,7388720,0.137,1920,2.44,1.46,210,0.1,0.352,3010,0.411,2.71,3.13,5.8,1820,0.215,900,4.1,1230,30.9,0.685,30,7.41,868,28,12.2,1740,0.296,0.6,600,49.3,0.595,0.126,0.432,5.36,1.4,15.4,44.6,5.7,1.5,89.5,3.8,120.9
"195",230,679990,7531620,0.496,1280,0.921,1.96,80.7,0.03,0.223,2830,0.183,2.01,3.16,17.9,1780,0.243,1100,2.1,590,474,0.28,20,18.5,986,31.8,10.8,1310,0.219,0.4,580,21.1,0.286,0.123,0.089,5.99,0.5,60.3,40.4,5.7,1.3,75,4,136.6
"196",231,706353,7654820,0.216,867,0.998,2.29,78.5,0.02,0.115,3240,0.208,1.88,1.85,18.4,880,0.151,1100,1.5,920,173,0.295,50,28.2,887,14.6,4.52,1600,0.181,0.3,590,38.2,0.151,0.07,0.048,3.77,0.4,36.7,45.5,6.4,1.2,94.8,3.8,129
"197",232,622775,7686120,0.262,2630,4.1,2.08,60.8,0.04,0.241,2780,0.368,7.44,11.9,127,4640,0.275,1000,3.4,870,382,0.511,40,189,1080,19.7,3.63,1720,0.095,0.9,630,20.3,0.869,0.098,0.128,10.5,1.3,66.6,41.6,5.5,1.4,82.7,3.8,123.8
"198",233,733318,7439900,0.432,1910,1.49,3.36,217,0.08,0.208,7250,0.508,2.72,3.21,15.9,1590,0.175,1100,3.7,930,353,0.774,30,18.6,828,29,5.01,1570,0.37,0.5,610,48.5,0.489,0.131,0.117,6.46,0.9,67.5,41.7,5.4,1.3,82.9,4.3,109.6
"199",234,695359,7462360,0.399,1760,1.29,1.68,81.8,0.03,0.217,2200,0.378,1.27,3.56,16.3,1670,0.153,900,1.4,400,71.5,0.258,40,19.8,694,33.8,6.56,1130,0.241,0.4,620,18.2,0.183,0.139,0.061,5.18,0.4,56.6,43.6,5.7,1,75.7,3.6,133.6
"200",235,494700,7788450,0.033,1710,0.803,3.05,72,0.03,0.078,3580,0.286,0.78,2.44,5.55,2350,0.261,800,3.9,1230,47.7,0.176,100,2.98,670,12.8,2.61,1510,0.107,0.6,530,47.1,0.848,0.037,0.066,4.83,1,57,41.2,5.8,2,90,3.9,99.8
"201",236,423789,7861270,0.044,372,0.626,4.98,31.3,0.01,0.088,3810,0.346,0.34,0.7,6.65,450,0.222,900,0.7,1660,37.5,0.314,360,1.77,687,17.9,1.58,1730,0.225,0.05,290,40.1,0.085,0.053,0.068,1.84,0.2,36.3,47.7,6.7,1.3,97.4,4.2,91.3
"202",237,844527,7613840,0.237,1510,0.575,2.71,43.8,0.02,0.091,2550,0.156,1.5,1.81,17.9,940,0.169,1400,2,630,404,0.204,60,29.4,1130,12.7,8.07,1530,0.114,0.3,670,24.9,0.196,0.054,0.065,4.05,0.4,63.5,41.6,6,1.4,84.3,4,142.8
"203",238,583516,7524260,0.464,2660,1.62,1.52,92.1,0.09,0.24,2840,0.447,1.51,1.79,8.19,1710,0.178,800,2,740,82.8,0.249,50,7.6,1080,26.8,7.29,1670,0.26,0.7,710,46.3,0.241,0.16,0.214,3.75,0.6,55.7,46.3,6.2,1.5,92.4,3.7,126.7
"204",241,418400,7663900,0.313,1640,0.821,2.02,92.1,0.04,0.152,3120,0.296,1.33,3.77,7.59,1690,0.233,1000,1.3,780,231,0.249,50,7.03,1180,16.1,4.74,1620,0.163,0.6,640,20.1,0.163,0.081,0.094,5.15,0.6,72.5,41.8,6.1,1.4,85.7,4,124.4
"205",243,579570,7800100,0.073,5150,0.977,7.06,113,0.23,0.141,2160,0.205,3.86,6.59,8.67,5120,0.311,2700,2.8,1320,537,0.116,70,8.94,1170,14.4,11.7,1480,0.071,1.4,670,21.9,0.839,0.093,0.139,8.13,2,57.7,42.3,6.2,1.3,89.3,3.9,130
"206",244,563624,7579590,0.117,1890,1.4,2.53,56.9,0.02,0.176,2740,0.353,0.69,2.86,7.3,1840,0.175,800,2.5,570,292,0.185,40,6.5,637,18.3,4.82,1380,0.193,0.4,560,21.1,0.613,0.218,0.051,4.11,0.6,52.9,43.2,6,1,88.4,3.7,117.5
"207",245,561075,7522260,0.151,2240,1.12,1.98,106,0.1,0.27,2670,0.313,1.02,2.89,7.48,1550,0.224,1000,2.3,420,388,0.227,40,5.92,808,32.3,11.5,1390,0.231,0.4,650,24.5,0.462,0.384,0.184,4.24,0.7,54.6,42.8,5.9,1.1,88.1,3.9,122.8
"208",246,796397,7549390,0.231,2880,1.75,2.62,96.9,0.16,0.243,2660,0.401,4.31,4.43,41.6,2600,0.214,1100,10.3,470,109,0.418,60,85.2,1080,25.3,6.7,1430,0.242,0.4,630,117,0.382,0.134,0.363,6.39,2.1,58.2,45.7,6.2,1.3,92.2,3.5,130
"209",247,695643,7700410,0.048,6130,1.29,2.78,49.7,0.09,0.114,2140,0.235,2.11,8.24,13,3930,0.175,900,4.3,1050,53.6,0.276,80,25.9,574,8.77,5.11,1320,0.06,0.8,520,26.9,1,0.057,0.176,10.2,0.9,30.4,33.1,4.7,1.1,76.8,4.3,73.6
"210",248,411950,7833100,0.103,2040,0.53,4.18,104,0.1,0.079,3680,0.314,1.8,2.37,4.5,3920,0.26,1400,4.3,1390,68.6,0.147,180,2.95,732,13,7.22,1410,0.028,0.9,600,51.2,0.915,0.103,0.328,4.91,4.3,39.7,30.5,4.4,1.1,69.4,4.2,97.8
"211",249,445372,7507870,1.48,1650,2.05,2,124,0.05,0.318,2450,0.3,1.07,4.42,9.81,3010,0.208,1400,2.2,470,686,0.418,30,5.31,1120,36.4,6.61,1340,0.253,0.9,680,17.5,0.263,0.182,0.152,10.3,0.8,78.1,39.1,5.2,1.3,75.1,3.9,176.5
"212",250,800872,7685620,0.066,806,0.884,2.68,32.3,0.01,0.088,3200,0.33,0.98,1.62,11.9,1100,0.16,900,1.9,1390,63.1,0.2,160,13.1,768,12.5,1.35,1730,0.156,0.3,470,37.6,0.305,0.041,0.05,3.06,0.3,39.2,47.8,6.4,1.4,93.7,3.8,104.8
"213",251,787972,7427890,0.209,1380,1.33,2.42,63,0.05,0.207,3170,0.5,2.64,2.79,12.7,1550,0.18,1100,1.8,990,145,0.379,70,20,932,31.4,8.63,1490,0.283,0.4,560,22.8,0.148,0.126,0.076,4.5,0.7,44.2,45.7,6.2,1.5,94.2,3.9,140.8
"214",252,789595,7673450,0.059,1760,0.754,2.41,53.9,0.04,0.087,3150,0.276,1.16,1.5,10.1,1510,0.204,800,1.7,1460,31.8,0.177,130,12.5,1030,12,2.16,2200,0.139,0.3,510,54.3,0.113,0.04,0.055,2.83,0.5,27.5,48,6.4,1.8,94.1,4,97.6
"215",253,398532,7661240,0.059,1070,0.566,1.79,84.5,0.01,0.11,4030,0.182,0.4,0.95,6.24,760,0.211,800,0.9,720,126,0.142,5,3.58,1120,15,4.53,1830,0.175,0.2,470,33.4,0.066,0.043,0.037,1.95,0.2,69.5,47.2,6.5,1.7,95.8,3.9,119
"216",256,458717,7707980,0.108,1100,0.553,1.6,111,0.01,0.103,3730,0.138,0.83,1.53,6.77,1170,0.231,1100,0.9,850,117,0.173,10,6.39,1120,16.4,8.02,2000,0.146,0.3,570,34.5,0.081,0.081,0.034,3.05,0.3,80.1,49.2,6.6,1.8,95.5,3.8,142.8
"217",258,811453,7543520,0.323,7300,1.45,2.14,56.8,0.28,0.127,1650,0.201,1.94,11.6,10.4,5890,0.218,1000,11.2,870,160,0.167,140,14.5,807,13.2,9.37,958,0.027,0.8,640,62.8,2.3,0.067,0.602,12.2,4,39,24.5,3.5,0.9,56.7,4.3,68.2
"218",261,439250,7714700,0.069,2150,0.736,1.41,56.7,0.04,0.118,3670,0.191,1.46,8.6,7.76,2700,0.218,1000,1.7,1000,106,0.151,60,7.59,1090,22,5.83,1510,0.095,0.9,620,12.8,0.259,0.055,0.087,6.66,0.9,34.4,41.1,6.1,1.5,87.2,3.8,132.5
"219",262,617702,7484230,0.203,1160,1.77,2.07,144,0.03,0.169,7990,0.35,0.8,3.54,6.68,1530,0.175,700,1.7,840,81.6,1.04,5,6.12,883,19.3,2.57,2120,0.241,0.3,580,50.4,0.232,0.08,0.085,4.6,0.5,65.7,45.8,6.2,1.8,92.6,4.1,100.7
"220",263,775412,7662200,0.085,903,1.09,2.99,57.6,0.01,0.118,3920,0.288,1.39,1.65,15.9,1140,0.194,800,2.3,1310,40.4,0.207,180,22.7,815,15,2.32,1920,0.198,0.3,510,48.9,0.152,0.056,0.064,4.66,0.5,50.7,49.2,6.5,1.3,94.5,3.9,108
"221",264,659503,7400800,1.48,2830,1.06,2.16,93.8,0.07,0.187,2850,0.272,3.49,8.61,9.4,3860,0.287,1400,2.5,1200,151,0.545,60,11.7,1340,23.5,6.79,1540,0.201,1,780,22.7,0.37,0.112,0.12,7.21,0.9,29.5,42.2,6.1,1.5,89.7,3.9,156.9
"222",265,691342,7507900,0.27,2470,0.819,1.87,102,0.08,0.098,5070,0.256,2.18,5.7,11.5,2770,0.143,800,5.4,1270,55.3,0.27,100,13.9,757,12.8,4.87,1320,0.112,0.7,560,49.2,0.95,0.09,0.227,4.33,1.3,36,41.1,5.3,1.1,84.8,4.1,91.1
"223",266,861309,7455900,0.382,2760,1.26,1.97,77.6,0.08,0.207,2470,0.364,1.4,3.79,10.5,3690,0.256,1100,2.6,480,170,0.306,80,12.2,1120,27,8.15,1350,0.162,0.7,680,26.6,0.335,0.147,0.132,6.07,1.1,59.8,39.8,5.6,1.3,84.8,3.7,136.7
"224",267,487450,7811550,0.075,1290,0.526,4.39,67.2,0.03,0.104,3940,0.125,0.87,3.72,9.57,1590,0.244,1600,1.9,1320,610,0.239,130,5.39,1230,13.6,4.77,1650,0.141,0.5,650,31.2,0.415,0.054,0.084,3.44,0.7,42.6,43.7,6.3,1.5,88.5,4.1,166.7
"225",271,543182,7560950,0.138,3140,1.85,3.12,61.3,0.04,0.294,1770,0.384,1.21,5.32,10.1,3080,0.266,1100,8,750,188,0.282,70,8.71,727,33.3,6.53,1380,0.2,0.7,710,16,3.21,0.364,0.163,7.14,1.1,49.2,42.6,5.9,1.1,79.7,3.6,137.6
"226",272,454219,7511970,0.501,1880,1.76,2.16,81.2,0.05,0.396,2690,0.465,1.07,3.76,9.32,1990,0.186,900,1.6,570,428,0.244,40,5.34,809,41.3,7.83,1110,0.204,0.8,600,17.6,0.267,0.361,0.102,7.78,0.7,54.8,41.5,5.3,1,82.4,3.7,130.9
"227",273,569022,7683940,0.077,1030,1.24,2.58,33.9,0.01,0.152,2660,0.119,0.85,1.55,14.7,1060,0.216,600,0.8,450,180,0.152,50,17.6,771,16.7,3.82,1560,0.166,0.2,530,15.9,0.125,0.067,0.037,2.9,0.2,37.2,44.3,6.2,1.2,93.6,3.7,136.3
"228",274,722289,7703440,0.077,885,0.711,3.64,116,0.03,0.158,3540,0.314,2.25,2.49,32.2,1390,0.164,1200,2.1,1290,120,0.639,200,42.2,1120,21.5,3.41,2090,0.208,0.2,590,48.4,0.19,0.074,0.091,6.08,0.4,51,47.7,6.7,1.7,95.3,3.9,140.7
"229",275,577964,7752850,0.077,1980,1.18,2.05,45.3,0.05,0.218,2140,0.377,0.96,2.71,10.8,2060,0.237,800,1.9,880,78.8,0.173,120,12.4,919,26.3,4.2,1580,0.141,0.4,620,23.9,0.756,0.065,0.085,5.47,0.7,30.7,32.7,4.8,1.1,70.2,3.7,103.1
"230",276,664417,7441470,0.923,1310,0.827,1.89,113,0.03,0.22,2880,0.334,1.53,2.39,12.1,1450,0.173,1300,1.5,700,393,0.303,40,10.9,1120,30.9,7.36,1390,0.276,0.3,650,26.5,0.157,0.116,0.068,3.79,0.4,95.6,43.1,5.7,1.4,87.4,3.9,161.6
"231",277,451620,7653960,0.069,1910,0.718,2,43.1,0.04,0.127,2730,0.213,1.39,13.6,6.27,3160,0.17,700,1.6,850,278,0.127,60,7.56,836,14.6,4.72,1130,0.092,0.8,550,20,0.347,0.101,0.111,7.23,0.7,37.7,36.1,5.3,1.1,74,3.9,87.3
"232",278,725745,7664160,0.456,2530,0.68,4.48,272,0.21,0.173,6310,0.511,13.3,5.44,38.5,2770,0.198,1800,18.5,1680,1440,0.896,160,58.3,1810,20.5,8.9,2210,0.091,1.1,770,81.1,0.604,0.204,0.492,9.92,3.2,117,38.9,5.6,2,80.2,4.7,230
"233",280,802101,7644400,0.088,1990,1.02,2.4,65.6,0.04,0.088,3870,0.298,2.47,2.27,12.4,1610,0.227,800,1.8,1530,32.3,0.214,130,19,900,11.1,3.44,1950,0.154,0.4,580,52.8,0.216,0.056,0.067,3.72,0.5,39.6,44.7,6.3,1.5,92.5,4,98
"234",281,431278,7582390,0.229,6240,2.25,1.46,56.6,0.1,0.333,1440,0.421,2.06,3.55,7.55,5080,0.249,900,2.7,460,54.1,0.308,50,6.03,1510,36.9,8.3,1780,0.121,1.1,700,17.6,0.53,0.129,0.31,7.14,1.4,36.3,43,6.5,1.6,89.2,3.9,106.3
"235",282,773278,7585350,0.437,1220,1.32,1.45,109,0.03,0.159,2540,0.263,3.36,2.63,39.3,2300,0.249,700,4.6,370,46.1,0.322,60,77.6,432,15.6,2.26,808,0.134,0.4,510,37.6,1.14,0.043,0.119,4.64,0.7,43.7,40.3,4.7,1.1,79.7,3.6,143.6
"236",283,823505,7623050,0.107,1000,0.91,2.11,59.6,0.03,0.137,3240,0.329,1.66,1.78,23.1,1230,0.308,1200,2.3,1050,78.3,0.282,80,29.1,979,18,4.45,1820,0.201,0.2,550,38.5,0.357,0.06,0.083,4.3,0.5,44.5,46.4,6.3,1.5,93.6,3.9,121.4
"237",286,398442,7448790,0.387,4660,1.71,1.19,86.9,0.28,0.205,2290,0.409,2.89,5.25,7.57,8080,0.305,900,8.7,570,38.2,0.441,40,5.1,2580,20.4,10.8,1770,0.153,2.3,610,27.5,2.35,0.176,1.34,4.74,2.4,25.8,45.5,6.4,1.6,90.5,4,95.3
"238",287,575400,7837000,0.03,374,0.576,4.61,73.7,0.03,0.087,4400,0.305,0.41,0.59,6.88,430,0.274,700,0.35,1900,26.7,0.187,170,2.61,808,14.6,0.68,1920,0.191,0.05,360,52,0.063,0.036,0.052,1.55,0.3,52.3,46.9,6.5,1.6,97.4,4.2,79.8
"239",288,671948,7517170,0.453,2710,1.11,1.85,118,0.09,0.238,3630,0.401,1.51,3.97,17.1,2300,0.273,1000,3.7,570,365,0.293,60,15.9,915,31.5,10,1060,0.206,0.7,600,28.6,0.509,0.56,0.167,5.65,1,56.1,43,5.3,1.1,78.4,3.8,111.8
"240",289,577870,7764150,0.039,1320,0.508,3.09,44.8,0.09,0.042,10900,0.229,1.73,2.44,8.34,1740,0.144,400,5.7,1820,13.3,3.1,80,4.26,596,4.69,1.4,2240,0.073,0.6,490,77.4,0.547,0.046,1.19,3.85,2.1,20.5,41.7,5.7,1.7,89.7,4.7,55.3
"241",290,540833,7464390,0.141,4440,1.74,1.23,54.3,0.12,0.205,1780,0.492,3.61,2.99,5.53,3550,0.273,800,2.8,550,24.7,0.201,40,6.5,929,23,5.52,1640,0.27,1.1,570,19.3,0.313,0.098,0.177,3.46,1.6,41.5,47.1,6.7,1.4,94,3.7,117.8
"242",291,786258,7573950,0.304,5600,1.35,2.23,60.2,0.12,0.137,2560,0.288,6.46,7.78,39.8,4770,0.211,1000,8.5,880,104,0.263,100,71.6,926,20.9,7.82,1200,0.027,1.2,510,28.3,2.65,0.097,0.181,8.36,2.3,30.6,33.1,4.7,1,69.7,4.1,114.3
"243",292,810467,7492620,0.2,2600,1.35,2.31,96.2,0.1,0.244,3350,0.276,1.92,4.79,19.2,2620,0.226,1200,6.1,620,321,0.423,60,30.2,1070,32,8.3,1360,0.217,0.7,750,52.8,0.355,0.213,0.133,7.84,1.7,60.5,37.2,5.2,1.1,79.3,4,119.4
"244",293,440300,7661120,0.17,7890,1.4,1.18,67.9,0.11,0.169,1300,0.18,1.87,6.13,7.88,7210,0.225,900,6.2,740,47.9,0.205,70,5.64,1320,21.5,6.1,1440,0.04,1.3,770,18.4,0.757,0.071,0.243,16,1.8,17.5,31.2,4.7,1.3,73.3,4,81.9
"245",295,454769,7627520,0.141,3150,1.32,1.88,131,0.12,0.162,3440,0.321,1.81,1.79,8.4,1620,0.259,900,4.3,760,90.4,0.299,5,7.2,948,21.8,6.75,1880,0.196,0.5,620,33,0.636,0.209,0.091,4.08,1.7,76.3,45.1,6,1.6,91.4,3.9,98.4
"246",296,641474,7664540,0.124,1040,1.28,2.02,71.6,0.01,0.139,3160,0.235,2.19,2.55,35.6,1390,0.213,1300,2.7,860,189,0.237,40,50.1,1200,15.2,7.62,1750,0.152,0.3,590,24.4,0.54,0.078,0.053,3.9,0.5,53.6,45.9,6.2,1.6,93.3,3.8,163.5
"247",297,664277,7655420,0.133,1120,0.858,2.39,68.8,0.01,0.138,3600,0.246,1.55,2.16,26.2,1090,0.233,1500,1.8,810,331,0.23,50,32.8,1260,15.8,6.71,1820,0.187,0.2,600,28.9,0.392,0.069,0.035,3.71,0.3,50.2,45.9,6.1,1.5,93.1,3.9,162.3
"248",298,516693,7620270,0.633,5330,1.15,1.65,127,0.17,0.115,2620,0.506,4.47,3.6,7.63,4360,0.335,1100,4.9,960,53.7,0.264,50,10.3,1260,13.9,5.88,1620,0.104,1.7,720,36.8,0.496,0.152,0.174,4.86,2.3,37.7,47.3,6.3,1.5,91.4,4,115.6
"249",301,677414,7710990,0.107,1520,2.55,2.64,55.5,0.04,0.168,3160,0.469,6.35,4.8,75.1,2510,0.202,800,2.3,1320,43.3,0.308,180,157,755,23.7,2.59,1890,0.203,0.4,570,40.8,0.427,0.07,0.084,6.44,0.6,29,44.8,5.8,1.4,90.9,3.9,104.9
"250",302,636100,7731000,0.217,2830,2.5,2.15,48.6,0.08,0.117,2980,0.247,3.28,7.37,35.6,5230,0.202,900,3.2,1120,40,0.252,90,62.2,682,14.8,4.37,1450,0.071,0.9,570,29.7,1.28,0.066,0.367,11.9,1.2,28.3,36.5,5.1,1.2,76,3.8,106
"251",304,670534,7575020,0.154,949,1.38,2.29,79.5,0.02,0.193,5080,0.329,1.18,1.78,9.45,1160,0.191,900,1.1,1010,119,0.276,40,8,757,20.2,1.91,1460,0.314,0.3,440,31.6,0.139,0.085,0.041,4.06,0.4,50.8,47.7,6.3,1.2,95.5,4.1,120.7
"252",306,423290,7681750,0.32,1520,0.592,1.89,46.7,0.01,0.13,2790,0.155,0.95,6.66,7.63,1860,0.243,1200,1.4,1000,289,0.183,50,7.85,1380,16.1,8.09,1620,0.096,0.6,600,14.8,0.286,0.069,0.117,6.34,0.8,50.3,39.1,5.5,1.4,83.9,4,160.8
"253",307,414237,7783470,0.189,592,0.463,4.28,47.3,0.01,0.068,2690,0.073,0.23,0.94,5.9,530,0.207,1200,0.9,780,231,0.101,80,1.7,1030,9.7,5.34,1710,0.133,0.1,510,14.9,0.135,0.033,0.046,1.37,0.3,37.9,48.1,6.8,1.4,96.1,3.9,124
"254",308,586315,7417710,0.424,1850,1.15,1.97,73.6,0.06,0.181,4320,0.475,2.37,2.78,6.81,2430,0.317,900,1.6,710,124,0.229,20,6.66,992,22.3,3.24,1640,0.266,0.7,610,19.2,0.183,0.072,0.089,3.97,0.8,60.4,46.7,6.2,1.5,94.1,3.8,132.1
"255",309,623348,7656730,0.25,2380,1.23,1.84,106,0.06,0.117,3030,0.238,2.64,1.47,16.2,2000,0.277,1000,2.4,690,129,0.207,30,19.5,1070,14.3,4.75,1690,0.186,0.7,540,37.9,0.129,0.056,0.063,2.89,1.3,42.2,48.8,6.6,1.4,95.4,3.8,136.3
"256",310,393750,7779400,0.073,809,0.546,2.89,72.7,0.01,0.056,3540,0.144,0.4,0.79,4.71,810,0.241,1000,1,1690,15.8,0.161,300,2.25,942,8.51,3.02,1970,0.128,0.2,460,50,0.116,0.031,0.075,1.26,0.3,33.8,49.3,6.6,1.5,97.4,4,106.2
"257",311,764711,7568030,0.509,4320,3.3,4.03,119,0.21,0.262,5150,0.51,12.3,11.1,137,15200,0.337,1400,13.7,1300,210,1.18,150,223,1210,24.6,6.42,1370,0.177,1.3,700,111,1.07,0.182,0.357,12.5,3.2,47.4,43.5,5.8,1.1,83.2,4.2,131.6
"258",313,774310,7513850,0.249,15600,20.9,7.91,268,1.07,0.264,25400,0.373,11.1,34.4,76.1,16700,0.339,1600,139,2430,940,2.41,880,106,9280,23.6,12.8,856,0.186,3.2,940,1430,4.65,0.344,1.78,48.9,25.3,132,16.5,2.2,0.7,33.5,5.6,67.1
"259",317,593312,7497670,0.25,5590,1.35,2,146,0.1,0.195,1820,0.333,2.21,1.74,6.51,1850,0.282,800,4.1,380,72.7,0.216,30,5.53,1210,19.8,6.58,1690,0.296,0.4,530,39.2,0.143,0.09,0.115,3,1,44.8,48.2,6.4,1.5,95.6,3.7,131.8
"260",318,538800,7818200,0.128,710,0.742,4.22,49.8,0.03,0.082,3460,0.229,1.06,1.27,6.95,770,0.21,1000,1,1600,50.1,0.148,170,4.74,730,10.6,2.1,1670,0.16,0.3,410,36.4,0.122,0.05,0.056,1.85,0.5,28.6,49.7,6.6,1.3,96.5,3.9,110.5
"261",320,430500,7813700,0.078,1690,0.512,4.24,70.5,0.08,0.062,4300,0.224,0.79,1.36,6.65,1190,0.186,1000,15.2,1200,166,0.266,150,2.55,913,9.34,3.47,1640,0.152,0.5,480,32.3,0.237,0.061,0.74,1.93,6.8,31.7,47.5,6.4,1.3,93.9,4.2,122.5
"262",322,763904,7496750,0.55,1830,1.52,1.7,60.9,0.06,0.204,3010,0.331,6.6,4.17,84.9,6780,0.311,1200,12.1,480,196,0.637,80,152,1040,22.8,7.75,1280,0.284,0.5,580,84.2,0.266,0.148,0.124,6.78,2.1,48.4,46.7,6,1.1,88.1,3.6,170.7
