"","Saison","Spieltag","Datum","Anpfiff","Heim","Gast","Tore.Heim","Tore.Gast","Tore.Heim.Halbzeit","Tore.Gast.Halbzeit"
"6634","1985/1986",4,1985-08-31,"15:30","Borussia Moenchengladbach","1. FC Saarbruecken",2,0,0,0
"6635","1985/1986",4,1985-08-31,"15:30","VfB Stuttgart","FC Schalke 04",0,1,0,0
"6636","1985/1986",4,1985-10-08,"20:00","FC Bayern Muenchen","Hannover 96",6,0,1,0
"6637","1985/1986",5,1985-09-03,"19:30","1. FC Saarbruecken","FC Bayern Muenchen",1,1,0,0
"6638","1985/1986",5,1985-09-03,"20:00","VfL Bochum","Eintracht Frankfurt",2,1,0,1
"6639","1985/1986",5,1985-09-03,"20:00","SV Waldhof Mannheim","1. FC Kaiserslautern",1,1,0,1
"6640","1985/1986",5,1985-09-03,"20:00","KFC Uerdingen 05","FC Schalke 04",3,2,1,1
"6641","1985/1986",5,1985-09-04,"20:00","Fortuna Duesseldorf","Borussia Dortmund",4,2,2,2
"6642","1985/1986",5,1985-09-04,"20:00","Hamburger SV","Borussia Moenchengladbach",4,1,3,0
"6643","1985/1986",5,1985-09-04,"20:00","Hannover 96","VfB Stuttgart",1,3,0,1
"6644","1985/1986",5,1985-09-04,"20:00","1. FC Koeln","SV Werder Bremen",3,3,2,1
"6645","1985/1986",5,1985-09-04,"20:00","1. FC Nuernberg","Bayer Leverkusen",3,2,2,1
"6646","1985/1986",6,1985-09-06,"20:00","1. FC Kaiserslautern","VfL Bochum",2,0,1,0
"6647","1985/1986",6,1985-09-07,"15:30","SV Werder Bremen","1. FC Nuernberg",2,1,1,0
"6648","1985/1986",6,1985-09-07,"15:30","Borussia Dortmund","SV Waldhof Mannheim",0,0,0,0
"6649","1985/1986",6,1985-09-07,"15:30","Eintracht Frankfurt","KFC Uerdingen 05",1,1,1,1
"6650","1985/1986",6,1985-09-07,"15:30","Bayer Leverkusen","Fortuna Duesseldorf",3,1,1,1
"6651","1985/1986",6,1985-09-07,"15:30","Borussia Moenchengladbach","1. FC Koeln",1,1,0,0
"6652","1985/1986",6,1985-09-07,"15:30","FC Bayern Muenchen","Hamburger SV",2,0,0,0
"6653","1985/1986",6,1985-09-07,"15:30","FC Schalke 04","Hannover 96",2,2,0,1
"6654","1985/1986",6,1985-09-07,"15:30","VfB Stuttgart","1. FC Saarbruecken",3,1,2,1
"6655","1985/1986",7,1985-09-13,"19:30","1. FC Saarbruecken","FC Schalke 04",3,2,2,2
"6656","1985/1986",7,1985-09-13,"20:00","Fortuna Duesseldorf","SV Werder Bremen",1,4,1,2
"6657","1985/1986",7,1985-09-13,"20:00","Eintracht Frankfurt","1. FC Kaiserslautern",1,1,1,0
"6658","1985/1986",7,1985-09-14,"15:30","VfL Bochum","Borussia Dortmund",6,1,2,1
"6659","1985/1986",7,1985-09-14,"15:30","Hamburger SV","VfB Stuttgart",2,0,1,0
"6660","1985/1986",7,1985-09-14,"15:30","1. FC Koeln","FC Bayern Muenchen",1,1,0,1
"6661","1985/1986",7,1985-09-14,"15:30","SV Waldhof Mannheim","Bayer Leverkusen",1,0,0,0
"6662","1985/1986",7,1985-09-14,"15:30","1. FC Nuernberg","Borussia Moenchengladbach",2,4,0,2
"6663","1985/1986",7,1985-09-14,"15:30","KFC Uerdingen 05","Hannover 96",3,3,1,1
"6664","1985/1986",8,1985-09-20,"19:30","Bayer Leverkusen","VfL Bochum",4,2,3,0
"6665","1985/1986",8,1985-09-20,"20:00","Borussia Dortmund","Eintracht Frankfurt",4,2,0,1
"6666","1985/1986",8,1985-09-21,"15:30","SV Werder Bremen","SV Waldhof Mannheim",2,2,1,1
"6667","1985/1986",8,1985-09-21,"15:30","Hannover 96","1. FC Saarbruecken",2,0,1,0
"6668","1985/1986",8,1985-09-21,"15:30","1. FC Kaiserslautern","KFC Uerdingen 05",5,1,2,0
"6669","1985/1986",8,1985-09-21,"15:30","Borussia Moenchengladbach","Fortuna Duesseldorf",5,1,1,0
"6670","1985/1986",8,1985-09-21,"15:30","FC Bayern Muenchen","1. FC Nuernberg",2,1,1,1
"6671","1985/1986",8,1985-09-21,"15:30","FC Schalke 04","Hamburger SV",1,0,1,0
"6672","1985/1986",8,1985-09-21,"15:30","VfB Stuttgart","1. FC Koeln",5,0,2,0
"6673","1985/1986",9,1985-09-27,"20:00","KFC Uerdingen 05","1. FC Saarbruecken",2,1,2,0
"6674","1985/1986",9,1985-09-28,"15:30","VfL Bochum","SV Werder Bremen",2,3,0,1
"6675","1985/1986",9,1985-09-28,"15:30","Fortuna Duesseldorf","FC Bayern Muenchen",4,0,1,0
"6676","1985/1986",9,1985-09-28,"15:30","Eintracht Frankfurt","Bayer Leverkusen",1,0,0,0
"6677","1985/1986",9,1985-09-28,"15:30","Hamburger SV","Hannover 96",3,0,0,0
"6678","1985/1986",9,1985-09-28,"15:30","1. FC Kaiserslautern","Borussia Dortmund",2,0,1,0
"6679","1985/1986",9,1985-09-28,"15:30","1. FC Koeln","FC Schalke 04",4,2,2,1
"6680","1985/1986",9,1985-09-28,"15:30","SV Waldhof Mannheim","Borussia Moenchengladbach",3,1,2,1
"6681","1985/1986",9,1985-09-28,"15:30","1. FC Nuernberg","VfB Stuttgart",0,1,0,0
"6682","1985/1986",10,1985-10-04,"20:00","Bayer Leverkusen","1. FC Kaiserslautern",3,2,1,2
"6683","1985/1986",10,1985-10-05,"15:30","Borussia Dortmund","KFC Uerdingen 05",5,2,1,1
"6684","1985/1986",10,1985-10-05,"15:30","Hannover 96","1. FC Koeln",3,1,3,1
"6685","1985/1986",10,1985-10-05,"15:30","Borussia Moenchengladbach","VfL Bochum",2,0,0,0
"6686","1985/1986",10,1985-10-05,"15:30","FC Bayern Muenchen","SV Waldhof Mannheim",3,1,0,1
"6687","1985/1986",10,1985-10-05,"15:30","1. FC Saarbruecken","Hamburger SV",2,2,2,1
"6688","1985/1986",10,1985-10-05,"15:30","FC Schalke 04","1. FC Nuernberg",2,0,1,0
"6689","1985/1986",10,1985-10-05,"15:30","VfB Stuttgart","Fortuna Duesseldorf",5,0,2,0
"6690","1985/1986",10,1985-10-05,"20:00","SV Werder Bremen","Eintracht Frankfurt",4,0,1,0
"6691","1985/1986",11,1985-10-09,"20:00","SV Waldhof Mannheim","VfB Stuttgart",5,3,1,2
"6692","1985/1986",11,1985-10-10,"20:00","Fortuna Duesseldorf","FC Schalke 04",1,1,0,0
"6693","1985/1986",11,1985-10-11,"20:00","VfL Bochum","FC Bayern Muenchen",3,0,1,0
"6694","1985/1986",11,1985-10-11,"20:00","Eintracht Frankfurt","Borussia Moenchengladbach",1,1,1,1
"6695","1985/1986",11,1985-10-11,"20:00","1. FC Kaiserslautern","SV Werder Bremen",3,0,1,0
"6696","1985/1986",11,1985-10-11,"20:00","1. FC Koeln","1. FC Saarbruecken",3,1,2,0
"6697","1985/1986",11,1985-10-11,"20:00","1. FC Nuernberg","Hannover 96",3,3,1,1
"6698","1985/1986",11,1985-10-11,"20:00","KFC Uerdingen 05","Hamburger SV",0,3,0,1
"6699","1985/1986",11,1985-10-12,"15:30","Borussia Dortmund","Bayer Leverkusen",1,1,0,0
"6700","1985/1986",12,1985-10-25,"19:30","1. FC Saarbruecken","1. FC Nuernberg",3,0,2,0
"6701","1985/1986",12,1985-10-26,"14:30","Bayer Leverkusen","KFC Uerdingen 05",2,2,1,0
"6702","1985/1986",12,1985-10-26,"15:30","SV Werder Bremen","Borussia Dortmund",4,2,2,1
"6703","1985/1986",12,1985-10-26,"15:30","Hamburger SV","1. FC Koeln",0,0,0,0
"6704","1985/1986",12,1985-10-26,"15:30","Hannover 96","Fortuna Duesseldorf",1,0,0,0
"6705","1985/1986",12,1985-10-26,"15:30","Borussia Moenchengladbach","1. FC Kaiserslautern",3,0,1,0
"6706","1985/1986",12,1985-10-26,"15:30","FC Bayern Muenchen","Eintracht Frankfurt",3,0,1,0
"6707","1985/1986",12,1985-10-26,"15:30","FC Schalke 04","SV Waldhof Mannheim",3,1,1,0
"6708","1985/1986",12,1985-10-26,"15:30","VfB Stuttgart","VfL Bochum",0,4,0,0
"6709","1985/1986",13,1985-11-01,"18:00","Bayer Leverkusen","SV Werder Bremen",5,1,3,0
"6710","1985/1986",13,1985-11-01,"20:00","Borussia Dortmund","Borussia Moenchengladbach",2,3,1,1
"6711","1985/1986",13,1985-11-01,"20:00","1. FC Kaiserslautern","FC Bayern Muenchen",0,2,0,0
"6712","1985/1986",13,1985-11-02,"15:30","VfL Bochum","FC Schalke 04",1,1,1,1
"6713","1985/1986",13,1985-11-02,"15:30","Fortuna Duesseldorf","1. FC Saarbruecken",2,2,0,2
"6714","1985/1986",13,1985-11-02,"15:30","Eintracht Frankfurt","VfB Stuttgart",1,1,0,0
"6715","1985/1986",13,1985-11-02,"15:30","SV Waldhof Mannheim","Hannover 96",5,1,2,1
"6716","1985/1986",13,1985-11-02,"15:30","1. FC Nuernberg","Hamburger SV",0,1,0,0
"6717","1985/1986",13,1985-11-02,"15:30","KFC Uerdingen 05","1. FC Koeln",3,2,1,2
"6718","1985/1986",14,1985-11-09,"15:30","SV Werder Bremen","KFC Uerdingen 05",6,1,3,0
"6719","1985/1986",14,1985-11-09,"15:30","Hamburger SV","Fortuna Duesseldorf",4,0,3,0
"6720","1985/1986",14,1985-11-09,"15:30","Hannover 96","VfL Bochum",1,2,0,1
"6721","1985/1986",14,1985-11-09,"15:30","1. FC Koeln","1. FC Nuernberg",3,1,1,1
"6722","1985/1986",14,1985-11-09,"15:30","Borussia Moenchengladbach","Bayer Leverkusen",2,2,0,1
"6723","1985/1986",14,1985-11-09,"15:30","FC Bayern Muenchen","Borussia Dortmund",0,1,0,1
"6724","1985/1986",14,1985-11-09,"15:30","1. FC Saarbruecken","SV Waldhof Mannheim",2,1,1,1
"6725","1985/1986",14,1985-11-09,"15:30","FC Schalke 04","Eintracht Frankfurt",3,1,3,1
"6726","1985/1986",14,1985-11-09,"15:30","VfB Stuttgart","1. FC Kaiserslautern",2,0,2,0
"6727","1985/1986",15,1985-11-19,"20:00","VfL Bochum","1. FC Saarbruecken",3,1,0,1
"6728","1985/1986",15,1985-11-19,"20:00","Fortuna Duesseldorf","1. FC Koeln",1,3,0,2
"6729","1985/1986",15,1985-11-19,"20:00","Eintracht Frankfurt","Hannover 96",1,3,1,0
"6730","1985/1986",15,1985-11-19,"20:00","SV Waldhof Mannheim","Hamburger SV",0,1,0,0
"6731","1985/1986",15,1985-11-19,"20:00","1. FC Nuernberg","KFC Uerdingen 05",1,2,1,0
"6732","1985/1986",15,1985-11-20,"15:30","Borussia Dortmund","VfB Stuttgart",2,0,0,0
"6733","1985/1986",15,1985-11-20,"15:30","1. FC Kaiserslautern","FC Schalke 04",0,0,0,0
"6734","1985/1986",15,1985-11-20,"15:30","Bayer Leverkusen","FC Bayern Muenchen",1,2,0,1
"6735","1985/1986",15,1985-11-20,"15:30","Borussia Moenchengladbach","SV Werder Bremen",1,2,0,0
"6736","1985/1986",16,1985-11-23,"15:30","Hamburger SV","VfL Bochum",1,0,0,0
"6737","1985/1986",16,1985-11-23,"15:30","FC Bayern Muenchen","SV Werder Bremen",3,1,1,1
"6738","1985/1986",16,1985-11-23,"15:30","1. FC Nuernberg","Fortuna Duesseldorf",3,2,2,1
"6739","1985/1986",16,1985-11-23,"15:30","1. FC Saarbruecken","Eintracht Frankfurt",2,2,1,1
"6740","1985/1986",16,1985-12-03,"20:00","Hannover 96","1. FC Kaiserslautern",3,2,2,1
"6741","1985/1986",16,1985-12-03,"20:00","1. FC Koeln","SV Waldhof Mannheim",0,1,0,1
"6742","1985/1986",16,1985-12-03,"20:00","VfB Stuttgart","Bayer Leverkusen",2,2,0,1
"6743","1985/1986",16,1985-12-10,"20:00","FC Schalke 04","Borussia Dortmund",6,1,0,0
"6744","1985/1986",16,1985-12-18,"20:00","KFC Uerdingen 05","Borussia Moenchengladbach",1,1,0,1
"6745","1985/1986",17,1985-11-29,"20:00","SV Werder Bremen","VfB Stuttgart",6,0,3,0
"6746","1985/1986",17,1985-11-30,"15:30","Borussia Dortmund","Hannover 96",2,0,1,0
"6747","1985/1986",17,1985-11-30,"15:30","Fortuna Duesseldorf","KFC Uerdingen 05",1,1,0,1
"6748","1985/1986",17,1985-11-30,"15:30","1. FC Kaiserslautern","1. FC Saarbruecken",1,1,0,0
"6749","1985/1986",17,1985-11-30,"15:30","Bayer Leverkusen","FC Schalke 04",2,0,1,0
"6750","1985/1986",17,1985-11-30,"15:30","Borussia Moenchengladbach","FC Bayern Muenchen",4,2,2,0
"6751","1985/1986",17,1985-12-03,"20:00","Eintracht Frankfurt","Hamburger SV",3,0,1,0
"6752","1985/1986",17,1985-01-18,"15:30","SV Waldhof Mannheim","1. FC Nuernberg",0,1,0,1
"6753","1985/1986",17,1985-03-25,"20:00","VfL Bochum","1. FC Koeln",2,0,0,0
"6754","1985/1986",18,1986-12-06,"19:30","Bayer Leverkusen","Hannover 96",4,1,3,1
"6755","1985/1986",18,1986-12-06,"20:00","Borussia Dortmund","1. FC Saarbruecken",3,1,1,0
"6756","1985/1986",18,1986-12-06,"20:00","SV Waldhof Mannheim","Fortuna Duesseldorf",2,1,0,0
"6757","1985/1986",18,1986-12-07,"15:30","VfL Bochum","1. FC Nuernberg",2,1,1,0
"6758","1985/1986",18,1986-12-07,"15:30","SV Werder Bremen","FC Schalke 04",3,1,1,1
"6759","1985/1986",18,1986-12-07,"15:30","Eintracht Frankfurt","1. FC Koeln",2,2,2,0
"6760","1985/1986",18,1986-12-07,"15:30","1. FC Kaiserslautern","Hamburger SV",1,2,0,1
"6761","1985/1986",18,1986-12-07,"15:30","Borussia Moenchengladbach","VfB Stuttgart",1,1,0,0
"6762","1985/1986",18,1986-12-07,"15:30","FC Bayern Muenchen","KFC Uerdingen 05",5,1,4,1
"6763","1985/1986",19,1986-12-14,"15:30","Fortuna Duesseldorf","VfL Bochum",2,1,0,1
"6764","1985/1986",19,1986-12-14,"15:30","Hamburger SV","Borussia Dortmund",3,0,1,0
"6765","1985/1986",19,1986-12-14,"15:30","Hannover 96","SV Werder Bremen",2,4,2,1
"6766","1985/1986",19,1986-12-14,"15:30","1. FC Koeln","1. FC Kaiserslautern",1,1,1,1
"6767","1985/1986",19,1986-12-14,"15:30","1. FC Nuernberg","Eintracht Frankfurt",4,1,2,1
"6768","1985/1986",19,1986-12-14,"15:30","1. FC Saarbruecken","Bayer Leverkusen",3,1,1,0
"6769","1985/1986",19,1986-12-14,"15:30","FC Schalke 04","Borussia Moenchengladbach",2,2,2,1
"6770","1985/1986",19,1986-12-14,"15:30","VfB Stuttgart","FC Bayern Muenchen",0,0,0,0
"6771","1985/1986",19,1986-12-14,"15:30","KFC Uerdingen 05","SV Waldhof Mannheim",1,0,0,0
"6772","1985/1986",20,1986-01-25,"15:30","SV Werder Bremen","1. FC Saarbruecken",1,0,0,0
"6773","1985/1986",20,1986-01-25,"15:30","Borussia Dortmund","1. FC Koeln",5,1,2,0
"6774","1985/1986",20,1986-01-25,"15:30","Eintracht Frankfurt","Fortuna Duesseldorf",2,0,0,0
"6775","1985/1986",20,1986-01-25,"15:30","1. FC Kaiserslautern","1. FC Nuernberg",0,3,0,1
"6776","1985/1986",20,1986-01-25,"15:30","Bayer Leverkusen","Hamburger SV",3,2,0,2
"6777","1985/1986",20,1986-01-25,"15:30","Borussia Moenchengladbach","Hannover 96",4,3,2,1
"6778","1985/1986",20,1986-01-25,"15:30","FC Bayern Muenchen","FC Schalke 04",3,2,1,1
"6779","1985/1986",20,1986-01-25,"15:30","VfB Stuttgart","KFC Uerdingen 05",0,2,0,2
"6780","1985/1986",20,1986-03-11,"20:00","VfL Bochum","SV Waldhof Mannheim",0,1,0,1
"6781","1985/1986",21,1986-01-31,"20:00","1. FC Koeln","Bayer Leverkusen",2,3,2,0
"6782","1985/1986",21,1986-02-01,"15:30","Fortuna Duesseldorf","1. FC Kaiserslautern",0,0,0,0
"6783","1985/1986",21,1986-02-01,"15:30","Hamburger SV","SV Werder Bremen",0,1,0,0
"6784","1985/1986",21,1986-02-01,"15:30","Hannover 96","FC Bayern Muenchen",0,5,0,1
"6785","1985/1986",21,1986-02-01,"15:30","SV Waldhof Mannheim","Eintracht Frankfurt",0,0,0,0
"6786","1985/1986",21,1986-02-01,"15:30","1. FC Nuernberg","Borussia Dortmund",0,0,0,0
"6787","1985/1986",21,1986-02-01,"15:30","1. FC Saarbruecken","Borussia Moenchengladbach",1,3,0,0
"6788","1985/1986",21,1986-02-01,"15:30","FC Schalke 04","VfB Stuttgart",1,2,0,0
"6789","1985/1986",21,1986-02-01,"15:30","KFC Uerdingen 05","VfL Bochum",3,2,3,0
"6790","1985/1986",22,1986-02-08,"14:30","VfB Stuttgart","Hannover 96",7,0,2,0
"6791","1985/1986",22,1986-02-08,"15:30","SV Werder Bremen","1. FC Koeln",2,0,1,0
"6792","1985/1986",22,1986-02-08,"15:30","Borussia Dortmund","Fortuna Duesseldorf",1,2,0,1
"6793","1985/1986",22,1986-02-08,"15:30","Eintracht Frankfurt","VfL Bochum",1,0,0,0
"6794","1985/1986",22,1986-02-08,"15:30","Bayer Leverkusen","1. FC Nuernberg",0,0,0,0
"6795","1985/1986",22,1986-02-08,"15:30","Borussia Moenchengladbach","Hamburger SV",2,1,0,1
"6796","1985/1986",22,1986-02-08,"15:30","FC Bayern Muenchen","1. FC Saarbruecken",5,1,1,1
"6797","1985/1986",22,1986-02-08,"15:30","FC Schalke 04","KFC Uerdingen 05",2,0,1,0
"6798","1985/1986",22,1986-04-01,"20:00","1. FC Kaiserslautern","SV Waldhof Mannheim",0,0,0,0
"6799","1985/1986",23,1986-02-15,"15:30","VfL Bochum","1. FC Kaiserslautern",3,2,2,2
"6800","1985/1986",23,1986-02-15,"15:30","Fortuna Duesseldorf","Bayer Leverkusen",2,1,1,1
"6801","1985/1986",23,1986-02-15,"15:30","Hamburger SV","FC Bayern Muenchen",0,0,0,0
"6802","1985/1986",23,1986-02-15,"15:30","1. FC Nuernberg","SV Werder Bremen",2,2,0,1
"6803","1985/1986",23,1986-02-25,"19:30","SV Waldhof Mannheim","Borussia Dortmund",0,0,0,0
"6804","1985/1986",23,1986-02-25,"20:00","1. FC Saarbruecken","VfB Stuttgart",1,1,1,1
"6805","1985/1986",23,1986-04-01,"20:00","Hannover 96","FC Schalke 04",1,2,0,1
"6806","1985/1986",23,1986-04-08,"20:00","1. FC Koeln","Borussia Moenchengladbach",0,2,0,1
"6807","1985/1986",23,1986-04-24,"20:00","KFC Uerdingen 05","Eintracht Frankfurt",1,0,1,0
"6808","1985/1986",24,1986-02-22,"15:30","SV Werder Bremen","Fortuna Duesseldorf",7,3,3,0
"6809","1985/1986",24,1986-02-22,"15:30","1. FC Kaiserslautern","Eintracht Frankfurt",1,1,1,0
"6810","1985/1986",24,1986-02-22,"15:30","Borussia Moenchengladbach","1. FC Nuernberg",3,0,2,0
"6811","1985/1986",24,1986-02-22,"15:30","FC Bayern Muenchen","1. FC Koeln",3,1,2,0
"6812","1985/1986",24,1986-03-18,"20:00","FC Schalke 04","1. FC Saarbruecken",3,2,0,1
"6813","1985/1986",24,1986-04-01,"20:00","VfB Stuttgart","Hamburger SV",1,0,0,0
"6814","1985/1986",24,1986-04-08,"20:00","Bayer Leverkusen","SV Waldhof Mannheim",3,1,2,1
"6815","1985/1986",24,1986-04-15,"20:00","Borussia Dortmund","VfL Bochum",1,0,1,0
"6816","1985/1986",24,1986-04-20,"18:30","Hannover 96","KFC Uerdingen 05",1,1,0,1
"6817","1985/1986",25,1986-03-01,"15:30","VfL Bochum","Bayer Leverkusen",1,1,0,0
"6818","1985/1986",25,1986-03-01,"15:30","Fortuna Duesseldorf","Borussia Moenchengladbach",2,0,0,0
"6819","1985/1986",25,1986-03-01,"15:30","Eintracht Frankfurt","Borussia Dortmund",2,1,1,1
"6820","1985/1986",25,1986-03-01,"15:30","1. FC Koeln","VfB Stuttgart",2,1,2,0
"6821","1985/1986",25,1986-03-01,"15:30","SV Waldhof Mannheim","SV Werder Bremen",1,1,1,0
"6822","1985/1986",25,1986-03-01,"15:30","1. FC Nuernberg","FC Bayern Muenchen",0,1,0,0
"6823","1985/1986",25,1986-03-01,"15:30","1. FC Saarbruecken","Hannover 96",2,1,1,1
"6824","1985/1986",25,1986-03-25,"20:00","KFC Uerdingen 05","1. FC Kaiserslautern",3,1,2,1
"6825","1985/1986",25,1986-04-15,"20:00","Hamburger SV","FC Schalke 04",2,0,0,0
"6826","1985/1986",26,1986-03-07,"20:00","Borussia Dortmund","1. FC Kaiserslautern",4,2,1,0
"6827","1985/1986",26,1986-03-08,"15:30","SV Werder Bremen","VfL Bochum",0,0,0,0
"6828","1985/1986",26,1986-03-08,"15:30","FC Bayern Muenchen","Fortuna Duesseldorf",2,3,0,2
"6829","1985/1986",26,1986-03-08,"15:30","FC Schalke 04","1. FC Koeln",3,0,2,0
"6830","1985/1986",26,1986-03-08,"15:30","VfB Stuttgart","1. FC Nuernberg",3,1,1,0
"6831","1985/1986",26,1986-03-18,"20:00","Hannover 96","Hamburger SV",0,2,0,1
"6832","1985/1986",26,1986-03-18,"20:00","Borussia Moenchengladbach","SV Waldhof Mannheim",1,1,1,0
"6833","1985/1986",26,1986-03-25,"20:00","Bayer Leverkusen","Eintracht Frankfurt",2,0,1,0
"6834","1985/1986",26,1986-04-08,"20:00","1. FC Saarbruecken","KFC Uerdingen 05",1,2,0,2
"6835","1985/1986",27,1986-03-14,"20:00","1. FC Kaiserslautern","Bayer Leverkusen",4,1,1,1
"6836","1985/1986",27,1986-03-15,"15:30","VfL Bochum","Borussia Moenchengladbach",2,2,0,1
"6837","1985/1986",27,1986-03-15,"15:30","Fortuna Duesseldorf","VfB Stuttgart",0,7,0,2
"6838","1985/1986",27,1986-03-15,"15:30","Eintracht Frankfurt","SV Werder Bremen",0,2,0,0
"6839","1985/1986",27,1986-03-15,"15:30","Hamburger SV","1. FC Saarbruecken",4,0,2,0
"6840","1985/1986",27,1986-03-15,"15:30","1. FC Koeln","Hannover 96",3,0,1,0
"6841","1985/1986",27,1986-03-15,"15:30","SV Waldhof Mannheim","FC Bayern Muenchen",0,4,0,4
"6842","1985/1986",27,1986-03-15,"15:30","1. FC Nuernberg","FC Schalke 04",3,1,2,0
"6843","1985/1986",27,1986-03-15,"15:30","KFC Uerdingen 05","Borussia Dortmund",2,0,0,0
"6844","1985/1986",28,1986-03-21,"19:30","Bayer Leverkusen","Borussia Dortmund",2,1,2,1
"6845","1985/1986",28,1986-03-21,"20:00","SV Werder Bremen","1. FC Kaiserslautern",2,0,0,0
"6846","1985/1986",28,1986-03-22,"15:30","Hamburger SV","KFC Uerdingen 05",1,4,0,2
"6847","1985/1986",28,1986-03-22,"15:30","Hannover 96","1. FC Nuernberg",0,2,0,1
"6848","1985/1986",28,1986-03-22,"15:30","Borussia Moenchengladbach","Eintracht Frankfurt",1,1,0,1
"6849","1985/1986",28,1986-03-22,"15:30","FC Bayern Muenchen","VfL Bochum",6,1,2,0
"6850","1985/1986",28,1986-03-22,"15:30","1. FC Saarbruecken","1. FC Koeln",1,2,0,0
"6851","1985/1986",28,1986-03-22,"15:30","FC Schalke 04","Fortuna Duesseldorf",1,1,0,1
"6852","1985/1986",28,1986-03-22,"15:30","VfB Stuttgart","SV Waldhof Mannheim",3,1,2,0
"6853","1985/1986",29,1986-03-27,"20:00","Fortuna Duesseldorf","Hannover 96",2,2,1,2
"6854","1985/1986",29,1986-03-29,"15:30","VfL Bochum","VfB Stuttgart",0,2,0,0
"6855","1985/1986",29,1986-03-29,"15:30","Eintracht Frankfurt","FC Bayern Muenchen",2,2,2,0
"6856","1985/1986",29,1986-03-29,"15:30","1. FC Kaiserslautern","Borussia Moenchengladbach",1,1,0,0
"6857","1985/1986",29,1986-03-29,"15:30","1. FC Koeln","Hamburger SV",1,1,0,0
"6858","1985/1986",29,1986-03-29,"15:30","SV Waldhof Mannheim","FC Schalke 04",3,0,1,0
"6859","1985/1986",29,1986-03-29,"15:30","1. FC Nuernberg","1. FC Saarbruecken",2,0,1,0
"6860","1985/1986",29,1986-03-29,"15:30","KFC Uerdingen 05","Bayer Leverkusen",2,1,1,0
"6861","1985/1986",29,1986-03-31,"18:00","Borussia Dortmund","SV Werder Bremen",1,1,1,1
"6862","1985/1986",30,1986-04-04,"20:00","SV Werder Bremen","Bayer Leverkusen",5,0,2,0
"6863","1985/1986",30,1986-04-05,"15:30","Hamburger SV","1. FC Nuernberg",2,1,2,1
"6864","1985/1986",30,1986-04-05,"15:30","Hannover 96","SV Waldhof Mannheim",1,1,1,0
"6865","1985/1986",30,1986-04-05,"15:30","1. FC Koeln","KFC Uerdingen 05",1,1,1,1
"6866","1985/1986",30,1986-04-05,"15:30","Borussia Moenchengladbach","Borussia Dortmund",2,1,2,0
"6867","1985/1986",30,1986-04-05,"15:30","FC Bayern Muenchen","1. FC Kaiserslautern",5,0,4,0
"6868","1985/1986",30,1986-04-05,"15:30","1. FC Saarbruecken","Fortuna Duesseldorf",1,1,1,0
"6869","1985/1986",30,1986-04-05,"15:30","FC Schalke 04","VfL Bochum",4,2,0,1
"6870","1985/1986",30,1986-04-05,"15:30","VfB Stuttgart","Eintracht Frankfurt",2,1,2,0
"6871","1985/1986",31,1986-04-11,"20:00","VfL Bochum","Hannover 96",3,2,0,1
"6872","1985/1986",31,1986-04-11,"20:00","1. FC Kaiserslautern","VfB Stuttgart",2,2,0,1
"6873","1985/1986",31,1986-04-11,"20:00","KFC Uerdingen 05","SV Werder Bremen",1,0,0,0
"6874","1985/1986",31,1986-04-12,"15:30","Borussia Dortmund","FC Bayern Muenchen",0,3,0,1
"6875","1985/1986",31,1986-04-12,"15:30","Fortuna Duesseldorf","Hamburger SV",3,1,2,0
"6876","1985/1986",31,1986-04-12,"15:30","Eintracht Frankfurt","FC Schalke 04",3,0,2,0
"6877","1985/1986",31,1986-04-12,"15:30","Bayer Leverkusen","Borussia Moenchengladbach",3,1,2,0
"6878","1985/1986",31,1986-04-12,"15:30","SV Waldhof Mannheim","1. FC Saarbruecken",1,0,1,0
"6879","1985/1986",31,1986-04-12,"15:30","1. FC Nuernberg","1. FC Koeln",3,0,1,0
"6880","1985/1986",32,1986-04-17,"20:00","SV Werder Bremen","Borussia Moenchengladbach",1,1,0,0
"6881","1985/1986",32,1986-04-17,"20:00","Hannover 96","Eintracht Frankfurt",0,0,0,0
"6882","1985/1986",32,1986-04-18,"20:00","KFC Uerdingen 05","1. FC Nuernberg",6,2,3,1
"6883","1985/1986",32,1986-04-19,"15:30","Hamburger SV","SV Waldhof Mannheim",3,0,3,0
"6884","1985/1986",32,1986-04-19,"15:30","1. FC Koeln","Fortuna Duesseldorf",1,3,0,1
"6885","1985/1986",32,1986-04-19,"15:30","FC Bayern Muenchen","Bayer Leverkusen",0,0,0,0
"6886","1985/1986",32,1986-04-19,"15:30","1. FC Saarbruecken","VfL Bochum",0,1,0,1
"6887","1985/1986",32,1986-04-19,"15:30","FC Schalke 04","1. FC Kaiserslautern",2,3,1,2
"6888","1985/1986",32,1986-04-19,"15:30","VfB Stuttgart","Borussia Dortmund",4,0,2,0
"6889","1985/1986",33,1986-04-22,"20:00","VfL Bochum","Hamburger SV",2,0,1,0
"6890","1985/1986",33,1986-04-22,"20:00","SV Werder Bremen","FC Bayern Muenchen",0,0,0,0
"6891","1985/1986",33,1986-04-22,"20:00","Borussia Dortmund","FC Schalke 04",1,1,0,1
"6892","1985/1986",33,1986-04-22,"20:00","Fortuna Duesseldorf","1. FC Nuernberg",2,1,2,0
"6893","1985/1986",33,1986-04-22,"20:00","Eintracht Frankfurt","1. FC Saarbruecken",1,3,0,1
