"","county","population","top","second","third"
"1597","montana,big horn",12671,"German","Irish","English"
"1598","montana,blaine",7009,"German","Norwegian","English"
"1599","montana,broadwater",4385,"German","English","Irish"
"1600","montana,carbon",9552,"German","English","Irish"
"1601","montana,carter",1360,"German","English","Norwegian"
"1602","montana,cascade",80357,"German","Irish","Norwegian"
"1603","montana,chouteau",5970,"German","Norwegian","English"
"1604","montana,custer",11696,"German","Norwegian","English"
"1605","montana,daniels",2017,"Norwegian","German","Irish"
"1606","montana,dawson",9059,"German","Norwegian","Irish"
"1607","montana,deer lodge",9417,"Irish","German","English"
"1608","montana,fallon",2837,"German","Norwegian","Irish"
"1609","montana,fergus",11893,"German","American","Norwegian"
"1610","montana,flathead",74471,"German","Irish","Norwegian"
"1611","montana,gallatin",67831,"German","Irish","English"
"1612","montana,garfield",1279,"German","English","American"
"1613","montana,glacier",13247,"German","Norwegian","Irish"
"1614","montana,golden valley",1042,"German","American","Norwegian"
"1615","montana,granite",2830,"German","English","Irish"
"1616","montana,hill",16673,"German","Norwegian","Irish"
"1617","montana,jefferson",10049,"German","English","Irish"
"1618","montana,judith basin",2329,"German","Norwegian","Irish"
"1619","montana,lake",26507,"German","Irish","English"
"1620","montana,lewis and clark",55716,"German","Irish","English"
"1621","montana,liberty",2158,"German","Norwegian","English"
"1622","montana,lincoln",18837,"German","English","American"
"1623","montana,mccone",1977,"German","Norwegian","American"
"1624","montana,madison",6851,"German","English","Irish"
"1625","montana,meagher",1932,"German","Norwegian","English"
"1626","montana,mineral",3884,"German","Irish","English"
"1627","montana,missoula",95802,"German","Irish","English"
"1628","montana,musselshell",4497,"German","English","Norwegian"
"1629","montana,park",15694,"German","English","Norwegian"
"1630","montana,petroleum",493,"German","American","Norwegian"
"1631","montana,phillips",4601,"German","Norwegian","Irish"
"1632","montana,pondera",6424,"German","Norwegian","Irish"
"1633","montana,powder river",1858,"German","English","Irish"
"1634","montana,powell",7180,"German","Irish","English"
"1635","montana,prairie",1199,"German","Irish","Norwegian"
"1636","montana,ravalli",36070,"German","English","Irish"
"1637","montana,richland",9667,"German","Norwegian","Irish"
"1638","montana,roosevelt",10620,"Norwegian","German","Irish"
"1639","montana,rosebud",9383,"German","Irish","English"
"1640","montana,sanders",10227,"German","English","Irish"
"1641","montana,sheridan",4105,"Norwegian","German","Danish"
"1642","montana,silver bow",34606,"Irish","German","English"
"1643","montana,stillwater",8195,"German","Norwegian","English"
"1644","montana,sweet grass",3609,"Norwegian","German","English"
"1645","montana,teton",6445,"German","Norwegian","English"
"1646","montana,toole",5267,"German","Norwegian","Irish"
"1647","montana,treasure",861,"German","Norwegian","Irish"
"1648","montana,valley",7675,"German","Norwegian","American"
"1649","montana,wheatland",2259,"German","Norwegian","English"
"1650","montana,wibaux",1068,"German","Norwegian","Polish"
"1651","montana,yellowstone",129352,"German","Norwegian","Irish"
"1652","nebraska,adams",31151,"German","Irish","English"
"1653","nebraska,antelope",7452,"German","American","English"
"1654","nebraska,arthur",444,"German","English","Irish"
"1655","nebraska,banner",819,"German","English","American"
"1656","nebraska,blaine",583,"German","English","Irish"
"1657","nebraska,boone",6259,"German","Irish","Polish"
"1658","nebraska,box butte",12158,"German","English","Irish"
"1659","nebraska,boyd",2438,"German","American","Czech"
"1660","nebraska,brown",3525,"German","American","English"
"1661","nebraska,buffalo",42259,"German","Irish","English"
"1662","nebraska,burt",7791,"German","Swedish","Irish"
"1663","nebraska,butler",8767,"German","Czech","Irish"
"1664","nebraska,cass",24334,"German","American","Irish"
"1665","nebraska,cedar",9615,"German","American","Swedish"
"1666","nebraska,chase",4068,"German","American","English"
"1667","nebraska,cherry",6148,"German","English","Irish"
"1668","nebraska,cheyenne",9830,"German","English","Irish"
"1669","nebraska,clay",7039,"German","English","American"
"1670","nebraska,colfax",10441,"German","Czech","Irish"
"1671","nebraska,cuming",10203,"German","American","Swedish"
"1672","nebraska,custer",11793,"German","English","Irish"
"1673","nebraska,dakota",20253,"German","Irish","American"
"1674","nebraska,dawes",9060,"German","English","Irish"
"1675","nebraska,dawson",24365,"German","American","Irish"
"1676","nebraska,deuel",2098,"German","Irish","English"
"1677","nebraska,dixon",6339,"German","Irish","Swedish"
"1678","nebraska,dodge",36160,"German","Irish","English"
"1679","nebraska,douglas",463585,"German","Irish","English"
"1680","nebraska,dundy",2292,"German","English","American"
"1681","nebraska,fillmore",6634,"German","Czech","Irish"
"1682","nebraska,franklin",3574,"German","American","English"
"1683","nebraska,frontier",3099,"German","English","American"
"1684","nebraska,furnas",5324,"German","American","English"
"1685","nebraska,gage",22993,"German","Irish","English"
"1686","nebraska,garden",2292,"German","Irish","American"
"1687","nebraska,garfield",1902,"German","English","American"
"1688","nebraska,gosper",2143,"German","English","American"
"1689","nebraska,grant",747,"German","Irish","English"
"1690","nebraska,greeley",2714,"German","Irish","American"
"1691","nebraska,hall",53534,"German","Irish","English"
"1692","nebraska,hamilton",9403,"German","Swedish","Irish"
"1693","nebraska,harlan",3786,"German","American","Swedish"
"1694","nebraska,hayes",1068,"German","American","Irish"
"1695","nebraska,hitchcock",3111,"German","English","American"
"1696","nebraska,holt",11551,"German","Irish","American"
"1697","nebraska,hooker",783,"German","American","Irish"
"1698","nebraska,howard",6567,"German","Polish","Danish"
"1699","nebraska,jefferson",8333,"German","American","English"
"1700","nebraska,johnson",4488,"German","English","Irish"
"1701","nebraska,kearney",6882,"German","Danish","Swedish"
"1702","nebraska,keith",8875,"German","Irish","English"
"1703","nebraska,keya paha",983,"German","English","American"
"1704","nebraska,kimball",4089,"German","English","Irish"
"1705","nebraska,knox",9374,"German","Czech","Swedish"
"1706","nebraska,lancaster",250291,"German","English","Irish"
"1707","nebraska,lincoln",34632,"German","Irish","American"
"1708","nebraska,logan",774,"German","American","Irish"
"1709","nebraska,loup",712,"German","English","Irish"
"1710","nebraska,mcpherson",533,"German","American","Irish"
"1711","nebraska,madison",35226,"German","Irish","American"
"1712","nebraska,merrick",8204,"German","Polish","Irish"
"1713","nebraska,morrill",5440,"German","English","Irish"
"1714","nebraska,nance",4038,"German","Polish","Irish"
"1715","nebraska,nemaha",7576,"German","English","American"
"1716","nebraska,nuckolls",5057,"German","Danish","English"
"1717","nebraska,otoe",15396,"German","Irish","American"
"1718","nebraska,pawnee",3087,"German","American","English"
"1719","nebraska,perkins",3200,"German","English","Irish"
"1720","nebraska,phelps",9747,"German","Swedish","Irish"
"1721","nebraska,pierce",7857,"German","Irish","American"
"1722","nebraska,platte",31662,"German","Polish","Irish"
"1723","nebraska,polk",5639,"German","Swedish","Polish"
"1724","nebraska,red willow",11448,"German","English","Irish"
"1725","nebraska,richardson",9531,"German","American","Irish"
"1726","nebraska,rock",1756,"German","American","Irish"
"1727","nebraska,saline",13843,"German","Czech","Irish"
"1728","nebraska,sarpy",122595,"German","Irish","English"
"1729","nebraska,saunders",19830,"German","Czech","Irish"
"1730","nebraska,scotts bluff",36951,"German","English","Irish"
"1731","nebraska,seward",16496,"German","Czech","English"
"1732","nebraska,sheridan",6198,"German","English","Irish"
"1733","nebraska,sherman",3318,"German","Polish","English"
"1734","nebraska,sioux",1475,"German","Irish","American"
"1735","nebraska,stanton",6455,"German","Czech","Irish"
"1736","nebraska,thayer",6055,"German","English","American"
"1737","nebraska,thomas",729,"German","American","Irish"
"1738","nebraska,thurston",7171,"German","Irish","Swedish"
"1739","nebraska,valley",4647,"German","Czech","Polish"
"1740","nebraska,washington",18780,"German","Danish","Irish"
"1741","nebraska,wayne",9851,"German","Irish","Swedish"
"1742","nebraska,webster",4061,"German","English","American"
"1743","nebraska,wheeler",886,"German","Irish","English"
"1744","nebraska,york",14598,"German","Irish","English"
"1745","nevada,churchill",23982,"German","English","Irish"
"1746","nevada,clark",1375765,"German","Irish","English"
"1747","nevada,douglas",41259,"German","English","Irish"
"1748","nevada,elko",45291,"German","English","Irish"
"1749","nevada,esmeralda",971,"German","Irish","English"
"1750","nevada,eureka",1651,"English","German","American"
"1751","nevada,humboldt",16106,"German","English","Irish"
"1752","nevada,lander",5794,"German","American","English"
"1753","nevada,lincoln",4165,"English","German","Irish"
"1754","nevada,lyon",34501,"German","English","Irish"
"1755","nevada,mineral",5071,"English","German","Irish"
"1756","nevada,nye",32485,"German","Irish","English"
"1757","nevada,pershing",6693,"German","English","Irish"
"1758","nevada,storey",3399,"German","Irish","English"
"1759","nevada,washoe",339486,"German","Irish","English"
"1760","nevada,white pine",9181,"English","German","Irish"
"1761","nevada,carson city",52457,"German","English","Irish"
"1762","new hampshire,belknap",56325,"English","Irish","French (except Basque)"
"1763","new hampshire,carroll",43666,"English","Irish","American"
"1764","new hampshire,cheshire",73825,"English","French (except Basque)","Irish"
"1765","new hampshire,coos",33111,"French (except Basque)","French Canadian","English"
"1766","new hampshire,grafton",81743,"English","Irish","French (except Basque)"
"1767","new hampshire,hillsborough",380841,"Irish","French Canadian","French (except Basque)"
"1768","new hampshire,merrimack",136225,"English","Irish","French (except Basque)"
"1769","new hampshire,rockingham",277359,"Irish","English","Italian"
"1770","new hampshire,strafford",112233,"English","Irish","French (except Basque)"
"1771","new hampshire,sullivan",40458,"English","French (except Basque)","French Canadian"
"1772","new jersey,atlantic",252552,"Italian","Irish","German"
"1773","new jersey,bergen",884118,"Italian","Irish","German"
"1774","new jersey,burlington",423394,"Irish","Italian","German"
"1775","new jersey,camden",508932,"Italian","Irish","German"
"1776","new jersey,cape may",102326,"Irish","Italian","German"
"1777","new jersey,cumberland",146438,"Italian","German","Irish"
"1778","new jersey,essex",793633,"Italian","West Indian:excluding Hispanic groups ","Irish"
"1779","new jersey,gloucester",254673,"Italian","Irish","German"
"1780","new jersey,hudson",608975,"Italian","Irish","Polish"
"1781","new jersey,hunterdon",121989,"Italian","German","Irish"
"1782","new jersey,mercer",350761,"Italian","Irish","German"
"1783","new jersey,middlesex",750162,"Italian","Irish","Polish"
"1784","new jersey,monmouth",615301,"Italian","Irish","German"
"1785","new jersey,morris",470212,"Italian","Irish","German"
"1786","new jersey,ocean",510916,"Italian","Irish","German"
"1787","new jersey,passaic",489049,"Italian","Irish","German"
"1788","new jersey,salem",64285,"German","Irish","Italian"
"1789","new jersey,somerset",297490,"Italian","Irish","German"
"1790","new jersey,sussex",144166,"Italian","Irish","German"
"1791","new jersey,union",522541,"Italian","Irish","Polish"
"1792","new jersey,warren",102437,"Italian","German","Irish"
"1793","new mexico,bernalillo",556678,"German","English","Irish"
"1794","new mexico,catron",3543,"English","American","German"
"1795","new mexico,chaves",61382,"American","English","German"
"1796","new mexico,cibola",25595,"English","German","American"
"1797","new mexico,colfax",14189,"German","American","English"
"1798","new mexico,curry",45044,"American","German","English"
"1799","new mexico,de baca",2240,"American","Irish","English"
"1800","new mexico,dona ana",174682,"German","American","English"
"1801","new mexico,eddy",51658,"American","English","German"
"1802","new mexico,grant",31002,"American","English","German"
"1803","new mexico,guadalupe",4680,"German","American","English"
"1804","new mexico,harding",810,"German","English","Irish"
"1805","new mexico,hidalgo",5932,"American","Irish","German"
"1806","new mexico,lea",55511,"American","German","Irish"
"1807","new mexico,lincoln",19411,"German","English","American"
"1808","new mexico,los alamos",18343,"German","English","American"
"1809","new mexico,luna",25016,"American","German","Irish"
"1810","new mexico,mckinley",74798,"German","Irish","American"
"1811","new mexico,mora",5180,"American","German","English"
"1812","new mexico,otero",62298,"German","American","English"
"1813","new mexico,quay",10155,"American","English","German"
"1814","new mexico,rio arriba",41190,"German","American","English"
"1815","new mexico,roosevelt",18018,"American","Irish","German"
"1816","new mexico,sandoval",89908,"German","English","Irish"
"1817","new mexico,san juan",113801,"German","American","English"
"1818","new mexico,san miguel",30126,"American","German","English"
"1819","new mexico,santa fe",129292,"German","English","Irish"
"1820","new mexico,sierra",13270,"German","American","English"
"1821","new mexico,socorro",18078,"German","American","Irish"
"1822","new mexico,taos",29979,"German","English","Irish"
"1823","new mexico,torrance",16911,"American","German","Irish"
"1824","new mexico,union",4174,"American","German","English"
"1825","new mexico,valencia",66152,"German","American","English"
"1826","new york,albany",294565,"Irish","Italian","German"
"1827","new york,allegany",49927,"German","English","Irish"
"1828","new york,bronx",1332650,"West Indian:excluding Hispanic groups ","Italian","West Indian:excluding Hispanic groups--Jamaican"
"1829","new york,broome",200536,"Irish","Italian","German"
"1830","new york,cattaraugus",83955,"German","Irish","English"
"1831","new york,cayuga",81963,"Irish","English","Italian"
"1832","new york,chautauqua",139750,"German","Italian","Swedish"
"1833","new york,chemung",91070,"German","Irish","English"
"1834","new york,chenango",51401,"English","German","Irish"
"1835","new york,clinton",79894,"French (except Basque)","French Canadian","American"
"1836","new york,columbia",63094,"German","Italian","Irish"
"1837","new york,cortland",48599,"English","Irish","German"
"1838","new york,delaware",48055,"German","Irish","English"
"1839","new york,dutchess",280150,"Italian","Irish","German"
"1840","new york,erie",950265,"German","Polish","Italian"
"1841","new york,essex",38851,"French (except Basque)","Irish","English"
"1842","new york,franklin",51134,"French (except Basque)","Irish","American"
"1843","new york,fulton",55073,"Italian","German","Irish"
"1844","new york,genesee",60370,"German","Italian","English"
"1845","new york,greene",48195,"Irish","Italian","German"
"1846","new york,hamilton",5379,"Irish","German","English"
"1847","new york,herkimer",64427,"Italian","German","Irish"
"1848","new york,jefferson",111738,"Irish","German","English"
"1849","new york,kings",2465326,"West Indian:excluding Hispanic groups ","Italian","American"
"1850","new york,lewis",26944,"German","French (except Basque)","Irish"
"1851","new york,livingston",64328,"German","Irish","Italian"
"1852","new york,madison",69441,"German","English","Irish"
"1853","new york,monroe",735343,"Italian","German","Irish"
"1854","new york,montgomery",49708,"Italian","German","Polish"
"1855","new york,nassau",1334544,"Italian","Irish","German"
"1856","new york,new york",1537195,"Irish","Italian","Russian"
"1857","new york,niagara",219846,"German","Italian","Irish"
"1858","new york,oneida",235469,"Italian","Irish","German"
"1859","new york,onondaga",458336,"Italian","Irish","German"
"1860","new york,ontario",100224,"German","Irish","English"
"1861","new york,orange",341367,"Italian","Irish","German"
"1862","new york,orleans",44171,"German","English","Italian"
"1863","new york,oswego",122377,"Irish","German","Italian"
"1864","new york,otsego",61676,"Irish","English","German"
"1865","new york,putnam",95745,"Italian","Irish","German"
"1866","new york,queens",2229379,"Italian","West Indian:excluding Hispanic groups ","Irish"
"1867","new york,rensselaer",152538,"Irish","Italian","German"
"1868","new york,richmond",443728,"Italian","Irish","German"
"1869","new york,rockland",286753,"Italian","Irish","West Indian:excluding Hispanic groups "
"1870","new york,st lawrence",111931,"French (except Basque)","Irish","American"
"1871","new york,saratoga",200635,"Irish","Italian","German"
"1872","new york,schenectady",146555,"Italian","Irish","German"
"1873","new york,schoharie",31582,"German","Irish","American"
"1874","new york,schuyler",19224,"German","English","Irish"
"1875","new york,seneca",33342,"Italian","German","English"
"1876","new york,steuben",98726,"German","English","American"
"1877","new york,suffolk",1419369,"Italian","Irish","German"
"1878","new york,sullivan",73966,"German","Irish","Italian"
"1879","new york,tioga",51784,"German","English","Irish"
"1880","new york,tompkins",96501,"German","English","Irish"
"1881","new york,ulster",177749,"Italian","Irish","German"
"1882","new york,warren",63303,"Irish","English","Italian"
"1883","new york,washington",61042,"Irish","French (except Basque)","English"
"1884","new york,wayne",93765,"German","Italian","English"
"1885","new york,westchester",923459,"Italian","Irish","German"
"1886","new york,wyoming",43424,"German","English","Irish"
"1887","new york,yates",24621,"English","German","Irish"
"1888","north carolina,alamance",130800,"American","English","German"
"1889","north carolina,alexander",33603,"American","German","English"
"1890","north carolina,alleghany",10677,"American","English","German"
"1891","north carolina,anson",25275,"American","English","German"
"1892","north carolina,ashe",24384,"American","English","German"
"1893","north carolina,avery",17167,"American","English","German"
"1894","north carolina,beaufort",44958,"American","English","Irish"
"1895","north carolina,bertie",19773,"American","English","Irish"
"1896","north carolina,bladen",32278,"American","English","Scotch Irish"
"1897","north carolina,brunswick",73143,"American","English","Irish"
"1898","north carolina,buncombe",206330,"American","English","German"
"1899","north carolina,burke",89148,"American","German","English"
"1900","north carolina,cabarrus",131063,"American","German","English"
"1901","north carolina,caldwell",77415,"American","German","English"
"1902","north carolina,camden",6885,"American","English","Irish"
"1903","north carolina,carteret",59383,"American","English","German"
"1904","north carolina,caswell",23501,"American","English","Irish"
"1905","north carolina,catawba",141685,"American","German","English"
"1906","north carolina,chatham",49329,"American","English","German"
"1907","north carolina,cherokee",24298,"American","Irish","German"
"1908","north carolina,chowan",14526,"American","English","Irish"
"1909","north carolina,clay",8775,"American","English","Irish"
"1910","north carolina,cleveland",96287,"American","German","English"
"1911","north carolina,columbus",54749,"American","English","Irish"
"1912","north carolina,craven",91436,"American","English","German"
"1913","north carolina,cumberland",302963,"American","German","Irish"
"1914","north carolina,currituck",18190,"American","English","German"
"1915","north carolina,dare",29967,"English","American","German"
"1916","north carolina,davidson",147246,"American","German","English"
"1917","north carolina,davie",34835,"American","German","English"
"1918","north carolina,duplin",49063,"American","English","Irish"
"1919","north carolina,durham",223314,"English","American","German"
"1920","north carolina,edgecombe",55606,"American","English","Irish"
"1921","north carolina,forsyth",306067,"American","German","English"
"1922","north carolina,franklin",47260,"American","English","German"
"1923","north carolina,gaston",190365,"American","German","Irish"
"1924","north carolina,gates",10516,"American","English","German"
"1925","north carolina,graham",7993,"American","Irish","English"
"1926","north carolina,granville",48498,"American","English","Irish"
"1927","north carolina,greene",18974,"American","English","Irish"
"1928","north carolina,guilford",421048,"American","English","German"
"1929","north carolina,halifax",57370,"American","English","Irish"
"1930","north carolina,harnett",91025,"American","English","Irish"
"1931","north carolina,haywood",54033,"American","English","German"
"1932","north carolina,henderson",89173,"American","English","German"
"1933","north carolina,hertford",22601,"American","English","German"
"1934","north carolina,hoke",33646,"American","German","Irish"
"1935","north carolina,hyde",5826,"American","English","Irish"
"1936","north carolina,iredell",122660,"American","German","English"
"1937","north carolina,jackson",33121,"American","English","Irish"
"1938","north carolina,johnston",121965,"American","English","German"
"1939","north carolina,jones",10381,"American","English","Irish"
"1940","north carolina,lee",49040,"American","English","German"
"1941","north carolina,lenoir",59648,"American","English","Irish"
"1942","north carolina,lincoln",63780,"American","German","English"
"1943","north carolina,mcdowell",42151,"American","English","Irish"
"1944","north carolina,macon",29811,"American","English","German"
"1945","north carolina,madison",19635,"American","English","Irish"
"1946","north carolina,martin",25593,"American","English","German"
"1947","north carolina,mecklenburg",695454,"German","American","English"
"1948","north carolina,mitchell",15687,"American","English","Irish"
"1949","north carolina,montgomery",26822,"American","English","German"
"1950","north carolina,moore",74769,"American","English","German"
"1951","north carolina,nash",87420,"American","English","German"
"1952","north carolina,new hanover",160307,"English","American","German"
"1953","north carolina,northampton",22086,"American","English","Irish"
"1954","north carolina,onslow",150355,"American","German","Irish"
"1955","north carolina,orange",118227,"English","German","American"
"1956","north carolina,pamlico",12934,"American","English","Irish"
"1957","north carolina,pasquotank",34897,"American","English","German"
"1958","north carolina,pender",41082,"American","English","German"
"1959","north carolina,perquimans",11368,"American","English","German"
"1960","north carolina,person",35623,"American","English","Irish"
"1961","north carolina,pitt",133798,"American","English","German"
"1962","north carolina,polk",18324,"American","English","Irish"
"1963","north carolina,randolph",130454,"American","English","German"
"1964","north carolina,richmond",46564,"American","English","Scotch Irish"
"1965","north carolina,robeson",123339,"American","English","Scotch Irish"
"1966","north carolina,rockingham",91928,"American","English","Irish"
"1967","north carolina,rowan",130340,"American","German","English"
"1968","north carolina,rutherford",62899,"American","English","Irish"
"1969","north carolina,sampson",60161,"American","English","Irish"
"1970","north carolina,scotland",35998,"American","Scotch Irish","English"
"1971","north carolina,stanly",58100,"American","German","English"
"1972","north carolina,stokes",44711,"American","English","German"
"1973","north carolina,surry",71219,"American","English","German"
"1974","north carolina,swain",12968,"American","Irish","Scotch Irish"
"1975","north carolina,transylvania",29334,"American","English","German"
"1976","north carolina,tyrrell",4149,"American","English","Irish"
"1977","north carolina,union",123677,"American","German","English"
"1978","north carolina,vance",42954,"American","English","Irish"
"1979","north carolina,wake",627846,"English","American","German"
"1980","north carolina,warren",19972,"American","English","German"
"1981","north carolina,washington",13723,"American","English","Irish"
"1982","north carolina,watauga",42695,"American","English","German"
"1983","north carolina,wayne",113329,"American","English","Irish"
"1984","north carolina,wilkes",65632,"American","English","Irish"
"1985","north carolina,wilson",73814,"American","English","Irish"
"1986","north carolina,yadkin",36348,"American","English","German"
"1987","north carolina,yancey",17774,"American","English","Irish"
"1988","north dakota,adams",2593,"German","Norwegian","English"
"1989","north dakota,barnes",11775,"German","Norwegian","Irish"
"1990","north dakota,benson",6964,"Norwegian","German","Swedish"
"1991","north dakota,billings",888,"German","Ukrainian","Norwegian"
"1992","north dakota,bottineau",7149,"Norwegian","German","French (except Basque)"
"1993","north dakota,bowman",3242,"German","Norwegian","Irish"
"1994","north dakota,burke",2242,"Norwegian","German","Swedish"
"1995","north dakota,burleigh",69416,"German","Norwegian","Irish"
"1996","north dakota,cass",123138,"German","Norwegian","Irish"
"1997","north dakota,cavalier",4831,"German","Norwegian","French (except Basque)"
"1998","north dakota,dickey",5757,"German","Norwegian","American"
"1999","north dakota,divide",2283,"Norwegian","German","Irish"
"2000","north dakota,dunn",3600,"German","Norwegian","Czech"
"2001","north dakota,eddy",2757,"Norwegian","German","Swedish"
"2002","north dakota,emmons",4331,"German","Dutch","American"
"2003","north dakota,foster",3759,"German","Norwegian","Irish"
"2004","north dakota,golden valley",1924,"German","Norwegian","Polish"
"2005","north dakota,grand forks",66109,"Norwegian","German","Irish"
"2006","north dakota,grant",2841,"German","Norwegian","American"
"2007","north dakota,griggs",2754,"Norwegian","German","Swedish"
"2008","north dakota,hettinger",2715,"German","Norwegian","American"
"2009","north dakota,kidder",2753,"German","Norwegian","English"
"2010","north dakota,lamoure",4701,"German","Norwegian","Swedish"
"2011","north dakota,logan",2308,"German","Norwegian","American"
"2012","north dakota,mchenry",5987,"German","Norwegian","American"
"2013","north dakota,mcintosh",3390,"German","American","Norwegian"
"2014","north dakota,mckenzie",5737,"Norwegian","German","Irish"
"2015","north dakota,mclean",9311,"German","Norwegian","Swedish"
"2016","north dakota,mercer",8644,"German","Norwegian","Irish"
"2017","north dakota,morton",25303,"German","Norwegian","American"
"2018","north dakota,mountrail",6631,"Norwegian","German","Irish"
"2019","north dakota,nelson",3715,"Norwegian","German","Irish"
"2020","north dakota,oliver",2065,"German","Norwegian","American"
"2021","north dakota,pembina",8585,"Norwegian","German","Icelander"
"2022","north dakota,pierce",4675,"German","Norwegian","Irish"
"2023","north dakota,ramsey",12066,"German","Norwegian","Irish"
"2024","north dakota,ransom",5890,"German","Norwegian","Swedish"
"2025","north dakota,renville",2610,"Norwegian","German","Irish"
"2026","north dakota,richland",17998,"German","Norwegian","Irish"
"2027","north dakota,rolette",13674,"Norwegian","German","French (except Basque)"
"2028","north dakota,sargent",4366,"German","Norwegian","Swedish"
"2029","north dakota,sheridan",1710,"German","Norwegian","American"
"2030","north dakota,sioux",4044,"German","Norwegian","Irish"
"2031","north dakota,slope",767,"German","Norwegian","American"
"2032","north dakota,stark",22636,"German","Norwegian","Czech"
"2033","north dakota,steele",2258,"Norwegian","German","English"
"2034","north dakota,stutsman",21908,"German","Norwegian","American"
"2035","north dakota,towner",2876,"German","Norwegian","Finnish"
"2036","north dakota,traill",8477,"Norwegian","German","Irish"
"2037","north dakota,walsh",12389,"Norwegian","German","Polish"
"2038","north dakota,ward",58795,"German","Norwegian","Irish"
"2039","north dakota,wells",5102,"German","Norwegian","American"
"2040","north dakota,williams",19761,"Norwegian","German","Irish"
"2041","ohio,adams",27330,"American","German","Irish"
"2042","ohio,allen",108473,"German","American","Irish"
"2043","ohio,ashland",52523,"German","American","English"
"2044","ohio,ashtabula",102728,"German","Italian","English"
"2045","ohio,athens",62223,"German","American","Irish"
"2046","ohio,auglaize",46611,"German","American","Irish"
"2047","ohio,belmont",70226,"German","Irish","American"
"2048","ohio,brown",42285,"American","German","English"
"2049","ohio,butler",332807,"German","American","Irish"
"2050","ohio,carroll",28836,"German","American","Irish"
"2051","ohio,champaign",38890,"American","German","English"
"2052","ohio,clark",144742,"German","American","Irish"
"2053","ohio,clermont",177977,"German","American","Irish"
"2054","ohio,clinton",40543,"American","German","English"
"2055","ohio,columbiana",112075,"German","English","American"
"2056","ohio,coshocton",36655,"German","American","English"
"2057","ohio,crawford",46966,"German","American","English"
"2058","ohio,cuyahoga",1393978,"German","Irish","Italian"
"2059","ohio,darke",53309,"German","American","English"
"2060","ohio,defiance",39500,"German","American","Irish"
"2061","ohio,delaware",109989,"German","Irish","English"
"2062","ohio,erie",79551,"German","Irish","English"
"2063","ohio,fairfield",122759,"German","American","Irish"
"2064","ohio,fayette",28433,"American","German","English"
"2065","ohio,franklin",1068978,"German","American","Irish"
"2066","ohio,fulton",42084,"German","American","Irish"
"2067","ohio,gallia",31069,"American","German","English"
"2068","ohio,geauga",90895,"German","Italian","Irish"
"2069","ohio,greene",147886,"German","American","English"
"2070","ohio,guernsey",40792,"German","American","Irish"
"2071","ohio,hamilton",845303,"German","Irish","American"
"2072","ohio,hancock",71295,"German","American","English"
"2073","ohio,hardin",31945,"German","American","English"
"2074","ohio,harrison",15856,"German","American","Irish"
"2075","ohio,henry",29210,"German","American","Irish"
"2076","ohio,highland",40875,"American","German","Irish"
"2077","ohio,hocking",28241,"German","American","English"
"2078","ohio,holmes",38943,"German","American","Swiss"
"2079","ohio,huron",59487,"German","American","English"
"2080","ohio,jackson",32641,"American","German","English"
"2081","ohio,jefferson",73894,"Italian","German","Irish"
"2082","ohio,knox",54500,"German","American","English"
"2083","ohio,lake",227511,"German","Italian","Irish"
"2084","ohio,lawrence",62319,"American","German","English"
"2085","ohio,licking",145491,"German","American","Irish"
"2086","ohio,logan",46005,"German","American","English"
"2087","ohio,lorain",284664,"German","Irish","English"
"2088","ohio,lucas",455054,"German","Polish","Irish"
"2089","ohio,madison",40213,"American","German","English"
"2090","ohio,mahoning",257555,"Italian","German","Irish"
"2091","ohio,marion",66217,"American","German","English"
"2092","ohio,medina",151095,"German","Irish","Italian"
"2093","ohio,meigs",23072,"American","German","English"
"2094","ohio,mercer",40924,"German","American","Irish"
"2095","ohio,miami",98868,"German","American","English"
"2096","ohio,monroe",15180,"German","American","Irish"
"2097","ohio,montgomery",559062,"German","American","Irish"
"2098","ohio,morgan",14897,"American","German","English"
"2099","ohio,morrow",31628,"American","German","English"
"2100","ohio,muskingum",84585,"American","German","English"
"2101","ohio,noble",14058,"German","American","Irish"
"2102","ohio,ottawa",40985,"German","Irish","American"
"2103","ohio,paulding",20293,"German","American","Irish"
"2104","ohio,perry",34078,"German","American","Irish"
"2105","ohio,pickaway",52727,"German","American","Irish"
"2106","ohio,pike",27695,"American","German","Irish"
"2107","ohio,portage",152061,"German","Irish","Italian"
"2108","ohio,preble",42337,"German","American","English"
"2109","ohio,putnam",34726,"German","American","Irish"
"2110","ohio,richland",128852,"German","American","Irish"
"2111","ohio,ross",73345,"American","German","English"
"2112","ohio,sandusky",61792,"German","American","English"
"2113","ohio,scioto",79195,"American","German","Irish"
"2114","ohio,seneca",58683,"German","American","Irish"
"2115","ohio,shelby",47910,"German","American","English"
"2116","ohio,stark",378098,"German","Italian","Irish"
"2117","ohio,summit",542899,"German","Irish","Italian"
"2118","ohio,trumbull",225116,"German","Italian","Irish"
"2119","ohio,tuscarawas",90914,"German","American","Irish"
"2120","ohio,union",40909,"German","American","Irish"
"2121","ohio,van wert",29659,"German","American","Irish"
"2122","ohio,vinton",12806,"American","German","Irish"
"2123","ohio,warren",158383,"German","American","Irish"
"2124","ohio,washington",63251,"German","American","English"
"2125","ohio,wayne",111564,"German","American","Irish"
"2126","ohio,williams",39188,"German","American","English"
"2127","ohio,wood",121065,"German","American","English"
"2128","ohio,wyandot",22908,"German","American","English"
"2129","oklahoma,adair",21038,"American","Irish","German"
