"","rate.male","LCL95.male","UCL95.male","rate.female","LCL95.female","UCL95.female","state","county"
"montana,chouteau",220.9,157.7,312.9,155.2,102.4,235.1,"Montana","Chouteau County"
"montana,granite",220.8,135.8,402.7,NA,NA,NA,"Montana","Granite County"
"montana,rosebud",219.2,152.2,309.5,222.3,159.3,303.6,"Montana","Rosebud County"
"montana,sweet grass",218.3,139.5,341.5,135.3,81.4,241.6,"Montana","Sweet Grass County"
"montana,carbon",218,167,283.9,173.2,131,229.7,"Montana","Carbon County"
"montana,missoula",217,195.2,240.7,154.1,138.4,171.3,"Montana","Missoula County"
"montana,lewis and clark",216.3,190.1,245.5,187.3,166.5,210.4,"Montana","Lewis and Clark County"
"montana,beaverhead",214.1,158.1,286,169.2,122.4,231.8,"Montana","Beaverhead County"
"montana,madison",208,150,288.2,147.2,101.9,218.3,"Montana","Madison County"
"montana,stillwater",207.6,149.4,283.9,143.8,101,204.7,"Montana","Stillwater County"
"montana,blaine",203.7,140.1,289.6,161.6,109.7,234.4,"Montana","Blaine County"
"montana,daniels",195.6,113.1,397.2,NA,NA,NA,"Montana","Daniels County"
"montana,gallatin",192.1,166.3,221.3,138,119.2,159.1,"Montana","Gallatin County"
"montana,teton",187.5,130.4,269.4,149.3,104.2,218.3,"Montana","Teton County"
"nebraska,deuel",317.5,206.9,516,NA,NA,NA,"Nebraska","Deuel County"
"nebraska,nuckolls",289,218.5,387.3,180.1,126.5,265.8,"Nebraska","Nuckolls County"
"nebraska,burt",285.9,224.8,366.3,134.9,96.9,193.5,"Nebraska","Burt County"
"nebraska,franklin",283.6,196,419.7,219.5,145.7,348,"Nebraska","Franklin County"
"nebraska,stanton",279.1,199.9,381.5,146.4,95.8,218.7,"Nebraska","Stanton County"
"nebraska,fillmore",277.8,210.8,367.8,145.5,102.3,215.1,"Nebraska","Fillmore County"
"nebraska,pierce",276.2,210.9,359.1,124.4,84,183.3,"Nebraska","Pierce County"
"nebraska,hitchcock",275.3,183.3,422.8,149.2,88.9,269.4,"Nebraska","Hitchcock County"
"nebraska,richardson",275.3,219.2,346.7,212.4,167.3,273.9,"Nebraska","Richardson County"
"nebraska,furnas",265.1,195.6,364,114.3,74,185.9,"Nebraska","Furnas County"
"nebraska,dundy",264.9,155.8,449.9,NA,NA,NA,"Nebraska","Dundy County"
"nebraska,clay",259.4,194.8,345.4,153.7,108.2,220.2,"Nebraska","Clay County"
"nebraska,thurston",258.6,184.3,356.1,170.8,116.3,245.4,"Nebraska","Thurston County"
"nebraska,douglas",257.9,247,269.3,172.7,165.3,180.3,"Nebraska","Douglas County"
"nebraska,red willow",253.3,202.6,315.7,185.4,145.3,236.6,"Nebraska","Red Willow County"
"nebraska,dixon",247.9,180.3,336.8,124.2,83.6,185.8,"Nebraska","Dixon County"
"nebraska,box butte",243,188.8,309.7,171.1,131.1,221.4,"Nebraska","Box Butte County"
"nebraska,polk",242.7,178.6,331.1,124.3,79.7,195.7,"Nebraska","Polk County"
"nebraska,sheridan",238.8,177.2,322.8,151.3,104.1,223.6,"Nebraska","Sheridan County"
"nebraska,colfax",238.1,183.3,305.1,86.2,58.6,126.8,"Nebraska","Colfax County"
"nebraska,dakota",236.8,186.7,297.4,189.1,152.3,232.6,"Nebraska","Dakota County"
"nebraska,lincoln",236.1,204.5,271.5,169.5,146.2,196,"Nebraska","Lincoln County"
"nebraska,butler",232.7,177.5,302.4,153.6,112.6,209.9,"Nebraska","Butler County"
"nebraska,gage",231.8,197,271.8,143.3,119.1,172.3,"Nebraska","Gage County"
"nebraska,hamilton",229.6,173.3,301.2,164,122.5,221.5,"Nebraska","Hamilton County"
"nebraska,cheyenne",229.3,174.8,297.4,161,121.3,212.8,"Nebraska","Cheyenne County"
"nebraska,seward",229,185.5,280.8,156.5,124.1,197,"Nebraska","Seward County"
"nebraska,adams",228.9,195.9,266.1,136.7,114.8,162.4,"Nebraska","Adams County"
"nebraska,phelps",228.3,175.6,294.7,113.6,81.9,160,"Nebraska","Phelps County"
"nebraska,keith",227.6,170.9,301.3,196.7,152.1,257.9,"Nebraska","Keith County"
"nebraska,morrill",227.2,155.9,325.2,105.4,63.6,174.1,"Nebraska","Morrill County"
"nebraska,lancaster",226.8,212.7,241.7,165.5,155.5,176,"Nebraska","Lancaster County"
"nebraska,platte",225,190.8,264,163.9,138.9,192.6,"Nebraska","Platte County"
"nebraska,cass",224.6,184.4,271.9,128.1,102.9,158.1,"Nebraska","Cass County"
"nebraska,saline",224.6,179.2,279.3,129.7,97.6,171,"Nebraska","Saline County"
"nebraska,gosper",223,128.9,395.4,NA,NA,NA,"Nebraska","Gosper County"
"nebraska,nemaha",222,163,301,119.5,80.6,179.4,"Nebraska","Nemaha County"
"nebraska,chase",221.8,150.2,328.1,106.2,64,190.4,"Nebraska","Chase County"
"nebraska,buffalo",220.6,189.1,255.9,149.6,127.4,174.9,"Nebraska","Buffalo County"
"nebraska,antelope",219.9,164.8,295.4,151.3,107.5,216.4,"Nebraska","Antelope County"
"nebraska,dodge",219.5,190.7,251.9,172.7,150.3,198.2,"Nebraska","Dodge County"
"nebraska,nance",217.3,144.8,332.3,166.1,105.4,270.4,"Nebraska","Nance County"
"nebraska,madison",216.8,185.7,251.7,147.7,125.4,173.4,"Nebraska","Madison County"
"nebraska,kearney",216.7,155.4,297.9,137,93.4,200.1,"Nebraska","Kearney County"
"nebraska,dawson",216.6,179.8,258.7,159.2,130.9,192.6,"Nebraska","Dawson County"
"nebraska,kimball",215.6,143.4,327.5,174.8,118.2,276,"Nebraska","Kimball County"
"nebraska,otoe",215.4,174.8,264.4,180.1,144.8,223.6,"Nebraska","Otoe County"
"nebraska,scotts bluff",212.6,184.8,244,150.5,130,174,"Nebraska","Scotts Bluff County"
"nebraska,hall",212.3,187.3,240,152.6,134,173.4,"Nebraska","Hall County"
"nebraska,knox",211,165.4,272.2,133.8,97.7,187.6,"Nebraska","Knox County"
"nebraska,washington",208.4,167.1,257.6,170.6,138,209.8,"Nebraska","Washington County"
"nebraska,thayer",208.1,152.8,291.1,115.5,78.6,189.3,"Nebraska","Thayer County"
"nebraska,sarpy",205.6,181.4,232.9,167.9,150.6,186.6,"Nebraska","Sarpy County"
"nebraska,saunders",205.6,167.6,250.7,142.7,115,177.2,"Nebraska","Saunders County"
"nebraska,garden",202.8,120.1,368.3,160.2,83.4,356.1,"Nebraska","Garden County"
"nebraska,johnson",197.8,131.9,298.4,150.9,100.8,242.7,"Nebraska","Johnson County"
"nebraska,cedar",196.5,148.8,258.6,116.5,82.6,167.5,"Nebraska","Cedar County"
"nebraska,jefferson",195.3,147,260,153,112.9,210.5,"Nebraska","Jefferson County"
"nebraska,brown",195.1,126.3,307.8,141.7,87.1,246.2,"Nebraska","Brown County"
"nebraska,howard",192.2,135.1,269.6,158.2,111.6,225.2,"Nebraska","Howard County"
"nebraska,merrick",190.5,138.8,258.8,123,87.2,176.1,"Nebraska","Merrick County"
"nebraska,sherman",189.2,120.2,318.3,129.7,75.9,241.3,"Nebraska","Sherman County"
"nebraska,york",188.6,148.4,238.2,121.9,93.7,158.1,"Nebraska","York County"
"nebraska,holt",187.9,145.6,242.9,120.3,89.9,165.1,"Nebraska","Holt County"
"nebraska,harlan",181.4,114.8,295.2,123.7,73.7,232.4,"Nebraska","Harlan County"
"nebraska,custer",178.3,139.1,229.6,150.1,116.2,197.4,"Nebraska","Custer County"
"nebraska,pawnee",177.7,112.9,299.3,96.9,57.8,202.1,"Nebraska","Pawnee County"
"nebraska,boyd",175.2,101,331.2,140.8,75.7,309.2,"Nebraska","Boyd County"
"nebraska,boone",173.6,121,254.3,159,112.8,240.7,"Nebraska","Boone County"
"nebraska,valley",166.9,112.1,252.8,83.6,50,160.2,"Nebraska","Valley County"
"nebraska,webster",162.8,104.9,268.7,126.4,80.4,222.9,"Nebraska","Webster County"
"nebraska,cuming",158.4,118.6,211.5,138.9,104,187.3,"Nebraska","Cuming County"
"nebraska,perkins",156.3,87.5,272.6,183.9,113.7,313.4,"Nebraska","Perkins County"
"nebraska,cherry",153.4,100.8,227.9,185.9,132.3,262.6,"Nebraska","Cherry County"
"nebraska,dawes",148.1,101.1,214.3,169.3,123.8,231.7,"Nebraska","Dawes County"
"nebraska,wayne",110.6,70.6,168.1,154.4,110.7,215,"Nebraska","Wayne County"
"nevada,lander",360,227.9,553.4,217.4,128.6,350.3,"Nevada","Lander County"
"nevada,pershing",287.3,185.8,430.8,151.4,87.1,249.4,"Nevada","Pershing County"
"nevada,lyon",284,249.4,323.1,200.9,173.4,232.2,"Nevada","Lyon County"
"nevada,mineral",282.5,208.2,386.8,190,129.7,279.9,"Nevada","Mineral County"
"nevada,carson city",273,245.6,303.1,180.2,160.7,201.7,"Nevada","Carson City"
"nevada,nye",255.1,224.7,289.6,163.2,140,190.4,"Nevada","Nye County"
"nevada,elko",252.4,211.1,300.7,151.2,122.7,184.8,"Nevada","Elko County"
"nevada,clark",248.5,242.3,254.8,177.4,172.8,182,"Nevada","Clark County"
"nevada,washoe",236.3,224.5,248.5,179.4,170.4,188.6,"Nevada","Washoe County"
"nevada,humboldt",233.6,174.3,312,185.2,140,241.5,"Nevada","Humboldt County"
"nevada,churchill",219.7,181.3,264.9,169.5,138.7,205.5,"Nevada","Churchill County"
"nevada,white pine",212.4,154.6,288.4,141,99,202.4,"Nevada","White Pine County"
"nevada,lincoln",193.1,123.4,295.8,178.2,113.8,287.8,"Nevada","Lincoln County"
"nevada,douglas",190.1,165,218.9,142.6,122.5,166.3,"Nevada","Douglas County"
"new hampshire,coos",290.1,256.7,327.6,177,154.5,203.1,"New Hampshire","Coos County"
"new hampshire,strafford",260.7,239.2,283.9,174.3,159.6,190.1,"New Hampshire","Strafford County"
"new hampshire,belknap",255.9,230.9,283.4,186.3,167.4,207.5,"New Hampshire","Belknap County"
"new hampshire,cheshire",249.8,226,275.5,158.1,142.1,175.7,"New Hampshire","Cheshire County"
"new hampshire,sullivan",247.9,219,280.1,176.1,154.8,200.3,"New Hampshire","Sullivan County"
"new hampshire,hillsborough",246.4,234.6,258.7,162,154.1,170.1,"New Hampshire","Hillsborough County"
"new hampshire,rockingham",244.4,230.7,258.8,178.5,168.7,188.8,"New Hampshire","Rockingham County"
"new hampshire,merrimack",237.5,219.8,256.2,159.1,147,172.1,"New Hampshire","Merrimack County"
"new hampshire,grafton",234.6,213,258,160.6,145,177.7,"New Hampshire","Grafton County"
"new hampshire,carroll",211.2,186.9,238.5,158.8,139.9,180.6,"New Hampshire","Carroll County"
"new jersey,gloucester",292.3,277,308.3,197.5,187.3,208.2,"New Jersey","Gloucester County"
"new jersey,salem",288.5,262.1,317,196.8,178.1,217.2,"New Jersey","Salem County"
"new jersey,atlantic",271.3,257.7,285.6,201.2,191.4,211.5,"New Jersey","Atlantic County"
"new jersey,camden",270.4,260.3,280.8,191.7,184.7,198.9,"New Jersey","Camden County"
"new jersey,cumberland",268.5,250.3,287.7,184.4,171.7,197.8,"New Jersey","Cumberland County"
"new jersey,burlington",261.6,250.8,272.7,181.2,173.8,188.9,"New Jersey","Burlington County"
"new jersey,ocean",256.2,248.5,264.1,180.6,174.8,186.6,"New Jersey","Ocean County"
"new jersey,monmouth",255,246.2,264.1,194.1,187.8,200.7,"New Jersey","Monmouth County"
"new jersey,essex",254.6,246.5,262.9,182,176.4,187.6,"New Jersey","Essex County"
"new jersey,cape may",252,234.7,270.5,185.2,172.3,199.3,"New Jersey","Cape May County"
"new jersey,union",240.6,231.6,249.9,161.7,155.6,168,"New Jersey","Union County"
"new jersey,sussex",239.8,220.2,260.8,189.7,175.2,205.2,"New Jersey","Sussex County"
"new jersey,hudson",237.7,228.5,247.3,161,154.9,167.3,"New Jersey","Hudson County"
"new jersey,passaic",236.2,226.5,246.3,170.5,163.7,177.6,"New Jersey","Passaic County"
"new jersey,mercer",235.3,224.1,246.9,172.1,164.2,180.3,"New Jersey","Mercer County"
"new jersey,morris",234.7,224.7,245,171.4,164.4,178.6,"New Jersey","Morris County"
"new jersey,warren",231.1,211.3,252.6,168.2,154.1,183.6,"New Jersey","Warren County"
"new jersey,somerset",226.9,214.2,240.2,158.2,149.6,167.2,"New Jersey","Somerset County"
"new jersey,middlesex",226.5,218.8,234.4,163,157.7,168.6,"New Jersey","Middlesex County"
"new jersey,bergen",224.6,218.3,231.1,164.4,159.9,169.1,"New Jersey","Bergen County"
"new jersey,hunterdon",217.4,198.1,238.4,167.3,153.3,182.5,"New Jersey","Hunterdon County"
"new mexico,quay",275.5,220.1,345,139.9,104.4,189.1,"New Mexico","Quay County"
"new mexico,chaves",272.2,246.1,300.5,157.6,140.2,176.9,"New Mexico","Chaves County"
"new mexico,roosevelt",254.1,204.3,312.7,152.6,118.4,194.3,"New Mexico","Roosevelt County"
"new mexico,lea",252.1,223,284.5,164.2,143.9,186.8,"New Mexico","Lea County"
"new mexico,grant",250.5,217.6,287.8,132.7,111.4,157.7,"New Mexico","Grant County"
"new mexico,eddy",239.8,213.3,268.9,175.8,155.6,198.3,"New Mexico","Eddy County"
"new mexico,valencia",238,210.9,268.2,133.4,115.6,153.3,"New Mexico","Valencia County"
"new mexico,curry",227.7,196.1,263.4,145.2,123.8,169.5,"New Mexico","Curry County"
"new mexico,sierra",226.2,188.1,275.1,164.2,131.4,208.8,"New Mexico","Sierra County"
"new mexico,cibola",224.1,184.3,270.8,136,108.2,169.1,"New Mexico","Cibola County"
"new mexico,socorro",222,173.6,281.1,158,122.6,201.2,"New Mexico","Socorro County"
"new mexico,san juan",220,198.5,243.7,152.4,137.3,168.8,"New Mexico","San Juan County"
"new mexico,torrance",219.8,168.5,285.6,135.3,100,179.7,"New Mexico","Torrance County"
"new mexico,otero",215.3,189.7,244.2,152.1,133.2,173.2,"New Mexico","Otero County"
"new mexico,sandoval",211.2,189.8,234.7,140.7,125.9,156.8,"New Mexico","Sandoval County"
"new mexico,luna",209.7,177,247.7,157,130.6,188.2,"New Mexico","Luna County"
"new mexico,bernalillo",209.3,200.7,218.1,141.8,135.8,147.9,"New Mexico","Bernalillo County"
"new mexico,colfax",207.4,165.5,258.9,131.3,101.1,170.8,"New Mexico","Colfax County"
"new mexico,taos",201.1,168,239.4,118.8,96.9,145,"New Mexico","Taos County"
"new mexico,dona ana",197.4,182.3,213.6,147.3,135.7,159.6,"New Mexico","Dona Ana County"
"new mexico,mckinley",197.2,168.6,229.8,146.4,125.5,170,"New Mexico","McKinley County"
"new mexico,union",193.6,122.2,301,144.2,86,242.6,"New Mexico","Union County"
"new mexico,guadalupe",187.8,116.3,293.2,174.4,108.5,276.5,"New Mexico","Guadalupe County"
"new mexico,rio arriba",187.5,158,221.3,146.4,123.8,172.1,"New Mexico","Rio Arriba County"
"new mexico,san miguel",181.7,149.7,218.8,122.3,99,149.7,"New Mexico","San Miguel County"
"new mexico,lincoln",176.7,143.5,217.3,95.9,73.9,125.1,"New Mexico","Lincoln County"
"new mexico,hidalgo",175.9,113.1,265.5,132.7,81.7,210,"New Mexico","Hidalgo County"
"new mexico,mora",172.3,111.1,264.2,NA,NA,NA,"New Mexico","Mora County"
"new mexico,santa fe",169.5,153.1,187.4,135.7,123.4,148.9,"New Mexico","Santa Fe County"
"new mexico,catron",168.8,96.2,303.3,NA,NA,NA,"New Mexico","Catron County"
"new mexico,los alamos",144,108.7,190.1,125.2,95.9,164.7,"New Mexico","Los Alamos County"
"new york,hamilton",294.9,220.7,396.6,209,151,298.9,"New York","Hamilton County"
"new york,greene",281.1,252.4,312.7,188,167.3,211.2,"New York","Greene County"
"new york,allegany",280.8,251.4,313.1,180,158.8,203.6,"New York","Allegany County"
"new york,oswego",277.3,255.8,300.4,178.6,164.3,194,"New York","Oswego County"
"new york,livingston",276.1,247.2,307.9,197.7,176.8,220.7,"New York","Livingston County"
"new york,rensselaer",275.9,258,294.7,190,177.6,203.2,"New York","Rensselaer County"
"new york,chemung",272.7,250.9,296.1,186.8,171.6,203.1,"New York","Chemung County"
"new york,st lawrence",272.7,251.8,295.1,173.8,159.7,189,"New York","St. Lawrence County"
"new york,washington",272,245.3,301.2,184.2,165.3,205,"New York","Washington County"
"new york,wyoming",271.8,238.5,308.9,171.9,149.1,197.9,"New York","Wyoming County"
"new york,schoharie",266.3,231.5,305.5,182.8,157.1,212.5,"New York","Schoharie County"
"new york,fulton",266.2,240,294.8,165.6,147.5,185.7,"New York","Fulton County"
"new york,sullivan",263.9,240.7,289.1,195.3,177.3,214.9,"New York","Sullivan County"
"new york,madison",263.8,237.9,292.1,178.2,160,198.2,"New York","Madison County"
"new york,orleans",261.4,229.1,297.5,188.7,165.1,215.1,"New York","Orleans County"
"new york,lewis",259.5,220.5,304.4,170.5,142.9,202.6,"New York","Lewis County"
"new york,cattaraugus",258.9,236.7,282.8,182.7,166.7,200.2,"New York","Cattaraugus County"
"new york,yates",258.2,219.8,302.4,179.3,151.1,212.4,"New York","Yates County"
"new york,niagara",256.8,243.2,271,176.8,167.3,186.8,"New York","Niagara County"
"new york,essex",256.7,225.7,291.3,178,155.7,203.6,"New York","Essex County"
"new york,jefferson",256.2,234.4,279.7,181,165.8,197.4,"New York","Jefferson County"
"new york,otsego",256.2,231.2,283.5,155.8,139,174.6,"New York","Otsego County"
"new york,warren",252.1,227.7,278.7,177.3,159.9,196.6,"New York","Warren County"
"new york,clinton",251.5,226.7,278.8,173.1,156,191.9,"New York","Clinton County"
"new york,wayne",250.9,229,274.5,174,158.3,191,"New York","Wayne County"
"new york,erie",250.1,243.6,256.7,174.8,170.3,179.4,"New York","Erie County"
"new york,tioga",250.1,221.1,282.5,158.3,139,180,"New York","Tioga County"
"new york,ulster",248.8,233.5,265,180.9,169.8,192.7,"New York","Ulster County"
"new york,onondaga",248.1,238.3,258.3,173,166.2,180,"New York","Onondaga County"
"new york,genesee",246.6,221.2,274.4,166,148.2,185.8,"New York","Genesee County"
"new york,franklin",246.2,216.9,278.8,169.8,149.3,193.1,"New York","Franklin County"
"new york,broome",245.9,232.4,260,169.1,159.5,179.2,"New York","Broome County"
"new york,chenango",245.9,219.5,274.9,170.1,150.8,191.6,"New York","Chenango County"
"new york,ontario",245.5,225.5,267,176.6,162,192.3,"New York","Ontario County"
"new york,steuben",245.5,226.3,266.1,180.7,166.2,196.2,"New York","Steuben County"
"new york,cortland",245.3,215.3,278.6,181.4,159.4,205.9,"New York","Cortland County"
"new york,dutchess",243.6,230.7,257.1,171.2,162.1,180.7,"New York","Dutchess County"
"new york,albany",243.5,231.6,255.9,170.4,162.2,179,"New York","Albany County"
"new york,chautauqua",242.8,226.7,259.8,169.3,157.7,181.8,"New York","Chautauqua County"
"new york,putnam",242.2,218.2,268.4,190.9,173.3,210,"New York","Putnam County"
"new york,orange",240.5,228.1,253.5,184.8,175.9,194.2,"New York","Orange County"
"new york,seneca",240.3,208.4,276.2,178.4,154,206.4,"New York","Seneca County"
"new york,oneida",240.2,227.9,253,165.8,157,175,"New York","Oneida County"
"new york,schuyler",240,197.2,290.4,166.7,136.5,203.1,"New York","Schuyler County"
"new york,herkimer",239.2,216.7,263.7,177.9,160.7,196.8,"New York","Herkimer County"
"new york,monroe",239,231.3,246.8,168.3,163,173.9,"New York","Monroe County"
"new york,suffolk",237.6,231.8,243.5,180.1,176,184.3,"New York","Suffolk County"
"new york,saratoga",237.5,222.3,253.5,171.4,160.6,182.7,"New York","Saratoga County"
"new york,columbia",235.6,212.9,260.3,174.8,157.6,194,"New York","Columbia County"
"new york,richmond",234.8,224.4,245.5,170.8,163.7,178.2,"New York","Richmond County"
"new york,bronx",234.5,227.9,241.3,161.1,156.8,165.4,"New York","Bronx County"
"new york,cayuga",233.7,212.5,256.6,160.4,145.1,177.2,"New York","Cayuga County"
"new york,schenectady",233.2,218,249.2,171.1,160,183,"New York","Schenectady County"
"new york,delaware",223.3,199.4,250,160,141.9,180.7,"New York","Delaware County"
"new york,new york",221.4,216.1,226.9,158.8,155.1,162.5,"New York","New York County"
"new york,rockland",216.9,204.4,230,160.8,152.2,169.8,"New York","Rockland County"
"new york,westchester",216.6,210.2,223.1,155.7,151.2,160.2,"New York","Westchester County"
"new york,montgomery",215.3,191.7,241.2,153.8,136.1,173.6,"New York","Montgomery County"
"new york,nassau",211.1,206.1,216.3,160.5,156.8,164.3,"New York","Nassau County"
"new york,kings",206.3,202.1,210.6,147.5,144.7,150.4,"New York","Kings County"
"new york,tompkins",204.7,182.7,229,171.3,154.6,189.5,"New York","Tompkins County"
"new york,queens",191.4,187.4,195.5,135.5,132.7,138.3,"New York","Queens County"
"north carolina,martin",368.9,318.4,426.7,212,182.9,245.3,"North Carolina","Martin County"
"north carolina,hoke",351.5,292.4,423.5,193.3,160.8,230.6,"North Carolina","Hoke County"
"north carolina,tyrrell",344.9,243.7,480.4,272.1,188.1,392.2,"North Carolina","Tyrrell County"
"north carolina,vance",337.4,297.5,382.3,184,161.3,209.3,"North Carolina","Vance County"
"north carolina,scotland",332.4,286.1,385.5,164.3,140.4,191.3,"North Carolina","Scotland County"
"north carolina,edgecombe",330.9,295.3,370.3,189.3,169.1,211.6,"North Carolina","Edgecombe County"
"north carolina,gates",321.2,253.1,403,177.1,134.5,232.8,"North Carolina","Gates County"
"north carolina,stokes",319.4,281.4,362.2,170.7,149.1,195,"North Carolina","Stokes County"
"north carolina,graham",317.2,247.6,402.5,120.3,84.7,170.7,"North Carolina","Graham County"
"north carolina,sampson",317.2,285.3,352.1,162,143.6,182.2,"North Carolina","Sampson County"
"north carolina,lenoir",314.4,282.7,349.4,175.5,157.4,195.3,"North Carolina","Lenoir County"
"north carolina,bertie",313.3,263.5,371.2,200.7,168.9,238.1,"North Carolina","Bertie County"
"north carolina,granville",312.4,275.1,354.2,169.2,147.5,193.4,"North Carolina","Granville County"
"north carolina,perquimans",310.8,253.5,380.3,145.5,110.7,190.9,"North Carolina","Perquimans County"
"north carolina,caswell",310.7,263.1,365.7,161.1,133.1,194.3,"North Carolina","Caswell County"
"north carolina,wayne",307.9,282.4,335.8,178.2,163.6,193.9,"North Carolina","Wayne County"
"north carolina,mitchell",306.9,255.5,367.2,138.6,111.5,173.2,"North Carolina","Mitchell County"
"north carolina,greene",306.4,248,377.5,149.2,118.6,186,"North Carolina","Greene County"
"north carolina,columbus",304.9,273.2,340.1,167.6,148.7,188.5,"North Carolina","Columbus County"
"north carolina,bladen",304.7,264.1,350.6,158.5,135.1,185.3,"North Carolina","Bladen County"
"north carolina,halifax",304.6,274.4,337.7,163.5,145.6,183.3,"North Carolina","Halifax County"
"north carolina,richmond",304.3,268.7,344.2,177.2,156.1,200.8,"North Carolina","Richmond County"
"north carolina,harnett",302.1,273.9,333,160.7,144.7,178.1,"North Carolina","Harnett County"
"north carolina,chowan",301.5,249.3,363.3,117.9,91,152.8,"North Carolina","Chowan County"
"north carolina,robeson",300.8,276.4,327.2,182.4,167.6,198.3,"North Carolina","Robeson County"
"north carolina,pitt",300.5,276.2,326.9,168.3,154.3,183.1,"North Carolina","Pitt County"
"north carolina,franklin",298.6,261.8,340.2,157,136.1,180.3,"North Carolina","Franklin County"
"north carolina,caldwell",297.5,271.3,326,154.2,138.8,171.1,"North Carolina","Caldwell County"
"north carolina,pasquotank",296.1,257.7,339.3,188.7,163.5,217.2,"North Carolina","Pasquotank County"
"north carolina,gaston",292.7,275,311.4,173.2,162.5,184.5,"North Carolina","Gaston County"
"north carolina,johnston",292.2,267.6,319,156.8,143,171.6,"North Carolina","Johnston County"
"north carolina,onslow",292.1,263.4,324,167.6,151.2,185.4,"North Carolina","Onslow County"
"north carolina,nash",291.3,265.3,319.8,170.4,154.9,187.2,"North Carolina","Nash County"
"north carolina,hertford",291,245.9,343.4,182.3,153.5,216,"North Carolina","Hertford County"
"north carolina,person",291,253.6,333.1,174.4,150.9,201.1,"North Carolina","Person County"
"north carolina,hyde",290.7,208,399.2,158.4,106.6,238.6,"North Carolina","Hyde County"
"north carolina,camden",289.4,213.2,387.1,214.8,155.3,292.7,"North Carolina","Camden County"
"north carolina,pamlico",288.6,231.3,358.9,147.6,115.3,189.9,"North Carolina","Pamlico County"
"north carolina,northampton",286.6,243.9,335.6,168.8,141.4,201.4,"North Carolina","Northampton County"
"north carolina,jones",286.5,218.6,372.3,143.2,106.2,192.5,"North Carolina","Jones County"
"north carolina,rockingham",285.5,262.8,309.8,190.3,175.2,206.6,"North Carolina","Rockingham County"
"north carolina,beaufort",283.1,251.9,317.7,164.3,144.9,186.1,"North Carolina","Beaufort County"
"north carolina,lee",281.6,249.4,317.9,163.8,143.6,186.4,"North Carolina","Lee County"
"north carolina,durham",280.3,262.7,298.8,172.1,161.2,183.5,"North Carolina","Durham County"
"north carolina,wilson",280,253.3,309.4,159.3,143.2,176.8,"North Carolina","Wilson County"
"north carolina,washington",279,224.9,343.6,160.6,126,204,"North Carolina","Washington County"
"north carolina,duplin",278.6,245.9,315.4,166.5,146.3,189,"North Carolina","Duplin County"
"north carolina,alamance",278.1,258.8,298.5,162.4,150.3,175.3,"North Carolina","Alamance County"
"north carolina,lincoln",277.8,248.5,310.4,152.8,135.2,172.3,"North Carolina","Lincoln County"
"north carolina,cleveland",276.9,254.2,301.3,166.8,152.5,182.2,"North Carolina","Cleveland County"
"north carolina,cumberland",276.7,259.4,295.2,170.2,159.8,181,"North Carolina","Cumberland County"
"north carolina,cherokee",276.6,240,318.2,171.3,145.7,201.7,"North Carolina","Cherokee County"
"north carolina,carteret",275.9,250.6,303.5,174.7,157.3,194.1,"North Carolina","Carteret County"
"north carolina,craven",275.9,252.2,301.7,172.1,156.6,189,"North Carolina","Craven County"
"north carolina,pender",273.8,239.2,313.6,159,137.6,183.3,"North Carolina","Pender County"
"north carolina,montgomery",271.7,229.6,320.6,147.4,122.4,177,"North Carolina","Montgomery County"
"north carolina,surry",267.9,243.5,294.4,163.1,147.2,180.5,"North Carolina","Surry County"
"north carolina,rutherford",267.4,242,295.1,154.6,138.5,172.5,"North Carolina","Rutherford County"
"north carolina,catawba",265.5,245.9,286.5,169.1,156.8,182.2,"North Carolina","Catawba County"
"north carolina,anson",264.8,223.9,311.6,150.9,125,181.3,"North Carolina","Anson County"
"north carolina,davidson",264.6,246.5,283.8,163,151.3,175.6,"North Carolina","Davidson County"
"north carolina,chatham",263.6,235.5,294.5,137.4,120.1,157,"North Carolina","Chatham County"
"north carolina,currituck",263.3,214.5,322.2,179,144.2,220.6,"North Carolina","Currituck County"
"north carolina,wilkes",261,236.1,288.1,155.7,139.2,174,"North Carolina","Wilkes County"
"north carolina,randolph",260.6,240.8,281.9,161.4,148.8,174.9,"North Carolina","Randolph County"
"north carolina,dare",259.7,222.3,303.1,190.8,162.4,223.7,"North Carolina","Dare County"
"north carolina,cabarrus",258.9,238.6,280.7,165.7,152.7,179.6,"North Carolina","Cabarrus County"
"north carolina,yadkin",258.8,224.9,297.2,151.1,129.7,175.7,"North Carolina","Yadkin County"
"north carolina,mcdowell",256.9,225.4,292.3,136.6,117.6,158.3,"North Carolina","McDowell County"
"north carolina,alexander",256.3,217,301.8,155.4,131.2,183.3,"North Carolina","Alexander County"
"north carolina,warren",256.2,213.7,305.9,184.7,154,221.3,"North Carolina","Warren County"
"north carolina,forsyth",256.1,243.1,269.7,169.9,161.6,178.6,"North Carolina","Forsyth County"
"north carolina,rowan",255.7,237.7,274.9,143.7,132.2,156,"North Carolina","Rowan County"
"north carolina,stanly",253.9,226.7,283.9,164.7,146.7,184.6,"North Carolina","Stanly County"
"north carolina,new hanover",253.7,236.7,271.9,166,154.7,178,"North Carolina","New Hanover County"
"north carolina,union",253.5,230.5,278.7,155.9,141.8,171.1,"North Carolina","Union County"
"north carolina,orange",253.4,229.3,279.7,176.6,160.6,193.8,"North Carolina","Orange County"
