"","csp","duree","oppo","age","sexe","interdit","cableue","assurvi","soldevu","eparlog","eparliv","credhab","credcon","versesp","retresp","remiche","preltre","prelfin","viredeb","virecre","porttit"
"437","ouvri","d24","non","ai35","hom","non","oui","non","n2","nul","nul","non","fai","non","fai","for","nul","fai","fai","fai","nul"
"438","ouvri","d24","non","ai35","hom","non","non","non","n1","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"439","cadsu","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"440","emplo","dp12","non","ai55","hom","non","non","non","n1","nul","nul","oui","fai","non","fai","nul","nul","nul","nul","fai","nul"
"441","ouvri","d24","non","ai45","hom","oui","non","non","p1","nul","nul","non","nul","non","for","fai","nul","nul","nul","fai","nul"
"442","retra","dp12","non","ai75","hom","non","non","oui","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"443","ouvri","d48","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","for","nul","nul","nul","nul","fai","nul"
"444","retra","d48","non","ai75","hom","non","non","oui","n1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"445","emplo","d24","non","ai25","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"446","agric","d24","non","ai35","hom","non","non","non","n2","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"447","emplo","dm2","non","ai75","hom","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"448","cadsu","d48","non","ai35","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","moy","nul","nul","nul","nul","nul"
"449","ouvri","d48","oui","ai45","hom","non","non","oui","n2","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"450","ouvri","d48","non","ai45","hom","non","oui","oui","p4","for","nul","non","nul","non","moy","for","nul","nul","fai","moy","nul"
"451","inter","dm2","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"452","retra","d24","non","ai75","hom","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"453","emplo","d812","oui","ai75","hom","non","oui","non","n1","fai","nul","non","for","non","fai","moy","moy","nul","fai","nul","nul"
"454","inact","d48","non","ai45","hom","non","non","non","p3","fai","nul","non","nul","non","moy","nul","nul","nul","fai","for","nul"
"455","cadsu","dp12","non","ai75","hom","non","non","oui","p2","fai","for","oui","nul","non","fai","fai","nul","nul","nul","nul","fai"
"456","artis","d48","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","for","nul","nul","nul","nul","for"
"457","cadsu","d48","non","ai45","hom","non","oui","oui","n2","nul","nul","non","nul","non","fai","fai","nul","moy","moy","moy","nul"
"458","emplo","d812","non","ai35","hom","non","oui","oui","p1","nul","fai","non","nul","non","fai","nul","nul","moy","nul","moy","nul"
"459","ouvri","d48","non","ai55","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","moy","nul"
"460","ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","moy","nul","fai","nul"
"461","ouvri","d48","non","ai45","hom","non","oui","oui","p2","nul","fai","non","fai","non","fai","moy","fai","fai","for","moy","nul"
"462","ouvri","d48","non","ai35","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"463","retra","d48","non","ai75","hom","non","non","non","p4","nul","fai","non","nul","non","fai","fai","nul","nul","nul","fai","for"
"464","inter","dp12","non","ai75","hom","non","oui","oui","p2","for","fai","oui","for","non","fai","moy","moy","nul","moy","fai","for"
"465","agric","dp12","non","ai45","hom","non","non","non","p1","nul","for","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"466","ouvri","d48","non","ai35","hom","oui","non","non","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"467","agric","d48","non","ai45","hom","non","oui","non","p1","nul","fai","oui","nul","non","fai","nul","nul","nul","nul","for","nul"
"468","inter","dp12","non","ai55","hom","non","oui","oui","p4","nul","nul","non","for","non","fai","fai","fai","nul","fai","moy","nul"
"469","cadsu","d48","non","ai45","hom","non","oui","non","p1","nul","nul","non","for","non","fai","for","nul","moy","for","for","nul"
"470","ouvri","d812","non","ai35","hom","non","oui","oui","p1","nul","fai","non","nul","non","fai","fai","nul","moy","fai","moy","nul"
"471","ouvri","d48","non","ai45","hom","non","oui","non","p2","nul","nul","non","nul","non","fai","moy","nul","nul","fai","nul","nul"
"472","ouvri","d812","non","ai35","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","nul"
"473","agric","dp12","non","ai45","hom","non","non","non","n2","nul","nul","oui","nul","non","fai","for","nul","nul","nul","fai","nul"
"474","agric","d48","non","ai55","hom","non","non","non","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","nul"
"475","ouvri","d48","non","ai55","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"476","emplo","dp12","non","ai75","hom","non","non","oui","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"477","ouvri","d48","non","ai55","hom","non","oui","non","p1","nul","nul","non","fai","non","fai","for","nul","fai","moy","nul","nul"
"478","emplo","dp12","non","ai45","hom","non","non","oui","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"479","cadsu","dp12","non","ai45","hom","non","oui","non","p3","for","nul","oui","nul","non","for","for","nul","nul","nul","moy","nul"
"480","artis","d48","non","ai55","hom","non","non","non","p4","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"481","cadsu","d48","non","ai75","hom","non","oui","non","p2","nul","nul","non","nul","non","moy","for","nul","fai","fai","fai","nul"
"482","cadsu","d48","non","ai55","hom","non","non","non","p3","for","fai","non","nul","non","fai","moy","nul","moy","nul","fai","nul"
"483","artis","d812","oui","ai75","hom","non","non","non","p4","nul","for","non","nul","non","moy","for","nul","nul","nul","for","for"
"484","emplo","dp12","non","ai35","hom","non","oui","non","p3","fai","fai","oui","nul","non","fai","fai","nul","nul","fai","moy","moy"
"485","emplo","d48","non","ai55","hom","non","non","non","p2","fai","nul","non","for","non","for","fai","nul","nul","nul","for","nul"
"486","inter","d48","oui","ai55","hom","non","oui","non","p3","nul","fai","oui","for","non","fai","fai","fai","fai","fai","for","nul"
"487","emplo","d48","non","ai55","hom","non","oui","non","p3","fai","nul","oui","for","non","fai","nul","nul","moy","fai","for","nul"
"488","inter","d812","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"489","cadsu","d48","non","ai75","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"490","ouvri","dp12","non","ai45","hom","non","non","oui","p1","nul","nul","oui","nul","non","fai","for","nul","nul","moy","moy","nul"
"491","cadsu","d48","non","ai35","hom","non","oui","oui","p2","nul","nul","non","fai","non","fai","nul","nul","fai","fai","for","nul"
"492","etudi","d24","non","ai25","hom","non","oui","oui","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"493","inact","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","moy","nul","nul","nul"
"494","ouvri","d812","non","ai35","hom","non","non","oui","n1","nul","nul","non","fai","non","fai","for","fai","fai","fai","fai","nul"
"495","etudi","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"496","ouvri","d812","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","fai","fai","nul","nul"
"497","emplo","dp12","oui","ai45","hom","non","oui","non","p2","for","nul","non","for","non","fai","fai","nul","nul","nul","moy","nul"
"498","cadsu","dm2","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","fai"
"499","ouvri","dm2","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"500","cadsu","d48","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","moy","nul","fai","fai","for","nul"
"501","emplo","dm2","non","ai35","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"502","ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","fai","non","moy","moy","nul","fai","fai","fai","nul"
"503","ouvri","d48","oui","ai35","hom","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","moy","nul","moy","nul"
"504","agric","d24","non","ai35","hom","non","non","oui","n2","nul","fai","non","for","oui","fai","fai","nul","nul","nul","nul","nul"
"505","artis","dm2","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"506","ouvri","d812","non","ai35","hom","oui","non","non","n1","nul","nul","non","fai","non","moy","nul","fai","fai","moy","for","nul"
"507","cadsu","dm2","non","ai35","hom","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"508","artis","d24","non","ai35","hom","non","oui","non","p1","fai","nul","non","fai","oui","fai","nul","nul","nul","nul","fai","nul"
"509","inter","d48","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","moy","nul","fai","nul"
"510","ouvri","dp12","non","ai35","hom","non","oui","oui","p1","nul","nul","oui","nul","non","fai","fai","nul","nul","fai","moy","nul"
"511","retra","d24","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"512","cadsu","d48","non","ai45","hom","non","non","non","p4","for","nul","oui","nul","non","fai","for","moy","nul","moy","nul","moy"
"513","emplo","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"514","agric","d24","non","ai45","hom","non","non","non","n2","nul","nul","non","for","non","fai","nul","nul","nul","nul","nul","nul"
"515","inter","d48","non","ai35","hom","non","oui","non","n2","nul","fai","non","nul","non","fai","moy","nul","fai","fai","fai","nul"
"516","artis","d48","non","ai45","hom","non","non","non","n2","nul","nul","non","nul","non","for","for","nul","nul","fai","nul","nul"
"517","emplo","d48","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"518","ouvri","d48","non","ai45","hom","non","oui","non","p4","for","fai","non","nul","non","fai","moy","nul","nul","fai","nul","nul"
"519","emplo","dp12","non","ai45","hom","non","oui","oui","n1","nul","nul","non","nul","oui","fai","nul","nul","nul","fai","fai","nul"
"520","emplo","d24","non","ai35","hom","non","oui","non","p1","nul","nul","oui","fai","non","fai","nul","nul","fai","fai","fai","nul"
"521","etudi","dm2","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"522","inact","dm2","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"523","inter","d48","non","ai55","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"524","ouvri","dp12","non","ai45","hom","non","non","non","p3","nul","nul","non","nul","non","moy","fai","nul","nul","nul","moy","nul"
"525","emplo","d812","non","ai45","hom","non","non","non","p2","for","fai","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"526","agric","d48","non","ai45","hom","non","oui","non","n2","for","fai","oui","for","non","fai","nul","moy","nul","nul","for","nul"
"527","etudi","dm2","non","ai25","hom","non","oui","non","p2","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","fai","fai"
"528","inter","d48","non","ai55","hom","non","oui","oui","p3","nul","fai","oui","nul","non","moy","fai","moy","nul","fai","for","nul"
"529","etudi","dm2","non","ai35","hom","non","oui","non","p2","fai","nul","non","nul","non","fai","fai","nul","nul","fai","nul","fai"
"530","ouvri","d812","non","ai55","hom","non","non","non","p1","nul","fai","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"531","retra","dp12","non","ai75","hom","non","non","non","p1","nul","for","non","nul","non","fai","fai","nul","nul","nul","nul","moy"
"532","emplo","d24","non","ai55","hom","oui","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","fai","nul","nul"
"533","inter","dp12","oui","ai55","hom","non","non","non","p4","nul","for","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"534","inact","d48","non","ai25","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"535","etudi","d48","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"536","ouvri","dp12","non","ai55","hom","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"537","agric","dm2","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","fai","nul"
"538","ouvri","dp12","oui","ai45","hom","non","non","oui","n1","nul","nul","non","nul","non","moy","fai","nul","moy","fai","moy","nul"
"539","artis","d48","non","ai55","hom","non","non","oui","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"540","inter","dm2","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"541","cadsu","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"542","inact","d48","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","nul","nul"
"543","inter","d24","non","ai45","hom","non","oui","non","n2","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"544","retra","d48","non","ai75","hom","non","non","non","p2","for","fai","oui","nul","non","moy","nul","nul","nul","fai","moy","moy"
"545","ouvri","d24","non","ai75","hom","oui","non","non","p4","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"546","etudi","dm2","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","oui","fai","nul","nul","nul","nul","fai","nul"
"547","ouvri","dm2","non","ai35","hom","non","non","non","p1","nul","fai","non","nul","non","for","nul","fai","nul","moy","moy","nul"
"548","inter","d48","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"549","etudi","d24","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"550","cadsu","d24","non","ai55","hom","non","non","non","n2","nul","nul","non","fai","oui","fai","for","nul","nul","for","for","nul"
"551","emplo","dp12","non","ai75","hom","non","non","non","p2","nul","nul","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"552","ouvri","d48","oui","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","moy","nul","fai","nul"
"553","ouvri","d812","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","moy","fai","for","nul"
"554","retra","d24","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"555","inter","d24","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"556","cadsu","d48","oui","ai45","hom","non","non","non","p1","nul","for","non","for","non","fai","for","nul","nul","fai","nul","fai"
"557","ouvri","dm2","non","ai25","hom","oui","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","nul","fai","nul"
"558","ouvri","d48","non","ai25","hom","non","non","non","p2","nul","nul","non","nul","non","moy","nul","nul","moy","fai","fai","nul"
"559","ouvri","dp12","non","ai55","hom","non","non","oui","p2","nul","nul","non","nul","non","moy","for","nul","nul","nul","for","nul"
"560","ouvri","dp12","non","ai45","hom","non","oui","non","p3","nul","nul","non","nul","non","fai","fai","nul","nul","fai","fai","nul"
"561","ouvri","d24","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","fai","nul","moy","nul","fai","nul"
"562","cadsu","dm2","non","ai45","hom","non","non","non","p1","nul","nul","oui","nul","non","fai","moy","nul","nul","nul","nul","nul"
"563","emplo","d24","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"564","cadsu","d24","non","ai45","hom","non","oui","non","p3","nul","fai","oui","nul","non","fai","fai","nul","moy","nul","for","fai"
"565","ouvri","dm2","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"566","emplo","d24","non","ai25","hom","non","oui","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"567","ouvri","d24","non","ai55","hom","oui","non","non","n1","nul","nul","non","fai","non","for","nul","nul","nul","fai","nul","nul"
"568","retra","d48","non","ai75","hom","non","oui","oui","n1","nul","fai","non","nul","non","fai","fai","nul","nul","moy","moy","nul"
"569","cadsu","d24","non","ai55","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","moy"
"570","cadsu","d24","non","ai55","hom","non","non","non","p1","fai","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"571","cadsu","dm2","non","ai55","hom","non","oui","non","p4","nul","nul","non","for","non","fai","for","nul","nul","fai","nul","moy"
"572","cadsu","d24","non","ai75","hom","non","non","non","p4","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"573","emplo","d812","non","ai45","fem","non","non","non","n1","nul","fai","non","for","non","fai","nul","nul","nul","fai","nul","nul"
"574","cadsu","dm2","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"575","cadsu","d24","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","moy"
"576","cadsu","dp12","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"577","inact","dm2","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"578","cadsu","d812","non","ai75","hom","non","non","non","p3","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"579","inter","dp12","non","ai75","hom","non","oui","oui","p4","nul","fai","non","nul","non","fai","nul","moy","nul","moy","for","moy"
"580","inter","dm2","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","moy","nul","nul","nul","nul","nul"
"581","etudi","dm2","non","ai25","hom","non","oui","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"582","etudi","dm2","oui","ai25","hom","non","non","non","p3","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"583","etudi","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"584","cadsu","dp12","non","ai75","hom","non","non","non","n2","nul","nul","oui","nul","non","fai","for","nul","nul","nul","nul","for"
"585","ouvri","dp12","non","ai75","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"586","cadsu","d812","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"587","inter","dp12","oui","ai45","hom","non","oui","oui","n2","nul","nul","oui","fai","non","fai","for","moy","moy","fai","nul","fai"
"588","ouvri","d812","non","ai55","hom","non","non","non","p2","nul","fai","non","nul","oui","fai","nul","nul","moy","nul","fai","nul"
"589","ouvri","d812","non","ai35","hom","non","oui","oui","p1","nul","nul","non","nul","oui","fai","fai","nul","moy","fai","nul","nul"
"590","inact","d812","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"591","agric","dp12","non","ai75","hom","non","non","non","n1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"592","emplo","dp12","non","ai55","hom","non","non","non","p1","fai","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"593","artis","dp12","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"594","emplo","dp12","non","ai75","hom","non","non","oui","p4","nul","fai","non","nul","oui","fai","for","nul","nul","nul","for","nul"
"595","artis","d812","non","ai55","hom","non","oui","oui","p2","nul","nul","oui","nul","non","fai","for","moy","nul","fai","nul","fai"
"596","cadsu","dp12","non","ai75","hom","non","non","non","p4","nul","nul","oui","nul","non","fai","nul","moy","nul","nul","moy","moy"
"597","ouvri","dp12","non","ai55","hom","non","non","non","p4","for","for","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"598","retra","d812","non","ai75","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"599","retra","dp12","non","ai75","hom","non","non","non","p1","fai","fai","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"600","etudi","d48","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"601","cadsu","dp12","non","ai75","hom","non","oui","oui","p4","for","for","non","nul","non","fai","fai","nul","nul","fai","nul","moy"
"602","artis","dp12","non","ai45","hom","non","oui","oui","n2","nul","nul","oui","fai","non","fai","nul","nul","moy","nul","nul","nul"
"603","ouvri","dp12","non","ai75","hom","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","fai","fai"
"604","retra","dp12","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"605","etudi","d24","non","ai25","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"606","ouvri","d812","non","ai35","hom","non","non","non","p2","nul","nul","non","for","non","fai","moy","nul","nul","nul","fai","nul"
"607","ouvri","dp12","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","for","nul","nul","nul","nul","nul","nul"
"608","etudi","d48","non","ai25","hom","non","oui","non","n1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"609","ouvri","d24","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"610","ouvri","d812","non","ai35","hom","non","non","non","p1","nul","nul","non","fai","non","fai","nul","fai","moy","fai","nul","nul"
"611","artis","d812","non","ai75","hom","non","non","non","n2","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","for","fai"
"612","ouvri","dp12","non","ai75","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"613","agric","dm2","non","ai55","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"614","agric","dp12","non","ai55","hom","non","non","oui","p2","for","fai","non","fai","non","fai","fai","fai","nul","fai","fai","nul"
"615","inter","dp12","non","ai55","hom","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","moy","nul","nul"
"616","ouvri","d812","non","ai35","hom","non","non","non","p2","nul","nul","non","nul","non","moy","fai","nul","nul","nul","moy","nul"
"617","etudi","d812","non","ai35","hom","non","oui","non","p3","fai","nul","non","nul","non","fai","moy","nul","nul","nul","for","fai"
"618","inter","d812","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"619","ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"620","ouvri","dp12","oui","ai55","hom","non","non","non","p2","nul","fai","non","nul","non","moy","fai","nul","nul","nul","fai","nul"
"621","agric","d812","oui","ai55","hom","non","oui","non","p4","nul","nul","non","nul","non","fai","for","nul","moy","fai","nul","nul"
"622","inter","dp12","non","ai55","hom","non","non","oui","p4","nul","fai","non","nul","non","fai","nul","nul","nul","fai","nul","for"
"623","artis","dm2","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"624","inter","d812","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"625","cadsu","d48","non","ai45","hom","non","oui","oui","p3","for","fai","oui","nul","non","fai","for","nul","nul","nul","for","for"
"626","cadsu","dp12","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"627","ouvri","dp12","non","ai45","hom","non","non","oui","p1","nul","nul","non","for","non","moy","fai","fai","nul","moy","moy","nul"
"628","artis","d812","non","ai45","hom","non","non","non","p4","nul","nul","oui","nul","non","for","for","nul","nul","moy","for","for"
"629","retra","dp12","non","ai75","hom","non","non","non","n1","fai","for","non","nul","non","fai","nul","nul","nul","nul","fai","fai"
"630","cadsu","dp12","oui","ai45","hom","non","oui","non","p4","for","fai","non","nul","non","fai","for","nul","nul","nul","nul","for"
"631","ouvri","d48","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"632","cadsu","dp12","non","ai45","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"633","emplo","dp12","non","ai55","hom","non","oui","oui","p4","nul","nul","non","nul","non","moy","nul","nul","nul","fai","fai","nul"
"634","ouvri","d812","oui","ai45","fem","non","oui","oui","n1","nul","fai","non","for","non","fai","fai","nul","nul","fai","fai","nul"
"635","emplo","dp12","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"636","emplo","dp12","non","ai45","hom","non","non","oui","p2","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"637","retra","dp12","non","ai75","hom","non","oui","oui","p2","nul","nul","non","fai","non","fai","nul","fai","nul","fai","fai","nul"
"638","retra","dp12","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"639","cadsu","d24","non","ai25","hom","non","oui","non","n2","nul","nul","non","for","non","fai","moy","nul","moy","fai","nul","nul"
"640","artis","d812","non","ai75","hom","non","non","non","p1","for","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"641","inter","d812","non","ai45","hom","non","oui","oui","p2","nul","nul","non","fai","non","fai","moy","nul","nul","fai","fai","nul"
"642","inter","d24","non","ai55","hom","non","non","non","p3","nul","nul","non","nul","non","fai","nul","nul","nul","moy","moy","nul"
"643","retra","dp12","non","ai75","hom","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"644","inter","d812","non","ai55","hom","non","non","oui","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","nul","nul"
"645","ouvri","d812","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","fai","nul","nul","nul"
"646","ouvri","dp12","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","nul"
"647","retra","d812","non","ai75","hom","non","non","oui","p4","nul","fai","non","nul","non","moy","moy","nul","nul","fai","for","moy"
"648","ouvri","dp12","non","ai75","hom","non","non","non","p2","nul","nul","non","nul","non","moy","nul","nul","nul","nul","moy","nul"
"649","cadsu","dp12","non","ai45","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"650","emplo","d812","non","ai45","hom","oui","oui","non","n2","nul","nul","non","fai","oui","fai","nul","nul","nul","nul","nul","nul"
"651","cadsu","dp12","non","ai35","hom","non","oui","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","fai"
"652","ouvri","dp12","non","ai45","hom","non","non","non","p4","nul","nul","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"653","inter","d812","non","ai75","hom","non","non","non","p1","nul","nul","non","for","non","fai","nul","nul","nul","nul","nul","nul"
"654","cadsu","dp12","non","ai55","hom","non","non","oui","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
