"","INCOME","SEX","MARITAL.STATUS","AGE","EDUCATION","OCCUPATION","AREA","DUAL.INCOMES","HOUSEHOLD.SIZE","UNDER18","HOUSEHOLDER","HOME.TYPE","ETHNIC.CLASS","LANGUAGE"
"3301","-10.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Three","One","Family","House","White","English"
"3302","-10.000)","F","Single","18-24","Grades 9 to 11","Student, HS or College","7-10 years","Not Married","Five","One","Family","House","White","English"
"3303","[40.000-50.000)","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","Yes","Four","None","Own","House","White","English"
"3304","[15.000-20.000)","F","Together","35-44","1 to 3 years of college","Sales Worker",NA,"Not Married","Two","None","Own","Other",NA,"English"
"3305","[30.000-40.000)","F","Married","45-54","Graduated High Scool","Sales Worker","10+ years","Yes","Two","None","Own","House","White","English"
"3306","[50.000-75.000)","M","Married","55-64","Grad Study","Professional/Managerial",NA,"Yes","Two","None","Own","House","White","English"
"3307","[75.000-","F","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","Hispanic","Spanish"
"3308","[20.000-25.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Four","None","Own","House","Black","English"
"3309","[30.000-40.000)","M","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","One","None","Own","Condominium","White","English"
"3310","-10.000)","M","Single","25-34","College graduate","Unemployed",NA,"Not Married","Three","None","Rent","House","White","English"
"3311","[25.000-30.000)","F","Widowed","55-64","College graduate","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"3312","-10.000)","F","Single","18-24","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"3313","-10.000)","F","Married","18-24","Grades 9 to 11","Student, HS or College","10+ years","Yes","Four","None","Rent","House","White","English"
"3314","[75.000-","M","Married","55-64","Grad Study","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"3315","[50.000-75.000)","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","No","Four","Two","Own","House","White","English"
"3316","[30.000-40.000)","M","Single","18-24","1 to 3 years of college","Professional/Managerial","-1 year","Not Married","Two","None","Rent","Apartment","White","English"
"3317","[50.000-75.000)","F","Married","55-64","1 to 3 years of college","Homemaker","10+ years","No","Three","None","Own","House","White","English"
"3318","[75.000-","M","Single","18-24","Graduated High Scool","Student, HS or College","4-6 years","Not Married","Six","Two","Family","House","White","Other"
"3319","[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"3320","-10.000)","M","Single","18-24","Graduated High Scool",NA,"-1 year","Not Married","Three","None","Family","House","White","Other"
"3321","-10.000)","M","Single","18-24","Grades 9 to 11","Sales Worker",NA,"Not Married","Seven","One","Family","House","White","English"
"3322","[15.000-20.000)","M","Together","18-24","Grades 9 to 11","Professional/Managerial","10+ years","Yes","Four","One","Own","House","White","English"
"3323","[40.000-50.000)","F","Divorced","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Four","Three","Own","House","Hispanic","English"
"3324","[50.000-75.000)","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Five","Three","Own","House","White","English"
"3325","[15.000-20.000)","F","Married","65+","Graduated High Scool","Retired","1-3 years","No","Two","None","Own","Mobile Home","White","English"
"3326","[15.000-20.000)","M","Married","65+","College graduate","Retired","1-3 years","No","Two","None","Own","Mobile Home","White","English"
"3327","[30.000-40.000)","F","Married","18-24","1 to 3 years of college","Student, HS or College","10+ years","No","Two","None","Rent","Apartment","Hispanic","English"
"3328","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College",NA,"Not Married","One","None","Rent","House","White","English"
"3329","[75.000-","F","Married","45-54","Grad Study","Professional/Managerial","4-6 years","Yes","Four","None","Own","House","White","English"
"3330","[40.000-50.000)","F","Married","45-54","1 to 3 years of college","Homemaker",NA,"No","Nine or more","Six","Own","House","White","English"
"3331","[25.000-30.000)","M","Single","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","1-3 years","Not Married","Four","None","Rent","Other","White","English"
"3332","[50.000-75.000)","F","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","Hispanic","English"
"3333","[20.000-25.000)","M","Single","18-24","Graduated High Scool","Sales Worker","-1 year","Not Married","One","None","Rent","Apartment","White","English"
"3334","[40.000-50.000)","F","Married","55-64","Grad Study","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"3335","[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"3336","-10.000)","M","Single","18-24","Graduated High Scool","Clerical/Service Worker","7-10 years","Not Married","Six","Two","Rent","House","Hispanic","Spanish"
"3337","[20.000-25.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","Yes","Two","None","Own","Condominium","White","English"
"3338","[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","Asian","English"
"3339","[75.000-","M","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","Asian","English"
"3340","[20.000-25.000)","M","Single","25-34","College graduate","Factory Worker/Laborer/Driver","4-6 years","Not Married","One","None","Rent","Apartment","White","English"
"3341","[50.000-75.000)","M","Single","35-44","Grad Study","Professional/Managerial","10+ years","Not Married","Two","None","Own","Condominium","Asian","English"
"3342","[50.000-75.000)","M","Married","55-64","Grad Study","Sales Worker","10+ years","Yes","Two","None","Own","Mobile Home","White","English"
"3343","[20.000-25.000)","F","Married","55-64","1 to 3 years of college","Clerical/Service Worker","10+ years","No","Two","None","Own","House","White","English"
"3344","[40.000-50.000)","F","Single","25-34","Grad Study","Student, HS or College","10+ years","Not Married","Four","None","Own","House","Hispanic","English"
"3345","[50.000-75.000)","M","Together","25-34","1 to 3 years of college","Professional/Managerial","7-10 years","Yes","Two","None","Rent","Apartment","White","English"
"3346","[10.000-15.000)","F","Together","18-24","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Four","One","Rent","Condominium","Other","English"
"3347","-10.000)","F","Single","18-24","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Not Married","Five","One","Rent","House","White","English"
"3348","[50.000-75.000)","F","Married","25-34","Graduated High Scool","Homemaker","7-10 years","No","Four","Two","Own","House","White","English"
"3349","[40.000-50.000)","M","Single","18-24","Graduated High Scool","Professional/Managerial","10+ years","Not Married","One","None","Rent","House","White","English"
"3350","[10.000-15.000)","M","Single","18-24","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married","Two","None","Own","House","White","English"
"3351","[25.000-30.000)","M","Married","25-34","College graduate","Professional/Managerial","10+ years","No","Two","None","Rent","Apartment","Other","English"
"3352","[10.000-15.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"3353","[40.000-50.000)","F","Single","35-44","Grad Study","Professional/Managerial","1-3 years","Not Married","Two","None","Rent","Apartment","White","English"
"3354","[40.000-50.000)","F","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own",NA,"White","English"
"3355","[30.000-40.000)","F","Together","35-44","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Four","One","Own","House","White","English"
"3356","[30.000-40.000)","M","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","Hispanic","English"
"3357","[50.000-75.000)","F","Married","25-34","Grad Study","Professional/Managerial","1-3 years","Yes","Two","None","Own","House",NA,"English"
"3358","[25.000-30.000)","F","Single","18-24","College graduate","Professional/Managerial","7-10 years","Not Married","Five","Two","Family","House","White","English"
"3359","[30.000-40.000)","F","Married","45-54","Graduated High Scool","Clerical/Service Worker","10+ years","Yes","Six","One","Rent","House","White","English"
"3360","[75.000-","F","Married","45-54","1 to 3 years of college","Professional/Managerial","7-10 years","Yes","Two","None","Own","House","White","English"
"3361","[50.000-75.000)","M","Married","55-64","Grad Study","Retired","1-3 years","No","Two","None","Own","Condominium","White","English"
"3362","[75.000-","M","Married","45-54","Grad Study","Professional/Managerial","1-3 years","No","Four","Two","Own","House","Asian","English"
"3363","[50.000-75.000)","M","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","No","Four","Two","Own","House","White","English"
"3364","[30.000-40.000)","F","Married","35-44","1 to 3 years of college","Sales Worker","10+ years","Yes","Six","Four","Own","House","Hispanic","English"
"3365","[40.000-50.000)","F","Widowed","65+","College graduate","Retired","1-3 years","Not Married","One","None","Own","Condominium","White","English"
"3366","[75.000-","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"3367","[30.000-40.000)","M","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"3368","[50.000-75.000)","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Six","Three","Own","House","White","English"
"3369","[50.000-75.000)","F","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"3370","[50.000-75.000)","F","Married","65+","Graduated High Scool","Retired","10+ years","No","Two","None","Own","House","White","English"
"3371","[40.000-50.000)","F","Married","35-44","1 to 3 years of college","Clerical/Service Worker","10+ years","Yes","Three","One","Own","House","White","English"
"3372","[75.000-","M","Married","45-54","College graduate","Sales Worker","10+ years","Yes","Two","None","Own","House","White","English"
"3373","[75.000-","F","Married","45-54","Graduated High Scool","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"3374","[25.000-30.000)","F","Divorced","45-54","Graduated High Scool","Clerical/Service Worker","10+ years","Not Married",NA,"None","Rent","House","White","English"
"3375","[15.000-20.000)","F","Single","35-44","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married","Three","None","Family","House","White","English"
"3376","[25.000-30.000)","F","Single","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Three","One","Rent","House","White","English"
"3377","[15.000-20.000)","F","Married","25-34","Graduated High Scool","Sales Worker","7-10 years","Yes","Two","None","Rent","House","White","English"
"3378","[10.000-15.000)","F","Divorced","35-44","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Three","Two","Own","Condominium",NA,"English"
"3379","[75.000-","M","Together","45-54","1 to 3 years of college","Professional/Managerial","7-10 years","Not Married","Two","None","Own","House","White","English"
"3380","[25.000-30.000)","F","Divorced","45-54","Grad Study","Professional/Managerial","10+ years","Not Married","Two","None","Own","Condominium","Hispanic","English"
"3381","[40.000-50.000)","F","Married","45-54","1 to 3 years of college","Clerical/Service Worker","10+ years","Yes","Four","Two","Own","House","White","English"
"3382","-10.000)","F","Together","55-64","Grades 9 to 11","Homemaker","10+ years","No","Two","None","Rent","House","White","English"
"3383","[20.000-25.000)","F","Together","35-44","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Three","None","Rent","Apartment","White","English"
"3384","[40.000-50.000)","F","Married","65+","Grad Study","Retired","10+ years","No","Two","None","Own","House","White","English"
"3385","[10.000-15.000)","F","Divorced","35-44","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married","Two","One","Rent",NA,"White",NA
"3386","[40.000-50.000)","F","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"3387","[40.000-50.000)","M","Married","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Rent","House","White","English"
"3388","[75.000-","F","Married","45-54","Graduated High Scool","Clerical/Service Worker","10+ years","Yes","Five","None","Own","House","White","English"
"3389","[30.000-40.000)","F","Married","25-34","1 to 3 years of college","Homemaker","7-10 years","No","Three","One","Own","House","White","English"
"3390","-10.000)","M","Single","18-24","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Three","None","Family","Apartment","Asian","Other"
"3391","[15.000-20.000)","M","Married","55-64","Graduated High Scool","Retired",NA,"No","Two","None","Own","House","White","English"
"3392","[40.000-50.000)","F","Married","25-34","1 to 3 years of college","Clerical/Service Worker","1-3 years","No","Three","One","Rent","Apartment","White","English"
"3393","[30.000-40.000)","F","Married","25-34","1 to 3 years of college","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"3394","[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"3395","[40.000-50.000)","F","Married","55-64","1 to 3 years of college","Homemaker","10+ years","No","Two","None","Own","Mobile Home","White","Spanish"
"3396","-10.000)","M","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Four","None","Family","House","White","English"
"3397","[30.000-40.000)","F","Widowed","55-64","Graduated High Scool","Professional/Managerial","10+ years","Not Married","One","None","Own",NA,"White","English"
"3398","[75.000-","M","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"3399","[20.000-25.000)","M","Married","35-44","Graduated High Scool","Professional/Managerial","10+ years","No","Four","One","Family","House","White","English"
"3400","[50.000-75.000)","M","Married","35-44","Graduated High Scool","Sales Worker","10+ years","No","Two","None","Own","House","White","English"
"3401","[30.000-40.000)","F","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","Mobile Home","White","English"
"3402","-10.000)","M","Single","35-44","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married","Three","None","Own","Mobile Home","Black","Spanish"
"3403","[20.000-25.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College",NA,"Not Married","One","None","Rent","Apartment","Other","English"
"3404","[50.000-75.000)","F","Single","14-17","Grades 9 to 11","Sales Worker","7-10 years","Not Married","Three","One","Own","House","White","English"
"3405","[40.000-50.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Five","Two","Family","House","White","English"
"3406","[20.000-25.000)","M","Together","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Other","Other","English"
"3407","[50.000-75.000)","M","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","No","Five","Three","Own","House","White","English"
"3408","[30.000-40.000)","M","Divorced","45-54","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Not Married","One","None","Own","Mobile Home","White","English"
"3409","[40.000-50.000)","M","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Four","None","Family","House","Black","English"
"3410","[75.000-","M","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Eight","Five","Family","House","Other","English"
"3411","[15.000-20.000)","M","Single","18-24","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Three","Two","Family","House","White","English"
"3412","[10.000-15.000)","M","Single","18-24","1 to 3 years of college","Clerical/Service Worker","4-6 years","Not Married","Two","None","Rent","Apartment","White","English"
"3413","[75.000-","F","Married","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Rent","House","White","English"
"3414","[10.000-15.000)","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"3415","[75.000-","F","Married","35-44","Grad Study","Sales Worker",NA,"Yes","Two","None","Own","House","White","English"
"3416","[75.000-","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Four","One","Own","House","White","English"
"3417","[50.000-75.000)","M","Divorced","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Four","Two","Own","House","Hispanic","English"
"3418","[10.000-15.000)","F","Divorced","25-34","1 to 3 years of college","Homemaker","10+ years","Not Married","Six","Two","Rent","Condominium","White","English"
"3419","[30.000-40.000)","F","Single","35-44","College graduate","Professional/Managerial","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"3420","[10.000-15.000)","F","Together","18-24","Grades 9 to 11","Homemaker","10+ years","Yes","Two","Two","Rent",NA,"Hispanic","English"
"3421","[10.000-15.000)","M","Together","25-34","Grades 9 to 11","Clerical/Service Worker","10+ years","Yes","Two","Two","Rent","Other","Hispanic","English"
"3422","[20.000-25.000)","F","Together","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"3423","[15.000-20.000)","M","Single","18-24","1 to 3 years of college","Professional/Managerial","1-3 years","Not Married","One","None","Rent","Apartment","White","English"
"3424","[75.000-","F","Together","25-34","Graduated High Scool","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"3425","-10.000)","F","Divorced","18-24","Grades 9 to 11","Factory Worker/Laborer/Driver","4-6 years","Not Married","Three","None","Rent","Apartment","White","English"
"3426","[20.000-25.000)","F","Married","25-34","Graduated High Scool","Sales Worker","7-10 years","Yes","Four","Two","Rent","House","White","English"
"3427","[15.000-20.000)","F","Single","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Rent","Apartment","White","English"
"3428","[20.000-25.000)","M","Together","18-24","Graduated High Scool","Factory Worker/Laborer/Driver","4-6 years","Not Married","Two","None","Rent","House","White","English"
"3429","[30.000-40.000)","M","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Five","None","Family","House","Other","English"
"3430","[25.000-30.000)","F","Single","25-34","College graduate","Professional/Managerial","1-3 years","Not Married","One","None","Own","Condominium","White","English"
"3431","[50.000-75.000)","F","Widowed","55-64","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Five","Two","Own","House","White","English"
"3432","[50.000-75.000)","F","Together","35-44","College graduate","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"3433","[15.000-20.000)","M","Married","35-44","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Yes","Two","None","Rent","House","Hispanic","English"
"3434","[20.000-25.000)","F","Single","18-24","Graduated High Scool","Sales Worker","10+ years","Not Married","One","One","Own","Apartment","White","English"
"3435","[30.000-40.000)","F","Divorced","35-44","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Two","None","Rent",NA,"Hispanic","English"
"3436","-10.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","7-10 years","Not Married","Four","None","Rent","Apartment","White","Spanish"
"3437","[50.000-75.000)","F","Married","45-54","Graduated High Scool","Factory Worker/Laborer/Driver","1-3 years","Yes","Four","One","Own","House","White","English"
"3438","[10.000-15.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Rent","Apartment","White","English"
"3439","[50.000-75.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"3440","[25.000-30.000)","F","Single","35-44","College graduate","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White","English"
"3441","[20.000-25.000)","F","Widowed","55-64","1 to 3 years of college","Retired","10+ years","Not Married","Two","None","Own","House","White","English"
"3442","[40.000-50.000)","F","Married","55-64","Graduated High Scool","Retired","10+ years","No","Three","None","Own","House","White","English"
"3443","[75.000-","M","Divorced","25-34","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Three","Two","Own","House","White","English"
"3444","[20.000-25.000)","F","Single","25-34","College graduate","Sales Worker","7-10 years","Not Married","One","None","Rent","House","White","English"
"3445","[75.000-","M","Married","35-44","1 to 3 years of college","Professional/Managerial","7-10 years","Yes","Four","One","Rent","House","White","English"
"3446","[75.000-","F","Divorced","65+","Grad Study","Retired","1-3 years","Not Married","Four","One","Own","House","White","English"
"3447","[50.000-75.000)","F","Married","55-64","1 to 3 years of college","Clerical/Service Worker","7-10 years","Yes","Three","None","Own","House","White","English"
"3448","[20.000-25.000)","F","Widowed","65+","Graduated High Scool","Retired","10+ years","Not Married","One","None","Own","Mobile Home","White","English"
"3449","[50.000-75.000)","F","Married","25-34","1 to 3 years of college","Homemaker","10+ years","No","Three","One","Own","House","White","English"
"3450","[25.000-30.000)","F","Single","18-24","Graduated High Scool","Clerical/Service Worker","1-3 years","Not Married","Four","None","Own","House","White","English"
"3451","[30.000-40.000)","F","Married","25-34","1 to 3 years of college","Homemaker","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"3452","[30.000-40.000)","M","Married","18-24","1 to 3 years of college","Sales Worker","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"3453","[75.000-","F","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Four","None","Own","House","White","English"
"3454","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Professional/Managerial",NA,"Yes","Two","None","Own","House","White","English"
"3455","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Rent","Apartment","White","English"
"3456","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Six","Four","Family","House","White","English"
"3457","-10.000)","F","Single","14-17","Grades 9 to 11","Sales Worker","10+ years","Not Married","Three","None","Family","House","Asian","English"
"3458","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"3459","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","1-3 years","Not Married","Four","Two","Family","House","White","English"
"3460","-10.000)","M","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Four","One","Family","House","White","English"
"3461","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"3462","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Two","One","Family",NA,"Hispanic","English"
"3463","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Four","Two","Family","House","White","English"
"3464","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"3465","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Four","Two","Family","House","White","English"
"3466","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","1-3 years","Not Married","Four","Two","Family","House","White","English"
"3467","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College",NA,"Not Married","Three","One","Family","Apartment","White","English"
"3468","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Three","One","Family","House","White","English"
"3469","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",NA,"None","Family",NA,"White","English"
"3470","[40.000-50.000)","F","Single","14-17","Grades 9 to 11","Unemployed","10+ years","Not Married","Nine or more","Six","Family","House","White","English"
"3471","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married",NA,"None","Family",NA,"Hispanic","Spanish"
"3472","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","1-3 years","Not Married","Five","Three","Family","House","White","English"
"3473","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Three","One","Family","House","Asian","English"
"3474","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Five","Three","Family","House","Asian","English"
"3475","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Eight","Four","Family","House","White","English"
"3476","[75.000-","F","Single","18-24","Graduated High Scool","Student, HS or College","7-10 years","Not Married","Four","None","Family","House","White","English"
"3477","[75.000-","F","Single","18-24","1 to 3 years of college","Student, HS or College","7-10 years","Not Married","Four","One","Family","House","White","English"
"3478","[25.000-30.000)","F","Single","18-24","College graduate","Professional/Managerial","7-10 years","Not Married","Two","None","Rent","Condominium","White","English"
"3479","-10.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married",NA,"None","Family",NA,"Hispanic","Spanish"
"3480","-10.000)","F","Single","18-24","1 to 3 years of college","Sales Worker","10+ years","Not Married","Three","None","Family","House","White","English"
"3481","[50.000-75.000)","F","Married","18-24","1 to 3 years of college","Clerical/Service Worker",NA,"Yes","Three","One","Own","House","White","English"
"3482","[50.000-75.000)","F","Married","45-54","Graduated High Scool","Professional/Managerial","10+ years","Yes","Two","None","Own",NA,"White","English"
"3483","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","White","English"
"3484","[30.000-40.000)","F","Divorced","35-44","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married","Two","None","Own","House","White","English"
"3485","[75.000-","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","No","Four","None","Own","House","White",NA
"3486","[25.000-30.000)","M","Divorced","35-44","Graduated High Scool","Sales Worker","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"3487","[10.000-15.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","7-10 years","Not Married","Five","Three","Family","House","White","English"
"3488","[10.000-15.000)","F","Single","65+","Grad Study","Professional/Managerial","10+ years","Not Married","Six","None",NA,"House","White","English"
"3489","[40.000-50.000)","F","Widowed","65+","College graduate","Homemaker","7-10 years","Not Married","One","None","Own","Condominium","White","English"
"3490","[20.000-25.000)","F","Single","18-24","College graduate","Professional/Managerial","10+ years","Not Married","One","None","Rent","House","White","English"
"3491","[50.000-75.000)","F","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Own","Condominium","White","English"
"3492","[15.000-20.000)","F","Single","55-64","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Not Married",NA,"None","Rent","Apartment","Hispanic","English"
"3493","[20.000-25.000)","M","Married","18-24","Grades 9 to 11","Factory Worker/Laborer/Driver","10+ years","Yes","Two","None","Rent","Apartment","Hispanic","English"
"3494","[30.000-40.000)","F","Married","25-34","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"3495","[50.000-75.000)","F","Married","35-44","College graduate","Professional/Managerial","7-10 years","Yes","Two","None","Own","House","White","English"
"3496","[15.000-20.000)","F","Single","18-24","1 to 3 years of college","Clerical/Service Worker","4-6 years","Not Married","Three","None","Family","House","White","English"
"3497","[20.000-25.000)","F","Married","18-24","Grades 9 to 11","Sales Worker",NA,"Yes","Two","None","Rent","Apartment","Hispanic","English"
"3498","[75.000-","M","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"3499","-10.000)","F","Single","25-34","Graduated High Scool","Factory Worker/Laborer/Driver","7-10 years","Not Married","Four","None","Family","House","White","English"
"3500","[15.000-20.000)","F","Single","18-24","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","One","None","Own","Condominium","White","English"
"3501","[75.000-","M","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"3502","[75.000-","F","Married","45-54","1 to 3 years of college",NA,"10+ years","Yes","Two","None","Own","House","White","English"
"3503","-10.000)","F","Divorced","55-64","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"3504","[20.000-25.000)","M","Divorced","25-34","Graduated High Scool","Factory Worker/Laborer/Driver","10+ years","Not Married","Two","None","Rent","Condominium","White","English"
"3505","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","Yes","Five","Two","Own","House","White","English"
"3506","[75.000-","F","Married","45-54","1 to 3 years of college","Clerical/Service Worker","7-10 years","Yes","Four","None","Own","House","White","English"
"3507","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Five","Two","Family","House","White","English"
"3508","[50.000-75.000)","F","Together","35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","Mobile Home","White","English"
"3509","[10.000-15.000)","M","Single","25-34","College graduate","Professional/Managerial","7-10 years","Not Married","Four","None","Family","House","Asian","Other"
"3510","[75.000-","F","Single","18-24","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Five","Two","Own","House","White","English"
"3511","[40.000-50.000)","F","Married","25-34","Graduated High Scool","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","Asian","English"
