"","idstud","country","studwgt","R31G01M","R31G02C","R31G03M","R31G04C","R31G05M","R31G06M","R31G07M","R31G08CZ","R31G08CA","R31G08CB","R31G09M","R31G10C","R31G11M","R31G12C","R31G13CZ","R31G13CA","R31G13CB","R31G13CC","R31G14M","R31P01M","R31P02C","R31P03C","R31P04M","R31P05C","R31P06C","R31P07C","R31P08M","R31P09C","R31P10M","R31P11M","R31P12M","R31P13M","R31P14C","R31P15C","R31P16C"
"2008",1007664,"FRA",0.67216,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
"2009",1007665,"FRA",0.93103,9,9,1,9,1,1,1,9,9,9,0,9,0,9,9,9,9,9,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
"2010",1007666,"FRA",0.93103,1,1,1,0,0,1,1,0,9,0,1,0,1,0,0,9,0,9,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
"2011",1007667,"FRA",0.93103,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
"2012",1007668,"FRA",0.93103,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"2013",1007669,"FRA",0.93103,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,9,9,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
"2014",1007670,"FRA",0.97758,1,9,1,0,1,1,0,9,9,9,1,0,1,9,0,9,0,9,9,1,1,1,1,9,0,1,0,9,1,1,1,1,1,1,0
"2015",1007671,"FRA",0.97758,1,1,1,0,0,1,1,9,9,9,0,0,0,1,0,9,0,0,0,1,9,1,0,0,0,0,1,1,1,1,1,1,9,9,1
"2016",1007672,"FRA",0.97758,1,1,1,0,0,1,1,1,1,9,0,9,0,0,1,1,9,1,9,1,1,1,0,9,1,1,0,0,0,1,0,0,1,1,0
"2017",1007673,"FRA",0.97758,1,1,1,9,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0
"2018",1007674,"FRA",0.71641,1,0,1,9,0,1,1,1,1,0,1,0,0,1,9,9,9,9,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"2019",1007675,"FRA",0.71641,0,1,1,0,0,1,1,0,9,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1
"2020",1007676,"FRA",0.71641,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
"2021",1007677,"FRA",0.71641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"2022",1007678,"FRA",0.71641,0,1,0,9,0,1,1,0,0,9,1,1,1,0,1,1,9,9,1,1,9,1,1,1,1,9,0,0,1,1,0,1,1,1,0
"2023",1007679,"FRA",0.71641,0,9,0,9,0,1,0,9,9,9,9,9,9,9,9,9,9,9,9,0,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9
"2024",1007680,"FRA",0.71641,1,1,1,0,0,1,1,1,1,0,1,1,0,9,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,9,9
"2025",1007681,"FRA",0.71641,1,9,1,9,1,1,1,0,0,0,1,1,1,9,9,9,9,9,1,1,0,1,1,1,1,1,0,1,1,1,0,1,9,9,9
"2026",1007682,"FRA",0.71641,1,1,1,1,1,0,0,1,9,1,0,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9
"2027",1007683,"FRA",0.71641,0,1,0,0,0,0,0,1,1,0,1,0,0,9,9,9,9,9,0,1,1,0,0,9,1,0,0,9,1,0,1,1,0,9,9
"2028",1007684,"FRA",0.71641,1,0,0,0,0,1,0,0,9,0,0,1,0,9,9,9,9,9,9,1,0,0,0,0,1,0,1,1,1,0,0,1,9,9,9
"2029",1007685,"FRA",0.76616,0,1,1,0,0,0,1,0,0,9,1,0,0,0,0,0,9,9,9,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1
"2030",1007686,"FRA",0.76616,1,0,1,9,1,1,1,9,9,9,1,0,1,0,1,1,1,0,9,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
"2031",1007687,"FRA",0.76616,1,1,1,0,0,1,1,9,9,9,1,0,1,9,1,9,1,1,1,1,1,1,0,9,1,1,1,9,1,1,1,1,9,9,9
"2032",1007688,"FRA",0.76616,0,1,1,0,0,1,1,0,9,0,1,9,1,9,1,9,9,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"2033",1007689,"FRA",0.86924,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,9,0,0,0
"2034",1007690,"FRA",0.86924,0,1,0,0,0,1,1,0,0,0,0,1,0,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9
"2035",1007691,"FRA",0.86924,0,1,1,0,0,1,1,9,9,9,0,9,0,9,9,9,9,9,0,1,0,1,0,0,0,9,1,0,0,1,0,1,9,9,9
"2036",1007692,"FRA",0.86924,0,1,1,0,0,1,1,9,9,9,0,9,1,9,9,9,9,9,0,0,1,9,0,0,9,1,9,9,0,1,0,1,9,0,9
"2037",1007693,"FRA",0.86924,0,0,1,0,0,1,1,0,0,0,0,9,9,0,0,0,0,0,0,1,1,1,0,1,1,0,9,1,1,1,9,1,1,1,1
"2038",1007694,"FRA",0.78365,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1
"2039",1007695,"FRA",0.78365,1,1,1,1,1,1,1,1,0,1,1,0,9,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"2040",1007696,"FRA",0.78365,1,0,1,0,1,1,0,9,9,9,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
"2041",1007697,"FRA",0.78365,0,0,1,0,0,0,0,9,9,9,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0
"2042",1007698,"FRA",0.75566,9,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"2043",1007699,"FRA",0.75566,1,9,1,1,0,1,1,9,9,9,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,9,1,0,0,0,0,9,9,9,9
"2044",1007700,"FRA",0.75566,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"2045",1007701,"FRA",0.77695,0,1,1,0,1,1,0,0,0,0,1,0,0,0,9,9,9,9,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"2046",1007702,"FRA",0.77695,1,0,0,9,1,1,0,9,9,9,0,1,0,0,0,0,9,9,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0
"2047",1007703,"FRA",0.77695,1,0,0,0,1,1,1,9,9,9,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,9,0,0,0,0,0,1,9,0,9
"2048",1007704,"FRA",0.77695,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
"2049",1007705,"FRA",0.77695,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
"2050",1007706,"FRA",0.77695,1,9,0,9,0,1,0,9,9,9,1,9,0,9,9,9,9,9,1,1,0,1,1,1,1,9,0,1,1,1,1,1,1,1,0
"2051",1007707,"FRA",0.77695,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
"2052",1007708,"FRA",0.77695,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,9,9,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"2053",1007709,"FRA",0.77695,1,1,9,1,1,0,0,0,0,9,1,1,1,9,1,9,9,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,9,9,1
"2054",1007710,"FRA",0.84367,1,0,1,1,1,1,1,0,9,0,1,0,1,0,9,9,9,9,0,0,9,9,0,0,1,9,1,1,9,1,0,0,9,9,9
"2055",1007711,"FRA",0.84367,0,1,1,9,0,1,0,9,9,9,1,0,0,9,9,9,9,9,1,1,1,0,0,1,0,9,1,1,1,1,1,0,9,9,9
"2056",1007712,"FRA",0.84367,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,9,9
"2057",1007713,"FRA",0.84367,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"2058",1007714,"FRA",0.84367,1,1,0,1,1,1,1,1,1,9,0,0,1,0,1,1,1,1,1,1,1,1,0,9,1,1,1,1,1,1,1,1,1,9,9
"2059",1007715,"FRA",0.8465,0,9,0,0,0,1,1,9,9,9,0,9,9,9,9,9,9,9,9,1,1,1,0,9,1,0,1,1,1,1,0,1,9,9,9
"2060",1007716,"FRA",0.8465,0,9,0,9,0,0,1,9,9,9,0,0,1,0,9,9,9,9,1,0,1,1,0,0,1,9,1,9,0,1,0,0,9,9,9
"2061",1007717,"FRA",0.8465,0,1,1,1,1,1,0,0,0,0,1,1,9,9,9,9,9,9,9,1,1,0,0,0,9,9,0,9,9,9,1,1,9,0,9
"2062",1007718,"FRA",0.8465,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
"2063",1007719,"FRA",0.8465,1,0,0,0,0,0,0,9,9,9,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"2064",1007720,"FRA",0.85627,1,1,1,0,1,0,1,9,9,9,1,0,1,0,1,9,1,0,0,1,9,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"2065",1007721,"FRA",0.85627,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,9,9,9
"2066",1007722,"FRA",0.85627,1,0,0,0,9,1,1,9,9,9,9,0,9,9,9,9,9,9,9,1,1,1,1,9,9,1,1,1,1,1,9,1,9,9,9
"2067",1007723,"FRA",0.85627,1,1,1,9,0,1,1,0,0,0,1,9,0,9,0,0,9,9,0,1,1,9,1,9,0,9,0,9,0,0,0,0,9,9,0
"2068",1007724,"FRA",0.85627,1,1,1,9,0,1,0,0,0,9,9,9,9,9,9,9,9,9,0,1,1,1,0,9,1,1,1,1,1,1,0,1,9,9,9
"2069",1007725,"FRA",0.82333,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"2070",1007726,"FRA",0.82333,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2071",1007727,"FRA",0.82333,0,1,1,9,1,1,1,9,9,9,0,0,0,1,9,9,9,9,1,1,1,1,0,9,1,1,1,9,1,1,1,1,9,1,9
"2072",1007728,"FRA",0.82333,0,1,0,0,1,1,0,1,1,9,0,0,1,9,9,9,9,9,0,1,0,1,0,1,1,9,1,1,1,1,0,1,0,9,9
"2073",1007729,"FRA",0.82333,1,0,0,9,9,1,0,9,9,9,1,0,0,0,9,9,9,9,0,1,1,1,1,9,1,1,1,1,1,1,0,9,9,9,9
"2074",1007730,"FRA",0.87063,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2075",1007731,"FRA",0.87063,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
"2076",1007732,"FRA",0.87063,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2077",1007733,"FRA",0.87063,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
"2078",1007734,"FRA",0.87063,1,1,1,0,1,1,1,1,1,0,1,0,0,0,9,9,9,9,0,1,1,1,0,0,0,9,0,0,1,1,1,1,1,0,0
"2079",1007735,"FRA",0.91179,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0
"2080",1007736,"FRA",0.91179,0,1,0,0,0,0,0,1,1,0,1,0,1,9,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"2081",1007737,"FRA",0.91179,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,9,0,9
"2082",1007738,"FRA",0.64222,1,9,1,0,0,0,0,1,1,0,0,1,1,0,9,9,9,9,1,1,0,1,1,0,1,0,0,9,0,1,0,1,0,1,1
"2083",1007739,"FRA",0.64222,1,1,1,9,0,1,1,0,0,0,0,9,1,9,1,1,1,9,0,0,9,1,0,9,0,1,1,1,1,1,0,1,9,9,9
"2084",1007740,"FRA",0.64222,0,9,1,9,1,1,0,9,9,9,0,0,1,1,0,9,0,9,9,0,1,1,0,1,9,9,9,9,9,9,9,9,9,9,9
"2085",1007741,"FRA",0.60654,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
"2086",1007742,"FRA",0.60654,0,1,1,0,1,1,0,1,0,1,0,0,0,9,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"2087",1007743,"FRA",0.60654,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,9,1,0,1,0,1,1,1,1,0,0,0
"2088",1007744,"FRA",0.60654,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0
"2089",1007745,"FRA",0.59315,0,1,0,9,0,1,1,9,9,9,1,9,0,1,0,0,9,9,1,0,1,1,1,0,0,0,1,9,1,1,1,1,1,1,0
"2090",1007746,"FRA",0.59315,1,0,1,1,1,1,1,1,1,0,0,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"2091",1007747,"FRA",0.59315,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"2092",1007748,"FRA",0.59315,1,1,1,0,1,0,1,1,1,9,1,9,1,9,9,9,9,9,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"2093",1007749,"FRA",0.59315,0,0,1,0,0,1,1,0,0,0,1,9,0,0,1,0,1,9,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,9,9
"2094",1007750,"FRA",0.59315,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"2095",1007751,"FRA",0.61361,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2096",1007752,"FRA",0.61361,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"2097",1007753,"FRA",0.61361,1,1,1,0,0,1,9,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
"2098",1007754,"FRA",0.61361,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"2099",1007755,"FRA",0.61361,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"2100",1007756,"FRA",0.61361,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0
"2101",1007757,"FRA",0.90432,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,9,1,1,1,1,1,1,1,1,1
"2102",1007758,"FRA",0.90432,1,1,1,0,1,1,0,0,9,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"2103",1007759,"FRA",0.90432,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0
"2104",1007760,"FRA",0.90432,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,0,1
"2105",1007761,"FRA",0.90432,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
"2106",1007762,"FRA",0.90432,0,1,1,0,0,1,1,0,9,0,1,0,1,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,9,9
"2107",1007763,"FRA",0.90432,1,9,1,9,1,1,1,0,0,9,1,1,1,1,1,1,0,9,9,1,1,1,0,9,1,1,1,1,1,1,1,1,1,1,0
"2108",1007764,"FRA",0.90432,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1
"2109",1007765,"FRA",0.90432,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,9,9,0
"2110",1007766,"FRA",0.61293,1,0,0,9,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
"2111",1007767,"FRA",0.61293,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
"2112",1007768,"FRA",0.61293,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"2113",1007769,"FRA",0.61293,0,1,0,0,0,0,0,1,1,0,1,0,0,9,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0
"2114",1007770,"FRA",0.61293,1,9,1,0,1,1,0,0,0,0,0,9,0,9,9,9,9,9,9,0,9,1,1,1,1,9,0,9,1,1,0,9,9,9,9
"2115",1007771,"FRA",0.61293,1,9,0,9,0,1,0,9,9,9,0,0,0,9,1,1,1,1,1,1,1,0,1,9,9,9,0,9,1,1,0,0,9,9,9
"2116",1007772,"FRA",0.63846,1,9,1,0,1,0,0,1,1,9,1,9,1,0,9,9,9,9,0,0,9,1,0,0,1,1,1,9,0,1,0,1,1,9,9
"2117",1007773,"FRA",0.63846,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
"2118",1007774,"FRA",0.63846,1,0,1,9,1,1,0,0,0,0,1,0,0,1,9,9,9,9,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1
"2119",1007775,"FRA",0.63846,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,9,9,9,9,9,9,1,1,1,1,1,1,0
"2120",1007776,"FRA",0.63846,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"2121",1007777,"FRA",0.99341,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0
"2122",1007778,"FRA",0.99341,1,1,1,1,1,1,0,9,9,9,0,9,0,9,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
"2123",1007779,"FRA",0.99341,1,1,1,0,1,1,1,9,9,9,0,0,1,1,9,9,9,9,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,9
"2124",1007780,"FRA",0.9696,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,9,9,1
"2125",1007781,"FRA",0.9696,1,1,1,9,0,0,0,0,0,0,1,0,1,0,0,9,0,9,9,1,1,1,1,0,1,1,1,1,1,0,0,1,9,9,1
"2126",1007782,"FRA",0.9696,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"2127",1007783,"FRA",0.9696,1,0,0,9,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0
"2128",1007784,"FRA",0.9696,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"2129",1007785,"FRA",0.64519,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
"2130",1007786,"FRA",0.64519,1,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2131",1007787,"FRA",0.64519,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"2132",1007788,"FRA",0.64519,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"2133",1007789,"FRA",0.67744,1,1,1,9,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"2134",1007790,"FRA",0.67744,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"2135",1007791,"FRA",0.67744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"2136",1007792,"FRA",0.67744,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"2137",1007793,"FRA",0.67744,0,9,0,9,1,1,1,0,0,0,1,9,0,9,0,0,0,9,9,1,1,0,1,0,9,9,0,9,1,1,0,1,9,9,9
"2138",1007794,"FRA",1.08357,0,9,1,9,0,0,0,0,0,0,0,9,0,9,1,9,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,9,9,9
"2139",1007795,"FRA",1.08357,0,0,1,0,0,1,1,9,9,9,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0
"2140",1007796,"FRA",1.08357,9,9,1,9,0,0,0,9,9,9,1,9,0,9,9,9,9,9,1,0,1,9,0,9,1,9,0,1,1,1,0,1,9,9,9
"2141",1007797,"FRA",0.98506,0,0,1,0,1,1,1,0,0,0,1,0,1,1,9,9,9,9,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"2142",1007798,"FRA",0.98506,0,9,1,0,0,1,1,0,9,0,1,0,1,9,1,1,1,1,1,1,0,1,9,1,1,1,1,0,1,1,0,1,0,1,0
"2143",1007799,"FRA",0.98506,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"2144",1007800,"FRA",1.12333,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
"2145",1007801,"FRA",1.12333,0,9,1,9,0,1,1,9,9,9,9,9,0,9,9,9,9,9,0,1,1,1,1,9,1,9,1,1,0,1,1,1,9,9,9
"2146",1007802,"FRA",1.12333,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
"2147",1007803,"FRA",1.12333,1,1,0,0,1,0,1,9,9,9,1,1,0,1,1,1,0,1,9,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
"2148",1007804,"FRA",1.12333,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"2149",1007805,"FRA",1.00297,1,0,0,0,0,1,0,9,9,9,1,1,1,9,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,9,0
"2150",1007806,"FRA",1.00297,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0
"2151",1007807,"FRA",1.00297,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,9,1,1,1,1,1,1,0,1,0,0,0
"2152",1007808,"FRA",1.00297,1,0,1,0,0,0,1,0,0,0,0,0,0,9,9,9,9,9,9,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"2153",1007809,"FRA",0.66865,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
"2154",1007810,"FRA",0.66865,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"2155",1007811,"FRA",0.66865,1,0,1,0,1,0,0,1,1,0,0,9,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9
"2156",1007812,"FRA",0.66865,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,9,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
"2157",1007813,"FRA",0.66865,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,9,0,1,0,1,1,1,1,1,1,0,1,0,0,0
"2158",1007814,"FRA",0.66865,1,1,0,0,0,1,0,9,9,9,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,9,1,1,1,1,1,1,1,1,0
"2159",1007815,"FRA",0.66865,0,1,1,9,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,9,1,1,1,1,1,1,9,9,9
"2160",1007816,"FRA",0.66865,1,1,1,0,1,1,0,0,9,0,0,1,0,1,9,9,9,9,1,1,1,1,0,9,1,1,1,1,1,1,1,1,1,0,0
"2161",1007817,"FRA",0.69388,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"2162",1007818,"FRA",0.69388,0,0,0,0,0,1,1,0,0,9,1,0,0,0,0,9,0,9,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0
"2163",1007819,"FRA",0.69388,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,1,9,0,9
