"","agr","per","sex","risk","dt","rt","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15"
"354",55,73,2,716566,5398,7.533,0.046,3.594,0.045,0.156,0.011,0.12,0.405,1.516,0.293,0.172,0.102,0.172,0.177,0.077,0.649
"355",60,73,2,699490,7713,11.027,0.06,4.689,0.041,0.27,0.011,0.156,0.68,2.976,0.482,0.237,0.134,0.247,0.282,0.109,0.65
"356",65,73,2,639676,10930,17.087,0.109,5.914,0.066,0.417,0.045,0.186,1.491,5.678,0.844,0.316,0.266,0.364,0.453,0.175,0.761
"357",70,73,2,524685,15186,28.943,0.124,8.131,0.128,0.679,0.057,0.28,3.069,11.414,1.599,0.501,0.484,0.553,0.72,0.217,0.987
"358",75,73,2,388348,19788,50.954,0.188,10.877,0.201,1.133,0.129,0.461,6.852,22.274,3.329,0.742,0.778,1.009,1.174,0.353,1.455
"359",80,73,2,233935,20164,86.195,0.321,13.948,0.351,1.603,0.265,0.731,12.474,40.823,6.335,1.094,1.488,1.641,1.966,0.393,2.761
"360",85,73,2,105427,15568,147.67,0.579,18.088,0.664,1.603,0.436,1.252,21.607,74.592,12.852,1.755,2.343,2.58,3.178,0.484,5.653
"361",90,73,2,35390,9175,259.25,0.961,19.13,1.639,1.724,0.622,2.147,33.964,141.03,29.359,2.006,3.899,3.673,7.968,0.678,10.455
"362",0,78,2,765934,1254,1.637,0.063,0.052,0.001,0.02,0.008,0.076,0.003,0.014,0.091,0.003,0.008,0.001,0.179,0.991,0.128
"363",5,78,2,879881,184,0.209,0.007,0.047,0.003,0.009,0,0.013,0.001,0.002,0.008,0,0.002,0.002,0.001,0.033,0.081
"364",10,78,2,949688,161,0.17,0.003,0.029,0.001,0.003,0.002,0.012,0.002,0.004,0.005,0.001,0.001,0.003,0,0.026,0.076
"365",15,78,2,966398,367,0.38,0.008,0.047,0.002,0.005,0,0.02,0.004,0.003,0.013,0,0,0.002,0.005,0.023,0.247
"366",20,78,2,908551,379,0.417,0.004,0.057,0.001,0.004,0.001,0.013,0.011,0.013,0.011,0.009,0.006,0.002,0.006,0.028,0.251
"367",25,78,2,914832,492,0.538,0.004,0.09,0.003,0.016,0.001,0.017,0.026,0.015,0.009,0.01,0.003,0.007,0.011,0.022,0.303
"368",30,78,2,997050,715,0.717,0.012,0.233,0.008,0.025,0.003,0.023,0.023,0.025,0.022,0.021,0.002,0.005,0.019,0.022,0.274
"369",35,78,2,910917,1070,1.175,0.002,0.414,0.01,0.031,0.003,0.029,0.058,0.067,0.027,0.036,0.009,0.021,0.046,0.031,0.391
"370",40,78,2,741938,1465,1.975,0.012,0.845,0.011,0.035,0.005,0.043,0.1,0.189,0.05,0.088,0.009,0.026,0.059,0.03,0.473
"371",45,78,2,686891,2332,3.395,0.019,1.606,0.032,0.049,0.007,0.067,0.179,0.424,0.103,0.125,0.035,0.054,0.096,0.052,0.546
"372",50,78,2,695582,3596,5.17,0.02,2.604,0.026,0.098,0.01,0.098,0.223,0.727,0.217,0.138,0.049,0.091,0.188,0.049,0.633
"373",55,78,2,727643,5511,7.574,0.045,3.755,0.037,0.11,0.003,0.148,0.363,1.295,0.408,0.198,0.102,0.142,0.271,0.065,0.634
"374",60,78,2,683914,7761,11.348,0.05,5.084,0.051,0.231,0.019,0.168,0.63,2.794,0.614,0.212,0.137,0.196,0.402,0.095,0.664
"375",65,78,2,653013,10927,16.733,0.066,6.291,0.077,0.38,0.021,0.242,1.253,5.337,0.98,0.214,0.234,0.279,0.579,0.136,0.645
"376",70,78,2,572661,15735,27.477,0.11,8.584,0.117,0.606,0.058,0.367,2.918,9.976,1.472,0.344,0.458,0.498,0.912,0.19,0.868
"377",75,78,2,435878,20487,47.002,0.211,11.235,0.252,0.957,0.122,0.576,6.013,19.352,2.808,0.535,0.911,0.86,1.542,0.278,1.351
"378",80,78,2,281105,23031,81.93,0.263,14.546,0.352,1.451,0.185,1.032,11.661,36.919,5.695,0.825,1.786,1.494,2.732,0.366,2.622
"379",85,78,2,135084,18728,138.64,0.422,18.959,0.733,1.977,0.318,1.814,19.862,66.07,11.474,1.14,2.82,2.561,4.449,0.318,5.722
"380",90,78,2,48636,12213,251.11,0.452,21.095,1.172,1.83,0.679,3.701,32.301,133.03,25.023,1.871,4.359,3.516,11.576,0.576,9.931
"381",0,83,2,659123,1090,1.654,0.061,0.065,0.005,0.029,0.003,0.058,0.006,0.011,0.046,0,0.009,0.005,0.258,0.98,0.12
"382",5,83,2,768333,125,0.163,0.005,0.047,0.003,0.001,0.001,0.01,0.003,0.004,0.003,0,0,0,0.001,0.022,0.062
"383",10,83,2,881233,152,0.172,0.006,0.031,0.002,0.003,0.001,0.014,0.003,0.003,0.01,0,0,0.001,0.002,0.012,0.083
"384",15,83,2,954258,278,0.291,0.012,0.049,0.002,0.004,0.003,0.009,0.003,0.006,0.01,0.001,0.003,0.002,0.005,0.015,0.166
"385",20,83,2,971276,347,0.357,0.004,0.064,0.003,0.01,0,0.01,0.005,0.006,0.007,0.003,0.003,0.003,0.006,0.013,0.218
"386",25,83,2,908166,423,0.466,0.003,0.074,0.007,0.01,0.002,0.025,0.019,0.01,0.013,0.011,0.003,0.003,0.012,0.028,0.246
"387",30,83,2,912141,683,0.749,0.003,0.2,0.007,0.022,0.001,0.027,0.048,0.032,0.016,0.025,0.003,0.005,0.018,0.016,0.325
"388",35,83,2,993275,1114,1.122,0.008,0.369,0.013,0.034,0.003,0.035,0.056,0.049,0.031,0.052,0.008,0.004,0.033,0.015,0.409
"389",40,83,2,904724,1708,1.888,0.006,0.788,0.012,0.044,0.003,0.061,0.101,0.109,0.028,0.102,0.025,0.019,0.066,0.024,0.5
"390",45,83,2,732722,2333,3.184,0.007,1.522,0.023,0.089,0.007,0.089,0.172,0.277,0.104,0.146,0.037,0.035,0.089,0.034,0.554
"391",50,83,2,672347,3620,5.384,0.03,2.685,0.027,0.135,0.009,0.134,0.269,0.683,0.303,0.168,0.062,0.055,0.164,0.062,0.598
"392",55,83,2,673095,5430,8.067,0.037,4.051,0.045,0.187,0.003,0.166,0.368,1.245,0.526,0.223,0.086,0.095,0.354,0.055,0.625
"393",60,83,2,693620,8193,11.812,0.055,5.509,0.076,0.245,0.012,0.216,0.572,2.597,0.784,0.242,0.156,0.138,0.457,0.089,0.663
"394",65,83,2,637405,10901,17.102,0.078,6.79,0.105,0.427,0.009,0.282,1.191,4.796,1.156,0.234,0.251,0.212,0.744,0.124,0.703
"395",70,83,2,586288,15958,27.219,0.096,8.808,0.138,0.692,0.026,0.447,2.512,9.485,1.701,0.334,0.423,0.408,1.078,0.159,0.913
"396",75,83,2,479934,21312,44.406,0.14,11.395,0.206,0.969,0.108,0.752,5.305,17.3,2.713,0.473,0.954,0.554,1.746,0.263,1.527
"397",80,83,2,321119,24979,77.787,0.274,14.521,0.383,1.473,0.14,1.414,11.189,33.256,5.362,0.657,1.744,1.003,2.927,0.315,3.13
"398",85,83,2,165083,22228,134.65,0.279,18.324,0.751,2.181,0.224,2.55,19.79,62.381,9.819,1.102,3.12,1.714,5.434,0.454,6.524
"399",90,83,2,66061,16143,244.37,0.757,20.405,1.378,2.664,0.424,4.708,31.032,123.63,21.707,1.741,4.662,2.937,14.941,0.711,12.67
"400",0,88,2,485845,950,1.955,0.089,0.062,0.014,0.037,0.004,0.076,0.008,0.006,0.054,0.002,0.012,0,0.352,1.128,0.111
"401",5,88,2,468853,85,0.181,0.009,0.036,0.004,0.004,0.002,0.013,0.004,0,0.006,0,0.002,0,0.002,0.019,0.079
"402",10,88,2,556414,92,0.165,0.007,0.022,0,0.004,0.002,0.007,0.005,0.002,0.002,0.002,0.002,0.002,0.004,0.025,0.081
"403",15,88,2,627105,199,0.317,0.008,0.051,0.003,0.006,0,0.019,0.006,0.008,0.013,0.002,0,0.002,0.002,0.022,0.175
"404",20,88,2,687025,276,0.402,0.007,0.055,0.004,0.006,0.004,0.02,0.009,0.01,0.017,0.001,0.007,0.003,0.006,0.025,0.226
"405",25,88,2,670153,329,0.491,0.016,0.087,0.003,0.01,0.003,0.022,0.021,0.016,0.001,0.001,0.003,0.003,0.007,0.03,0.266
"406",30,88,2,635022,474,0.746,0.02,0.205,0.003,0.022,0.002,0.039,0.046,0.038,0.011,0.035,0.006,0.003,0.025,0.024,0.268
"407",35,88,2,639123,785,1.228,0.019,0.424,0.009,0.028,0.002,0.081,0.061,0.07,0.028,0.084,0.003,0.014,0.041,0.03,0.333
"408",40,88,2,705111,1465,2.078,0.014,0.919,0.017,0.043,0,0.089,0.115,0.118,0.064,0.109,0.016,0.011,0.071,0.04,0.452
"409",45,88,2,600791,2091,3.48,0.018,1.789,0.023,0.063,0,0.125,0.143,0.266,0.108,0.183,0.038,0.03,0.118,0.033,0.541
"410",50,88,2,495108,2810,5.676,0.03,2.878,0.024,0.135,0,0.176,0.271,0.63,0.277,0.22,0.065,0.044,0.214,0.057,0.654
"411",55,88,2,453716,4239,9.343,0.048,4.796,0.046,0.192,0.009,0.269,0.395,1.378,0.635,0.264,0.121,0.071,0.392,0.101,0.626
"412",60,88,2,453914,6193,13.644,0.068,6.329,0.088,0.295,0.015,0.28,0.734,2.763,1.079,0.28,0.229,0.104,0.619,0.097,0.663
"413",65,88,2,456895,9366,20.499,0.116,8.372,0.166,0.541,0.018,0.477,1.339,5.062,1.705,0.341,0.361,0.186,0.858,0.166,0.79
"414",70,88,2,397399,12408,31.223,0.133,10.83,0.239,0.715,0.038,0.649,2.65,9.459,2.403,0.375,0.617,0.332,1.485,0.216,1.082
"415",75,88,2,348340,17484,50.192,0.207,13.355,0.379,1.011,0.083,0.982,5.81,18.292,3.511,0.459,1.128,0.551,2.334,0.333,1.757
"416",80,88,2,249119,21310,85.541,0.285,15.92,0.614,1.481,0.136,1.947,11.958,35.501,5.536,0.658,2.332,1.048,4.195,0.413,3.516
"417",85,88,2,133690,19870,148.63,0.598,19.194,0.98,2.124,0.411,3.83,21.079,68.083,9.507,1.129,4.166,1.608,7.974,0.546,7.398
"418",90,88,2,57038,16069,281.72,0.912,21.757,1.613,2.735,0.438,6.031,35.064,140.66,21.617,1.736,6.312,2.034,23.774,0.701,16.34
