"","s.v.n.x.y"
"4498","5,1,5,405.202,160.882"
"4499","5,1,5,415.371,168.134"
"4500","5,1,5,425.639,175.839"
"4501","5,1,5,436,184"
"4502","5,1,5,436,184"
"4503","5,1,5,452,197.125"
"4504","5,1,5,459.625,203.547"
"4505","5,1,5,468,211"
"4506","5,1,5,468,211"
"4507","5,1,5,478.969,221.422"
"4508","5,1,5,490.5,232.875"
"4509","5,1,5,502.031,244.891"
"4510","5,1,5,513,257"
"4511","5,1,5,513,257"
"4512","5,1,5,523.033,268.867"
"4513","5,1,5,531.578,279.188"
"4514","5,1,5,538.928,288.289"
"4515","5,1,5,545.375,296.5"
"4516","5,1,5,556.734,311.562"
"4517","5,1,5,568,327"
"4518","5,1,5,568,327"
"4519","5,1,5,577.239,340.665"
"4520","5,1,5,585.85,353.916"
"4521","5,1,5,593.86,366.76"
"4522","5,1,5,601.297,379.203"
"4523","5,1,5,608.189,391.254"
"4524","5,1,5,614.564,402.92"
"4525","5,1,5,620.45,414.208"
"4526","5,1,5,625.875,425.125"
"4527","5,1,5,630.866,435.679"
"4528","5,1,5,635.451,445.877"
"4529","5,1,5,639.658,455.726"
"4530","5,1,5,643.516,465.234"
"4531","5,1,5,647.051,474.408"
"4532","5,1,5,650.291,483.256"
"4533","5,1,5,656,500"
"4534","5,1,5,656,500"
"4535","5,1,5,658.697,508.355"
"4536","5,1,5,661.166,516.547"
"4537","5,1,5,663.416,524.574"
"4538","5,1,5,665.453,532.438"
"4539","5,1,5,667.285,540.137"
"4540","5,1,5,668.92,547.672"
"4541","5,1,5,670.364,555.043"
"4542","5,1,5,671.625,562.25"
"4543","5,1,5,673.627,576.172"
"4544","5,1,5,674.984,589.438"
"4545","5,1,5,675.756,602.047"
"4546","5,1,5,676,614"
"4547","5,1,5,676,614"
"4548","5,1,5,675.82,623.629"
"4549","5,1,5,675.312,632.344"
"4550","5,1,5,674.523,640.262"
"4551","5,1,5,673.5,647.5"
"4552","5,1,5,672.289,654.176"
"4553","5,1,5,670.938,660.406"
"4554","5,1,5,668,672"
"4555","5,1,5,668,672"
"4556","5,1,5,665.712,678.362"
"4557","5,1,5,663.16,684.503"
"4558","5,1,5,660.346,690.415"
"4559","5,1,5,657.268,696.088"
"4560","5,1,5,653.927,701.512"
"4561","5,1,5,650.323,706.679"
"4562","5,1,5,646.457,711.579"
"4563","5,1,5,642.328,716.203"
"4564","5,1,5,637.937,720.541"
"4565","5,1,5,633.284,724.584"
"4566","5,1,5,628.37,728.323"
"4567","5,1,5,623.193,731.748"
"4568","5,1,5,617.756,734.85"
"4569","5,1,5,612.056,737.62"
"4570","5,1,5,606.096,740.048"
"4571","5,1,5,599.875,742.125"
"4572","5,1,5,593.393,743.842"
"4573","5,1,5,586.651,745.189"
"4574","5,1,5,579.648,746.157"
"4575","5,1,5,572.385,746.736"
"4576","5,1,5,564.862,746.918"
"4577","5,1,5,557.079,746.693"
"4578","5,1,5,549.036,746.052"
"4579","5,1,5,540.734,744.984"
"4580","5,1,5,532.173,743.482"
"4581","5,1,5,523.353,741.535"
"4582","5,1,5,514.274,739.135"
"4583","5,1,5,504.936,736.271"
"4584","5,1,5,495.339,732.936"
"4585","5,1,5,485.484,729.118"
"4586","5,1,5,475.371,724.809"
"4587","5,1,5,465,720"
"4588","5,1,5,465,720"
"4589","5,1,5,460.475,717.852"
"4590","5,1,5,455.234,715.188"
"4591","5,1,5,449.408,712.055"
"4592","5,1,5,443.125,708.5"
"4593","5,1,5,436.514,704.57"
"4594","5,1,5,429.703,700.312"
"4595","5,1,5,422.822,695.773"
"4596","5,1,5,416,691"
"4597","5,1,5,416,691"
"4598","5,1,5,403.141,681.719"
"4599","5,1,5,395.24,675.848"
"4600","5,1,5,386.625,669.25"
"4601","5,1,5,377.494,661.996"
"4602","5,1,5,368.047,654.156"
"4603","5,1,5,358.482,645.801"
"4604","5,1,5,349,637"
"4605","5,1,5,349,637"
"4606","5,1,5,335.354,624.062"
"4607","5,1,5,322.141,610.75"
"4608","5,1,5,309.326,597.062"
"4609","5,1,5,296.875,583"
"4610","5,1,5,284.752,568.562"
"4611","5,1,5,272.922,553.75"
"4612","5,1,5,261.35,538.562"
"4613","5,1,5,250,523"
"4614","5,1,5,250,523"
"4615","5,1,5,244.938,515.861"
"4616","5,1,5,238.938,506.766"
"4617","5,1,5,232.281,496.193"
"4618","5,1,5,225.25,484.625"
"4619","5,1,5,218.125,472.541"
"4620","5,1,5,211.188,460.422"
"4621","5,1,5,204.719,448.748"
"4622","5,1,5,199,438"
"4623","5,1,5,NA,NA"
"4624","6,0,1,320,883"
"4625","6,0,1,308.319,882.394"
"4626","6,0,1,296.899,881.425"
"4627","6,0,1,285.74,880.102"
"4628","6,0,1,274.843,878.431"
"4629","6,0,1,264.206,876.421"
"4630","6,0,1,253.828,874.08"
"4631","6,0,1,243.71,871.415"
"4632","6,0,1,233.852,868.434"
"4633","6,0,1,224.251,865.145"
"4634","6,0,1,214.909,861.556"
"4635","6,0,1,205.824,857.674"
"4636","6,0,1,196.997,853.508"
"4637","6,0,1,188.426,849.066"
"4638","6,0,1,180.112,844.354"
"4639","6,0,1,172.053,839.382"
"4640","6,0,1,164.25,834.156"
"4641","6,0,1,156.702,828.685"
"4642","6,0,1,149.408,822.977"
"4643","6,0,1,142.368,817.039"
"4644","6,0,1,135.581,810.878"
"4645","6,0,1,129.048,804.504"
"4646","6,0,1,122.767,797.924"
"4647","6,0,1,116.738,791.145"
"4648","6,0,1,110.961,784.176"
"4649","6,0,1,105.435,777.024"
"4650","6,0,1,100.16,769.697"
"4651","6,0,1,95.135,762.203"
"4652","6,0,1,90.36,754.549"
"4653","6,0,1,85.835,746.745"
"4654","6,0,1,81.558,738.796"
"4655","6,0,1,77.53,730.712"
"4656","6,0,1,73.75,722.5"
"4657","6,0,1,70.217,714.168"
"4658","6,0,1,66.932,705.723"
"4659","6,0,1,63.893,697.174"
"4660","6,0,1,61.101,688.529"
"4661","6,0,1,58.554,679.794"
"4662","6,0,1,56.252,670.979"
"4663","6,0,1,54.195,662.091"
"4664","6,0,1,52.383,653.137"
"4665","6,0,1,50.814,644.125"
"4666","6,0,1,49.489,635.064"
"4667","6,0,1,48.407,625.962"
"4668","6,0,1,47.567,616.825"
"4669","6,0,1,46.97,607.662"
"4670","6,0,1,46.614,598.48"
"4671","6,0,1,46.499,589.288"
"4672","6,0,1,46.625,580.094"
"4673","6,0,1,46.991,570.904"
"4674","6,0,1,47.597,561.728"
"4675","6,0,1,48.442,552.572"
"4676","6,0,1,49.526,543.445"
"4677","6,0,1,50.849,534.354"
"4678","6,0,1,52.409,525.308"
"4679","6,0,1,54.207,516.313"
"4680","6,0,1,56.242,507.379"
"4681","6,0,1,58.514,498.512"
"4682","6,0,1,61.021,489.721"
"4683","6,0,1,63.765,481.013"
"4684","6,0,1,66.743,472.397"
"4685","6,0,1,69.956,463.88"
"4686","6,0,1,73.404,455.469"
"4687","6,0,1,77.085,447.173"
"4688","6,0,1,81,439"
"4689","6,0,1,81,439"
"4690","6,0,1,86.686,427.727"
"4691","6,0,1,91.984,417.625"
"4692","6,0,1,97.26,408.273"
"4693","6,0,1,102.875,399.25"
"4694","6,0,1,109.193,390.133"
"4695","6,0,1,116.578,380.5"
"4696","6,0,1,125.393,369.93"
"4697","6,0,1,136,358"
"4698","6,0,1,136,358"
"4699","6,0,1,144.227,350.268"
"4700","6,0,1,152.5,342.828"
"4701","6,0,1,160.961,335.693"
"4702","6,0,1,169.75,328.875"
"4703","6,0,1,179.008,322.385"
"4704","6,0,1,183.856,319.266"
"4705","6,0,1,188.875,316.234"
"4706","6,0,1,194.081,313.29"
"4707","6,0,1,199.492,310.436"
"4708","6,0,1,205.126,307.672"
"4709","6,0,1,211,305"
"4710","6,0,1,211,305"
"4711","6,0,1,219.559,301.174"
"4712","6,0,1,229.219,297.266"
"4713","6,0,1,239.582,293.381"
"4714","6,0,1,250.25,289.625"
"4715","6,0,1,260.824,286.104"
"4716","6,0,1,270.906,282.922"
"4717","6,0,1,280.098,280.186"
"4718","6,0,1,288,278"
"4719","6,0,1,288,278"
"4720","6,0,1,306.156,274.016"
"4721","6,0,1,314.262,272.357"
"4722","6,0,1,322.25,270.875"
"4723","6,0,1,330.52,269.533"
"4724","6,0,1,339.469,268.297"
"4725","6,0,1,349.496,267.131"
"4726","6,0,1,361,266"
"4727","6,0,1,361,266"
"4728","6,0,1,369.964,265.329"
"4729","6,0,1,379.037,264.816"
"4730","6,0,1,388.211,264.459"
"4731","6,0,1,397.48,264.26"
"4732","6,0,1,406.836,264.216"
"4733","6,0,1,416.27,264.328"
"4734","6,0,1,425.775,264.595"
"4735","6,0,1,435.344,265.016"
"4736","6,0,1,454.64,266.319"
"4737","6,0,1,474.098,268.232"
"4738","6,0,1,493.655,270.753"
"4739","6,0,1,513.25,273.875"
"4740","6,0,1,532.822,277.595"
"4741","6,0,1,542.58,279.678"
"4742","6,0,1,552.309,281.908"
"4743","6,0,1,562.001,284.286"
"4744","6,0,1,571.649,286.81"
"4745","6,0,1,581.245,289.481"
"4746","6,0,1,590.781,292.297"
"4747","6,0,1,600.25,295.258"
"4748","6,0,1,609.644,298.364"
"4749","6,0,1,618.955,301.613"
"4750","6,0,1,628.176,305.006"
"4751","6,0,1,637.298,308.542"
"4752","6,0,1,646.315,312.219"
"4753","6,0,1,655.218,316.039"
"4754","6,0,1,664,320"
"4755","6,0,1,664,320"
"4756","6,0,1,682.234,328.266"
"4757","6,0,1,699.625,336.625"
"4758","6,0,1,716.453,345.172"
"4759","6,0,1,733,354"
"4760","6,0,1,733,354"
"4761","6,0,1,742.236,359.217"
"4762","6,0,1,751.766,364.984"
"4763","6,0,1,761.318,371.104"
"4764","6,0,1,770.625,377.375"
"4765","6,0,1,779.416,383.6"
"4766","6,0,1,787.422,389.578"
"4767","6,0,1,794.373,395.111"
"4768","6,0,1,800,400"
"4769","6,0,1,800,400"
"4770","6,0,1,808.902,407.549"
"4771","6,0,1,817.594,415.203"
"4772","6,0,1,826.051,422.975"
"4773","6,0,1,834.25,430.875"
"4774","6,0,1,842.168,438.916"
"4775","6,0,1,849.781,447.109"
"4776","6,0,1,857.066,455.467"
"4777","6,0,1,864,464"
"4778","6,0,1,864,464"
"4779","6,0,1,869.303,471.209"
"4780","6,0,1,873.938,478.223"
"4781","6,0,1,877.869,485.054"
"4782","6,0,1,879.56,488.406"
"4783","6,0,1,881.062,491.719"
"4784","6,0,1,882.371,494.993"
"4785","6,0,1,883.482,498.231"
"4786","6,0,1,884.391,501.435"
"4787","6,0,1,885.094,504.605"
"4788","6,0,1,885.585,507.746"
"4789","6,0,1,885.861,510.857"
"4790","6,0,1,885.918,513.941"
"4791","6,0,1,885.75,517"
"4792","6,0,1,885.354,520.035"
"4793","6,0,1,884.725,523.049"
"4794","6,0,1,883.858,526.043"
"4795","6,0,1,882.75,529.02"
"4796","6,0,1,881.396,531.98"
"4797","6,0,1,879.791,534.925"
"4798","6,0,1,877.931,537.859"
"4799","6,0,1,875.812,540.781"
"4800","6,0,1,873.43,543.695"
"4801","6,0,1,870.779,546.602"
"4802","6,0,1,867.856,549.504"
"4803","6,0,1,864.656,552.402"
"4804","6,0,1,861.175,555.299"
"4805","6,0,1,857.408,558.197"
"4806","6,0,1,853.351,561.096"
"4807","6,0,1,849,564"
"4808","6,0,1,849,564"
"4809","6,0,1,820.125,583"
"4810","6,0,1,805.547,592.688"
"4811","6,0,1,792,602"
"4812","6,0,1,792,602"
"4813","6,0,1,785.243,606.756"
"4814","6,0,1,779.197,611.643"
"4815","6,0,1,773.822,616.649"
"4816","6,0,1,769.078,621.766"
"4817","6,0,1,764.926,626.982"
"4818","6,0,1,761.326,632.287"
"4819","6,0,1,758.239,637.672"
"4820","6,0,1,755.625,643.125"
"4821","6,0,1,753.445,648.637"
"4822","6,0,1,751.658,654.197"
"4823","6,0,1,750.226,659.796"
"4824","6,0,1,749.109,665.422"
"4825","6,0,1,748.268,671.066"
"4826","6,0,1,747.662,676.717"
"4827","6,0,1,747.253,682.365"
"4828","6,0,1,747,688"
"4829","6,0,1,747,688"
"4830","6,0,1,746.712,697.587"
"4831","6,0,1,746.197,706.48"
"4832","6,0,1,745.416,714.688"
"4833","6,0,1,744.328,722.219"
"4834","6,0,1,742.895,729.082"
"4835","6,0,1,741.076,735.285"
"4836","6,0,1,740.01,738.143"
"4837","6,0,1,738.833,740.838"
"4838","6,0,1,737.539,743.374"
"4839","6,0,1,736.125,745.75"
"4840","6,0,1,734.585,747.968"
"4841","6,0,1,732.913,750.029"
"4842","6,0,1,731.106,751.934"
"4843","6,0,1,729.158,753.684"
"4844","6,0,1,727.064,755.28"
"4845","6,0,1,724.82,756.723"
"4846","6,0,1,722.42,758.015"
"4847","6,0,1,719.859,759.156"
"4848","6,0,1,717.133,760.148"
"4849","6,0,1,714.237,760.992"
"4850","6,0,1,711.165,761.688"
"4851","6,0,1,707.912,762.238"
"4852","6,0,1,704.474,762.643"
"4853","6,0,1,700.846,762.905"
"4854","6,0,1,693,763"
"4855","6,0,1,693,763"
"4856","6,0,1,683.441,762.451"
"4857","6,0,1,672.969,761.609"
"4858","6,0,1,650.5,759.375"
"4859","6,0,1,628.031,756.953"
"4860","6,0,1,608,755"
"4861","6,0,1,608,755"
"4862","6,0,1,599.651,754.282"
"4863","6,0,1,591.836,753.994"
"4864","6,0,1,584.524,754.119"
"4865","6,0,1,577.688,754.641"
"4866","6,0,1,571.296,755.543"
"4867","6,0,1,565.32,756.811"
"4868","6,0,1,559.731,758.427"
"4869","6,0,1,554.5,760.375"
"4870","6,0,1,549.597,762.64"
"4871","6,0,1,544.992,765.205"
"4872","6,0,1,540.657,768.054"
"4873","6,0,1,536.562,771.172"
"4874","6,0,1,532.679,774.541"
"4875","6,0,1,528.977,778.146"
"4876","6,0,1,525.427,781.971"
"4877","6,0,1,522,786"
"4878","6,0,1,522,786"
"4879","6,0,1,515.109,794.875"
"4880","6,0,1,508.125,804.5"
"4881","6,0,1,495,823"
"4882","6,0,1,495,823"
"4883","6,0,1,491.92,827.065"
"4884","6,0,1,488.689,831.008"
"4885","6,0,1,485.321,834.821"
"4886","6,0,1,481.828,838.5"
"4887","6,0,1,478.224,842.038"
"4888","6,0,1,474.521,845.43"
"4889","6,0,1,470.734,848.669"
"4890","6,0,1,466.875,851.75"
"4891","6,0,1,462.957,854.667"
"4892","6,0,1,458.994,857.414"
"4893","6,0,1,454.999,859.985"
"4894","6,0,1,450.984,862.375"
"4895","6,0,1,446.964,864.577"
"4896","6,0,1,442.951,866.586"
"4897","6,0,1,438.959,868.396"
"4898","6,0,1,435,870"
"4899","6,0,1,435,870"
"4900","6,0,1,425.629,872.855"
"4901","6,0,1,415.344,875.406"
"4902","6,0,1,403.887,877.629"
"4903","6,0,1,391,879.5"
"4904","6,0,1,376.426,880.996"
"4905","6,0,1,359.906,882.094"
"4906","6,0,1,341.184,882.77"
"4907","6,0,1,320,883"
"4908","6,0,1,NA,NA"
"4909","6,0,2,767,789"
"4910","6,0,2,762.953,796.863"
"4911","6,0,2,758.69,804.513"
"4912","6,0,2,754.219,811.952"
"4913","6,0,2,749.543,819.18"
"4914","6,0,2,744.671,826.198"
"4915","6,0,2,739.606,833.005"
"4916","6,0,2,734.356,839.602"
"4917","6,0,2,728.926,845.99"
"4918","6,0,2,723.322,852.169"
"4919","6,0,2,717.55,858.14"
"4920","6,0,2,711.615,863.902"
"4921","6,0,2,705.525,869.457"
"4922","6,0,2,699.284,874.805"
"4923","6,0,2,692.899,879.946"
"4924","6,0,2,686.375,884.881"
"4925","6,0,2,679.719,889.609"
"4926","6,0,2,672.936,894.133"
"4927","6,0,2,666.032,898.451"
"4928","6,0,2,659.013,902.565"
"4929","6,0,2,651.885,906.474"
"4930","6,0,2,644.654,910.18"
"4931","6,0,2,637.326,913.683"
"4932","6,0,2,629.907,916.983"
"4933","6,0,2,622.402,920.08"
"4934","6,0,2,614.818,922.976"
"4935","6,0,2,607.16,925.669"
"4936","6,0,2,599.435,928.162"
"4937","6,0,2,591.648,930.454"
"4938","6,0,2,583.805,932.546"
"4939","6,0,2,575.912,934.438"
"4940","6,0,2,567.975,936.131"
"4941","6,0,2,560,937.625"
"4942","6,0,2,551.993,938.92"
"4943","6,0,2,543.959,940.018"
"4944","6,0,2,535.905,940.917"
"4945","6,0,2,527.836,941.62"
"4946","6,0,2,519.759,942.126"
"4947","6,0,2,511.679,942.435"
"4948","6,0,2,503.603,942.549"
"4949","6,0,2,495.535,942.467"
"4950","6,0,2,487.483,942.19"
"4951","6,0,2,479.451,941.718"
"4952","6,0,2,471.446,941.053"
"4953","6,0,2,463.474,940.194"
"4954","6,0,2,455.541,939.141"
"4955","6,0,2,447.652,937.896"
"4956","6,0,2,439.813,936.458"
"4957","6,0,2,432.031,934.828"
"4958","6,0,2,424.311,933.007"
"4959","6,0,2,416.66,930.994"
"4960","6,0,2,409.082,928.791"
"4961","6,0,2,401.584,926.398"
"4962","6,0,2,394.173,923.815"
"4963","6,0,2,386.853,921.043"
"4964","6,0,2,379.63,918.081"
"4965","6,0,2,372.512,914.932"
"4966","6,0,2,365.503,911.594"
"4967","6,0,2,358.609,908.068"
"4968","6,0,2,351.836,904.356"
"4969","6,0,2,345.191,900.456"
"4970","6,0,2,338.679,896.371"
"4971","6,0,2,332.306,892.099"
"4972","6,0,2,326.077,887.642"
"4973","6,0,2,320,883"
"4974","6,0,2,320,883"
"4975","6,0,2,314.048,878.208"
"4976","6,0,2,308.195,873.211"
"4977","6,0,2,302.448,868.015"
"4978","6,0,2,296.812,862.625"
"4979","6,0,2,291.294,857.048"
"4980","6,0,2,285.898,851.289"
"4981","6,0,2,280.632,845.354"
"4982","6,0,2,275.5,839.25"
"4983","6,0,2,270.509,832.981"
"4984","6,0,2,265.664,826.555"
"4985","6,0,2,260.972,819.976"
"4986","6,0,2,256.438,813.25"
"4987","6,0,2,252.067,806.384"
"4988","6,0,2,247.867,799.383"
"4989","6,0,2,243.843,792.253"
"4990","6,0,2,240,785"
"4991","6,0,2,240,785"
"4992","6,0,2,236.883,779.516"
"4993","6,0,2,233.91,773.943"
"4994","6,0,2,231.083,768.285"
"4995","6,0,2,228.406,762.547"
"4996","6,0,2,225.881,756.732"
"4997","6,0,2,223.512,750.846"
"4998","6,0,2,221.3,744.892"
"4999","6,0,2,219.25,738.875"
"5000","6,0,2,217.364,732.8"
"5001","6,0,2,215.645,726.67"
"5002","6,0,2,214.095,720.49"
"5003","6,0,2,212.719,714.266"
"5004","6,0,2,211.518,708"
"5005","6,0,2,210.496,701.697"
"5006","6,0,2,209.656,695.363"
"5007","6,0,2,209,689"
"5008","6,0,2,209,689"
"5009","6,0,2,208.346,679.746"
"5010","6,0,2,207.891,670.094"
"5011","6,0,2,207.646,660.207"
"5012","6,0,2,207.625,650.25"
"5013","6,0,2,207.838,640.387"
"5014","6,0,2,208.297,630.781"
"5015","6,0,2,209.014,621.598"
"5016","6,0,2,210,613"
"5017","6,0,2,210,613"
"5018","6,0,2,211.725,601.945"
"5019","6,0,2,213.859,590"
"5020","6,0,2,216.346,577.492"
"5021","6,0,2,219.125,564.75"
"5022","6,0,2,222.139,552.102"
"5023","6,0,2,225.328,539.875"
"5024","6,0,2,228.635,528.398"
"5025","6,0,2,232,518"
"5026","6,0,2,232,518"
"5027","6,0,2,238.283,500.382"
"5028","6,0,2,244.762,483.137"
"5029","6,0,2,251.446,466.237"
"5030","6,0,2,258.344,449.656"
"5031","6,0,2,265.464,433.369"
"5032","6,0,2,272.816,417.348"
"5033","6,0,2,280.409,401.567"
"5034","6,0,2,288.25,386"
"5035","6,0,2,296.349,370.621"
"5036","6,0,2,304.715,355.402"
"5037","6,0,2,313.356,340.319"
"5038","6,0,2,322.281,325.344"
"5039","6,0,2,331.5,310.451"
"5040","6,0,2,341.02,295.613"
"5041","6,0,2,350.85,280.805"
"5042","6,0,2,361,266"
"5043","6,0,2,361,266"
"5044","6,0,2,367.047,257.512"
"5045","6,0,2,373.188,249.281"
"5046","6,0,2,379.422,241.285"
"5047","6,0,2,385.75,233.5"
"5048","6,0,2,392.172,225.902"
"5049","6,0,2,398.688,218.469"
"5050","6,0,2,405.297,211.176"
"5051","6,0,2,412,204"
"5052","6,0,2,412,204"
"5053","6,0,2,424.625,191.281"
"5054","6,0,2,438,178"
"5055","6,0,2,444.734,171.559"
"5056","6,0,2,451.375,165.469"
"5057","6,0,2,457.828,159.895"
"5058","6,0,2,464,155"
"5059","6,0,2,464,155"
"5060","6,0,2,470.984,149.562"
"5061","6,0,2,478.625,143.75"
"5062","6,0,2,487.203,137.562"
"5063","6,0,2,497,131"
"5064","6,0,2,497,131"
"5065","6,0,2,503.353,127.555"
"5066","6,0,2,509.659,124.526"
"5067","6,0,2,515.912,121.898"
"5068","6,0,2,522.104,119.66"
"5069","6,0,2,528.229,117.798"
"5070","6,0,2,534.281,116.3"
"5071","6,0,2,540.254,115.153"
"5072","6,0,2,546.141,114.344"
"5073","6,0,2,551.935,113.86"
"5074","6,0,2,557.631,113.688"
"5075","6,0,2,563.222,113.816"
"5076","6,0,2,568.701,114.23"
"5077","6,0,2,574.063,114.919"
"5078","6,0,2,579.3,115.869"
"5079","6,0,2,584.406,117.067"
"5080","6,0,2,589.375,118.5"
"5081","6,0,2,594.201,120.156"
"5082","6,0,2,598.876,122.022"
"5083","6,0,2,603.395,124.085"
"5084","6,0,2,607.752,126.332"
"5085","6,0,2,611.939,128.751"
"5086","6,0,2,615.951,131.328"
"5087","6,0,2,619.781,134.05"
"5088","6,0,2,623.422,136.906"
"5089","6,0,2,626.868,139.882"
"5090","6,0,2,630.114,142.965"
"5091","6,0,2,633.151,146.143"
"5092","6,0,2,635.975,149.402"
"5093","6,0,2,638.578,152.731"
"5094","6,0,2,640.954,156.115"
"5095","6,0,2,643.097,159.542"
"5096","6,0,2,645,163"
"5097","6,0,2,645,163"
"5098","6,0,2,649.73,171.469"
"5099","6,0,2,654.156,180.312"
"5100","6,0,2,658.254,189.438"
"5101","6,0,2,662,198.75"
"5102","6,0,2,665.371,208.156"
"5103","6,0,2,668.344,217.562"
"5104","6,0,2,670.895,226.875"
"5105","6,0,2,673,236"
"5106","6,0,2,673,236"
"5107","6,0,2,674.177,240.923"
"5108","6,0,2,675.456,245.574"
"5109","6,0,2,676.833,249.961"
"5110","6,0,2,678.305,254.094"
"5111","6,0,2,679.867,257.98"
"5112","6,0,2,681.517,261.629"
"5113","6,0,2,683.25,265.049"
"5114","6,0,2,685.062,268.25"
"5115","6,0,2,686.952,271.24"
"5116","6,0,2,688.913,274.027"
"5117","6,0,2,690.943,276.622"
"5118","6,0,2,693.039,279.031"
"5119","6,0,2,695.196,281.265"
"5120","6,0,2,697.411,283.332"
"5121","6,0,2,699.68,285.241"
"5122","6,0,2,702,287"
"5123","6,0,2,706.776,290.105"
"5124","6,0,2,711.711,292.719"
"5125","6,0,2,716.774,294.91"
"5126","6,0,2,721.938,296.75"
"5127","6,0,2,727.171,298.309"
"5128","6,0,2,732.445,299.656"
"5129","6,0,2,743,302"
"5130","6,0,2,743,302"
"5131","6,0,2,748.235,303.13"
"5132","6,0,2,753.253,304.452"
"5133","6,0,2,758.053,305.96"
"5134","6,0,2,762.635,307.646"
"5135","6,0,2,766.997,309.505"
"5136","6,0,2,771.14,311.53"
"5137","6,0,2,775.063,313.712"
"5138","6,0,2,778.766,316.047"
"5139","6,0,2,782.247,318.526"
"5140","6,0,2,785.506,321.144"
"5141","6,0,2,788.543,323.894"
"5142","6,0,2,791.357,326.768"
"5143","6,0,2,793.948,329.759"
"5144","6,0,2,796.315,332.863"
"5145","6,0,2,798.458,336.07"
"5146","6,0,2,800.375,339.375"
"5147","6,0,2,802.067,342.771"
"5148","6,0,2,803.532,346.251"
"5149","6,0,2,804.771,349.808"
"5150","6,0,2,805.783,353.436"
"5151","6,0,2,806.567,357.127"
"5152","6,0,2,807.123,360.875"
"5153","6,0,2,807.45,364.674"
"5154","6,0,2,807.547,368.516"
"5155","6,0,2,807.414,372.394"
"5156","6,0,2,807.051,376.302"
"5157","6,0,2,806.457,380.234"
"5158","6,0,2,805.631,384.182"
"5159","6,0,2,804.573,388.139"
"5160","6,0,2,803.282,392.099"
"5161","6,0,2,801.758,396.055"
"5162","6,0,2,800,400"
"5163","6,0,2,800,400"
"5164","6,0,2,796.162,408.191"
"5165","6,0,2,792.172,415.656"
"5166","6,0,2,788.064,422.605"
"5167","6,0,2,783.875,429.25"
"5168","6,0,2,775.391,442.469"
"5169","6,0,2,771.166,449.465"
"5170","6,0,2,767,457"
"5171","6,0,2,767,457"
"5172","6,0,2,763.143,464.229"
"5173","6,0,2,759.814,470.953"
"5174","6,0,2,757.005,477.232"
"5175","6,0,2,754.703,483.125"
"5176","6,0,2,752.9,488.689"
"5177","6,0,2,751.584,493.984"
"5178","6,0,2,750.746,499.068"
"5179","6,0,2,750.375,504"
"5180","6,0,2,750.461,508.838"
"5181","6,0,2,750.994,513.641"
"5182","6,0,2,751.964,518.467"
"5183","6,0,2,753.359,523.375"
"5184","6,0,2,755.171,528.424"
"5185","6,0,2,757.389,533.672"
"5186","6,0,2,760.002,539.178"
"5187","6,0,2,763,545"
"5188","6,0,2,763,545"
"5189","6,0,2,771.328,560.234"
"5190","6,0,2,778.625,573.875"
"5191","6,0,2,785.359,587.328"
"5192","6,0,2,788.662,594.424"
"5193","6,0,2,792,602"
"5194","6,0,2,792,602"
"5195","6,0,2,795.713,611.408"
"5196","6,0,2,798.641,620.266"
"5197","6,0,2,799.828,624.55"
"5198","6,0,2,800.842,628.771"
"5199","6,0,2,801.688,632.955"
"5200","6,0,2,802.375,637.125"
"5201","6,0,2,803.299,645.525"
"5202","6,0,2,803.672,654.172"
"5203","6,0,2,803.553,663.264"
"5204","6,0,2,803,673"
"5205","6,0,2,803,673"
"5206","6,0,2,802.255,681.411"
"5207","6,0,2,801.166,689.756"
"5208","6,0,2,799.763,698.016"
"5209","6,0,2,798.078,706.172"
"5210","6,0,2,796.141,714.205"
"5211","6,0,2,793.982,722.096"
"5212","6,0,2,791.634,729.825"
"5213","6,0,2,789.125,737.375"
"5214","6,0,2,786.488,744.725"
"5215","6,0,2,783.752,751.857"
"5216","6,0,2,778.109,765.391"
"5217","6,0,2,772.443,777.822"
"5218","6,0,2,767,789"
"5219","6,0,2,NA,NA"
"5220","6,0,3,922,389"
"5221","6,0,3,926.539,396.836"
"5222","6,0,3,930.782,404.684"
"5223","6,0,3,934.734,412.543"
"5224","6,0,3,938.398,420.409"
"5225","6,0,3,941.777,428.278"
"5226","6,0,3,944.875,436.148"
"5227","6,0,3,947.697,444.016"
"5228","6,0,3,950.244,451.879"
"5229","6,0,3,952.522,459.733"
"5230","6,0,3,954.533,467.576"
"5231","6,0,3,956.281,475.404"
"5232","6,0,3,957.769,483.214"
"5233","6,0,3,959.002,491.004"
"5234","6,0,3,959.983,498.77"
"5235","6,0,3,960.716,506.509"
"5236","6,0,3,961.203,514.219"
"5237","6,0,3,961.449,521.895"
"5238","6,0,3,961.458,529.535"
"5239","6,0,3,961.232,537.137"
"5240","6,0,3,960.776,544.696"
"5241","6,0,3,960.092,552.21"
"5242","6,0,3,959.186,559.675"
"5243","6,0,3,958.059,567.089"
"5244","6,0,3,956.717,574.449"
"5245","6,0,3,955.162,581.752"
"5246","6,0,3,953.397,588.993"
"5247","6,0,3,951.428,596.171"
"5248","6,0,3,949.257,603.283"
"5249","6,0,3,946.887,610.324"
"5250","6,0,3,944.323,617.293"
"5251","6,0,3,941.568,624.186"
"5252","6,0,3,938.625,631"
"5253","6,0,3,935.499,637.732"
"5254","6,0,3,932.192,644.379"
"5255","6,0,3,928.708,650.937"
