"","s.v.i.x.y"
"10289","6,0,51,237.441,692.463"
"10290","6,0,51,245.75,694.125"
"10291","6,0,51,253.59,696.021"
"10292","6,0,51,261.031,698.141"
"10293","6,0,51,268.145,700.471"
"10294","6,0,51,275,703"
"10295","6,0,51,NA,NA"
"10296","NA,NA,NA,NA,NA"
"10297","6,0,52,275,703"
"10298","6,0,52,275.453,706.809"
"10299","6,0,52,275.717,710.734"
"10300","6,0,52,275.859,718.938"
"10301","6,0,52,275.791,727.609"
"10302","6,0,52,275.875,736.75"
"10303","6,0,52,276.088,741.496"
"10304","6,0,52,276.475,746.359"
"10305","6,0,52,277.081,751.34"
"10306","6,0,52,277.953,756.438"
"10307","6,0,52,279.135,761.652"
"10308","6,0,52,280.674,766.984"
"10309","6,0,52,282.614,772.434"
"10310","6,0,52,285,778"
"10311","6,0,52,285,778"
"10312","6,0,52,320.375,771.125"
"10313","6,0,52,352,765"
"10314","6,0,52,352,765"
"10315","6,0,52,345.861,755.814"
"10316","6,0,52,342.637,751.366"
"10317","6,0,52,339.266,747.016"
"10318","6,0,52,335.712,742.765"
"10319","6,0,52,331.943,738.615"
"10320","6,0,52,327.926,734.568"
"10321","6,0,52,323.625,730.625"
"10322","6,0,52,319.008,726.787"
"10323","6,0,52,314.041,723.057"
"10324","6,0,52,308.69,719.434"
"10325","6,0,52,302.922,715.922"
"10326","6,0,52,296.702,712.521"
"10327","6,0,52,289.998,709.232"
"10328","6,0,52,282.775,706.058"
"10329","6,0,52,275,703"
"10330","6,0,52,NA,NA"
"10331","NA,NA,NA,NA,NA"
"10332","6,0,53,385,818"
"10333","6,0,53,393.585,815.595"
"10334","6,0,53,401.744,813.621"
"10335","6,0,53,409.519,812.063"
"10336","6,0,53,416.953,810.906"
"10337","6,0,53,424.088,810.136"
"10338","6,0,53,430.967,809.738"
"10339","6,0,53,437.632,809.698"
"10340","6,0,53,444.125,810"
"10341","6,0,53,450.49,810.63"
"10342","6,0,53,456.768,811.574"
"10343","6,0,53,463.002,812.817"
"10344","6,0,53,469.234,814.344"
"10345","6,0,53,475.508,816.14"
"10346","6,0,53,481.865,818.191"
"10347","6,0,53,488.348,820.483"
"10348","6,0,53,495,823"
"10349","6,0,53,495,823"
"10350","6,0,53,491.92,827.065"
"10351","6,0,53,488.689,831.008"
"10352","6,0,53,485.321,834.821"
"10353","6,0,53,481.828,838.5"
"10354","6,0,53,478.224,842.038"
"10355","6,0,53,474.521,845.43"
"10356","6,0,53,470.734,848.669"
"10357","6,0,53,466.875,851.75"
"10358","6,0,53,462.957,854.667"
"10359","6,0,53,458.994,857.414"
"10360","6,0,53,454.999,859.985"
"10361","6,0,53,450.984,862.375"
"10362","6,0,53,446.964,864.577"
"10363","6,0,53,442.951,866.586"
"10364","6,0,53,438.959,868.396"
"10365","6,0,53,435,870"
"10366","6,0,53,435,870"
"10367","6,0,53,430.802,867.515"
"10368","6,0,53,426.822,864.936"
"10369","6,0,53,423.045,862.259"
"10370","6,0,53,419.453,859.484"
"10371","6,0,53,416.031,856.61"
"10372","6,0,53,412.764,853.635"
"10373","6,0,53,409.634,850.557"
"10374","6,0,53,406.625,847.375"
"10375","6,0,53,400.908,840.693"
"10376","6,0,53,395.484,833.578"
"10377","6,0,53,390.225,826.018"
"10378","6,0,53,385,818"
"10379","6,0,53,NA,NA"
"10380","NA,NA,NA,NA,NA"
"10381","6,0,54,385,818"
"10382","6,0,54,393.585,815.595"
"10383","6,0,54,401.744,813.621"
"10384","6,0,54,409.519,812.063"
"10385","6,0,54,416.953,810.906"
"10386","6,0,54,424.088,810.136"
"10387","6,0,54,430.967,809.738"
"10388","6,0,54,437.632,809.698"
"10389","6,0,54,444.125,810"
"10390","6,0,54,450.49,810.63"
"10391","6,0,54,456.768,811.574"
"10392","6,0,54,463.002,812.817"
"10393","6,0,54,469.234,814.344"
"10394","6,0,54,475.508,816.14"
"10395","6,0,54,481.865,818.191"
"10396","6,0,54,488.348,820.483"
"10397","6,0,54,495,823"
"10398","6,0,54,495,823"
"10399","6,0,54,508.125,804.5"
"10400","6,0,54,515.109,794.875"
"10401","6,0,54,522,786"
"10402","6,0,54,522,786"
"10403","6,0,54,510.303,780.383"
"10404","6,0,54,500.422,775.375"
"10405","6,0,54,491.924,770.742"
"10406","6,0,54,484.375,766.25"
"10407","6,0,54,477.342,761.664"
"10408","6,0,54,470.391,756.75"
"10409","6,0,54,463.088,751.273"
"10410","6,0,54,455,745"
"10411","6,0,54,455,745"
"10412","6,0,54,428.781,750.234"
"10413","6,0,54,402,755.375"
"10414","6,0,54,375.969,760.328"
"10415","6,0,54,352,765"
"10416","6,0,54,352,765"
"10417","6,0,54,360.25,778.203"
"10418","6,0,54,368.5,791.875"
"10419","6,0,54,376.75,805.359"
"10420","6,0,54,380.875,811.826"
"10421","6,0,54,385,818"
"10422","6,0,54,NA,NA"
"10423","NA,NA,NA,NA,NA"
"10424","6,0,55,210,613"
"10425","6,0,55,217.926,618.186"
"10426","6,0,55,225.221,623.266"
"10427","6,0,55,231.909,628.275"
"10428","6,0,55,238.016,633.25"
"10429","6,0,55,243.566,638.225"
"10430","6,0,55,248.584,643.234"
"10431","6,0,55,253.095,648.314"
"10432","6,0,55,257.125,653.5"
"10433","6,0,55,260.698,658.826"
"10434","6,0,55,263.838,664.328"
"10435","6,0,55,266.571,670.041"
"10436","6,0,55,268.922,676"
"10437","6,0,55,270.915,682.24"
"10438","6,0,55,272.576,688.797"
"10439","6,0,55,273.929,695.705"
"10440","6,0,55,275,703"
"10441","6,0,55,275,703"
"10442","6,0,55,268.145,700.471"
"10443","6,0,55,261.031,698.141"
"10444","6,0,55,253.59,696.021"
"10445","6,0,55,245.75,694.125"
"10446","6,0,55,237.441,692.463"
"10447","6,0,55,228.594,691.047"
"10448","6,0,55,219.137,689.889"
"10449","6,0,55,209,689"
"10450","6,0,55,209,689"
"10451","6,0,55,208.346,679.746"
"10452","6,0,55,207.891,670.094"
"10453","6,0,55,207.646,660.207"
"10454","6,0,55,207.625,650.25"
"10455","6,0,55,207.838,640.387"
"10456","6,0,55,208.297,630.781"
"10457","6,0,55,209.014,621.598"
"10458","6,0,55,210,613"
"10459","6,0,55,NA,NA"
"10460","NA,NA,NA,NA,NA"
"10461","6,0,56,210,613"
"10462","6,0,56,217.926,618.186"
"10463","6,0,56,225.221,623.266"
"10464","6,0,56,231.909,628.275"
"10465","6,0,56,238.016,633.25"
"10466","6,0,56,243.566,638.225"
"10467","6,0,56,248.584,643.234"
"10468","6,0,56,253.095,648.314"
"10469","6,0,56,257.125,653.5"
"10470","6,0,56,260.698,658.826"
"10471","6,0,56,263.838,664.328"
"10472","6,0,56,266.571,670.041"
"10473","6,0,56,268.922,676"
"10474","6,0,56,270.915,682.24"
"10475","6,0,56,272.576,688.797"
"10476","6,0,56,273.929,695.705"
"10477","6,0,56,275,703"
"10478","6,0,56,275,703"
"10479","6,0,56,282.775,706.058"
"10480","6,0,56,289.998,709.232"
"10481","6,0,56,296.702,712.521"
"10482","6,0,56,302.922,715.922"
"10483","6,0,56,308.69,719.434"
"10484","6,0,56,314.041,723.057"
"10485","6,0,56,319.008,726.787"
"10486","6,0,56,323.625,730.625"
"10487","6,0,56,327.926,734.568"
"10488","6,0,56,331.943,738.615"
"10489","6,0,56,335.712,742.765"
"10490","6,0,56,339.266,747.016"
"10491","6,0,56,342.637,751.366"
"10492","6,0,56,345.861,755.814"
"10493","6,0,56,352,765"
"10494","6,0,56,352,765"
"10495","6,0,56,375.969,760.328"
"10496","6,0,56,402,755.375"
"10497","6,0,56,428.781,750.234"
"10498","6,0,56,455,745"
"10499","6,0,56,455,745"
"10500","6,0,56,442.762,735.233"
"10501","6,0,56,430.078,724.705"
"10502","6,0,56,416.996,713.454"
"10503","6,0,56,403.562,701.516"
"10504","6,0,56,389.824,688.927"
"10505","6,0,56,375.828,675.725"
"10506","6,0,56,361.621,661.945"
"10507","6,0,56,347.25,647.625"
"10508","6,0,56,332.762,632.801"
"10509","6,0,56,318.203,617.51"
"10510","6,0,56,303.621,601.788"
"10511","6,0,56,289.062,585.672"
"10512","6,0,56,274.574,569.198"
"10513","6,0,56,260.203,552.404"
"10514","6,0,56,245.996,535.326"
"10515","6,0,56,232,518"
"10516","6,0,56,232,518"
"10517","6,0,56,228.635,528.398"
"10518","6,0,56,225.328,539.875"
"10519","6,0,56,222.139,552.102"
"10520","6,0,56,219.125,564.75"
"10521","6,0,56,216.346,577.492"
"10522","6,0,56,213.859,590"
"10523","6,0,56,211.725,601.945"
"10524","6,0,56,210,613"
"10525","6,0,56,NA,NA"
"10526","NA,NA,NA,NA,NA"
"10527","6,0,57,693,763"
"10528","6,0,57,694.156,745.531"
"10529","6,0,57,694.75,730.5"
"10530","6,0,57,694.969,715.469"
"10531","6,0,57,695,698"
"10532","6,0,57,695,698"
"10533","6,0,57,708.047,695.312"
"10534","6,0,57,720.625,693"
"10535","6,0,57,733.391,690.688"
"10536","6,0,57,747,688"
"10537","6,0,57,747,688"
"10538","6,0,57,746.712,697.587"
"10539","6,0,57,746.197,706.48"
"10540","6,0,57,745.416,714.688"
"10541","6,0,57,744.328,722.219"
"10542","6,0,57,742.895,729.082"
"10543","6,0,57,741.076,735.285"
"10544","6,0,57,740.01,738.143"
"10545","6,0,57,738.833,740.838"
"10546","6,0,57,737.539,743.374"
"10547","6,0,57,736.125,745.75"
"10548","6,0,57,734.585,747.968"
"10549","6,0,57,732.913,750.029"
"10550","6,0,57,731.106,751.934"
"10551","6,0,57,729.158,753.684"
"10552","6,0,57,727.064,755.28"
"10553","6,0,57,724.82,756.723"
"10554","6,0,57,722.42,758.015"
"10555","6,0,57,719.859,759.156"
"10556","6,0,57,717.133,760.148"
"10557","6,0,57,714.237,760.992"
"10558","6,0,57,711.165,761.688"
"10559","6,0,57,707.912,762.238"
"10560","6,0,57,704.474,762.643"
"10561","6,0,57,700.846,762.905"
"10562","6,0,57,693,763"
"10563","6,0,57,NA,NA"
"10564","NA,NA,NA,NA,NA"
"10565","6,0,58,693,763"
"10566","6,0,58,694.156,745.531"
"10567","6,0,58,694.75,730.5"
"10568","6,0,58,694.969,715.469"
"10569","6,0,58,695,698"
"10570","6,0,58,695,698"
"10571","6,0,58,625,712"
"10572","6,0,58,625,712"
"10573","6,0,58,622.793,717.047"
"10574","6,0,58,620.656,722.375"
"10575","6,0,58,616.5,733.5"
"10576","6,0,58,612.344,744.625"
"10577","6,0,58,610.207,749.953"
"10578","6,0,58,608,755"
"10579","6,0,58,608,755"
"10580","6,0,58,628.031,756.953"
"10581","6,0,58,650.5,759.375"
"10582","6,0,58,672.969,761.609"
"10583","6,0,58,683.441,762.451"
"10584","6,0,58,693,763"
"10585","6,0,58,NA,NA"
"10586","NA,NA,NA,NA,NA"
"10587","6,0,59,695,698"
"10588","6,0,59,695,594"
"10589","6,0,59,695,594"
"10590","6,0,59,707.453,584.516"
"10591","6,0,59,726.375,570.625"
"10592","6,0,59,746.609,556.172"
"10593","6,0,59,755.607,549.936"
"10594","6,0,59,763,545"
"10595","6,0,59,763,545"
"10596","6,0,59,771.328,560.234"
"10597","6,0,59,778.625,573.875"
"10598","6,0,59,785.359,587.328"
"10599","6,0,59,788.662,594.424"
"10600","6,0,59,792,602"
"10601","6,0,59,792,602"
"10602","6,0,59,785.243,606.756"
"10603","6,0,59,779.197,611.643"
"10604","6,0,59,773.822,616.649"
"10605","6,0,59,769.078,621.766"
"10606","6,0,59,764.926,626.982"
"10607","6,0,59,761.326,632.287"
"10608","6,0,59,758.239,637.672"
"10609","6,0,59,755.625,643.125"
"10610","6,0,59,753.445,648.637"
"10611","6,0,59,751.658,654.197"
"10612","6,0,59,750.226,659.796"
"10613","6,0,59,749.109,665.422"
"10614","6,0,59,748.268,671.066"
"10615","6,0,59,747.662,676.717"
"10616","6,0,59,747.253,682.365"
"10617","6,0,59,747,688"
"10618","6,0,59,747,688"
"10619","6,0,59,733.391,690.688"
"10620","6,0,59,720.625,693"
"10621","6,0,59,708.047,695.312"
"10622","6,0,59,695,698"
"10623","6,0,59,NA,NA"
"10624","NA,NA,NA,NA,NA"
"10625","6,0,60,695,698"
"10626","6,0,60,695,594"
"10627","6,0,60,695,594"
"10628","6,0,60,687.721,600.159"
"10629","6,0,60,681.205,606.289"
"10630","6,0,60,675.372,612.431"
"10631","6,0,60,670.141,618.625"
"10632","6,0,60,665.431,624.913"
"10633","6,0,60,661.162,631.336"
"10634","6,0,60,657.254,637.935"
"10635","6,0,60,653.625,644.75"
"10636","6,0,60,650.196,651.823"
"10637","6,0,60,646.885,659.195"
"10638","6,0,60,640.297,675"
"10639","6,0,60,633.217,692.492"
"10640","6,0,60,625,712"
"10641","6,0,60,625,712"
"10642","6,0,60,695,698"
"10643","6,0,60,NA,NA"
"10644","NA,NA,NA,NA,NA"
"10645","6,0,61,733,354"
"10646","6,0,61,731.921,363.188"
"10647","6,0,61,731.303,371.674"
"10648","6,0,61,731.139,379.53"
"10649","6,0,61,731.422,386.828"
"10650","6,0,61,732.144,393.64"
"10651","6,0,61,733.299,400.037"
"10652","6,0,61,734.878,406.092"
"10653","6,0,61,736.875,411.875"
"10654","6,0,61,739.282,417.459"
"10655","6,0,61,742.092,422.916"
"10656","6,0,61,745.297,428.317"
"10657","6,0,61,748.891,433.734"
"10658","6,0,61,752.865,439.24"
"10659","6,0,61,757.213,444.904"
"10660","6,0,61,767,457"
"10661","6,0,61,767,457"
"10662","6,0,61,771.166,449.465"
"10663","6,0,61,775.391,442.469"
"10664","6,0,61,783.875,429.25"
"10665","6,0,61,788.064,422.605"
"10666","6,0,61,792.172,415.656"
"10667","6,0,61,796.162,408.191"
"10668","6,0,61,800,400"
"10669","6,0,61,800,400"
"10670","6,0,61,794.373,395.111"
"10671","6,0,61,787.422,389.578"
"10672","6,0,61,779.416,383.6"
"10673","6,0,61,770.625,377.375"
"10674","6,0,61,761.318,371.104"
"10675","6,0,61,751.766,364.984"
"10676","6,0,61,742.236,359.217"
"10677","6,0,61,733,354"
"10678","6,0,61,NA,NA"
"10679","NA,NA,NA,NA,NA"
"10680","6,0,62,522,786"
"10681","6,0,62,510.303,780.383"
"10682","6,0,62,500.422,775.375"
"10683","6,0,62,491.924,770.742"
"10684","6,0,62,484.375,766.25"
"10685","6,0,62,477.342,761.664"
"10686","6,0,62,470.391,756.75"
"10687","6,0,62,463.088,751.273"
"10688","6,0,62,455,745"
"10689","6,0,62,455,745"
"10690","6,0,62,533.625,729.625"
"10691","6,0,62,625,712"
"10692","6,0,62,625,712"
"10693","6,0,62,622.793,717.047"
"10694","6,0,62,620.656,722.375"
"10695","6,0,62,616.5,733.5"
"10696","6,0,62,612.344,744.625"
"10697","6,0,62,610.207,749.953"
"10698","6,0,62,608,755"
"10699","6,0,62,608,755"
"10700","6,0,62,599.651,754.282"
"10701","6,0,62,591.836,753.994"
"10702","6,0,62,584.524,754.119"
"10703","6,0,62,577.688,754.641"
"10704","6,0,62,571.296,755.543"
"10705","6,0,62,565.32,756.811"
"10706","6,0,62,559.731,758.427"
"10707","6,0,62,554.5,760.375"
"10708","6,0,62,549.597,762.64"
"10709","6,0,62,544.992,765.205"
"10710","6,0,62,540.657,768.054"
"10711","6,0,62,536.562,771.172"
"10712","6,0,62,532.679,774.541"
"10713","6,0,62,528.977,778.146"
"10714","6,0,62,525.427,781.971"
"10715","6,0,62,522,786"
"10716","6,0,62,NA,NA"
"10717","NA,NA,NA,NA,NA"
"10718","6,0,63,695,594"
"10719","6,0,63,694.242,569.758"
"10720","6,0,63,692.688,539.938"
"10721","6,0,63,691.597,523.36"
"10722","6,0,63,690.289,505.898"
"10723","6,0,63,688.759,487.722"
"10724","6,0,63,687,469"
"10725","6,0,63,685.007,449.903"
"10726","6,0,63,682.773,430.602"
"10727","6,0,63,680.294,411.265"
"10728","6,0,63,677.562,392.062"
"10729","6,0,63,674.573,373.165"
"10730","6,0,63,671.32,354.742"
"10731","6,0,63,667.798,336.964"
"10732","6,0,63,664,320"
"10733","6,0,63,664,320"
"10734","6,0,63,682.234,328.266"
"10735","6,0,63,699.625,336.625"
"10736","6,0,63,716.453,345.172"
"10737","6,0,63,733,354"
"10738","6,0,63,733,354"
"10739","6,0,63,731.921,363.188"
"10740","6,0,63,731.303,371.674"
"10741","6,0,63,731.139,379.53"
"10742","6,0,63,731.422,386.828"
"10743","6,0,63,732.144,393.64"
"10744","6,0,63,733.299,400.037"
"10745","6,0,63,734.878,406.092"
"10746","6,0,63,736.875,411.875"
"10747","6,0,63,739.282,417.459"
"10748","6,0,63,742.092,422.916"
"10749","6,0,63,745.297,428.317"
"10750","6,0,63,748.891,433.734"
"10751","6,0,63,752.865,439.24"
"10752","6,0,63,757.213,444.904"
"10753","6,0,63,767,457"
"10754","6,0,63,767,457"
"10755","6,0,63,763.143,464.229"
"10756","6,0,63,759.814,470.953"
"10757","6,0,63,757.005,477.232"
"10758","6,0,63,754.703,483.125"
"10759","6,0,63,752.9,488.689"
"10760","6,0,63,751.584,493.984"
"10761","6,0,63,750.746,499.068"
"10762","6,0,63,750.375,504"
"10763","6,0,63,750.461,508.838"
"10764","6,0,63,750.994,513.641"
"10765","6,0,63,751.964,518.467"
"10766","6,0,63,753.359,523.375"
"10767","6,0,63,755.171,528.424"
"10768","6,0,63,757.389,533.672"
"10769","6,0,63,760.002,539.178"
"10770","6,0,63,763,545"
"10771","6,0,63,763,545"
"10772","6,0,63,755.607,549.936"
"10773","6,0,63,746.609,556.172"
"10774","6,0,63,726.375,570.625"
"10775","6,0,63,707.453,584.516"
"10776","6,0,63,695,594"
"10777","6,0,63,NA,NA"
"10778","NA,NA,NA,NA,NA"
"10779","6,0,64,695,594"
"10780","6,0,64,694.242,569.758"
"10781","6,0,64,692.688,539.938"
"10782","6,0,64,691.597,523.36"
"10783","6,0,64,690.289,505.898"
"10784","6,0,64,688.759,487.722"
"10785","6,0,64,687,469"
"10786","6,0,64,685.007,449.903"
"10787","6,0,64,682.773,430.602"
"10788","6,0,64,680.294,411.265"
"10789","6,0,64,677.562,392.062"
"10790","6,0,64,674.573,373.165"
"10791","6,0,64,671.32,354.742"
"10792","6,0,64,667.798,336.964"
"10793","6,0,64,664,320"
"10794","6,0,64,664,320"
"10795","6,0,64,655.218,316.039"
"10796","6,0,64,646.315,312.219"
"10797","6,0,64,637.298,308.542"
"10798","6,0,64,628.176,305.006"
"10799","6,0,64,618.955,301.613"
"10800","6,0,64,609.644,298.364"
"10801","6,0,64,600.25,295.258"
"10802","6,0,64,590.781,292.297"
"10803","6,0,64,581.245,289.481"
"10804","6,0,64,571.649,286.81"
"10805","6,0,64,562.001,284.286"
"10806","6,0,64,552.309,281.908"
"10807","6,0,64,542.58,279.678"
"10808","6,0,64,532.822,277.595"
"10809","6,0,64,513.25,273.875"
"10810","6,0,64,493.655,270.753"
"10811","6,0,64,474.098,268.232"
"10812","6,0,64,454.64,266.319"
"10813","6,0,64,435.344,265.016"
"10814","6,0,64,425.775,264.595"
"10815","6,0,64,416.27,264.328"
"10816","6,0,64,406.836,264.216"
"10817","6,0,64,397.48,264.26"
"10818","6,0,64,388.211,264.459"
"10819","6,0,64,379.037,264.816"
"10820","6,0,64,369.964,265.329"
"10821","6,0,64,361,266"
"10822","6,0,64,361,266"
"10823","6,0,64,350.85,280.805"
"10824","6,0,64,341.02,295.613"
"10825","6,0,64,331.5,310.451"
"10826","6,0,64,322.281,325.344"
"10827","6,0,64,313.356,340.319"
"10828","6,0,64,304.715,355.402"
"10829","6,0,64,296.349,370.621"
"10830","6,0,64,288.25,386"
"10831","6,0,64,280.409,401.567"
"10832","6,0,64,272.816,417.348"
"10833","6,0,64,265.464,433.369"
"10834","6,0,64,258.344,449.656"
"10835","6,0,64,251.446,466.237"
"10836","6,0,64,244.762,483.137"
"10837","6,0,64,238.283,500.382"
"10838","6,0,64,232,518"
"10839","6,0,64,232,518"
"10840","6,0,64,245.996,535.326"
"10841","6,0,64,260.203,552.404"
"10842","6,0,64,274.574,569.198"
"10843","6,0,64,289.062,585.672"
"10844","6,0,64,303.621,601.788"
"10845","6,0,64,318.203,617.51"
"10846","6,0,64,332.762,632.801"
"10847","6,0,64,347.25,647.625"
"10848","6,0,64,361.621,661.945"
"10849","6,0,64,375.828,675.725"
"10850","6,0,64,389.824,688.927"
"10851","6,0,64,403.562,701.516"
"10852","6,0,64,416.996,713.454"
"10853","6,0,64,430.078,724.705"
"10854","6,0,64,442.762,735.233"
"10855","6,0,64,455,745"
"10856","6,0,64,455,745"
"10857","6,0,64,533.625,729.625"
"10858","6,0,64,625,712"
"10859","6,0,64,625,712"
"10860","6,0,64,633.217,692.492"
"10861","6,0,64,640.297,675"
"10862","6,0,64,646.885,659.195"
"10863","6,0,64,650.196,651.823"
"10864","6,0,64,653.625,644.75"
"10865","6,0,64,657.254,637.935"
"10866","6,0,64,661.162,631.336"
"10867","6,0,64,665.431,624.913"
"10868","6,0,64,670.141,618.625"
"10869","6,0,64,675.372,612.431"
"10870","6,0,64,681.205,606.289"
"10871","6,0,64,687.721,600.159"
"10872","6,0,64,695,594"
"10873","6,0,64,NA,NA"
"10874","NA,NA,NA,NA,NA"
"10875","7,0,2,168,539"
"10876","7,0,2,163.283,535.809"
"10877","7,0,2,158.884,532.433"
"10878","7,0,2,154.803,528.887"
"10879","7,0,2,151.041,525.184"
"10880","7,0,2,147.599,521.339"
"10881","7,0,2,144.478,517.366"
"10882","7,0,2,141.679,513.279"
"10883","7,0,2,139.203,509.094"
"10884","7,0,2,137.051,504.823"
"10885","7,0,2,135.223,500.482"
"10886","7,0,2,133.721,496.084"
"10887","7,0,2,132.545,491.645"
"10888","7,0,2,131.697,487.177"
"10889","7,0,2,131.177,482.696"
"10890","7,0,2,130.986,478.215"
"10891","7,0,2,131.125,473.75"
"10892","7,0,2,131.595,469.314"
"10893","7,0,2,132.398,464.921"
"10894","7,0,2,133.533,460.587"
"10895","7,0,2,135.002,456.324"
"10896","7,0,2,136.806,452.148"
"10897","7,0,2,138.945,448.073"
"10898","7,0,2,141.421,444.112"
"10899","7,0,2,144.234,440.281"
"10900","7,0,2,147.386,436.594"
"10901","7,0,2,150.877,433.064"
"10902","7,0,2,154.708,429.706"
"10903","7,0,2,158.881,426.535"
"10904","7,0,2,163.395,423.565"
"10905","7,0,2,168.253,420.809"
"10906","7,0,2,173.454,418.283"
"10907","7,0,2,179,416"
"10908","7,0,2,179,416"
"10909","7,0,2,171.516,405.625"
"10910","7,0,2,164.125,395.25"
"10911","7,0,2,156.922,384.5"
"10912","7,0,2,153.42,378.867"
"10913","7,0,2,150,373"
"10914","7,0,2,150,373"
"10915","7,0,2,142.346,375.893"
"10916","7,0,2,134.945,379.035"
"10917","7,0,2,127.798,382.418"
"10918","7,0,2,120.906,386.033"
"10919","7,0,2,114.268,389.871"
"10920","7,0,2,107.886,393.924"
"10921","7,0,2,101.758,398.182"
"10922","7,0,2,95.887,402.639"
"10923","7,0,2,90.271,407.284"
"10924","7,0,2,84.912,412.109"
"10925","7,0,2,79.809,417.105"
"10926","7,0,2,74.963,422.265"
"10927","7,0,2,70.375,427.579"
"10928","7,0,2,66.044,433.038"
"10929","7,0,2,61.971,438.635"
"10930","7,0,2,58.156,444.359"
"10931","7,0,2,54.6,450.204"
"10932","7,0,2,51.303,456.16"
"10933","7,0,2,48.265,462.218"
"10934","7,0,2,45.486,468.37"
"10935","7,0,2,42.967,474.607"
"10936","7,0,2,40.708,480.921"
"10937","7,0,2,38.71,487.303"
"10938","7,0,2,36.973,493.744"
"10939","7,0,2,35.496,500.236"
"10940","7,0,2,34.281,506.77"
"10941","7,0,2,33.328,513.338"
"10942","7,0,2,32.637,519.93"
"10943","7,0,2,32.209,526.538"
"10944","7,0,2,32.043,533.155"
"10945","7,0,2,32.14,539.77"
"10946","7,0,2,32.5,546.375"
"10947","7,0,2,33.124,552.962"
"10948","7,0,2,34.012,559.522"
"10949","7,0,2,35.165,566.047"
"10950","7,0,2,36.582,572.527"
"10951","7,0,2,38.264,578.955"
"10952","7,0,2,40.211,585.321"
"10953","7,0,2,42.424,591.617"
"10954","7,0,2,44.902,597.834"
"10955","7,0,2,47.647,603.964"
"10956","7,0,2,50.659,609.998"
"10957","7,0,2,53.937,615.927"
"10958","7,0,2,57.483,621.743"
"10959","7,0,2,61.296,627.438"
"10960","7,0,2,65.377,633.001"
"10961","7,0,2,69.726,638.426"
"10962","7,0,2,74.344,643.703"
"10963","7,0,2,79.23,648.824"
"10964","7,0,2,84.386,653.779"
"10965","7,0,2,89.811,658.561"
"10966","7,0,2,95.505,663.161"
"10967","7,0,2,101.47,667.57"
"10968","7,0,2,107.705,671.779"
"10969","7,0,2,114.211,675.78"
"10970","7,0,2,120.988,679.564"
"10971","7,0,2,128.037,683.123"
"10972","7,0,2,135.357,686.448"
"10973","7,0,2,142.949,689.531"
"10974","7,0,2,150.813,692.362"
"10975","7,0,2,158.95,694.933"
"10976","7,0,2,167.36,697.235"
"10977","7,0,2,176.043,699.26"
"10978","7,0,2,185,701"
"10979","7,0,2,185,701"
"10980","7,0,2,188.938,689.469"
"10981","7,0,2,193.25,677.75"
"10982","7,0,2,195.547,671.996"
"10983","7,0,2,197.938,666.406"
"10984","7,0,2,200.422,661.051"
"10985","7,0,2,203,656"
"10986","7,0,2,203,656"
"10987","7,0,2,196.783,654.461"
"10988","7,0,2,190.885,652.665"
"10989","7,0,2,185.305,650.623"
"10990","7,0,2,180.045,648.348"
"10991","7,0,2,175.107,645.851"
"10992","7,0,2,170.491,643.146"
"10993","7,0,2,166.2,640.244"
"10994","7,0,2,162.234,637.156"
"10995","7,0,2,158.595,633.896"
"10996","7,0,2,155.284,630.475"
"10997","7,0,2,152.302,626.905"
"10998","7,0,2,149.65,623.199"
"10999","7,0,2,147.331,619.368"
"11000","7,0,2,145.344,615.425"
"11001","7,0,2,143.692,611.382"
"11002","7,0,2,142.375,607.25"
"11003","7,0,2,141.395,603.042"
"11004","7,0,2,140.754,598.77"
"11005","7,0,2,140.452,594.446"
"11006","7,0,2,140.49,590.082"
"11007","7,0,2,140.871,585.69"
"11008","7,0,2,141.595,581.283"
"11009","7,0,2,142.664,576.872"
"11010","7,0,2,144.078,572.469"
"11011","7,0,2,145.84,568.086"
"11012","7,0,2,147.95,563.737"
"11013","7,0,2,150.41,559.432"
"11014","7,0,2,153.221,555.184"
"11015","7,0,2,156.384,551.004"
"11016","7,0,2,159.901,546.906"
"11017","7,0,2,163.772,542.9"
"11018","7,0,2,168,539"
"11019","7,0,2,NA,NA"
"11020","NA,NA,NA,NA,NA"
"11021","7,0,3,375,192"
"11022","7,0,3,378.031,179.625"
"11023","7,0,3,381.25,168.75"
"11024","7,0,3,384.844,158.25"
"11025","7,0,3,389,147"
"11026","7,0,3,389,147"
"11027","7,0,3,380.806,142.235"
"11028","7,0,3,372.634,137.874"
"11029","7,0,3,364.489,133.909"
"11030","7,0,3,356.378,130.334"
"11031","7,0,3,348.306,127.142"
"11032","7,0,3,340.28,124.326"
"11033","7,0,3,332.304,121.88"
"11034","7,0,3,324.385,119.797"
"11035","7,0,3,316.528,118.069"
"11036","7,0,3,308.74,116.691"
"11037","7,0,3,301.025,115.655"
"11038","7,0,3,293.39,114.955"
"11039","7,0,3,285.841,114.584"
"11040","7,0,3,278.384,114.534"
"11041","7,0,3,271.023,114.8"
"11042","7,0,3,263.766,115.375"
"11043","7,0,3,256.617,116.251"
"11044","7,0,3,249.583,117.423"
"11045","7,0,3,242.669,118.882"
"11046","7,0,3,235.881,120.623"
"11047","7,0,3,229.225,122.639"
"11048","7,0,3,222.707,124.922"
"11049","7,0,3,216.333,127.467"
"11050","7,0,3,210.107,130.266"
"11051","7,0,3,204.037,133.312"
