"","id","state","county","population","housingUnits","totalArea","waterArea","landArea"
"1633","0100000US","Montana","Cascade County","81327","37276",2711.48,13.33,2698.16
"1634","0100000US","Montana","Chouteau County","5813","2879",3996.73,24.24,3972.49
"1635","0100000US","Montana","Custer County","11699","5560",3793.22,9.86,3783.36
"1636","0100000US","Montana","Daniels County","1751","1111",1426.5,0.39,1426.1
"1637","0100000US","Montana","Dawson County","8966","4233",2383.17,11.31,2371.86
"1638","0100000US","Montana","Deer Lodge County","9298","5122",741.2,4.67,736.53
"1639","0100000US","Montana","Fallon County","2890","1470",1623.06,2.28,1620.77
"1640","0100000US","Montana","Fergus County","11586","5836",4350.41,10.61,4339.8
"1641","0100000US","Montana","Flathead County","90928","46963",5256.44,168.78,5087.66
"1642","0100000US","Montana","Gallatin County","89513","42289",2632.07,29.38,2602.69
"1643","0100000US","Montana","Garfield County","1206","844",4847.47,172.12,4675.36
"1644","0100000US","Montana","Glacier County","13399","5348",3036.92,40.99,2995.94
"1645","0100000US","Montana","Golden Valley County","884","476",1176.34,1,1175.34
"1646","0100000US","Montana","Granite County","3079","2822",1733.05,5.63,1727.41
"1647","0100000US","Montana","Hill County","16096","7250",2916.02,17.07,2898.95
"1648","0100000US","Montana","Jefferson County","11406","5055",1658.84,2.58,1656.26
"1649","0100000US","Montana","Judith Basin County","2072","1336",1870.62,0.8,1869.82
"1650","0100000US","Montana","Lake County","28746","16588",1653.72,163.57,1490.15
"1651","0100000US","Montana","Lewis and Clark County","63395","30180",3497.72,38.89,3458.83
"1652","0100000US","Montana","Liberty County","2339","1043",1447.18,17.13,1430.05
"1653","0100000US","Montana","Lincoln County","19687","11413",3675.13,62.21,3612.92
"1654","0100000US","Montana","McCone County","1734","1008",2682.82,39.65,2643.17
"1655","0100000US","Montana","Madison County","7691","6940",3602.79,15.31,3587.48
"1656","0100000US","Montana","Meagher County","1891","1432",2394.76,2.85,2391.91
"1657","0100000US","Montana","Mineral County","4223","2446",1223.26,3.82,1219.44
"1658","0100000US","Montana","Missoula County","109299","50106",2618.32,24.9,2593.42
"1659","0100000US","Montana","Musselshell County","4538","2654",1870.91,2.75,1868.16
"1660","0100000US","Montana","Park County","15636","9375",2813.49,10.43,2803.06
"1661","0100000US","Montana","Petroleum County","494","324",1673.8,18.93,1654.87
"1662","0100000US","Montana","Phillips County","4253","2335",5211.88,71.85,5140.04
"1663","0100000US","Montana","Pondera County","6153","2659",1639.84,16.98,1622.86
"1664","0100000US","Montana","Powder River County","1743","1022",3297.9,0.6,3297.3
"1665","0100000US","Montana","Powell County","7027","3105",2332.65,6.25,2326.39
"1666","0100000US","Montana","Prairie County","1179","673",1742.57,5.83,1736.74
"1667","0100000US","Montana","Ravalli County","40212","19583",2400.2,9.38,2390.82
"1668","0100000US","Montana","Richland County","9746","4550",2103.29,19.14,2084.14
"1669","0100000US","Montana","Roosevelt County","10425","4063",2369.42,14.62,2354.79
"1670","0100000US","Montana","Rosebud County","9233","4057",5027.01,16.61,5010.4
"1671","0100000US","Montana","Sanders County","11413","6678",2789.98,29.46,2760.52
"1672","0100000US","Montana","Sheridan County","3384","2089",1706.09,29.01,1677.08
"1673","0100000US","Montana","Silver Bow County","34200","16717",719.05,0.57,718.48
"1674","0100000US","Montana","Stillwater County","9117","4803",1804.58,9.23,1795.35
"1675","0100000US","Montana","Sweet Grass County","3651","2148",1862.03,6.83,1855.2
"1676","0100000US","Montana","Teton County","6073","2892",2292.52,20.14,2272.37
"1677","0100000US","Montana","Toole County","5324","2336",1945.77,30.12,1915.65
"1678","0100000US","Montana","Treasure County","718","422",984.02,6.63,977.4
"1679","0100000US","Montana","Valley County","7369","4879",5061.79,135.97,4925.82
"1680","0100000US","Montana","Wheatland County","2168","1197",1428.24,5.05,1423.19
"1681","0100000US","Montana","Wibaux County","1017","538",889.93,0.66,889.26
"1682","0100000US","Montana","Yellowstone County","147972","63943",2649.03,15.74,2633.29
"1684","0100000US","Nebraska","Adams County","31364","13350",564.23,0.96,563.27
"1685","0100000US","Nebraska","Antelope County","6685","3284",858.59,1.37,857.22
"1686","0100000US","Nebraska","Arthur County","460","254",718.31,2.95,715.35
"1687","0100000US","Nebraska","Banner County","690","369",746.27,0.15,746.11
"1688","0100000US","Nebraska","Blaine County","478","326",714.52,3.65,710.87
"1689","0100000US","Nebraska","Boone County","5505","2649",687.22,0.66,686.55
"1690","0100000US","Nebraska","Box Butte County","11308","5478",1077.84,2.54,1075.29
"1691","0100000US","Nebraska","Boyd County","2099","1390",544.53,4.59,539.94
"1692","0100000US","Nebraska","Brown County","3145","1865",1225.12,3.79,1221.33
"1693","0100000US","Nebraska","Buffalo County","46102","19064",975.4,7.29,968.11
"1694","0100000US","Nebraska","Burt County","6858","3467",497.06,5.48,491.58
"1695","0100000US","Nebraska","Butler County","8395","4053",590.81,5.9,584.91
"1696","0100000US","Nebraska","Cass County","25241","11117",565.89,8.45,557.45
"1697","0100000US","Nebraska","Cedar County","8852","4148",745.85,5.53,740.31
"1698","0100000US","Nebraska","Chase County","3966","1946",897.5,3.08,894.42
"1699","0100000US","Nebraska","Cherry County","5713","3157",6009.33,48.91,5960.42
"1700","0100000US","Nebraska","Cheyenne County","9998","4888",1196.4,0.11,1196.29
"1701","0100000US","Nebraska","Clay County","6542","3001",573.54,1.25,572.29
"1702","0100000US","Nebraska","Colfax County","10515","4097",416.52,4.86,411.66
"1703","0100000US","Nebraska","Cuming County","9139","4204",574.65,4.03,570.62
"1704","0100000US","Nebraska","Custer County","10939","5579",2575.88,0.36,2575.52
"1705","0100000US","Nebraska","Dakota County","21006","7631",267.42,3.17,264.25
"1706","0100000US","Nebraska","Dawes County","9182","4252",1401.07,4.6,1396.46
"1707","0100000US","Nebraska","Dawson County","24326","10123",1019.43,6.34,1013.1
"1708","0100000US","Nebraska","Deuel County","1941","1044",440.71,0.86,439.85
"1709","0100000US","Nebraska","Dixon County","6000","2688",482.9,6.67,476.23
"1710","0100000US","Nebraska","Dodge County","36691","16584",543,14.29,528.71
"1711","0100000US","Nebraska","Douglas County","517110","219580",339.35,10.89,328.45
"1712","0100000US","Nebraska","Dundy County","2008","1125",920.85,1.18,919.68
"1713","0100000US","Nebraska","Fillmore County","5890","2913",576.52,1.15,575.37
"1714","0100000US","Nebraska","Franklin County","3225","1734",576,0.19,575.82
"1715","0100000US","Nebraska","Frontier County","2756","1574",980.08,5.49,974.59
"1716","0100000US","Nebraska","Furnas County","4959","2721",720.64,1.51,719.13
"1717","0100000US","Nebraska","Gage County","22311","10446",859.96,8.47,851.49
"1718","0100000US","Nebraska","Garden County","2057","1314",1730.88,26.59,1704.28
"1719","0100000US","Nebraska","Garfield County","2049","1178",571.38,1.59,569.79
"1720","0100000US","Nebraska","Gosper County","2044","1267",462.72,4.57,458.16
"1721","0100000US","Nebraska","Grant County","614","391",783.22,7,776.22
"1722","0100000US","Nebraska","Greeley County","2538","1300",570.66,0.85,569.81
"1723","0100000US","Nebraska","Hall County","58607","23549",552.14,5.86,546.29
"1724","0100000US","Nebraska","Hamilton County","9124","3968",547.02,4.14,542.88
"1725","0100000US","Nebraska","Harlan County","3423","2375",574.06,20.59,553.47
"1726","0100000US","Nebraska","Hayes County","967","511",713.28,0.22,713.06
"1727","0100000US","Nebraska","Hitchcock County","2908","1763",718.48,8.53,709.94
"1728","0100000US","Nebraska","Holt County","10435","5215",2417.5,5.1,2412.4
"1729","0100000US","Nebraska","Hooker County","736","431",721.46,0.34,721.12
"1730","0100000US","Nebraska","Howard County","6274","2951",575.59,6.26,569.34
"1731","0100000US","Nebraska","Jefferson County","7547","3918",575.67,5.48,570.18
"1732","0100000US","Nebraska","Johnson County","5217","2191",376.73,0.68,376.05
"1733","0100000US","Nebraska","Kearney County","6489","2886",516.35,0.11,516.24
"1734","0100000US","Nebraska","Keith County","8368","5424",1109.74,48.14,1061.6
"1735","0100000US","Nebraska","Keya Paha County","824","549",773.92,0.85,773.07
"1736","0100000US","Nebraska","Kimball County","3821","1963",952.41,0.56,951.85
"1737","0100000US","Nebraska","Knox County","8701","4788",1139.72,31.37,1108.35
"1738","0100000US","Nebraska","Lancaster County","285407","120875",846.38,8.83,837.55
"1739","0100000US","Nebraska","Lincoln County","36288","16583",2575.13,11.06,2564.07
"1740","0100000US","Nebraska","Logan County","763","395",571.12,0.46,570.66
"1741","0100000US","Nebraska","Loup County","632","426",571.1,2.81,568.29
"1742","0100000US","Nebraska","McPherson County","539","283",860.01,1.04,858.98
"1743","0100000US","Nebraska","Madison County","34876","15014",575.45,2.71,572.74
"1744","0100000US","Nebraska","Merrick County","7845","3698",494.5,9.62,484.88
"1745","0100000US","Nebraska","Morrill County","5042","2442",1429.86,6.02,1423.84
"1746","0100000US","Nebraska","Nance County","3735","1801",448.23,6.6,441.63
"1747","0100000US","Nebraska","Nemaha County","7248","3498",409.6,2.22,407.38
"1748","0100000US","Nebraska","Nuckolls County","4500","2465",575.82,0.66,575.16
"1749","0100000US","Nebraska","Otoe County","15740","7025",619.02,3.39,615.63
"1750","0100000US","Nebraska","Pawnee County","2773","1588",432.95,1.87,431.07
"1751","0100000US","Nebraska","Perkins County","2970","1450",884.43,1.1,883.34
"1752","0100000US","Nebraska","Phelps County","9188","4175",540.43,0.64,539.79
"1753","0100000US","Nebraska","Pierce County","7266","3222",574.59,1.34,573.25
"1754","0100000US","Nebraska","Platte County","32237","13378",684.59,10.53,674.06
"1755","0100000US","Nebraska","Polk County","5406","2731",440.64,2.3,438.34
"1756","0100000US","Nebraska","Red Willow County","11055","5267",718.01,1.02,716.99
"1757","0100000US","Nebraska","Richardson County","8363","4393",554.57,2.73,551.84
"1758","0100000US","Nebraska","Rock County","1526","912",1011.72,3.4,1008.32
"1759","0100000US","Nebraska","Saline County","14200","5762",576.31,2.29,574.02
"1760","0100000US","Nebraska","Sarpy County","158840","61938",247.52,8.53,238.99
"1761","0100000US","Nebraska","Saunders County","20780","9221",759.82,9.59,750.23
"1762","0100000US","Nebraska","Scotts Bluff County","36970","16408",745.36,5.96,739.4
"1763","0100000US","Nebraska","Seward County","16750","6875",575.89,4.46,571.43
"1764","0100000US","Nebraska","Sheridan County","5469","2936",2469.8,28.94,2440.86
"1765","0100000US","Nebraska","Sherman County","3152","1941",571.64,5.82,565.83
"1766","0100000US","Nebraska","Sioux County","1311","815",2067.46,0.72,2066.74
"1767","0100000US","Nebraska","Stanton County","6129","2633",431,3.05,427.95
"1768","0100000US","Nebraska","Thayer County","5228","2731",574.98,1.17,573.81
"1769","0100000US","Nebraska","Thomas County","647","402",714.02,0.78,713.24
"1770","0100000US","Nebraska","Thurston County","6940","2408",396.08,2.49,393.58
"1771","0100000US","Nebraska","Valley County","4260","2273",570.46,2.41,568.05
"1772","0100000US","Nebraska","Washington County","20234","8301",393.2,3.24,389.96
"1773","0100000US","Nebraska","Wayne County","9595","3776",443.33,0.42,442.91
"1774","0100000US","Nebraska","Webster County","3812","1912",575.04,0.13,574.91
"1775","0100000US","Nebraska","Wheeler County","818","576",575.59,0.41,575.18
"1776","0100000US","Nebraska","York County","13665","6231",575.83,3.32,572.51
"1778","0100000US","Nevada","Churchill County","24877","10826",5024.06,93.6,4930.46
"1779","0100000US","Nevada","Clark County","1951269","840343",8060.81,169.38,7891.43
"1780","0100000US","Nevada","Douglas County","46997","23671",737.64,27.92,709.72
"1781","0100000US","Nevada","Elko County","48818","19566",17202.95,33.11,17169.83
"1782","0100000US","Nevada","Esmeralda County","783","850",3589.04,7.16,3581.88
"1783","0100000US","Nevada","Eureka County","1987","1076",4179.96,4.28,4175.68
"1784","0100000US","Nevada","Humboldt County","16528","7123",9657.82,17.06,9640.76
"1785","0100000US","Nevada","Lander County","5775","2575",5519.49,29.38,5490.1
"1786","0100000US","Nevada","Lincoln County","5345","2730",10636.99,3.78,10633.2
"1787","0100000US","Nevada","Lyon County","51980","22547",2024.2,23.01,2001.19
"1788","0100000US","Nevada","Mineral County","4772","2830",3812.98,60.13,3752.84
"1789","0100000US","Nevada","Nye County","43946","22350",18198.61,16.68,18181.92
"1790","0100000US","Nevada","Pershing County","6753","2464",6067.43,30.86,6036.56
"1791","0100000US","Nevada","Storey County","4010","1990",263.64,0.72,262.92
"1792","0100000US","Nevada","Washoe County","421407","184841",6542.21,239.85,6302.37
"1793","0100000US","Nevada","White Pine County","10030","4498",8896.76,21.11,8875.65
"1794","0100000US","Nevada","Carson City","55274","23534",157.24,12.58,144.66
"1796","0100000US","New Hampshire","Belknap County","60088","37386",468.58,68.35,400.23
"1797","0100000US","New Hampshire","Carroll County","47818","39813",992.43,61.37,931.06
"1798","0100000US","New Hampshire","Cheshire County","77117","34773",729.1,22.44,706.66
"1799","0100000US","New Hampshire","Coos County","33055","21321",1829.73,35.05,1794.69
"1800","0100000US","New Hampshire","Grafton County","89118","51120",1749.55,40.8,1708.75
"1801","0100000US","New Hampshire","Hillsborough County","400721","166053",892.21,16.08,876.14
"1802","0100000US","New Hampshire","Merrimack County","146445","63541",956.45,22.33,934.12
"1803","0100000US","New Hampshire","Rockingham County","295223","126709",795.11,100.39,694.72
"1804","0100000US","New Hampshire","Strafford County","123143","51697",384,15.03,368.97
"1805","0100000US","New Hampshire","Sullivan County","43742","22341",551.99,14.68,537.31
"1807","0100000US","New Jersey","Atlantic County","274549","126647",671.83,116.12,555.7
"1808","0100000US","New Jersey","Bergen County","905116","352388",246.67,13.66,233.01
"1809","0100000US","New Jersey","Burlington County","448734(r46247)","175615(r22678)",819.84,21.26,798.58
"1810","0100000US","New Jersey","Camden County","513657(r46259)","204943(r22684)",227.29,6.03,221.26
"1811","0100000US","New Jersey","Cape May County","97265","98309",620.42,368.99,251.42
"1812","0100000US","New Jersey","Cumberland County","156898","55834",677.62,193.92,483.7
"1813","0100000US","New Jersey","Essex County","783969","312954",129.63,3.42,126.21
"1814","0100000US","New Jersey","Gloucester County","288288","109796",337.18,15.17,322.01
"1815","0100000US","New Jersey","Hudson County","634266(r46393)","270335(r22800)",62.31,16.12,46.19
"1816","0100000US","New Jersey","Hunterdon County","128349(r46697)","49487",437.44,9.62,427.82
"1817","0100000US","New Jersey","Mercer County","366513(r46718)","143169",228.89,4.33,224.56
"1818","0100000US","New Jersey","Middlesex County","809858","294800",322.83,13.91,308.91
"1819","0100000US","New Jersey","Monmouth County","630380","258410",665.32,196.53,468.79
"1820","0100000US","New Jersey","Morris County","492276","189842",481.62,21.45,460.18
"1821","0100000US","New Jersey","Ocean County","576567","278052",915.4,286.62,628.78
"1822","0100000US","New Jersey","Passaic County","501226","175966",197.11,12.51,184.59
"1823","0100000US","New Jersey","Salem County","66083","27417",372.33,40.43,331.9
"1824","0100000US","New Jersey","Somerset County","323444","123127",304.86,3.04,301.81
"1825","0100000US","New Jersey","Sussex County","149265","62057",535.74,16.73,519.01
"1826","0100000US","New Jersey","Union County","536499","199489",105.4,2.55,102.85
"1827","0100000US","New Jersey","Warren County","108692","44925",362.86,5.94,356.92
"1829","0100000US","New Mexico","Bernalillo County","662564","284234",1167.19,6.36,1160.83
"1830","0100000US","New Mexico","Catron County","3725","3289",6929.17,5.48,6923.69
"1831","0100000US","New Mexico","Chaves County","65645","26697",6075.12,9.85,6065.27
"1832","0100000US","New Mexico","Cibola County","27213","11101",4541.73,2.25,4539.48
"1833","0100000US","New Mexico","Colfax County","13750","10023",3768.22,10.16,3758.06
"1834","0100000US","New Mexico","Curry County","48376","20062",1407.95,3.16,1404.8
"1835","0100000US","New Mexico","De Baca County","2022","1344",2333.88,11.26,2322.62
"1836","0100000US","New Mexico","Dona Ana County","209233","81492",3814.38,6.87,3807.51
"1837","0100000US","New Mexico","Eddy County","53829","22585",4197.52,21.8,4175.73
"1838","0100000US","New Mexico","Grant County","29514","14693",3967.55,5.93,3961.63
"1839","0100000US","New Mexico","Guadalupe County","4687","2393",3031.6,1.11,3030.48
"1840","0100000US","New Mexico","Harding County","695","526",2125.89,0.45,2125.44
"1841","0100000US","New Mexico","Hidalgo County","4894","2393",3445.99,9.13,3436.86
"1842","0100000US","New Mexico","Lea County","64727","24919",4394.2,3.27,4390.93
"1843","0100000US","New Mexico","Lincoln County","20497","17519",4831.31,0.22,4831.09
"1844","0100000US","New Mexico","Los Alamos County","17950","8354",109.26,0.09,109.17
"1845","0100000US","New Mexico","Luna County","25095","10999",2965.36,0.17,2965.19
"1846","0100000US","New Mexico","McKinley County","71492","25813",5455.28,5.47,5449.81
"1847","0100000US","New Mexico","Mora County","4881","3232",1933.62,2.35,1931.27
"1848","0100000US","New Mexico","Otero County","63797(r46881)","30992(r23248)",6627.5,14.29,6613.21
"1849","0100000US","New Mexico","Quay County","9041","5569",2881.58,7.23,2874.35
"1850","0100000US","New Mexico","Rio Arriba County","40246","19638",5896.15,35.31,5860.84
"1851","0100000US","New Mexico","Roosevelt County","19846","8163",2454.65,7.22,2447.43
"1852","0100000US","New Mexico","Sandoval County","131561","52287",3715.94,5.29,3710.65
"1853","0100000US","New Mexico","San Juan County","130044","49341",5538.42,25.36,5513.07
"1854","0100000US","New Mexico","San Miguel County","29393","15595",4735.66,19.84,4715.82
"1855","0100000US","New Mexico","Santa Fe County","144170","71267",1910.87,1.46,1909.41
"1856","0100000US","New Mexico","Sierra County","11988","8356",4236.22,57.27,4178.96
"1857","0100000US","New Mexico","Socorro County","17866","8059",6648.75,2.07,6646.68
"1858","0100000US","New Mexico","Taos County","32937","20265",2204.42,1.31,2203.11
"1859","0100000US","New Mexico","Torrance County","16383","7798",3345.73,0.89,3344.85
"1860","0100000US","New Mexico","Union County","4549","2305",3830.87,7.13,3823.74
"1861","0100000US","New Mexico","Valencia County","76569","30085",1068.29,2.12,1066.17
"1863","0100000US","New York","Albany County","304204","137739",533.3,10.5,522.8
"1864","0100000US","New York","Allegany County","48946","26140",1034.39,5.08,1029.31
"1865","0100000US","New York","Bronx County","1385108","511896",57.48,15.38,42.1
"1866","0100000US","New York","Broome County","200600","90563",715.51,9.75,705.77
"1867","0100000US","New York","Cattaraugus County","80317","41111",1322.49,14.14,1308.35
"1868","0100000US","New York","Cayuga County","80026","36489",863.67,172.09,691.58
"1869","0100000US","New York","Chautauqua County","134905","66920",1500.18,439.96,1060.23
"1870","0100000US","New York","Chemung County","88830","38369",410.78,3.43,407.35
"1871","0100000US","New York","Chenango County","50477","24710",898.63,5.08,893.55
"1872","0100000US","New York","Clinton County","82128","35888",1117.53,79.67,1037.85
"1873","0100000US","New York","Columbia County","63096","32775",648.27,13.56,634.71
"1874","0100000US","New York","Cortland County","49336","20577",501.52,2.76,498.76
"1875","0100000US","New York","Delaware County","47980","31222",1467.45,25.01,1442.44
"1876","0100000US","New York","Dutchess County","297488","118638",825.35,29.72,795.63
"1877","0100000US","New York","Erie County","919040","419974",1226.85,184.16,1042.69
"1878","0100000US","New York","Essex County","39370","25603",1916.23,122,1794.23
"1879","0100000US","New York","Franklin County","51599","25306",1697.47,68.35,1629.12
"1880","0100000US","New York","Fulton County","55531","28562",532.88,37.41,495.47
"1881","0100000US","New York","Genesee County","60079","25589",495.31,2.37,492.94
"1882","0100000US","New York","Greene County","49221","29210",658.05,10.89,647.16
"1883","0100000US","New York","Hamilton County","4836","8694",1807.8,90.43,1717.37
"1884","0100000US","New York","Herkimer County","64519","33381",1457.96,46.49,1411.47
"1885","0100000US","New York","Jefferson County","116229","57966",1857.22,588.63,1268.59
"1886","0100000US","New York","Kings County","2504700","1000293",96.92,26.1,70.82
"1887","0100000US","New York","Lewis County","27087","15112",1289.96,15.28,1274.68
"1888","0100000US","New York","Livingston County","65393","27123",640.26,8.5,631.76
"1889","0100000US","New York","Madison County","73442","31757",661.28,6.44,654.84
"1890","0100000US","New York","Monroe County","744344","320593",1366.73,709.52,657.21
"1891","0100000US","New York","Montgomery County","50219","23063",410.36,7.31,403.04
"1892","0100000US","New York","Nassau County","1339532","468346",453.23,168.52,284.72
"1893","0100000US","New York","New York County","1585873","847090",33.59,10.76,22.83
"1894","0100000US","New York","Niagara County","216469","99120",1139.67,617.31,522.36
"1895","0100000US","New York","Oneida County","234878","104180",1257.66,45.23,1212.43
"1896","0100000US","New York","Onondaga County","467026","202357",805.62,27.23,778.39
"1897","0100000US","New York","Ontario County","107931","48193",662.53,18.46,644.07
"1898","0100000US","New York","Orange County","372813","137025",838.64,26.96,811.69
"1899","0100000US","New York","Orleans County","42883","18431",817.42,426.16,391.26
"1900","0100000US","New York","Oswego County","122109","53598",1312.08,360.43,951.65
"1901","0100000US","New York","Otsego County","62259","30777",1015.75,14.05,1001.7
"1902","0100000US","New York","Putnam County","99710","38224",246.25,15.94,230.31
"1903","0100000US","New York","Queens County","2230722","835127",178.21,69.68,108.53
"1904","0100000US","New York","Rensselaer County","159429","71475",665.39,12.96,652.43
"1905","0100000US","New York","Richmond County","468730","176656",102.29,43.92,58.37
"1906","0100000US","New York","Rockland County","311687","104057",199.34,25.79,173.55
"1907","0100000US","New York","St. Lawrence County","111944","52133",2821.44,141.06,2680.38
"1908","0100000US","New York","Saratoga County","219607","98656",843.81,33.82,809.98
"1909","0100000US","New York","Schenectady County","154727","68196",209.39,4.87,204.52
"1910","0100000US","New York","Schoharie County","32749","17231",626.33,4.51,621.82
"1911","0100000US","New York","Schuyler County","18343","9455",342.33,13.99,328.33
"1912","0100000US","New York","Seneca County","35251","16043",390.44,66.73,323.71
"1913","0100000US","New York","Steuben County","98990","48875",1404.08,13.52,1390.56
"1914","0100000US","New York","Suffolk County","1493350","569985",2373.13,1461.08,912.05
"1915","0100000US","New York","Sullivan County","77547","49186",996.72,28.59,968.13
"1916","0100000US","New York","Tioga County","51125","22203",522.88,4.28,518.6
"1917","0100000US","New York","Tompkins County","101564","41674",491.56,16.91,474.65
"1918","0100000US","New York","Ulster County","182493","83638",1160.76,36.53,1124.24
"1919","0100000US","New York","Warren County","65707","38726",931.6,64.65,866.95
"1920","0100000US","New York","Washington County","63216","28844",845.89,14.7,831.18
"1921","0100000US","New York","Wayne County","93772","41057",1383.05,779.22,603.83
"1922","0100000US","New York","Westchester County","949113","370821",500,69.5,430.5
"1923","0100000US","New York","Wyoming County","42155","17970",596.29,3.54,592.75
"1924","0100000US","New York","Yates County","25348","13491",375.79,37.65,338.14
"1926","0100000US","North Carolina","Alamance County","151131","66576",434.74,10.79,423.94
"1927","0100000US","North Carolina","Alexander County","37198","16189",263.65,3.66,259.99
"1928","0100000US","North Carolina","Alleghany County","11155","8094",236.55,1.49,235.06
"1929","0100000US","North Carolina","Anson County","26948","11576",537.09,5.64,531.45
"1930","0100000US","North Carolina","Ashe County","27281","17342",429.27,3.13,426.13
"1931","0100000US","North Carolina","Avery County","17797","13890",247.23,0.14,247.09
"1932","0100000US","North Carolina","Beaufort County","47759","24688",958.22,131.02,827.19
"1933","0100000US","North Carolina","Bertie County","21282","9822",741.25,41.98,699.27
"1934","0100000US","North Carolina","Bladen County","35190","17718",887.16,12.83,874.33
"1935","0100000US","North Carolina","Brunswick County","107431","77482",1049.82,202.85,846.97
"1936","0100000US","North Carolina","Buncombe County","238318","113365",660.14,3.47,656.67
"1937","0100000US","North Carolina","Burke County","90912","40879",515.08,7.98,507.1
"1938","0100000US","North Carolina","Cabarrus County","178011","71937",364.46,2.72,361.75
"1939","0100000US","North Carolina","Caldwell County","83029","37659",474.31,2.75,471.57
"1940","0100000US","North Carolina","Camden County","9980","4104",310.21,69.66,240.56
"1941","0100000US","North Carolina","Carteret County","66469","48179",1340.63,834.37,506.25
"1942","0100000US","North Carolina","Caswell County","23719","10619",428.25,3.33,424.92
"1943","0100000US","North Carolina","Catawba County","154358","67886",413.42,14.69,398.72
"1944","0100000US","North Carolina","Chatham County","63505","28753",709.83,27.65,682.19
"1945","0100000US","North Carolina","Cherokee County","27444","17515",466.72,11.3,455.43
"1946","0100000US","North Carolina","Chowan County","14793","7289",233.3,60.83,172.47
"1947","0100000US","North Carolina","Clay County","10587","7140",220.63,5.88,214.75
"1948","0100000US","North Carolina","Cleveland County","98078","43373",468.25,4,464.25
"1949","0100000US","North Carolina","Columbus County","58098","26042",953.64,16.35,937.29
"1950","0100000US","North Carolina","Craven County","103505","45002",774.16,65.2,708.96
"1951","0100000US","North Carolina","Cumberland County","319431","135524",658.37,6.05,652.31
"1952","0100000US","North Carolina","Currituck County","23547","14453",526.59,264.74,261.85
"1953","0100000US","North Carolina","Dare County","33920","33492",1562.56,1179.14,383.42
"1954","0100000US","North Carolina","Davidson County","162878","72655",567.02,14.34,552.67
"1955","0100000US","North Carolina","Davie County","41240","18238",267.09,2.98,264.11
"1956","0100000US","North Carolina","Duplin County","58505","25728",821.67,5.45,816.22
"1957","0100000US","North Carolina","Durham County","267587(r47107)","120217",297.87,11.89,285.98
"1958","0100000US","North Carolina","Edgecombe County","56552","24838",506.65,1.31,505.34
"1959","0100000US","North Carolina","Forsyth County","350670","156872",412.7,4.55,408.15
"1960","0100000US","North Carolina","Franklin County","60619","26577",494.5,2.82,491.68
"1961","0100000US","North Carolina","Gaston County","206086","88686",364.1,8.07,356.03
"1962","0100000US","North Carolina","Gates County","12197","5208",345.69,5.24,340.44
"1963","0100000US","North Carolina","Graham County","8861","5930",301.67,9.59,292.08
"1964","0100000US","North Carolina","Granville County","59916(r47120)","22827",536.5,4.93,531.57
"1965","0100000US","North Carolina","Greene County","21362","8213",266.4,0.47,265.93
"1966","0100000US","North Carolina","Guilford County","488406","218017",657.63,11.92,645.7
"1967","0100000US","North Carolina","Halifax County","54691","25781",731.18,7.09,724.09
"1968","0100000US","North Carolina","Harnett County","114678","46731",601.3,6.32,594.99
"1969","0100000US","North Carolina","Haywood County","59036","34954",554.62,0.93,553.69
"1970","0100000US","North Carolina","Henderson County","106740","54710",375.23,2.16,373.07
"1971","0100000US","North Carolina","Hertford County","24669","10635",360.35,7.29,353.06
"1972","0100000US","North Carolina","Hoke County","46952","18211",392.3,1.55,390.74
"1973","0100000US","North Carolina","Hyde County","5810","3347",1424.03,811.33,612.7
"1974","0100000US","North Carolina","Iredell County","159437","69013",596.9,23.07,573.83
"1975","0100000US","North Carolina","Jackson County","40271","25948",494.54,3.79,490.75
"1976","0100000US","North Carolina","Johnston County","168878","67682",795.5,4.21,791.3
"1977","0100000US","North Carolina","Jones County","10153","4838",473.22,2.51,470.71
"1978","0100000US","North Carolina","Lee County","57866","24136",259.04,4.08,254.96
"1979","0100000US","North Carolina","Lenoir County","59495","27437",402.82,2.23,400.59
"1980","0100000US","North Carolina","Lincoln County","78265","33641",307.04,9.1,297.94
"1981","0100000US","North Carolina","McDowell County","44996","20808",446,5.39,440.61
"1982","0100000US","North Carolina","Macon County","33922","25245",519.69,4.13,515.56
"1983","0100000US","North Carolina","Madison County","20764","10608",451.44,1.87,449.57
"1984","0100000US","North Carolina","Martin County","24505","11704",461.51,0.29,461.22
"1985","0100000US","North Carolina","Mecklenburg County","919628","398510",545.91,22.07,523.84
"1986","0100000US","North Carolina","Mitchell County","15579","8713",222.09,0.66,221.42
"1987","0100000US","North Carolina","Montgomery County","27798","15914",501.79,10.03,491.76
"1988","0100000US","North Carolina","Moore County","88247","43940",705.85,8.01,697.84
"1989","0100000US","North Carolina","Nash County","95840","42286",542.77,2.36,540.41
"1990","0100000US","North Carolina","New Hanover County","202667","101436",328.2,136.67,191.53
"1991","0100000US","North Carolina","Northampton County","22099","11674",550.6,14.02,536.59
"1992","0100000US","North Carolina","Onslow County","177772","68226",905.91,143.17,762.74
"1993","0100000US","North Carolina","Orange County","133801","55597",401.43,3.47,397.96
"1994","0100000US","North Carolina","Pamlico County","13144","7534",566.75,230.21,336.54
"1995","0100000US","North Carolina","Pasquotank County","40661","16833",289.44,62.56,226.88
"1996","0100000US","North Carolina","Pender County","52217","26724",932.79,62.99,869.79
