"","ID","V","BV","Para","Uncert"
"3111",2860,6.03,1.1,0.0058,191
"3112",2861,9.72,0.6,0.0144,150
"3113",2862,8.74,0.9,0.0382,178
"3114",2863,9.66,0.44,0.008,24
"3115",2864,10.72,1.15,0.0352,86
"3116",2865,5.02,0.96,0.0286,72
"3117",2865.01,1.33,-0.24,0.0029,252
"3118",2866,4.95,0.27,0.0115,98
"3119",2867,6.26,0.68,0.0369,86
"3120",2868,4.36,1.13,0.0018,84
"3121",2869,5,0.08,0.022,72
"3122",2870,5.5,1.45,0.0058,137
"3123",2871,6.24,1.06,0.0044,174
"3124",2872,9.3,0.57,0.0122,150
"3125",2873,13.72,1.59,0.0215,191
"3126",2873,13.68,1.59,0.0215,191
"3127",2874,8.3,0.72,0.0333,150
"3128",2875,6.15,0.92,0.019,150
"3129",2875.1,9.45,0.98,0.037,150
"3130",2875.11,15.7,1.73,0.0246,47
"3131",2876,5.29,-0.05,0.0192,84
"3132",2877,11.97,1.6,0.072,64
"3133",2877.01,12.5,1.2,0.0027,50
"3134",2878,9.06,0.79,0.0425,150
"3135",2878.02,14.19,1.54,0.0399,10
"3136",2879,9.03,0.7,0.0503,150
"3137",2880,2.95,-0.05,0.0223,69
"3138",2881,6.35,0.56,0.0474,127
"3139",2881.1,5.35,0.2,0.0378,98
"3140",2882,6.21,0.51,0.0362,98
"3141",2882.01,9.13,1.02,0.0221,123
"3142",2883,4.95,1.62,0.0146,91
"3143",2883.1,9.82,1.15,0.0242,150
"3144",2884,5.48,0.63,0.0082,117
"3145",2885,9.7,1.45,0.07,59
"3146",2887,4.31,0.38,0.05,86
"3147",2888.01,16.55,1.43,0.0256,50
"3148",2888.03,15.72,-0.04,0.0073,80
"3149",2889,7.13,0.85,0.0774,106
"3150",2890,12.44,1.84,0.2279,46
"3151",2890,13.04,1.83,0.2279,46
"3152",2891,5.48,-0.03,0.0171,173
"3153",2892,5.42,1,0.0162,32
"3154",2893,9.05,1.12,0.0316,88
"3155",2894,6.24,1.05,0.0169,22
"3156",2895,4.26,0.59,0.1169,24
"3157",2896,2.65,0.89,0.0315,101
"3158",2897,3.87,-0.13,0.0116,105
"3159",2898,5.77,0.7,0.0195,117
"3160",2899,8.91,0.72,0.038,150
"3161",2900,4.81,0,0.0014,82
"3162",2900.01,16.62,1.66,0.0223,54
"3163",2902,5.02,1.15,0.004,64
"3164",2903,5.13,0.22,0.0224,137
"3165",2904,11.1,1.48,0.0786,106
"3166",2905,11.13,1.24,0.0538,150
"3167",2905.01,9.1,0.6,0.0232,286
"3168",2906.02,13.1,1.6,0.0389,105
"3169",2908,3.86,0.05,0.023,106
"3170",2909,5.45,0.32,0.0363,137
"3171",2910,10.82,1.53,0.1202,92
"3172",2912,5.71,1.6,0.0276,202
"3173",2912.01,13.96,0.18,0.061,94
"3174",2913,7.08,1.44,0.0127,134
"3175",2914,9.02,1.19,0.034,150
"3176",2914.01,13.52,1.6,0.0507,31
"3177",2915,11.51,1.5,0.0797,61
"3178",2917,6.96,0.59,0.0523,133
"3179",2918,4.66,1.23,0.0187,149
"3180",2919,12.24,1.75,0.0463,202
"3181",2921,7.87,0.61,0.0118,174
"3182",2922,2.17,-0.01,0.015,97
"3183",2922,2.87,-0.03,0.015,97
"3184",2922.02,7.96,1.12,0.0671,51
"3185",2924,3.48,0.36,0.1009,61
"3186",2925,5.59,0,0.0105,161
"3187",2925.01,11.85,-0.33,0.0073,117
"3188",2926,4.66,1.09,0.023,117
"3189",2926.01,8.28,1.06,0.0249,47
"3190",2926.01,9.87,1.08,0.0249,47
"3191",2926.02,15.69,1.59,0.0268,67
"3192",2927,7.35,0.59,0.0018,133
"3193",2928.01,12.31,1.58,0.0942,111
"3194",2928.1,9.12,0.73,0.0141,150
"3195",2930,9.25,0.63,0.0154,120
"3196",2931,7.52,0.67,0.0375,106
"3197",2931.01,15.01,1.57,0.0209,43
"3198",2933,7.04,0.94,0.0631,72
"3199",2934,4.69,1.05,0.034,117
"3200",2935,5.95,0.55,0.0628,61
"3201",2936,4.99,2.54,9e-04,128
"3202",2937,7.75,0.41,0.0164,125
"3203",2938,7.23,-0.11,0.0054,154
"3204",2939,5.22,0.33,0.0118,106
"3205",2939.01,8.06,0.65,0.0083,351
"3206",2940,5.67,0.99,0.02,75
"3207",2941,6.87,0.7,0.0257,93
"3208",2941.01,1.25,-0.23,0.002,119
"3209",2941.02,15.86,0.2,0.0157,42
"3210",2941.03,9.84,1.29,0.0567,170
"3211",2943,11.34,1.58,0.1228,145
"3212",2943.02,11.32,1.36,0.0235,120
"3213",2944,5.43,1.56,0.0245,117
"3214",2945,6.31,0.7,0.0407,127
"3215",2946,5.85,0.46,0.0404,132
"3216",2946.01,13.07,1.56,0.0397,124
"3217",2947,8.16,0.69,0.0383,121
"3218",2947.1,10.67,1.27,0.0386,137
"3219",2948,7.61,0.61,0.0225,88
"3220",2949,10.88,1.64,0.1016,47
"3221",2950,4.91,-0.04,0.018,161
"3222",2951,8.49,1.4,0.0835,49
"3223",2951.01,17.82,1.5,0.0396,7
"3224",2952,10.08,0.97,0.039,95
"3225",2953,7.97,0.8,0.0192,110
"3226",2954,8.48,0.62,0.0148,97
"3227",2955,4.94,0.67,0.0095,111
"3228",2956,4.33,1.37,0.0181,137
"3229",2957,8.37,0.54,0.0113,42
"3230",2958,4.27,0.21,0.0541,161
"3231",2958.01,9.42,1.08,0.0787,186
"3232",2959,6.11,0.5,0.0407,127
"3233",2961,4.9,0.9,0.0193,66
"3234",2961,4.9,0.9,0.0193,66
"3235",2962,4.79,1.6,0.0191,137
"3236",2963,5.89,0.64,0.0428,150
"3237",2964,1.77,-0.02,0.0086,150
"3238",2964.1,10.42,1.18,0.0455,150
"3239",2968,3.38,1.58,0.02,75
"3240",2969,2.9,-0.12,0.0263,73
"3241",2969.01,14.4,1.74,0.0484,40
"3242",2969.02,13.87,1.3,0.0186,37
"3243",2970,5.24,0.28,0.0287,71
"3244",2972,9.11,1.14,0.0617,150
"3245",2972.01,10.68,1.44,0.0479,36
"3246",2974,7.56,0.79,0.0604,106
"3247",2975.01,14.6,1.54,0.0101,60
"3248",2975.02,15.39,0.25,0.0289,41
"3249",2976,15.79,0.64,0.0603,38
"3250",2977,8.08,0.67,0.0339,146
"3251",2978,9.78,1.2,0.0552,77
"3252",2979.01,13.18,1.45,0.0156,31
"3253",2980,3.62,1.18,0.0285,127
"3254",2980.01,14.32,1.52,0.014,37
"3255",2981,4.9,1.17,0.0156,76
"3256",2981.01,16.08,1.47,0.0119,70
"3257",2981.02,13.37,1.75,0.1231,35
"3258",2982,6.2,0.42,0.0204,111
"3259",2982.01,9.75,1.47,0.093,58
"3260",2983,5.32,1.29,0.0041,83
"3261",2984,8.05,0.53,0.0153,101
"3262",2985,9.02,0.74,0.0127,106
"3263",2986,4.93,0.36,0.024,59
"3264",2986.1,12.82,0.72,0.0148,32
"3265",2987,2.83,0.94,0.033,55
"3266",2988.1,10.83,1.02,0.0348,150
"3267",2989,4.85,0.02,0.0111,173
"3268",2990,6,0.41,0.0344,76
"3269",2990.01,14.93,1.56,0.0189,44
"3270",2990.02,15.56,1.73,0.0335,61
"3271",2990.03,9.66,0.71,0.0216,176
"3272",2991,9.06,1.37,0.0491,73
"3273",2992,8.44,0.84,0.0363,150
"3274",2992.01,5.25,-0.08,0.0087,111
"3275",2993.1,9.43,1.29,0.0582,150
"3276",2993.11,5.99,0.39,0.0287,59
"3277",2994,5.6,1.59,0.0437,179
"3278",2994.12,15.25,1.5,0.0037,37
"3279",2995,4.8,1.48,0.0086,89
"3280",2996,5.19,1.14,0.0239,101
"3281",2997,9.39,0.82,0.0282,101
"3282",2998,9.7,0.68,0.0312,222
"3283",2999,8.35,0.94,0.0161,92
"3284",3001,4.95,1.05,0.0115,149
"3285",3001.01,15.03,1.65,0.0271,34
"3286",3002,6.8,0.67,0.0445,105
"3287",3002.1,8.57,0.61,0.0283,151
"3288",3003,7.36,0.73,0.0763,150
"3289",3005,4.38,-0.01,0.024,79
"3290",3005.01,14.16,1.73,0.0866,148
"3291",3006,4.98,0.45,0.0546,50
"3292",3006,5.05,0.45,0.0546,50
"3293",3007,5.25,1.05,0.0097,137
"3294",3008,8.16,0.58,0.0469,193
"3295",3010,8.74,0.62,0.0289,55
"3296",3011,4.85,0.7,0.0628,106
"3297",3012,5.04,0.46,0.0393,74
"3298",3013,8.88,0.92,0.0025,84
"3299",3015,4.26,0.57,0.1049,24
"3300",3016,6.69,0.62,0.0205,92
"3301",3016.01,17.05,1.4,0.0665,24
"3302",3017,4.92,0.48,0.0518,101
"3303",3018,9.34,0.58,0.042,174
"3304",3019,5.33,0.87,0.0086,137
"3305",3020,4.92,1.06,0.0029,86
"3306",3021,8.34,0.64,0.016,150
"3307",3021.01,12.85,0.91,0.0048,43
"3308",3021.02,7.97,1.17,0.0508,340
"3309",3022,6.83,0.6,0.0392,28
"3310",3024,6.98,1.14,0.0188,133
"3311",3025,7.04,0.69,0.0316,101
"3312",3026,6.54,1.14,0.0148,146
"3313",3027,4.87,1.5,0.0046,149
"3314",3028,5.22,1.03,0.0471,110
"3315",3031,5.1,0.96,0.0146,149
"3316",3031.01,16.01,0.77,0.0554,83
"3317",3032,8.18,0.7,0.0049,208
"3318",3032.01,12.68,-0.12,0.0153,29
"3319",3033,10.11,0.75,0.0206,133
"3320",3034,5.22,0.59,0.063,75
"3321",3034.01,13.25,1.64,0.0632,25
"3322",3035,6.52,0.94,0.0748,60
"3323",3036,4.8,1.67,0.0112,85
"3324",3038,4.73,0.3,0.0139,73
"3325",3039,4.74,0.71,0.118,27
"3326",3040,11.24,1.41,0.0427,150
"3327",3041,3,0.92,0.0243,89
"3328",3043,10.3,0.8,0.0141,124
"3329",3044,10.83,1,0.0281,41
"3330",3045,5.15,-0.07,0.018,98
"3331",3046,6.75,0.52,0.0113,150
"3332",3047,9.48,1.48,0.0707,44
"3333",3047.1,10.59,1.51,0.0515,75
"3334",3048,2.75,0.04,0.0595,97
"3335",3048.1,8.55,1.48,0.1053,61
"3336",3051,8.58,0.95,0.0286,106
"3337",3053,8.83,0.46,0.0071,101
"3338",3053.1,10.6,1.45,0.0511,150
"3339",3054,5.05,1.11,0.0146,149
"3340",3056,5.37,0.99,0.0031,127
"3341",3056.01,12.94,1.58,0.0731,27
"3342",3058,11.79,1.4,0.0468,120
"3343",3059,5.31,0.4,0.0064,127
"3344",3060,7.28,0.5,0.0442,110
"3345",3061,8.87,1.34,0.0539,58
"3346",3061,9.52,1.33,0.0539,58
"3347",3062,2.27,0.02,0.0417,58
"3348",3063,0.98,-0.23,0.0217,86
"3349",3063,0.98,-0.23,0.0217,86
"3350",3063.1,11.02,1.53,0.0612,97
"3351",3064,5.09,1.2,0.0101,161
"3352",3066,4.01,0.16,0.0409,73
"3353",3067,8.72,0.89,0.0408,150
"3354",3068,8.8,0.92,0.011,150
"3355",3070,4.76,1.09,0.015,32
"3356",3070.1,10.2,1.21,0.0372,106
"3357",3071,6.5,0.74,0.035,53
"3358",3072,7.2,0.58,0.0248,150
"3359",3073,7.44,0.64,0.0238,137
"3360",3074,11.32,1.52,0.0815,91
"3361",3075,5.06,0.07,0.0096,127
"3362",3076,4.98,0.71,0.0539,69
"3363",3076.02,16.7,0.42,0.027,55
"3364",3076.04,12.14,1.47,0.0629,67
"3365",3077,6.48,0.48,0.0332,150
"3366",3078,5.4,-0.01,0.0226,84
"3367",3079,9.04,1.5,0.1399,29
"3368",3080,14.18,1.66,0.0673,49
"3369",3081,12.31,0.09,0.0618,28
"3370",3082,3.88,1.17,0.0104,149
"3371",3084.01,14.74,1.79,0.0687,44
"3372",3085,10.5,0.64,0.0136,150
"3373",3085.01,16.04,0.72,0.0334,53
"3374",3086,7.36,0.78,0.0429,31
"3375",3087,7.25,0.7,0.0129,160
"3376",3088,4.69,1.62,0.0204,80
"3377",3089,6.08,1.05,0.0091,193
"3378",3090.01,11.11,1.44,0.0428,60
"3379",3091,5.21,0.96,0.0195,95
"3380",3091.01,12.92,1.24,0.0062,28
"3381",3094,7.57,0.64,0.0191,150
"3382",3094.1,11.39,1.53,0.0615,57
"3383",3094.1,12.01,1.53,0.0615,57
"3384",3095.01,6.78,0.2,8e-04,41
"3385",3095.02,7.98,1,0.0519,75
"3386",3096,7.29,0.67,0.0408,97
"3387",3097,9.3,1,0.0156,106
"3388",3098,4.94,0.03,0.0195,73
"3389",3099,7.41,0.92,0.0336,65
"3390",3099,7.41,0.92,0.0336,65
"3391",3099.1,9.97,1.38,0.0346,150
"3392",3100,3.37,0.11,0.0392,64
"3393",3101,9.31,1.21,0.0452,82
"3394",3103,5.6,-0.03,0.012,72
"3395",3104,4.98,0.4,0.0188,84
"3396",3105,4.7,0.12,0.0319,65
"3397",3106,6.91,0.45,0.0319,98
"3398",3106.01,15.06,1.46,0.0205,60
"3399",3107,10.27,1.29,0.0412,133
"3400",3108,8.56,0.61,0.0023,113
"3401",3110,5.78,0.22,0.0194,161
"3402",3111,8.13,0.08,0.0047,150
"3403",3112,14.63,0.96,0.1214,34
"3404",3112.01,14,0.01,0.0286,32
"3405",3113,6.97,0.63,0.0268,150
"3406",3114,10.02,1.09,0.0471,149
"3407",3115,9.3,0.64,0.0473,115
"3408",3116,4.82,0.23,0.0282,88
"3409",3116.1,9.06,1.4,0.0917,52
"3410",3117,10.36,1.29,0.0424,120
"3411",3118,7.78,0.67,0.0261,106
"3412",3119,6.8,0.6,0.0317,160
"3413",3119.01,14.19,1.55,0.0344,50
"3414",3120,5.57,0.33,0.0093,54
"3415",3120.01,11.46,0.37,3e-04,38
"3416",3121,9.6,1.39,0.0758,84
"3417",3122.1,10.23,1.42,0.0818,53
"3418",3123,5.46,0.1,0.01,98
"3419",3123.02,15.3,1.73,0.0444,53
"3420",3124,12.79,-0.09,0.0305,59
"3421",3125,6.32,0.54,0.0494,154
"3422",3126,5.01,1.63,0.0132,86
"3423",3126.01,15.83,1.75,0.0481,19
"3424",3126.1,9.74,1.3,0.0758,150
"3425",3127,4.66,1.64,0.0136,84
"3426",3128,6.16,0.42,0.0354,139
"3427",3129,5.36,1.11,0.0052,59
"3428",3129.01,11.97,1.64,0.1179,115
"3429",3130,12.51,1.52,0.0734,123
"3430",3130.01,6.96,0.64,0.0187,24
"3431",3131,9.59,1.3,0.0127,92
"3432",3131.2,10.53,1.34,0.0432,88
"3433",3132,4.23,0.38,0.0483,106
"3434",3133,9.83,1.42,0.0803,41
"3435",3134,4.65,0.96,0.0162,127
"3436",3134.01,13.66,1.51,0.025,30
"3437",3135,8.46,1.44,0.1846,28
"3438",3135.01,13.1,1.59,0.0411,63
"3439",3136,5.15,-0.02,0.0172,117
"3440",3137,5.45,1.36,0.0113,137
"3441",3138,6.5,0.47,0.0255,125
"3442",3139,8.54,0.64,0.0303,150
"3443",3139.1,5.87,0.21,0.012,111
"3444",3140,6.33,0.63,0.0287,46
"3445",3142,5.91,1.01,0.0333,133
"3446",3143,10.26,1.02,0.0349,97
"3447",3144,4.5,0.48,0.0545,48
"3448",3144.01,15.08,0.41,0.0499,36
"3449",3146,6.53,0.57,0.0357,92
"3450",3146,6.58,0.55,0.0357,92
"3451",3146.1,8.77,0.92,0.0051,150
"3452",3146.11,15.33,1.96,0.0829,22
"3453",3147,1.86,-0.19,0.0297,89
"3454",3148,8.34,0.74,0.0258,88
"3455",3149,4.19,1.5,0.0239,120
"3456",3150,9.43,0.66,0.0295,120
"3457",3151,4.97,1.06,0.0307,106
"3458",3152,7.98,0.21,0.0141,150
"3459",3153,7.04,1.12,0.0873,50
"3460",3153,7.61,1.12,0.0873,50
"3461",3154,8.17,1.26,0.0778,94
"3462",3156,4.07,1.52,0.0107,87
"3463",3157,7.97,0.67,0.0301,150
"3464",3161,6.45,0.69,0.06,106
"3465",3162,7.16,0.52,0.0177,150
"3466",3163,7.38,0.9,0.0744,97
"3467",3164,5.87,1.62,0.0129,134
"3468",3165,4.74,1.66,0.0259,84
"3469",3165.01,10.83,0.75,0.076,151
"3470",3166,9.04,0.61,0.0298,97
"3471",3166.01,8.9,1.33,0.0737,62
"3472",3168,6.4,1.17,0.0239,133
"3473",3169,4.65,1.58,0.0083,72
"3474",3171,9.66,0.9,0.0353,150
"3475",3172,5.15,1.08,0.0258,82
"3476",3173,6.19,0.53,0.0209,111
"3477",3174,9.8,1.4,0.071,150
"3478",3175,2.68,0.58,0.087,18
"3479",3176,11.83,1.5,0.0455,133
"3480",3178,5.83,1.14,0.0234,150
"3481",3179,5.7,-0.05,0.0107,84
"3482",3180,4.71,1.11,0.0306,127
"3483",3181,6.32,0.37,0.0149,125
"3484",3181.1,5.01,1.42,0.0087,84
"3485",3182,10.22,0.88,0.022,150
"3486",3183,8.17,0.68,0.0468,106
"3487",3184.01,12.26,1.66,0.0884,115
"3488",3185,7.55,0.66,0.0342,133
"3489",3186,8.47,0.77,0.0344,160
"3490",3187,5.76,-0.03,0.0116,125
"3491",3187.1,10.61,1.45,0.053,150
"3492",3188,5.77,0.48,0.0283,173
"3493",3188.01,9.03,1.16,0.049,101
"3494",3189,10.06,0.38,0.0066,15
"3495",3192,4.34,0.6,0.0122,127
"3496",3195,9.7,1.46,0.0998,53
"3497",3195.1,10.32,1.32,0.0277,150
"3498",3196,4.26,0.1,0.0199,65
"3499",3197,11.56,0.74,0.0144,51
"3500",3198,0.61,-0.23,0.0114,98
"3501",3198.1,11.25,1.45,0.0457,163
"3502",3198.2,12.15,1.7,0.0394,199
"3503",3199,6.18,0.48,0.016,150
"3504",3199,6.18,0.48,0.016,150
"3505",3199.02,6.2,0.9,0.0061,24
"3506",3200,9.16,1.5,0.0888,39
"3507",3200,9.85,1.48,0.0888,39
"3508",3201,6.3,0.74,0.0658,60
"3509",3203,7.58,0.45,0.0197,55
"3510",3204,6.02,0.58,0.0394,150
"3511",3205,3.27,1.12,0.0496,78
"3512",3206,2.06,1.01,0.0599,113
"3513",3207,8.62,0.92,0.0133,120
"3514",3207.01,10.3,1.18,0.0205,120
"3515",3208,8.36,0.83,0.0228,127
"3516",3209,3.65,-0.05,0.0148,75
"3517",3210,9.5,0.95,0.0212,150
"3518",3210.11,14.54,1.7,0.0374,43
"3519",3211,9.68,0.78,0.0402,78
"3520",3211.01,15.35,1.5,0.0126,40
"3521",3212,4.75,0.94,0.0177,149
"3522",3212.1,11.81,1.5,0.0475,113
"3523",3213,11.07,1.15,0.0232,110
"3524",3214,5.27,1.59,0.0245,111
"3525",3215,8.3,0.68,0.0197,106
"3526",3216,8,0.65,0.0264,139
"3527",3217,5.25,1.65,0.0221,98
"3528",3220,4.91,1.72,0.011,226
"3529",3221,4.83,0.54,0.0401,125
"3530",3221.01,13.97,-0.01,0.0253,28
"3531",3222,7.94,0.86,0.0091,150
"3532",3223,5.56,1.44,0.0078,150
"3533",3224.1,10.47,1.21,0.0251,150
"3534",3225,5.08,1.16,0.0467,186
"3535",3225.01,12.96,1.63,0.0402,34
"3536",3226,5.01,-0.12,0.0047,85
"3537",3227,4.19,1.33,0.0205,97
"3538",3227.01,11.59,1.6,0.0401,72
"3539",3229,5.91,0.47,0.0257,108
"3540",3230,10.08,0.86,0.0262,150
"3541",3231,6.36,0.6,0.022,173
"3542",3232,4.82,1.36,0.008,79
"3543",3233,5.54,0.54,0.0155,84
"3544",3233.02,14.19,1.56,0.0074,51
"3545",3233.03,8.04,1.08,0.0629,96
"3546",3235,4.54,0.2,0.0145,82
"3547",3236,5.24,1.58,0.0151,146
"3548",3237,10.35,1.43,0.0605,47
"3549",3238,8.54,0.81,0.0341,160
"3550",3239,7.05,0.54,0.0231,58
"3551",3240,6.24,1.04,0.0298,107
"3552",3240.02,14.3,1.72,0.0717,34
"3553",3241,4.08,0.52,0.044,112
"3554",3242,-0.04,1.23,0.0884,18
"3555",3242.01,11.85,1.47,0.0613,61
"3556",3243,6.66,1.03,0.103,97
"3557",3244,5.23,0.29,0.0313,127
"3558",3245,4.75,0.2,0.046,111
"3559",3246,4.18,0.08,0.0411,80
"3560",3246.01,13.13,1.7,0.0622,131
"3561",3248,9.52,0.88,0.0271,101
"3562",3249,5.87,0.5,0.0482,106
"3563",3250,9.1,1.3,0.0411,77
"3564",3251,4.52,0.13,0.0157,127
"3565",3251.01,4.81,1.06,0.0122,32
"3566",3252,13.38,1.64,0.0519,44
"3567",3253,4.77,0.31,0.0181,137
"3568",3254,5.14,1.02,0.016,110
"3569",3255,7.58,0.84,0.0528,64
"3570",3255.01,5.41,0.38,0.0404,98
"3571",3256,4.05,-0.03,9e-04,137
"3572",3256.1,12.87,1.6,0.0911,150
"3573",3257,9.02,1.1,0.0452,88
"3574",3258,4.92,0.86,0.0222,127
"3575",3258.01,15.36,0.33,0.0246,38
"3576",3260,7.25,0.6,7e-04,150
"3577",3261,4.77,1.31,0.0382,161
"3578",3261.01,15.47,1.47,0.013,43
"3579",3262,8.55,1.26,0.0633,44
"3580",3263,7.76,0.66,0.0382,150
"3581",3264,6.27,0.63,0.0599,68
"3582",3265,12.15,1.28,0.0326,169
"3583",3266,5.12,-0.02,0.0114,51
"3584",3266.01,13.75,1.53,0.0293,36
"3585",3267,5.32,0.96,0.0223,149
"3586",3268,5.1,0.12,0.0226,86
"3587",3268.02,6.19,1.2,0.014,89
"3588",3269,4.35,0.43,6e-04,127
"3589",3269,4.35,0.43,6e-04,127
"3590",3269.01,14.34,0.13,0.0317,25
"3591",3269.02,12.24,1.61,0.09,121
"3592",3271,7.82,0.7,0.0565,150
"3593",3273,9.74,1.44,0.0718,54
"3594",3274,4.05,0.5,0.0699,112
"3595",3274.1,5.39,0.23,0.0057,111
"3596",3276,12.71,0.95,0.0267,178
"3597",3277,9.28,0.59,0.0074,120
"3598",3277.1,8.93,0.69,0.018,150
"3599",3278,11.1,1.88,0.7698,61
"3600",3278.1,10.35,1.44,0.046,150
"3601",3278.11,13.96,1.65,0.0617,32
"3602",3279,4.81,0.7,0.0353,56
"3603",3280,10.92,1.26,0.0484,136
"3604",3281,10.13,1.2,0.0321,79
"3605",3282,11.63,1.51,0.0523,150
"3606",3282.01,15.04,-0.07,0.0173,39
"3607",3283,10.68,1.47,0.0688,44
"3608",3283.01,16.99,2.22,0.0446,55
"3609",3284,5.59,0.85,0.0216,168
"3610",3285,9.45,1.4,0.0664,50
"3611",3285.1,11.94,1.61,0.0869,107
"3612",3286,6.35,0.7,0.0304,89
"3613",3287,8.88,0.77,0.015,101
"3614",3289,8,0.72,0.0393,110
"3615",3289,8.38,0.71,0.0393,110
"3616",3289.01,15.68,1.87,0.0417,10
"3617",3290,8.69,1.03,0.0548,178
"3618",3290.11,9.69,1.21,0.0446,120
"3619",3291,3.58,1.3,0.0248,96
"3620",3291.01,10.64,1.23,0.0477,120
"3621",3292,4.25,1.44,0.0185,87
"3622",3292.01,14.08,1.41,0.0172,43
"3623",3293,6.01,0.22,0.0136,59
"3624",3294,3.03,0.19,0.0159,77
"3625",3294.1,10.54,1.25,0.0428,127
"3626",3295,8.82,0.91,0.0199,62
"3627",3296,11.31,1.64,0.1576,79
"3628",3298,6.04,0.5,0.0483,92
"3629",3298.01,14.41,1.65,0.0339,31
"3630",3299,5.55,1.48,0.0168,137
"3631",3299.01,7.23,0.99,0.0772,53
"3632",3300,4.46,0.36,0.0733,59
"3633",3300.01,14.83,1.43,0.0137,38
"3634",3300.02,15.04,1.65,0.0208,50
"3635",3301,5.41,1.01,0.0208,117
"3636",3301,5.41,1.01,0.0208,117
"3637",3302,9.58,1.28,0.0386,55
"3638",3302.01,6.48,0.49,0.0269,117
"3639",3302.02,16.09,-0.03,0.0038,54
"3640",3303,7.73,0.72,0.0169,89
"3641",3304,6.2,0.46,0.0374,58
"3642",3305,6.07,0.51,0.0202,150
"3643",3306,11.33,1.42,0.0177,88
"3644",3307,6.39,0.44,0.0071,150
"3645",3309,-0.01,0.71,0.7499,54
"3646",3311,7.38,0.68,0.0367,101
"3647",3312,5.91,1.1,0.0379,103
"3648",3313,3.19,0.24,0.0538,101
"3649",3314,5.39,0,0.01,111
"3650",3315,3.83,1.43,0.0267,137
"3651",3317,6.65,0.92,0.0171,117
"3652",3318,11.73,1.2,0.0207,48
"3653",3319,6.26,1.3,0.0141,146
"3654",3320,4.52,0.05,0.0182,5
"3655",3321,4.86,1,0.01,82
"3656",3322,7.54,0.61,0.0472,109
"3657",3322.1,5.56,0.94,0.0238,98
"3658",3322.11,16.67,1.54,0.0158,50
"3659",3323,5.36,0.29,0.0093,173
"3660",3324,4.05,1.35,0.0123,161
"3661",3325,3.88,0.38,0.0446,62
"3662",3326,9.12,1.29,0.0527,39
"3663",3327,10.46,0.7,0.0178,67
"3664",3328,8.39,0.95,0.0312,150
"3665",3329,9.66,0.74,0.0531,151
"3666",3330,4.92,0.01,0.0183,149
"3667",3331,4.81,1.66,0.0028,111
"3668",3331.1,8.48,0.7,0.0071,150
"3669",3332,6.25,0.41,0.018,72
"3670",3332.1,9.91,1.2,0.0216,150
"3671",3333,5.21,0.98,0.0192,137
"3672",3334,10.15,0.81,0.0281,73
"3673",3335,4.94,0.35,0.0475,149
"3674",3335,5.1,0.3,0.0475,149
"3675",3336,2.7,0.97,0.0162,107
"3676",3337,4.6,0.98,0.0431,84
"3677",3338,9.2,0.56,0.0303,120
"3678",3340,3.72,-0.01,0.0344,79
"3679",3341.1,12.09,1.53,0.0377,50
"3680",3342,7.34,0.45,0.0113,71
"3681",3342,7.34,0.45,0.0113,71
"3682",3343,9.25,1.27,0.0661,77
"3683",3344,5.24,0.94,0.0331,137
"3684",3344.01,7.79,0.9,0.0533,104
"3685",3344.02,13.28,1.63,0.0508,36
"3686",3345,5.31,0.07,0.0059,111
"3687",3346,11.72,1.48,0.0389,81
"3688",3346.01,9.7,1.31,0.0191,74
"3689",3347,4.41,1.4,0.0095,137
"3690",3347.01,14.17,1.31,0.0074,64
"3691",3347.02,15.15,1.68,0.0274,54
"3692",3348,6.16,0.36,0.0225,79
"3693",3349,7.14,0.42,0.0369,100
"3694",3350,5.15,0.41,0.0486,127
"3695",3351,2.75,0.15,0.0545,103
"3696",3351.1,9.08,0.96,0.0519,149
"3697",3352,6.98,0.58,0.0026,150
"3698",3352,7.6,0.58,0.0026,150
"3699",3352.1,5.85,0.56,0.0697,84
"3700",3353,4.94,0.98,0.0153,73
"3701",3353.01,15.46,0.04,0.0085,40
"3702",3354,7.83,1,0.07,81
"3703",3355,9.59,0.65,0.0203,120
"3704",3355.1,5.69,0.47,0.0095,79
"3705",3356,8.16,0.7,0.0273,150
"3706",3357,5.48,1.02,0.0261,125
"3707",3358,5.34,1.45,0.0065,137
"3708",3359,6.29,0.6,0.029,97
"3709",3360,4.55,0.76,0.1497,17
"3710",3361,9.72,0.9,0.0201,150
"3711",3363,8.29,0.62,0.0066,150
"3712",3365,5.2,1.16,0.0293,117
"3713",3366,5.3,1.32,0.039,186
"3714",3366.01,15.29,1.82,0.033,35
"3715",3366.02,15.31,1.87,0.0535,41
"3716",3367,6.01,0.83,0.0864,52
"3717",3368,8.65,0.96,0.0398,88
"3718",3369,11.66,1.61,0.096,41
"3719",3371,5.32,0.04,0.005,149
"3720",3372,10.2,1.48,0.097,19
"3721",3372.01,14.67,1.61,0.0204,58
"3722",3372.02,12.35,1.55,0.0535,108
"3723",3372.03,17.05,1.34,0.1563,30
"3724",3373,2.08,1.47,0.022,34
"3725",3374,6.35,0.71,0.0492,150
"3726",3375,5.74,1.11,0.1727,29
"3727",3376,4.49,0.32,0.0435,72
"3728",3377,10.87,1.07,0.017,58
"3729",3378,7.78,0.78,0.0453,127
"3730",3379,5.53,1.13,0.035,114
"3731",3380.01,14.73,1.68,0.04,34
"3732",3381,10.15,1.31,0.0564,150
"3733",3382,5.63,0.5,0.0261,73
