"","RA","Dec","HIP_Num","Vmag","Plx","pmRA","pmDE","e_Plx","B.V"
"1375",175.455481,-40.573644,57059,9.22,21.08,-308.79,-56.31,1.4,0.865
"1376",175.516508,12.284915,57080,7.08,20.46,11.27,-125.43,0.83,0.498
"1377",175.626518,23.906572,57112,9.02,23.43,63.14,87.61,1.84,0.794
"1378",175.948492,18.522432,57202,9.42,22.95,-151.45,10.23,3.92,1.131
"1379",176.160264,-49.417436,57269,8.91,20.55,-137.21,-47.71,2.38,0.91
"1380",176.210257,-58.70371,57291,7.47,23.81,-63.05,-69.87,0.83,0.721
"1381",176.383245,-71.244924,57352,7.99,20.61,-28.25,-45.88,0.73,0.68
"1382",176.527568,-38.147405,57402,8.51,21.11,156.83,-142.97,1.16,0.592
"1383",176.954051,4.987811,57555,11.4,24.72,-135.52,-96.03,2.85,1.294
"1384",177.097864,-10.313105,57587,6.24,23.49,-105.9,-109.06,0.8,0.585
"1385",177.366927,0.609145,57658,9.12,23.29,-133.55,-13.66,1.65,0.828
"1386",177.532692,4.907387,57713,9.19,21.01,-251.95,-195.14,1.49,0.776
"1387",177.84124,-12.187811,57819,6.34,22.25,-239.32,45.48,0.8,0.41
"1388",177.991198,48.088663,57859,8.97,20.16,-207.29,38.45,3.04,0.977
"1389",178.220745,-50.292822,57931,9.4,20.27,-80.5,7.36,1.47,0.86
"1390",178.405022,49.600297,57984,11.24,21,-130.63,-74.97,2.33,1.316
"1391",178.503265,29.553955,58019,10.92,23.17,-79.93,-81.67,2.15,1.225
"1392",178.522207,-29.982529,58029,8.44,22.42,-125.51,-32.84,0.87,0.724
"1393",178.607177,15.253379,58056,10.5,24.13,26.36,-167.02,5.32,1.18
"1394",178.607559,-37.748935,58057,6.46,21.5,-331.05,57.19,0.97,0.528
"1395",178.685996,-66.376198,58085,6.38,23.09,14.51,-65.43,0.59,0.406
"1396",178.814818,-66.409083,58121,8.4,24.18,13.01,-63.83,0.84,0.693
"1397",178.987846,-77.008411,58180,8.59,21.3,-44.72,0.89,0.69,0.705
"1398",179.171603,-2.778953,58237,9.5,22.18,-65.06,-42.53,1.41,0.945
"1399",179.213129,-38.849329,58254,7.94,20.99,32.81,-22.98,0.85,0.65
"1400",179.251233,-4.782774,58268,6.73,20.02,-154.43,5.96,0.92,0.486
"1401",179.310761,40.34374,58287,6.6,21.62,-159.22,-61.39,0.83,0.513
"1402",179.315227,-48.743516,58290,8.16,24.54,-106.19,-18.6,1.05,0.614
"1403",179.375513,-39.217999,58315,9.05,21.92,129.22,-103.41,1.1,0.802
"1404",179.490748,-51.500585,58348,10.34,23.15,-228.72,36.54,3.47,1.023
"1405",179.529891,32.273907,58369,6.42,21.09,-108.43,-62.38,0.82,0.331
"1406",179.645993,59.556147,58412,11.03,22.01,-738.5,-6.89,6.23,1.34
"1407",180.001172,-18.40803,58515,10.78,20.12,-261.63,15.45,1.9,1.17
"1408",180.114402,-4.548809,58558,8.23,23.36,-107.98,-146.83,1.09,0.753
"1409",180.279341,-1.731551,58608,10.9,22.97,-462.26,198.38,2.2,1.097
"1410",180.664396,-10.713638,58722,8.53,20.35,33.59,-17.81,1.22,0.708
"1411",180.811865,47.842608,58770,10.05,23.18,-161.58,0.84,1.75,1.098
"1412",180.901429,-39.009073,58799,6.51,21.43,-369.36,-44.53,0.98,0.5
"1413",180.948896,-44.117961,58815,8.74,22.38,122.62,17.53,4.49,0.716
"1414",181.110066,-5.749937,58872,10.85,20.73,117.25,-142.68,2.2,1.224
"1415",181.140542,66.336589,58876,7.92,20.86,-57.56,52.61,0.72,0.596
"1416",181.297791,12.160383,58945,11.12,24.44,-87.52,-25.52,2.47,1.3
"1417",181.409197,-4.740657,58986,10.83,21.25,-116.91,-182.04,2.02,1.034
"1418",181.727913,-38.106446,59077,9.35,20,-82.96,-44.98,2.19,0.773
"1419",181.735477,5.803409,59080,8.44,22.87,244.13,-246.64,1.72,0.775
"1420",181.868546,13.032911,59126,9.63,24.08,-379.32,-139.71,1.38,0.958
"1421",181.916981,1.602204,59145,9.73,24.44,-211.19,-167.18,1.52,1.049
"1422",182.028997,39.655497,59175,7.33,21.77,-149.66,-7.74,0.93,0.515
"1423",182.040285,55.464855,59180,8.45,21.54,-180.35,-32.53,3.71,0.567
"1424",182.304516,19.467677,59247,11.04,24.05,201.98,-287.28,2.13,1.29
"1425",182.494986,5.454464,59301,11.39,24.11,29.88,-105.78,5.5,1.44
"1426",182.514241,5.807008,59309,5.72,22.81,-159.75,18.33,0.86,0.352
"1427",182.518548,18.976711,59310,10.06,22.78,-157.88,-40.55,1.56,1.1
"1428",182.532915,-56.990021,59318,9.05,20.09,-153.85,0.48,1.3,0.754
"1429",182.749059,22.861819,59382,8.07,23.31,202.24,-74.86,1.09,0.773
"1430",182.82443,-5.926079,59417,8.2,20.11,-272.73,-105.48,1.02,0.626
"1431",182.829796,-44.861327,59419,9.32,22.52,-236.02,-12.43,1.26,0.884
"1432",182.869245,-44.282851,59433,6.59,23.69,142.52,-38.09,0.73,0.467
"1433",182.997548,23.093178,59486,8.74,22.75,-250.14,-29.24,1.16,0.786
"1434",183.094734,-6.359602,59519,9.96,22.94,-288.18,-315.64,1.63,0.993
"1435",183.120793,-66.00781,59533,9.16,22.82,-172.52,-54.29,1.02,0.846
"1436",183.215938,-7.038522,59559,10.93,24.69,-191.1,-33.36,5.21,1.431
"1437",183.358077,10.262341,59608,5.85,20.18,-94.48,-7.95,0.72,0.262
"1438",183.514849,4.995567,59655,8.71,21.94,-244.7,-103.72,1.22,0.81
"1439",183.834484,87.700115,59767,6.27,21.48,-27.15,51.95,0.54,0.346
"1440",183.84723,37.463261,59772,9.5,24.53,-82.89,-93.93,1.39,0.902
"1441",184.027311,40.659644,59827,8.64,21.41,22.65,-12.7,8.44,0.624
"1442",184.284668,-57.702551,59901,9.11,21.75,-67.81,-49.81,1.27,0.835
"1443",184.310105,39.827176,59904,9.39,24.26,61.41,-137.89,1.46,0.957
"1444",184.349898,-21.058398,59914,9.37,22.88,-110.95,-162.14,2.38,0.955
"1445",184.382794,-48.925585,59926,6.81,23.68,-263.57,-39.56,0.85,0.574
"1446",184.623604,-42.427467,60016,8.76,21.99,20.25,-114.76,1.11,0.841
"1447",184.650594,-44.1451,60024,8.41,22.28,42.83,-26.41,1.19,0.685
"1448",184.658193,-51.490621,60028,9.41,21.81,-46.22,68.2,1.52,0.986
"1449",184.72544,-40.127827,60048,7.95,22.88,108.83,-63.32,0.96,0.606
"1450",184.873029,28.156916,60098,6.38,20.12,-202.47,-125.69,0.77,0.523
"1451",185.081986,26.619483,60170,5.52,20.78,-66.7,-110.4,0.69,1.091
"1452",185.139638,31.134561,60186,11.62,21.26,5.72,-29.25,3.1,1.594
"1453",185.264128,25.031657,60230,7.31,20.05,-226.04,140.68,0.84,0.88
"1454",185.367204,61.747251,60268,8.23,24.27,-300.6,-262.21,0.79,0.622
"1455",185.536288,11.568474,60325,9.97,22.37,-159.94,-43.68,1.56,1.04
"1456",185.548895,73.248483,60331,7.97,23.16,-455.36,184.36,0.67,0.744
"1457",185.599049,32.611943,60346,9.54,24.9,109.02,-293.95,1.43,0.94
"1458",185.834219,-35.05106,60422,12,20.18,-221.4,-15.44,3.39,1.415
"1459",185.861861,20.290824,60433,10.02,22.31,-408.5,-86.59,1.54,1.07
"1460",185.867659,-23.161358,60438,10.84,22.67,-69.84,17.29,2.09,1.527
"1461",185.927517,-30.776041,60462,9.42,24.35,-259.73,202.62,1.55,0.84
"1462",186.04253,-57.918299,60497,7.75,20.05,48.23,-35.26,0.88,0.557
"1463",186.049918,3.930648,60501,10.7,21.36,-12.08,-132.78,1.99,1.577
"1464",186.164121,5.034871,60541,7.97,20.97,-33.46,-265.47,0.94,0.578
"1465",186.346108,37.724285,60614,11.59,24.09,-53.76,-193.24,2.5,NA
"1466",186.271402,60.697354,60588,7.38,23.54,144.12,-6.2,0.72,0.569
"1467",186.323051,-65.769853,60601,6.29,20.87,-63.26,-99.22,0.66,0.965
"1468",186.395771,21.83231,60633,10.05,24.07,-84.88,-167.19,1.5,1.13
"1469",186.431109,-25.76762,60642,10.07,20.14,-121.18,73.23,1.64,0.97
"1470",186.471072,62.182302,60652,9.65,22.65,-327.48,83.31,1.17,0.924
"1471",186.829816,75.403834,60764,10.56,23.99,-224.29,123.11,1.37,1.2
"1472",187.011222,-68.732593,60825,7.43,20.53,-0.61,-153.72,0.63,0.467
"1473",187.016919,-15.652118,60829,8.31,21.67,-271.86,-135.19,0.93,0.71
"1474",187.02,44.791799,60832,8.12,23.61,-178.89,-2.23,3.71,0.68
"1475",187.070346,-61.765709,60845,6.82,20.59,75.28,-158.89,1.19,0.67
"1476",187.139975,-56.407816,60870,6.15,23.68,-232.75,-226.3,0.72,0.92
"1477",187.41629,-0.162572,60953,11.36,20.25,-232.92,-154.03,2.62,1.029
"1478",187.511787,51.535631,60988,6.21,22.15,-293.08,25.33,0.67,0.536
"1479",187.661275,20.369321,61043,11,22.52,-97.13,-138.98,1.98,1.57
"1480",187.674533,50.974539,61044,7.91,21.02,-224.27,-188.74,0.79,0.697
"1481",187.753069,31.423834,61072,7.33,22.73,8.76,26.27,0.81,0.534
"1482",188.114317,28.084622,61198,9.17,22.8,-80.07,-120.06,1.21,0.841
"1483",188.188571,-8.649351,61224,10.12,22.52,132.62,-168.81,1.59,1
"1484",188.360305,40.404212,61276,10.05,22.77,-179,17.33,1.62,1.002
"1485",188.382576,23.834983,61289,10.71,20.08,-412.21,-54.82,2.01,1.19
"1486",188.392298,72.479108,61293,7.5,20.83,90.3,-36.35,0.63,0.571
"1487",188.392745,-12.830203,61296,5.58,20.58,-16.99,51.63,0.8,0.861
"1488",188.454423,-23.51575,61323,8.36,20.53,100.47,-117.22,1.12,0.563
"1489",188.596811,-23.396759,61359,2.65,23.34,0.86,-56,0.8,0.893
"1490",188.68555,15.807278,61385,8.75,24.01,-9.54,-193.17,1.13,0.84
"1491",188.872712,-61.841576,61443,6.22,21.58,-270.92,-73.27,0.61,0.731
"1492",189.027434,-42.852298,61505,7.89,21.23,-142.96,-60.21,0.98,0.666
"1493",189.075352,77.551403,61522,9.18,20.28,280.38,-263.86,0.93,0.76
"1494",189.084081,9.384677,61527,10.38,20.1,-120.59,-10.61,2.12,0.97
"1495",189.278453,-2.322103,61578,6.95,21.48,155.46,-145.78,0.86,0.484
"1496",189.425681,-48.541304,61622,3.85,24.77,-186.61,-6.45,0.69,0.049
"1497",189.684441,-5.327675,61687,8.52,23.22,312.97,-111.42,2.76,0.894
"1498",189.811203,29.235431,61739,8.99,23.82,151.39,-230.37,1.09,0.865
"1499",189.815688,-32.726079,61743,8.9,21.66,-41.98,-66.19,1.33,0.893
"1500",189.822202,54.457717,61750,10.98,21.68,4.42,-13.28,1.95,0.982
"1501",189.912218,-37.286934,61775,9.05,21.63,-271.02,-266.39,2.74,1.053
"1502",190.014423,68.802443,61811,7.88,22.25,-438.45,30.61,0.68,0.61
"1503",190.029326,20.809116,61816,8.94,20.81,201.69,-368.5,1.63,0.816
"1504",190.30194,-47.660542,61907,9.34,21.84,-69.87,-200.82,1.36,0.882
"1505",190.544752,26.360985,61986,9.28,24.34,-3.7,71.24,2.48,1.071
"1506",190.747188,-4.04933,62039,7.83,21.51,-219.44,-179.7,0.84,0.675
"1507",190.967846,-32.051393,62118,9.47,21,-73.69,-197.35,1.23,0.819
"1508",190.976523,34.343717,62124,8.78,22.9,-355.2,-96.44,1.65,0.839
"1509",191.093319,-3.001852,62160,10.62,21.52,62.39,-167.41,1.84,1.278
"1510",191.120774,58.690931,62175,8.01,22.1,-213.11,27.99,0.81,0.662
"1511",191.427568,-50.179872,62277,7.13,20.35,-248.85,-86.8,0.83,0.445
"1512",191.504891,-9.313414,62304,8.05,21.42,311.63,-219.22,1.1,0.654
"1513",191.593935,9.539684,62325,5.65,22.36,278.73,-455.04,1,0.989
"1514",191.636245,24.14505,62349,6.83,22.98,-114.2,-216.47,0.85,0.54
"1515",191.994351,22.941383,62454,11.38,24.14,-46.76,-99.71,2.4,1.567
"1516",192.521456,-7.632203,62636,6.99,20.64,-239.76,10.81,0.9,0.432
"1517",192.832684,28.857505,62739,9.11,21.75,-150.81,-190.54,1.4,0.84
"1518",192.846046,-48.102538,62744,9.44,20.23,-17.87,-7.14,1.55,0.841
"1519",192.946793,22.5443,62772,10.51,23.19,34.32,2.03,1.84,1.326
"1520",193.048517,-56.574442,62809,8.48,22.09,-687.39,-219.85,1.07,0.616
"1521",193.359163,-40.178872,62896,4.25,21.03,69.64,-21.83,0.78,0.224
"1522",193.383781,19.481061,62904,6.42,22.71,-150.31,-176.84,0.9,0.805
"1523",193.424815,-13.644935,62921,8.53,20.29,105.48,56.49,1.27,0.658
"1524",193.427751,-27.404291,62925,7.69,20.9,-32.72,-40.24,0.9,0.52
"1525",193.568505,-25.534439,62979,9.88,20.57,69.31,-2.59,1.36,0.915
"1526",193.733356,-6.338602,63023,10.41,24.08,-298.58,-174.93,1.66,1.186
"1527",193.784437,27.766359,63048,7.8,23.84,-10.51,-72.95,1,0.665
"1528",194.163432,36.86592,63181,10.05,24.99,61.67,11.22,1.55,1.06
"1529",194.633215,38.278765,63317,8.67,22.5,-129.3,-44.15,1.45,0.738
"1530",194.886813,-38.220187,63404,9.41,22.66,-93.25,-58.51,1.44,1.104
"1531",194.939622,-4.430279,63419,8.7,24.67,14.5,-27.54,1.05,0.779
"1532",195.136071,-33.505267,63490,6.01,24.98,-74.19,-71.81,0.94,0.386
"1533",195.161299,18.373009,63497,6.2,24.49,-234.6,59.27,0.78,0.466
"1534",195.189806,42.212278,63506,11.36,24.13,-397.59,26.02,2.36,1.577
"1535",195.278282,-33.480131,63530,7.56,22.44,108.66,-42.02,0.91,0.569
"1536",195.685523,-55.67979,63652,10.43,21.85,-3.52,8.44,20.95,NA
"1537",195.714025,-2.673961,63661,11.53,22.31,-314.46,35.53,2.92,NA
"1538",196.320028,-50.856616,63862,8.33,22.11,-134.58,-3.92,1.15,0.678
"1539",196.442572,-18.825855,63905,8.37,21.98,-106.4,-12.28,1.13,0.692
"1540",196.588499,21.153397,63948,6,20.03,-69.06,-46.54,1.35,0.393
"1541",196.734643,-34.121928,64006,7.31,20.66,-224.58,-80.27,0.95,0.469
"1542",196.918671,-50.351013,64058,8.75,22.58,-229.47,-61.02,1.3,0.746
"1543",196.972353,62.983135,64076,8.5,20.75,-36.62,11.7,0.75,0.634
"1544",197.01247,-77.309978,64091,8.76,23.7,46.98,-67.75,1.22,1.035
"1545",197.161143,29.383211,64131,8.56,20.43,208.05,-80.15,1.09,0.606
"1546",197.317303,58.575213,64185,9.82,23.84,-221.13,-253.12,1.15,1.099
"1547",197.964338,-69.942017,64390,5.92,22.67,35.02,1.26,0.59,0.415
"1548",198.082261,17.517123,64426,7.3,24.65,-582.69,-1.98,1.44,0.525
"1549",198.125933,-34.754633,64443,9.76,21.3,-244.24,-274.78,2.53,0.748
"1550",198.306502,-5.023656,64499,8.28,20.23,235.81,-89.76,1.21,0.735
"1551",198.539488,-16.558729,64573,8.18,21.74,135.96,-141.09,2.08,0.817
"1552",198.878201,-8.055161,64688,8.06,22.7,43.81,57.56,0.96,0.705
"1553",198.930476,11.896617,64706,9.31,21.78,-138.56,148.02,4.44,0.865
"1554",198.996596,4.646811,64726,8.39,20.58,-135.91,27.07,0.96,0.616
"1555",199.046877,35.885869,64747,8.29,22.39,267.61,-172.92,0.98,0.64
"1556",199.082993,27.734405,64761,8.24,22.69,72.57,-364.89,1.11,0.717
"1557",199.223149,-34.598445,64804,8.06,22.67,-103.74,-21.74,1.57,0.74
"1558",199.431777,84.715469,64861,9.68,21.71,274.12,-79.18,0.91,0.872
"1559",199.651549,-57.454147,64934,9.43,24.54,4.54,50.14,1.78,0.907
"1560",199.730403,-23.171512,64962,2.99,24.69,68.41,-41.09,0.7,0.92
"1561",199.960793,-70.855022,65036,7.43,23.05,-391.81,-30.94,0.7,0.742
"1562",200.125567,-66.533745,65100,8.54,21.87,-48.69,-107.36,1.02,0.667
"1563",200.163832,-14.772404,65116,8.37,24.36,35,-10.63,1.23,0.645
"1564",200.212536,43.990186,65135,6.51,20.6,-147.44,27.59,0.84,0.424
"1565",200.936504,19.091197,65363,7.86,20.59,24.95,-18.34,0.93,0.576
"1566",201.000807,-52.89054,65385,12.42,20.85,-13.43,-7.55,5.21,NA
"1567",201.161786,83.308515,65429,7.24,21.62,24.58,92.58,0.56,0.7
"1568",201.322584,42.69932,65485,9.31,20.54,27.55,-65.58,1.13,0.777
"1569",201.450544,44.493914,65518,8.26,20.4,10.63,-23.7,1.53,0.721
"1570",201.825361,-39.952811,65626,9.64,21.3,-17.57,-182.51,1.37,0.936
"1571",202.074003,30.046112,65706,11.21,20.74,-184.85,-185.24,1.97,1.577
"1572",202.077951,-0.840189,65708,7.44,21.79,224.05,-405.85,0.9,0.651
"1573",202.13742,-23.098475,65740,11.8,21.76,236.92,-125.67,4.98,NA
"1574",202.263686,42.238266,65775,7.64,25,-129.9,-16.73,0.87,0.594
"1575",202.751872,36.441043,65937,9.7,24.41,-130.36,-11.51,8.11,1.03
"1576",202.754775,42.98334,65935,9.61,24.06,-236.92,-63.28,4.94,0.902
"1577",202.842978,-18.066808,65956,9.95,24.22,-130.62,-44.15,1.78,1.07
"1578",202.869526,-8.007341,65963,8.87,21.41,-254.17,-111.62,1.2,0.721
"1579",202.890677,58.952912,65971,8.07,22.19,-44.99,18.6,0.72,0.585
"1580",203.067151,-47.418542,66032,9.17,24.81,-146.64,-76.65,1.55,0.889
"1581",203.143613,-29.565263,66060,6.45,21.17,-77.97,7.92,0.86,0.438
"1582",203.173714,22.501845,66072,9.64,21.55,-132.7,-71.52,1.95,1.03
"1583",203.555278,-47.243744,66209,8.45,22.34,87.99,74,1.19,0.649
"1584",203.699201,37.182415,66257,4.91,22.46,84.7,-9.81,0.62,0.404
"1585",203.707483,47.376207,66262,10.19,22.61,-336.65,-17.39,1.47,1.165
"1586",203.723577,74.5004,66267,9.8,22.27,-438.04,-20.34,1.34,1.29
"1587",203.78828,24.806643,66287,8.81,20,-37.38,33.95,1.07,0.705
"1588",203.797574,22.49973,66290,6.91,22.79,-248.35,128.08,0.86,0.466
"1589",203.84618,62.908119,66309,9.48,22.98,-364.42,39.61,0.98,1.059
"1590",203.87149,46.558587,66315,10.85,24.02,465.55,-558.6,3.49,1.039
"1591",203.881876,-22.024554,66322,7.11,20.14,-130.3,-36.89,0.92,0.483
"1592",204.061035,-0.930989,66367,7.05,20.25,-221.86,-53.74,0.92,0.531
"1593",204.307558,30.087253,66441,10.64,20.7,-151.98,34.59,10.56,0.854
"1594",204.454529,-35.448889,66487,9.33,21.47,-40.88,74.09,1.33,0.958
"1595",204.508138,39.178083,66514,7.77,20.97,-225.46,-147.38,1.06,0.698
"1596",204.556918,-23.688981,66530,8.19,20.57,-194.67,89.77,0.99,0.652
"1597",204.675283,-29.560867,66563,5.81,20.42,-86.56,-77.17,0.8,0.431
"1598",204.757438,35.971719,66593,10.47,20.91,39.61,-73.02,1.82,1.1
"1599",205.123595,32.835878,66712,7.73,20.19,23.07,-9.31,0.87,0.564
"1600",205.234663,-54.81985,66754,8.46,22.95,-73.12,-35.93,1.06,0.646
"1601",205.426315,-62.174068,66814,9.14,23.62,-310.08,-106.87,1.16,0.921
"1602",205.514653,-48.465806,66854,9.15,21.59,-172.12,-148.77,1.25,0.78
"1603",206.041197,4.876496,67027,11.45,21.06,-450.33,-212.66,2.72,1.31
"1604",206.053823,-8.488317,67031,9.12,24.8,-8.84,-8.42,1.12,0.87
"1605",206.123588,-16.854427,67055,9.21,22.11,-138.44,30.51,1.28,0.876
"1606",206.25996,2.092095,67086,10.84,20.49,-21.95,-5.1,3.99,1.4
"1607",206.330207,68.999451,67109,7.96,22.67,116.17,52.03,0.7,0.552
"1608",206.345612,11.479278,67120,8.3,22.14,39.99,-7.79,1.14,0.657
"1609",206.367696,-58.64506,67126,9.86,22.26,-485.88,35.35,1.88,1.112
"1610",206.416402,1.46249,67152,10.51,22.94,26.89,-62.54,2.02,1.22
"1611",206.557222,30.897011,67195,6.51,22.26,-258,-97.33,0.75,0.491
"1612",206.57165,-68.138838,67205,8.66,21.42,-262.93,-24.8,1.18,0.784
"1613",206.573501,-30.474484,67203,8.21,20.68,35.08,-16.88,1.07,0.612
"1614",206.847692,-6.136875,67285,10.27,23.52,-338.9,-575.27,1.7,1.002
"1615",207.174397,-37.127416,67389,6.73,21.69,34.47,-5.98,0.81,0.434
"1616",207.363283,-26.349716,67458,7.92,23.06,-36.47,-53.68,0.96,0.709
"1617",207.4138,34.991206,67476,10.3,20.16,-22.22,2.96,7.35,0.657
"1618",207.463035,14.883924,67493,8.15,22.86,-212.98,-148.09,1.05,0.594
"1619",207.491696,15.364656,67501,10.11,21.24,-104.22,-313.26,1.67,1.02
"1620",207.762041,23.762581,67594,9.79,20.94,49.28,-76.4,3.88,1.02
"1621",207.843464,26.325956,67623,11,20.99,-36.52,-109.06,2.33,1.37
"1622",207.961056,-78.210633,67670,9.57,24.59,-11.52,158.7,7.84,1.03
"1623",208.544365,10.24798,67882,9.01,20.43,188.85,-210.34,1.46,0.729
"1624",208.683038,-20.57932,67934,11.16,23.43,29.56,-162.2,2.25,1.305
"1625",208.778994,-8.62264,67967,10.34,20.58,-147.17,12.76,2.87,1.091
"1626",209.074001,66.944729,68076,8.45,22.52,-138.67,54.99,0.73,0.77
"1627",209.151615,-10.033951,68107,7.68,20.43,-235.32,-30.85,1.41,0.541
"1628",209.229125,44.282532,68134,7.65,22.47,-23.63,8.18,0.85,0.612
"1629",209.321823,-56.040043,68162,7.54,22.54,-250.55,-84.02,0.91,0.593
"1630",209.325655,6.982069,68165,9.98,21.33,-250.29,-89.35,1.93,0.88
"1631",209.839777,25.239806,68342,10.75,24.23,-529.3,-93.66,2.09,1.447
"1632",209.865349,-5.423861,68348,7.39,20.78,55.32,-199.01,0.93,0.493
"1633",209.940407,-26.644591,68374,10.49,20.97,192.61,-59.97,3.15,0.995
"1634",210.150418,-26.266415,68434,6.73,22.8,-23.33,-157.47,0.78,0.473
"1635",210.499168,-21.133465,68552,9.51,20.61,-202.74,-143.21,1.78,0.926
"1636",210.716641,-13.625281,68629,10.69,20.09,-177.18,136.16,2.76,0.876
"1637",210.905395,-10.604115,68689,11.43,23.05,-237.83,-60.88,3.08,1.3
"1638",211.047337,37.369293,68734,8.63,20.34,17.95,-42.97,1.14,0.741
"1639",211.180028,4.77939,68783,8.52,22.97,-47.95,196.37,1.04,0.673
"1640",211.191438,25.817745,68785,6.95,22.98,6.68,-110.21,0.87,0.484
"1641",211.21492,58.867508,68792,7.58,20.94,-178.82,19.41,0.64,0.635
"1642",211.237799,74.573581,68796,8.21,22.84,-147.22,90.12,0.68,0.59
"1643",211.294546,-9.048506,68805,8.08,20.62,-103.93,-5.34,1.2,0.612
"1644",211.381829,-36.548905,68826,9.97,20.71,-24.17,-11.93,9.4,0.307
"1645",211.573588,3.235689,68889,10.29,22.6,-328.27,-4.1,2.9,1.177
"1646",211.601118,-16.212948,68900,10.06,22.81,-210.29,-148.19,1.66,1.023
"1647",211.923022,-49.867608,69012,6.45,24.74,-37.28,106.39,1.26,0.66
"1648",211.966885,19.965616,69028,11.17,24.26,-44.6,-115.02,2.51,1.447
"1649",212.209925,4.540018,69109,11.07,23.4,290.21,-397.73,2.36,1.147
"1650",212.255314,-51.937817,69129,9.25,22.06,-324.98,-176.74,1.32,0.875
"1651",212.511197,-61.521777,69201,9.68,20.95,-460.09,-644.77,1.65,0.776
"1652",212.573397,-44.989715,69220,8.29,20.49,26.58,-312.49,1.1,0.69
"1653",212.590536,-44.979316,69224,9.63,20.63,37.09,-314.16,1.7,0.897
"1654",212.612225,27.632606,69230,8.55,20.58,21.39,-42.07,1.03,0.65
"1655",212.644325,-28.44082,69249,11.23,21.02,202.27,-180.55,2.48,1.25
"1656",212.880013,1.362399,69340,6.42,21.78,-128.36,31.08,0.85,0.479
"1657",212.892842,26.19579,69345,10.46,22.05,-49.79,160.62,1.7,1.16
"1658",213.370866,51.789965,69483,4.53,21.03,61.39,-10.57,0.83,0.233
"1659",213.403581,55.369785,69488,9.15,23.89,-241.85,-20.37,1.13,0.958
"1660",213.498235,-20.208048,69528,8.09,20.78,-219.9,-27.18,1.23,0.561
"1661",213.588785,-5.947717,69564,6.36,24.09,-306.24,83.58,1.07,0.593
"1662",213.598115,41.518757,69569,6.23,22.4,-22.87,-106.25,0.63,1.071
"1663",213.830785,3.131384,69653,7.03,23.46,-203.7,60.96,1.93,0.57
"1664",213.999519,56.68915,69699,6.68,21.01,-2.99,-91.35,0.66,0.58
"1665",214.02219,50.169244,69709,7.78,22.15,-300.28,186.07,0.77,0.615
"1666",214.101143,39.744711,69735,6.38,20.72,-140.37,6.97,0.63,0.376
"1667",214.170034,67.346322,69767,11.07,23.57,-133.14,89.48,2.97,1.3
"1668",214.252322,3.088577,69783,8.65,23.53,138.77,61.48,1.37,0.782
"1669",214.269897,-66.316053,69796,7.29,22.05,-391.37,-221.49,0.79,0.59
"1670",214.449331,21.433773,69860,11.58,22.77,-70.11,-172.87,3.11,NA
"1671",214.5579,-81.00776,69896,4.89,23.36,-19.95,-65.39,0.5,0.243
"1672",214.594734,-45.904836,69901,8.93,22.72,49.46,37.06,2.39,0.92
"1673",214.799257,-60.826087,69982,8.31,24.66,-165.75,-31.36,1.05,0.793
"1674",214.858923,27.290227,69999,10.36,23.61,-23.53,-230.49,1.71,1.08
"1675",214.964598,-61.272972,70035,5.22,20.69,-165.01,-88.32,0.63,0.281
"1676",215.033937,-11.058412,70049,10.1,23.47,-116.4,-41.86,1.77,0.975
"1677",215.159077,-64.468655,70098,9.51,22.45,-193.74,-168.95,1.64,0.873
"1678",215.176905,-52.325874,70103,7.33,20,42.59,-38.21,0.78,0.437
"1679",215.177424,-45.18706,70104,4.78,21.95,37.17,-73.61,0.8,0.31
"1680",215.286911,37.401026,70142,8.9,23.65,-130.8,-24.85,1.14,0.877
"1681",215.557968,35.648804,70235,8.13,20.43,39.31,25.35,1.27,0.59
"1682",215.620475,60.96571,70252,7.4,23.48,-9.72,-79.76,0.6,0.609
"1683",215.622984,55.870114,70253,8.22,24.37,-233.88,165.22,0.71,0.647
"1684",215.624431,65.586246,70255,10.34,20.13,-211.22,269.48,1.21,1.188
"1685",215.6611,-7.768177,70269,6.82,22.81,15.61,-133.8,1.89,0.584
"1686",216.047269,5.820131,70400,5.1,21.56,-77.91,6.49,0.9,0.124
"1687",216.112078,60.256878,70426,9.6,22.2,-202.15,117.98,1.07,1.03
"1688",216.203923,41.275107,70470,8.36,24.84,-155.89,-209.6,0.95,0.757
"1689",216.315962,53.584951,70499,7.11,23.59,84.58,-74.32,0.61,0.526
"1690",216.3755,20.590159,70520,7.27,21.32,132.6,-581.11,0.83,0.581
"1691",216.644593,-18.820057,70608,8.86,22.29,-187.86,1.17,1.46,0.84
"1692",216.839051,-14.83878,70677,7.31,21.29,-170.02,-60.65,0.99,0.487
"1693",216.938671,-13.359347,70714,6.65,23.41,-62.34,-22.67,0.87,0.425
"1694",216.937468,23.840837,70715,10.93,22.67,-517.3,72.93,2.38,1.238
"1695",217.050575,-2.227957,70755,4.81,24.15,-140.94,-2.92,1,0.693
"1696",217.129735,2.788833,70782,7.02,24.65,-196.98,52.38,1,0.549
"1697",217.274047,9.046883,70831,8.57,21.45,28.25,-108.05,1.61,0.644
"1698",217.832308,-15.638825,71006,7.97,22.85,221.95,-375.28,1.65,0.71
"1699",217.953188,-64.283849,71050,8.21,22.86,-116.18,-152.57,1.02,0.637
"1700",217.957458,30.371437,71053,3.57,21.92,-100.44,120.22,0.81,1.298
