"","u_g","g_r","r_i","i_z","Class"
"4397",2.142,0.823,0.261,0.145,2
"4398",2.607,1.07,0.381,0.182,2
"4399",1.346,0.53,0.167,0.062,2
"4400",1.566,0.637,0.23,0.063,2
"4401",1.981,0.788,0.274,0.149,2
"4402",1.207,0.429,0.161,0.046,2
"4403",2.244,0.901,0.281,0.158,2
"4404",1.394,0.554,0.187,0.088,2
"4405",1.262,0.435,0.133,0.054,2
"4406",2.553,1.29,0.557,0.358,2
"4407",1.219,-0.039,-0.057,-0.092,2
"4408",0.937,0.254,0.127,0.016,2
"4409",1.244,0.423,0.156,0.052,2
"4410",0.992,0.391,0.168,0.093,2
"4411",0.978,0.258,0.071,0.062,2
"4412",1.462,0.659,0.237,0.163,2
"4413",0.927,0.298,0.104,0.056,2
"4414",1.094,0.481,0.162,0.05,2
"4415",0.971,0.367,0.107,0.052,2
"4416",2.528,1.121,0.428,0.22,2
"4417",1.774,0.664,0.273,0.113,2
"4418",1.1,-0.009,-0.041,-0.052,2
"4419",2.372,1.074,0.415,0.266,2
"4420",2.518,1.024,0.421,0.272,2
"4421",2.584,1.237,0.561,0.31,2
"4422",1.172,0.434,0.14,0.043,2
"4423",0.965,0.376,0.08,0.054,2
"4424",1.347,0.431,0.146,0.098,2
"4425",1.28,0.503,0.195,0.062,2
"4426",2.467,0.974,0.409,0.204,2
"4427",1.205,-0.099,-0.085,-0.062,2
"4428",0.926,0.287,0.096,0.063,2
"4429",0.835,0.302,0.076,0.046,2
"4430",1.421,0.457,0.166,0.077,2
"4431",1.79,0.689,0.269,0.127,2
"4432",1.56,0.61,0.24,0.123,2
"4433",1.576,0.598,0.222,0.079,2
"4434",1.857,0.684,0.24,0.127,2
"4435",1.331,0.459,0.182,0.071,2
"4436",2.572,1.34,0.681,0.379,2
"4437",1.97,0.842,0.337,0.211,2
"4438",1.069,0.131,0.043,-0.005,2
"4439",1.766,0.637,0.256,0.128,2
"4440",1.758,0.589,0.217,0.141,2
"4441",1.15,0.414,0.166,0.04,2
"4442",1.485,0.504,0.19,0.091,2
"4443",1.339,0.49,0.167,0.082,2
"4444",1.459,0.524,0.19,0.16,2
"4445",1.908,0.73,0.248,0.153,2
"4446",0.928,0.297,0.139,0.037,2
"4447",2.166,0.849,0.332,0.169,2
"4448",2.318,1.006,0.338,0.186,2
"4449",1.347,0.477,0.18,0.076,2
"4450",1.614,0.608,0.229,0.141,2
"4451",2.64,1.358,0.648,0.37,2
"4452",1.337,0.494,0.167,0.055,2
"4453",1.497,0.515,0.212,0.079,2
"4454",1.819,0.725,0.265,0.16,2
"4455",1.103,0.391,0.156,0.03,2
"4456",1.385,0.458,0.172,0.21,2
"4457",1.765,0.674,0.257,0.145,2
"4458",2.252,1.032,0.406,0.237,2
"4459",2.534,1.259,0.527,0.284,2
"4460",0.902,0.249,0.073,0.033,2
"4461",0.919,0.279,0.132,0.03,2
"4462",1.273,0.479,0.171,0.093,2
"4463",1.148,0.343,0.169,0.052,2
"4464",1.112,0.372,0.135,0.108,2
"4465",1.573,0.49,0.248,0.079,2
"4466",1.22,0.383,0.183,0.053,2
"4467",1.911,0.812,0.341,0.218,2
"4468",1.236,-0.091,-0.082,-0.049,2
"4469",1.833,0.676,0.314,0.165,2
"4470",1.139,0.368,0.135,0.063,2
"4471",1.997,0.748,0.305,0.127,2
"4472",1.322,0.486,0.225,0.088,2
"4473",2.719,1.417,0.801,0.412,2
"4474",1.281,0.513,0.175,0.099,2
"4475",1.347,0.523,0.148,0.073,2
"4476",1.708,0.695,0.256,0.129,2
"4477",1.181,0.423,0.156,0.056,2
"4478",0.875,0.258,0.078,0.036,2
"4479",2.351,1.016,0.355,0.25,2
"4480",0.848,0.25,0.07,0.118,2
"4481",2.209,0.922,0.332,0.167,2
"4482",1.565,0.589,0.218,0.097,2
"4483",1.191,0.433,0.161,0.099,2
"4484",2.622,1.264,0.496,0.341,2
"4485",2.303,0.948,0.31,0.252,2
"4486",1.174,0.437,0.198,0.053,2
"4487",2.129,0.835,0.323,0.237,2
"4488",1.284,0.428,0.157,0.072,2
"4489",1.727,0.668,0.24,0.143,2
"4490",1.228,0.386,0.148,0.055,2
"4491",0.972,0.224,0.063,0.004,2
"4492",2.234,0.961,0.353,0.164,2
"4493",1.337,0.466,0.219,0.111,2
"4494",1.089,0.257,0.073,0.013,2
"4495",2.236,0.905,0.323,0.247,2
"4496",0.924,0.319,0.125,-0.009,2
"4497",1.066,0.4,0.107,0.054,2
"4498",1.358,0.653,0.246,0.1,2
"4499",2.344,1.071,0.283,0.357,2
"4500",2.518,1.316,0.726,0.368,2
"4501",1.109,0.399,0.166,-0.011,2
"4502",1.954,0.731,0.258,0.093,2
"4503",1.403,0.486,0.19,0.115,2
"4504",1.576,0.595,0.263,0.144,2
"4505",1.18,0.424,0.168,0.04,2
"4506",1.132,0.482,0.213,0.059,2
"4507",1.099,0.404,0.155,0.015,2
"4508",1.296,0.523,0.214,0.086,2
"4509",1.906,0.712,0.243,0.098,2
"4510",1.204,0.353,0.139,0.017,2
"4511",1.179,0.412,0.141,0.022,2
"4512",1.197,0.385,0.131,0.053,2
"4513",1.452,0.555,0.228,0.122,2
"4514",1.488,0.552,0.205,0.12,2
"4515",2.587,1.375,0.589,0.305,2
"4516",2.541,1.257,0.47,0.271,2
"4517",2.452,1.087,0.389,0.186,2
"4518",1.593,0.642,0.23,0.082,2
"4519",2.3,1.015,0.373,0.184,2
"4520",1.177,0.256,0.041,-0.035,2
"4521",1.947,0.803,0.291,0.151,2
"4522",2.553,1.217,0.455,0.246,2
"4523",1.159,0.458,0.193,0.104,2
"4524",1.364,0.513,0.177,0.092,2
"4525",1.125,0.452,0.162,0.103,2
"4526",1.229,0.484,0.161,0.115,2
"4527",2.369,0.915,0.29,0.137,2
"4528",1.385,0.473,0.163,0.038,2
"4529",1.176,0.419,0.128,0.033,2
"4530",1.223,0.534,0.233,0.075,2
"4531",2.497,1.164,0.471,0.205,2
"4532",1.162,0.395,0.161,0.006,2
"4533",1.519,0.546,0.2,0.064,2
"4534",1.764,0.675,0.267,0.151,2
"4535",1.927,0.683,0.256,0.11,2
"4536",1.571,0.65,0.247,0.12,2
"4537",1.614,0.593,0.198,0.103,2
"4538",0.858,0.273,0.104,-0.024,2
"4539",1.29,0.529,0.16,0.098,2
"4540",1.001,0.336,0.096,0.04,2
"4541",1.432,0.576,0.19,0.128,2
"4542",2.561,1.296,0.489,0.259,2
"4543",1.766,0.679,0.206,0.112,2
"4544",1.275,0.485,0.176,0.071,2
"4545",1.155,0.423,0.161,0.001,2
"4546",1.249,0.502,0.186,0.041,2
"4547",2.474,1.154,0.454,0.217,2
"4548",1.181,0.399,0.145,0.049,2
"4549",1.465,0.568,0.201,0.116,2
"4550",0.932,0.277,0.094,0.049,2
"4551",2.52,1.413,0.928,0.512,2
"4552",0.854,0.22,0.039,-0.011,2
"4553",2.306,1.033,0.368,0.237,2
"4554",0.856,0.294,0.12,0.006,2
"4555",0.923,0.28,0.094,0.014,2
"4556",0.899,0.285,0.112,-0.015,2
"4557",1.124,0.406,0.118,0.036,2
"4558",1.974,0.753,0.254,0.126,2
"4559",2.599,0.973,0.438,0.227,2
"4560",0.996,0.241,0.087,0.05,2
"4561",1.032,0.306,0.1,0.037,2
"4562",2.503,1.324,0.603,0.34,2
"4563",2.473,1.273,0.572,0.327,2
"4564",1.027,0.419,0.14,0.079,2
"4565",1.45,0.514,0.195,0.08,2
"4566",2.2,0.94,0.39,0.24,2
"4567",1.061,0.321,0.115,0.026,2
"4568",1.172,0.383,0.093,0.065,2
"4569",1.324,0.486,0.121,0.091,2
"4570",2.508,1.417,0.775,0.436,2
"4571",0.936,0.336,0.113,0.076,2
"4572",1.204,0.502,0.14,0.099,2
"4573",1.715,0.689,0.192,0.115,2
"4574",0.993,0.346,0.077,0.01,2
"4575",1.452,0.599,0.201,0.085,2
"4576",0.967,0.293,0.133,-0.024,2
"4577",1.01,0.379,0.157,0.007,2
"4578",2.153,0.971,0.378,0.198,2
"4579",1.123,0.44,0.118,0.103,2
"4580",1.433,0.559,0.201,0.082,2
"4581",1.571,0.619,0.249,0.11,2
"4582",1.712,0.66,0.221,0.135,2
"4583",1.921,0.812,0.311,0.173,2
"4584",1.39,0.543,0.24,0.022,2
"4585",1.23,0.451,0.213,-0.017,2
"4586",2.732,1.363,0.492,0.33,2
"4587",2.242,0.964,0.404,0.15,2
"4588",2.256,1.187,0.599,0.262,2
"4589",1.42,0.577,0.297,0.114,2
"4590",1.222,0.454,0.222,0.086,2
"4591",1.579,0.695,0.273,0.117,2
"4592",2.005,0.732,0.216,0.031,2
"4593",2.63,1.31,0.598,0.288,2
"4594",0.876,0.344,0.11,0.012,2
"4595",1.438,0.663,0.204,0.145,2
"4596",1.276,0.489,0.183,0.066,2
"4597",1.173,0.488,0.164,0.072,2
"4598",1.262,0.474,0.204,0.033,2
"4599",0.969,0.3,0.147,-0.022,2
"4600",1.237,0.46,0.207,0.01,2
"4601",2.052,0.81,0.295,0.14,2
"4602",2.21,1.001,0.39,0.164,2
"4603",2.659,1.293,0.55,0.297,2
"4604",2.683,1.413,0.771,0.386,2
"4605",1.054,0.391,0.176,0.04,2
"4606",1.059,0.384,0.171,0.031,2
"4607",2.25,0.968,0.409,0.19,2
"4608",1.244,0.428,0.16,-0.001,2
"4609",2.083,0.78,0.297,0.088,2
"4610",1.135,0.506,0.254,0.007,2
"4611",1.641,0.625,0.181,-0.004,2
"4612",2.168,1.033,0.359,0.175,2
"4613",1.049,0.3,0.173,-0.044,2
"4614",1.704,0.607,0.231,0.037,2
"4615",1.336,0.435,0.178,0.037,2
"4616",1.497,0.47,0.177,0.035,2
"4617",2.751,1.244,0.561,0.269,2
"4618",1.284,0.495,0.089,0.094,2
"4619",1.2,0.517,0.139,0.051,2
"4620",1.243,0.464,0.119,0.039,2
"4621",1.112,0.412,0.139,0.04,2
"4622",2.059,0.792,0.246,0.153,2
"4623",2.19,0.851,0.297,0.159,2
"4624",1,0.291,0.09,0.007,2
"4625",2.517,1.452,0.672,0.37,2
"4626",1.324,0.481,0.12,0.087,2
"4627",1.219,0.435,0.098,0.085,2
"4628",1.175,0.417,0.163,0.014,2
"4629",1.275,0.469,0.131,0.051,2
"4630",2.282,0.973,0.328,0.162,2
"4631",1.08,0.417,0.128,-0.005,2
"4632",1.991,0.789,0.248,0.092,2
"4633",1.343,0.457,0.188,-0.026,2
"4634",1.074,0.399,0.141,-0.042,2
"4635",0.83,0.322,0.2,-0.028,2
"4636",1.247,0.507,0.189,0.036,2
"4637",1.268,-0.113,-0.06,0.009,2
"4638",2.596,1.265,0.631,0.433,2
"4639",2.686,1.219,0.557,0.372,2
"4640",2.282,0.948,0.309,0.211,2
"4641",1.909,0.97,0.314,0.194,2
"4642",0.85,0.306,0.153,-0.017,2
"4643",2.111,0.881,0.27,0.147,2
"4644",1.002,0.43,0.095,0.058,2
"4645",0.919,0.358,0.064,0.012,2
"4646",2.586,1.238,0.491,0.214,2
"4647",1.606,0.683,0.206,0.179,2
"4648",2.238,1.097,0.416,0.143,2
"4649",2.372,1.165,0.357,0.209,2
"4650",1.69,0.618,0.224,0.048,2
"4651",1.543,0.589,0.232,0.059,2
"4652",1.324,0.494,0.181,0.016,2
"4653",1.064,0.308,0.141,-0.009,2
"4654",1.07,0.33,0.145,-0.016,2
"4655",1.312,0.505,0.213,0.068,2
"4656",0.883,0.269,0.129,0.005,2
"4657",2.528,1.202,0.496,0.291,2
"4658",1.183,0.413,0.205,0.024,2
"4659",1.203,0.543,0.194,0.078,2
"4660",1.101,0.452,0.156,0.04,2
"4661",1.023,0.419,0.114,0.023,2
"4662",2.318,1.058,0.339,0.192,2
"4663",1.101,0.435,0.089,0.041,2
"4664",1.901,0.829,0.22,0.148,2
"4665",1.634,0.685,0.19,0.101,2
"4666",0.91,0.29,0.113,0.027,2
"4667",1.158,0.456,0.141,0.067,2
"4668",1.613,0.646,0.209,0.114,2
"4669",1.215,0.485,0.239,0.061,2
"4670",1.276,0.449,0.196,0.048,2
"4671",1.248,0.435,0.185,0.024,2
"4672",1.599,0.472,0.206,0.054,2
"4673",1.957,0.709,0.195,0.075,2
"4674",1.055,0.134,0.006,-0.097,2
"4675",1.257,0.465,0.15,-0.019,2
"4676",1.742,0.772,0.25,0.128,2
"4677",1.174,0.506,0.148,0.053,2
"4678",1.183,0.59,0.155,0.078,2
"4679",1.965,0.928,0.347,0.196,2
"4680",1.34,0.52,0.2,0.092,2
"4681",2.301,0.979,0.299,0.191,2
"4682",1.052,0.4,0.152,0.013,2
"4683",1.22,0.452,0.176,0.022,2
"4684",1.077,0.39,0.163,-0.014,2
"4685",1.092,0.377,0.174,0.006,2
"4686",1.046,0.289,0.109,-0.001,2
"4687",1.09,0.305,0.164,0.025,2
"4688",1.978,0.662,0.298,0.101,2
"4689",2.74,1.318,0.577,0.357,2
"4690",0.915,0.263,0.084,0.056,2
"4691",1.67,0.589,0.202,0.143,2
"4692",0.941,0.344,0.104,0.064,2
"4693",1.128,0.399,0.138,0.037,2
"4694",1.076,0.392,0.128,0.027,2
"4695",1.24,0.429,0.154,0.053,2
"4696",0.953,0.289,0.08,0.047,2
"4697",1.242,0.374,0.146,0.057,2
"4698",1.471,0.491,0.206,0.05,2
"4699",0.915,0.211,0.114,-0.016,2
"4700",2.346,0.979,0.41,0.156,2
"4701",1.062,0.391,0.155,0.002,2
"4702",1.268,0.412,0.145,0.054,2
"4703",2.364,0.991,0.378,0.144,2
"4704",1.056,0.344,0.143,0.067,2
"4705",1.101,0.32,0.158,0.029,2
"4706",1.612,0.64,0.281,0.126,2
"4707",2.45,1.007,0.359,0.144,2
"4708",1.943,0.716,0.3,0.176,2
"4709",1.933,0.72,0.269,0.104,2
"4710",2.615,1.288,0.597,0.303,2
"4711",1.716,0.669,0.221,0.116,2
"4712",1.347,0.51,0.126,0.101,2
"4713",1.237,0.468,0.145,0.092,2
"4714",1.805,0.832,0.296,0.171,2
"4715",1.87,0.743,0.286,0.141,2
"4716",2.622,1.445,0.825,0.422,2
"4717",1.485,0.604,0.213,0.098,2
"4718",1.101,0.488,0.211,0.426,2
"4719",1.221,0.387,0.15,0.092,2
"4720",0.917,0.244,0.099,0.015,2
"4721",1.013,0.318,0.136,0.053,2
"4722",1.833,0.657,0.262,0.11,2
"4723",1.001,0.34,0.128,0.035,2
"4724",1.562,0.627,0.227,0.139,2
"4725",1.22,0.422,0.148,0.013,2
"4726",1.002,0.213,0.077,-0.022,2
"4727",2.079,0.764,0.298,0.073,2
"4728",1.005,0.378,0.166,0.057,2
"4729",1.48,0.519,0.193,0.066,2
"4730",2.68,1.299,0.544,0.269,2
"4731",1.473,0.541,0.175,0.093,2
"4732",1.43,0.515,0.14,0.037,2
"4733",2.698,1.257,0.493,0.261,2
"4734",1.289,0.594,0.216,0.127,2
"4735",1.766,0.782,0.289,0.101,2
"4736",1.303,0.546,0.214,0.073,2
"4737",1.281,0.532,0.237,0.09,2
"4738",1.004,0.33,0.127,0.042,2
"4739",1.349,0.553,0.261,0.112,2
"4740",0.903,0.24,0.117,0.015,2
"4741",1.121,0.534,0.278,0.112,2
"4742",1.356,0.483,0.136,0.029,2
"4743",0.82,0.374,0.156,0.058,2
"4744",2.481,1.189,0.498,0.27,2
"4745",1.147,0.393,0.128,0.045,2
"4746",1.115,0.168,0.053,0.016,2
"4747",1.266,0.413,0.17,0.051,2
"4748",1.839,0.759,0.267,0.13,2
"4749",0.822,0.206,0.08,-0.008,2
"4750",1.646,0.602,0.236,0.103,2
"4751",1.895,0.635,0.248,0.117,2
"4752",1.49,0.612,0.256,0.086,2
"4753",1.007,0.337,0.13,-0.003,2
"4754",1.414,0.54,0.248,0.043,2
"4755",1.247,0.437,0.092,0.177,2
"4756",1.034,0.336,0.143,0.015,2
"4757",1.105,0.425,0.111,0.035,2
"4758",0.929,0.292,0.074,-0.005,2
"4759",1.558,0.632,0.212,0.119,2
"4760",2.419,1.122,0.218,0.709,2
"4761",0.889,0.255,0.086,0.031,2
"4762",1.407,0.621,0.226,0.111,2
"4763",1.445,0.671,0.233,0.12,2
"4764",1.325,0.518,0.156,0.072,2
"4765",1.203,0.48,0.129,0.076,2
"4766",1.409,0.577,0.211,0.111,2
"4767",1.137,0.499,0.202,0.11,2
"4768",1.55,0.579,0.077,0.216,2
"4769",1.176,0.402,0.141,0.068,2
"4770",2.321,1,0.346,0.197,2
"4771",1.083,0.37,0.133,0.055,2
"4772",1.226,0.435,0.135,0.089,2
"4773",1.426,0.612,0.338,-0.094,2
"4774",1.064,0.448,0.122,0.08,2
"4775",0.884,0.372,0.107,0.04,2
"4776",1.122,0.442,0.122,0.026,2
"4777",2.407,0.978,0.261,0.147,2
"4778",1.484,0.581,0.168,0.057,2
"4779",0.949,0.282,0.1,0.011,2
"4780",2.527,1.077,0.375,0.195,2
"4781",0.821,0.304,0.131,0.001,2
"4782",1.471,0.565,0.204,0.084,2
"4783",1.28,0.428,0.219,0.052,2
"4784",1.422,0.508,0.213,0.053,2
"4785",0.859,0.301,0.075,0.003,2
"4786",1.441,0.559,0.236,0.103,2
"4787",1.103,0.377,0.126,0.03,2
"4788",1.078,0.352,0.138,0.046,2
"4789",2.348,0.963,0.354,0.163,2
"4790",2.262,0.867,0.348,0.185,2
"4791",1.128,0.446,0.168,0.079,2
"4792",1.758,0.751,0.231,0.177,2
"4793",1.008,0.308,0.128,0.041,2
"4794",2.205,0.947,0.329,0.184,2
"4795",0.958,0.41,0.159,0.057,2
"4796",1.183,0.475,0.163,0.077,2
"4797",1.303,0.332,0.141,0.013,2
"4798",2.272,0.982,0.422,0.209,2
"4799",2.39,0.951,0.374,0.232,2
"4800",1.319,0.562,0.147,0.083,2
"4801",1.815,0.718,0.224,0.113,2
"4802",1.343,0.505,0.139,0.057,2
"4803",1.214,0.492,0.14,0.053,2
"4804",1.175,0.468,0.148,0.026,2
"4805",2.192,0.979,0.329,0.189,2
"4806",1.529,0.528,0.221,0.108,2
"4807",2.046,0.852,0.313,0.19,2
"4808",2.424,1.245,0.58,0.31,2
"4809",1.169,0.461,0.178,0.064,2
"4810",1.402,0.563,0.196,0.085,2
"4811",1.407,0.594,0.223,0.102,2
"4812",1.826,0.73,0.24,0.139,2
"4813",1.988,0.814,0.292,0.184,2
"4814",1.339,0.491,0.17,0.097,2
"4815",1.943,0.72,0.288,0.18,2
"4816",1.394,0.486,0.171,0.075,2
"4817",1.666,0.675,0.289,0.192,2
"4818",1.276,0.461,0.172,0.088,2
"4819",1.481,0.554,0.193,0.122,2
"4820",1.754,0.708,0.261,0.165,2
"4821",1.263,0.418,0.188,0.037,2
"4822",1.264,0.407,0.195,0.052,2
"4823",0.975,0.278,0.087,0.038,2
"4824",1.916,0.767,0.306,0.131,2
"4825",1.404,0.579,0.222,0.073,2
"4826",0.994,0.427,0.175,0.04,2
"4827",1.184,0.402,0.141,0.027,2
"4828",2.584,1.182,0.465,0.276,2
"4829",1.043,0.281,0.159,-0.011,2
"4830",1.207,0.454,0.186,0.061,2
"4831",1.684,0.602,0.216,0.099,2
"4832",2.497,1.013,0.47,0.212,2
"4833",2.354,1.008,0.363,0.197,2
"4834",1.076,0.274,0.096,-0.014,2
"4835",1.175,0.405,0.169,-0.027,2
"4836",1.223,0.496,0.214,0.075,2
"4837",1.09,0.338,0.158,0.045,2
"4838",2.392,1.146,0.491,0.282,2
"4839",2.12,0.889,0.373,0.227,2
"4840",1,0.372,0.114,0.079,2
"4841",2.381,1.091,0.391,0.254,2
"4842",1.926,0.806,0.325,0.191,2
"4843",1.179,0.408,0.163,0.017,2
"4844",1.411,0.537,0.216,0.153,2
"4845",1.391,0.522,0.203,0.098,2
"4846",1.266,0.454,0.171,0.095,2
"4847",2.573,1.338,0.618,0.373,2
"4848",1.751,0.628,0.222,0.097,2
"4849",0.812,0.271,0.076,0.004,2
"4850",1.078,0.38,0.141,0.004,2
"4851",0.917,0.316,0.112,0.018,2
"4852",2.24,0.999,0.313,0.141,2
"4853",1.252,0.443,0.149,0.055,2
"4854",1.153,0.383,0.139,0.053,2
"4855",2.223,0.866,0.238,0.179,2
"4856",2.112,0.94,0.346,0.203,2
"4857",1.039,0.377,0.159,0.061,2
"4858",1.483,0.602,0.219,0.128,2
"4859",2.285,1.067,0.376,0.241,2
"4860",1.252,0.589,0.184,0.102,2
"4861",1.187,0.391,0.159,0.031,2
"4862",1.43,0.481,0.229,0.131,2
"4863",1.5,0.541,0.25,0.13,2
"4864",1.184,0.408,0.197,0.08,2
"4865",1.979,0.92,0.326,0.218,2
"4866",2.002,0.729,0.304,0.145,2
"4867",1.381,0.474,0.24,0.123,2
"4868",1.717,0.689,0.221,0.106,2
"4869",0.874,0.278,0.097,0.032,2
"4870",2.559,1.4,0.708,0.418,2
"4871",1.346,0.499,0.17,0.069,2
"4872",1.177,0.451,0.152,0.078,2
"4873",2.241,0.91,0.327,0.158,2
"4874",1.637,0.62,0.238,0.135,2
"4875",2.362,1.024,0.426,0.212,2
"4876",1.808,0.67,0.364,0.187,2
"4877",1.832,0.689,0.227,-0.045,2
"4878",2.299,1.015,0.429,0.239,2
"4879",1.308,0.499,0.21,0.072,2
"4880",0.94,0.377,0.141,0.068,2
"4881",1.146,0.472,0.176,0.045,2
"4882",1.371,0.519,0.191,0.091,2
"4883",2.307,0.98,0.361,0.192,2
"4884",1.25,0.407,0.148,0.047,2
"4885",1.03,0.46,0.218,0.116,2
"4886",1.218,0.542,0.159,0.207,2
"4887",1.394,0.515,0.193,0.095,2
"4888",1.112,0.423,0.165,0.087,2
"4889",1.073,0.205,0.067,-0.001,2
"4890",1.01,0.382,-0.129,0.305,2
"4891",1.5,0.607,0.244,0.139,2
"4892",1.101,0.387,0.146,0.048,2
"4893",0.97,0.343,0.145,0.031,2
"4894",1.497,0.672,0.269,0.143,2
"4895",1.111,0.462,0.171,0.062,2
"4896",1.055,0.401,0.13,0.028,2
"4897",1.396,0.5,0.177,0.082,2
"4898",2.128,0.849,0.337,0.149,2
"4899",1.157,0.4,0.176,0.047,2
"4900",2.483,1.119,0.453,0.234,2
"4901",1.66,0.655,0.172,0.1,2
"4902",2.497,1.15,0.457,0.255,2
"4903",1.046,0.412,0.14,0.059,2
"4904",1.825,0.713,0.262,0.15,2
"4905",1.265,0.498,0.179,0.101,2
"4906",1.129,0.511,0.188,0.148,2
"4907",0.93,0.345,0.126,0.052,2
"4908",2.366,1.002,0.389,0.258,2
"4909",2.543,1.232,0.491,0.299,2
"4910",1.432,0.551,0.228,0.097,2
"4911",0.936,0.329,0.127,0.029,2
"4912",1.861,0.721,0.252,0.183,2
"4913",1.41,0.487,0.185,0.066,2
"4914",1.252,0.43,0.151,0.045,2
"4915",1.029,0.322,0.151,0.04,2
"4916",1.681,0.537,0.215,0.085,2
"4917",1.246,0.386,0.158,0.017,2
"4918",1.118,0.371,0.156,0.043,2
"4919",1.245,0.374,0.141,0.035,2
"4920",1.548,0.606,0.266,0.117,2
"4921",1.986,0.731,0.269,0.126,2
"4922",0.941,0.309,0.139,0.017,2
"4923",1.096,0.449,0.204,0.083,2
"4924",2.541,1.087,0.463,0.226,2
"4925",1.634,0.587,0.259,0.064,2
"4926",1.902,0.748,0.296,0.128,2
"4927",1.482,0.516,0.208,0.07,2
"4928",1.147,0.398,0.169,0.051,2
"4929",1.503,0.587,0.216,0.085,2
"4930",1.17,0.346,0.166,0.028,2
"4931",2.112,0.885,0.326,0.161,2
"4932",1.172,0.398,0.166,0.053,2
"4933",1.098,0.275,0.098,0.027,2
"4934",1.074,0.372,0.135,0.048,2
"4935",1.343,0.448,0.129,0.086,2
"4936",1.959,0.723,0.245,0.159,2
"4937",0.929,0.287,0.135,0.055,2
"4938",0.845,0.235,0.116,0.057,2
"4939",1.163,0.418,0.145,0.068,2
"4940",1.779,0.633,0.235,0.098,2
"4941",1.441,0.575,0.224,0.096,2
"4942",1.072,0.382,-0.132,0.288,2
"4943",2.404,0.991,0.358,0.216,2
"4944",1.104,0.396,0.09,0.024,2
"4945",1.314,0.498,0.181,0.049,2
"4946",2.637,1.451,0.811,0.482,2
"4947",2.253,0.98,0.404,0.264,2
"4948",2.621,1.403,0.754,0.43,2
"4949",1.216,0.419,0.167,0.033,2
"4950",1.25,0.47,0.169,0.046,2
"4951",1.043,0.416,0.218,0.096,2
"4952",1.214,0.474,0.178,0.068,2
"4953",1.021,0.369,0.112,0.035,2
"4954",2.437,1.143,0.423,0.251,2
"4955",2.465,1.02,0.385,0.188,2
"4956",0.853,0.269,0.073,0.032,2
"4957",1.088,0.411,0.191,0.126,2
"4958",1.196,0.446,0.17,0.092,2
"4959",1.297,0.537,0.225,0.123,2
"4960",2.091,0.765,0.311,0.2,2
"4961",2.146,0.833,0.364,0.203,2
"4962",2.538,1.17,0.516,0.293,2
"4963",2.208,0.961,0.363,0.163,2
"4964",1.53,0.656,0.129,0.093,2
"4965",1.385,0.576,0.219,0.088,2
"4966",0.882,0.315,0.104,0.035,2
"4967",1.038,0.374,0.131,0.044,2
"4968",1.189,0.414,0.12,0.076,2
"4969",1.373,0.467,0.181,0.064,2
"4970",1.361,0.522,0.152,0.102,2
"4971",0.854,0.251,0.064,0.02,2
"4972",1.225,0.485,0.162,0.069,2
"4973",1.574,0.622,0.214,0.109,2
"4974",1.246,0.425,0.126,0.023,2
"4975",1.303,0.492,0.181,0.042,2
"4976",0.881,0.246,0.141,-0.004,2
"4977",1.385,0.488,0.255,0.083,2
"4978",1.792,0.673,0.319,0.163,2
"4979",1.989,0.695,0.252,0.114,2
"4980",0.914,0.32,0.148,0.072,2
"4981",2.49,1.072,0.369,0.217,2
"4982",1.857,0.754,0.282,0.183,2
"4983",2.079,0.913,0.364,0.178,2
"4984",0.863,0.305,0.134,0.03,2
"4985",1.99,0.762,0.321,0.145,2
"4986",1.576,0.648,0.262,0.117,2
"4987",1.621,0.629,0.239,0.085,2
"4988",1.292,0.519,0.196,0.138,2
"4989",1.834,0.649,0.242,0.151,2
"4990",1.423,0.58,0.198,0.103,2
"4991",1.491,0.573,0.217,0.124,2
"4992",1.113,0.408,0.193,0.079,2
"4993",1.034,0.301,0.134,0.039,2
"4994",0.998,0.339,0.126,0.021,2
"4995",1.135,0.332,0.105,0.043,2
"4996",1.233,0.459,0.16,0.057,2
"4997",1.332,0.538,0.182,0.072,2
"4998",1.591,0.694,0.269,0.127,2
"4999",2.189,0.893,0.306,0.129,2
"5000",1.61,0.622,0.245,0.106,2
"5001",0.987,0.397,0.129,0.054,2
"5002",0.922,0.301,0.099,0.034,2
"5003",1.98,0.789,0.252,0.145,2
"5004",0.911,0.359,0.117,0.05,2
"5005",1.181,0.463,0.201,0.084,2
"5006",1.134,0.387,0.161,0.027,2
"5007",1.895,0.755,0.268,0.14,2
"5008",1.471,0.523,0.218,0.095,2
"5009",1.427,0.555,0.215,0.117,2
"5010",1.059,0.351,0.1,0.051,2
"5011",1.654,0.622,0.209,0.112,2
"5012",1.686,0.602,0.359,0.154,2
"5013",1.022,0.325,0.092,0.041,2
"5014",1.142,0.461,0.157,0.119,2
"5015",1.05,0.081,-0.008,0.019,2
"5016",1.013,0.312,0.081,0.031,2
"5017",1.238,0.5,0.172,0.084,2
"5018",1.107,0.458,0.149,0.097,2
"5019",1.253,0.507,0.183,0.059,2
"5020",2.271,0.965,0.348,0.222,2
"5021",1.162,0.392,0.152,0.005,2
"5022",1.025,0.334,0.152,0.016,2
"5023",1.687,0.637,0.173,0.139,2
"5024",1.085,0.32,0.141,0.085,2
"5025",1.846,0.778,0.283,0.126,2
"5026",1.873,0.776,0.309,0.18,2
"5027",1.383,0.586,0.242,0.087,2
"5028",1.028,0.329,0.122,0.002,2
"5029",1.112,0.417,0.187,0.045,2
